"Paultre, Legeron,  July-August 2000 test 10013015"	
479	
0	-0.6
2.48	22.51
4	35.46
5.33	45.33
8	59.24
9.24	61.84
11.24	69.65
15.24	80.06
17.14	84.48
8	43.09
5.81	30.92
3.24	12.11
1.62	0.19
1.43	-1.08
-0.29	-17.04
-2.38	-33.25
-4.57	-48.19
-5.9	-55.16
-8.57	-65.84
-10.48	-72.92
-14.38	-84.09
-11.81	-69.74
-9.71	-60.14
-6.38	-42.73
-4.67	-32.23
-2.57	-17.1
-0.95	-5.28
-0.29	-0.66
0	2.85
1.62	15.25
3.81	30.62
6.29	44.36
10	59.36
14	72.86
18.57	87.38
22.19	95.25
26.67	102.45
28.86	104.14
30.38	104.87
27.62	94.4
23.9	83.99
18	66.08
14.86	56.4
9.71	37.88
6.95	25.9
2.57	0.55
2.1	-3
0.19	-15.48
-2.38	-32.65
-7.14	-56.18
-10	-67.52
-12.19	-75.5
-14.1	-82.47
-17.33	-92.25
-18.95	-96.03
-20.95	-100.59
-23.24	-104.97
-26.38	-109.9
-30.38	-111.94
-26.1	-95.73
-22.29	-83.61
-18	-69.56
-12.38	-49.58
-6.29	-25.69
-2.48	-7.2
1.81	17.73
4.38	31.59
7.24	43.93
11.9	58.94
17.9	74.79
24	89.74
28.48	99
30.38	101.72
27.81	93.55
24.48	83.99
18.95	68.26
13.52	52.04
8.19	33.28
3.71	11.32
1.62	-0.78
-0.67	-15.12
-3.05	-29.29
-6.57	-45.73
-10.48	-59.36
-14.95	-73.28
-18.67	-83.43
-22.86	-94.23
-26.95	-102.63
-30.19	-108.69
-26.29	-94.89
-18.86	-71.84
-9.81	-40.39
-1.9	-5.1
-0.48	0
1.62	14.53
4.57	29.96
8.19	44.6
13.33	59.55
18.76	74.31
23.71	86.41
28.38	96.64
33.05	103.11
37.43	95.91
42.48	96.76
45.62	97.42
43.43	86.05
37.14	74.01
26.48	50.23
19.33	34.07
6	0.31
5.05	-0.3
1.71	-14.76
-1.33	-29.83
-5.05	-45.19
-10.29	-62.9
-15.05	-75.38
-18.86	-84.45
-22.86	-93.33
-28.67	-103.17
-34	-101.07
-38.67	-101.55
-43.05	-103.17
-45.71	-103.11
-40.76	-92.19
-32.38	-65.6
-17.24	-30.67
-10.1	-14.82
-4.86	0.18
0	18.28
3.52	31.77
7.71	44.6
14.76	59.73
23.81	73.77
28.19	78.97
33.05	84.23
37.9	88.59
42.76	92.83
45.62	94.28
41.71	82.06
36.57	69.71
32.95	61.91
26.19	47.44
14.1	20.21
6.48	1.09
5.71	-0.48
1.71	-15.96
-1.81	-29.29
-5.9	-43.99
-10.1	-54.98
-14.95	-65.12
-19.14	-72.92
-27.52	-83.91
-32.86	-89.37
-37.9	-95.43
-42.86	-99.33
-45.43	-101.13
-41.05	-87.09
-34.1	-68.84
-25.43	-47.77
-12.29	-19.03
-5.24	-0.66
-4.95	-1.39
-1.33	7.14
3.52	30.44
8.48	44.36
16.1	59.67
19.05	63.84
23.33	70.32
29.24	76.43
33.24	81.15
37.81	85.08
43.05	89.8
48.67	94.46
52.76	94.04
56.29	94.28
60.57	93.31
57.62	84.84
54.19	76.55
47.81	61.6
43.9	53.43
38	40.79
21.81	13.26
13.62	-0.06
12.76	-0.3
6.1	-14.34
0.38	-30.85
-4.19	-44.47
-10.86	-59.6
-18.86	-72.92
-23.05	-78.14
-29.62	-84.57
-33.05	-87.51
-37.9	-92.55
-42.67	-94.95
-47.05	-97.83
-52.1	-100.17
-56.86	-100.71
-60.57	-100.71
-56.86	-89.37
-52.48	-77.18
-48	-65.18
-43.14	-53.72
-35.52	-37.87
-28.86	-26.59
-23.24	-17.94
-18.19	-11.58
-11.71	-1.75
-0.48	23.06
2.1	30.2
8.48	44.96
18.1	59.61
23.81	65.48
29.62	70.5
33.33	73.04
38	76.67
42.48	80.36
47.05	83.63
57.24	88.71
60.57	89.98
60.67	84.72
57.71	77.58
53.14	66.93
47.81	54.58
43.24	45.2
38	34.98
32.86	25.3
27.05	15.92
18.67	2.85
16.86	0.54
8.48	-14.64
1.14	-31.75
-4.48	-45.61
-12	-59.36
-18.57	-67.94
-23.62	-73.46
-29.14	-78.08
-35.43	-83.01
-42.86	-88.41
-47.24	-90.93
-51.81	-94.89
-51.81	-86.85
-56.95	-94.77
-60.57	-96.03
-57.81	-87.69
-53.14	-74.9
-48.29	-62.36
-41.71	-46.63
-32.86	-29.23
-24.67	-17.04
-17.24	-6.36
-13.71	-2.05
-1.52	22.09
3.43	32.44
8.86	44.6
21.43	59.55
25.52	63.12
33.14	68.68
37.81	71.83
42.95	75.82
47.9	78.85
52.38	81.57
56.95	84.29
61.9	86.47
67.81	88.11
71.05	87.2
76	87.68
80.76	87.68
86.1	87.74
91.05	85.5
84.1	68.44
72.57	45.08
66.19	34.01
58.95	23.12
54.1	16.04
49.52	8.54
41.14	0.48
24.57	-13.98
12.1	-29.53
2.86	-45.13
-6.95	-60.14
-17.62	-70.82
-24.29	-75.74
-28.57	-77.3
-32.86	-79.71
-37.71	-82.83
-42.86	-84.75
-47.52	-87.09
-52.1	-88.95
-57.05	-90.03
-63.05	-91.23
-67.05	-90.69
-71.24	-89.67
-76.57	-90.45
-81.62	-89.91
-87.14	-89.25
-90.95	-88.83
-90.95	-80.19
-86	-67.52
-80.86	-56
-76.76	-46.81
-70.76	-34.45
-61.9	-18.6
-56.29	-11.58
-46.19	0.54
-45.05	-1.03
-44.67	0.43
-44.67	0.43
-31.9	15.92
-19.24	29.17
-4	45.75
15.71	60.03
21.33	62.63
28.67	66.08
33.62	67.35
38.19	68.86
42.76	70.86
48.19	72.98
52.48	74.67
57.52	76
61.81	76.73
66.57	77.46
71.62	78
76.19	77.88
81.62	78.67
86.29	78.06
91.05	77.76
85.05	62.93
78.95	51.26
74.76	43.03
71.81	37.58
67.14	29.83
56.76	14.4
48.1	2.3
47.05	-0.36
22.29	-22.69
13.33	-31.27
0	-45.55
-19.14	-60.02
-23.52	-61.64
-28.67	-63.38
-33.24	-65.6
-38.1	-67.64
-47.33	-71.96
-52.48	-73.82
-56.57	-75.26
-62.95	-76.64
-67.14	-78.5
-76.48	-80.01
-81.14	-78.81
-87.14	-78.68
-90.95	-78.74
-77.62	-46.15
-72.19	-35.17
-66.57	-24.25
-56.76	-10.44
-49.9	-1.98
-48.95	-0.66
-32.86	14.95
-15.14	30.68
2.86	45.63
30.67	57.43
38.1	59.91
43.14	61.24
48.57	63.78
53.14	64.81
57.14	66.5
61.71	67.05
66.86	68.2
71.33	68.26
76	68.44
81.14	68.98
86.1	69.53
90.38	69.47
97.9	68.5
104.38	68.32
109.52	68.14
113.05	67.41
114.86	67.65
119.62	66.87
121.9	66.63
122.1	57.55
117.9	49.26
111.05	36.67
104.38	25.54
100.1	18.94
95.62	11.14
88.19	-0.06
72.76	-14.46
49.14	-29.95
31.62	-39.67
11.05	-48.31
-21.14	-60.38
-27.43	-59.54
-33.43	-61.22
-37.71	-63.08
-43.05	-64.7
-48.29	-65.18
-52.57	-65.48
-59.14	-68.18
-65.9	-67.7
-71.9	-67.28
-76.1	-67.22
-82.19	-68.24
-86	-67.64
-90.76	-69.08
-96	-68.36
-100.57	-69.5
-104.95	-68.36
-109.33	-70.64
-108.86	-57.32
-114.48	-66.2
-120	-65.48
-121.71	-65.18
-120.38	-56.48
-114.48	-43.99
-110	-35.17
-105.71	-27.31
-100.19	-18.12
-93.24	-8.52
-88.67	-0.96
-67.9	15.13
-41.24	29.11
-11.43	39.52
24.48	46.17
28.48	44.96
33.14	45.51
38.19	46.35
42.48	47.56
48.19	48.23
56.95	50.59
61.52	50.53
65.81	51.44
72.86	52.04
76.76	52.71
80.95	52.1
86.19	52.22
90.48	52.34
95.43	51.8
99.81	50.35
103.71	47.5
106.29	46.05
109.33	46.05
113.24	46.84
116.95	46.29
121.33	44.96
118.1	40.48
111.33	29.59
102	17.73
93.62	6.54
87.62	0.06
59.24	-22.99
41.62	-31.51
32.29	-34.39
12.19	-38.65
-14.67	-43.15
-28.1	-44.77
-39.81	-47.35
-47.24	-47.35
-57.52	-50.96
-68.48	-50.18
-77.9	-50.42
-87.52	-51.74
-94.57	-49.4
-99.9	-44.83
-101.43	-43.39
-105.14	-43.57
-109.33	-43.09
-114.29	-43.03
-118.38	-42.67
-121.9	-36.91
-110	-19.33
-104.95	-12.96
-98.95	-6.36
-95.14	-2.88
-94.19	-2.7
-94.29	-2.7
-93.14	-2.64
-90.19	-2.52
-84.86	-2.1
