"Paultre, Legeron, Mongequ, July-August 2001 test 1005540"	
3735	
0.36	-0.34
0.6	4.4
1.14	9.18
1.41	13.97
1.83	18.74
2.34	23.51
2.74	28.28
3.12	33.05
3.68	37.81
4.08	42.59
4.44	47.33
4.95	52.09
5.33	56.85
5.87	61.6
6.36	66.34
6.71	71.09
7.16	75.83
7.79	80.59
8.28	85.32
8.63	90.06
9.12	94.81
9.75	99.54
10.15	104.26
10.68	108.99
11.26	113.7
11.73	118.41
12.4	123.11
12.69	124.61
12.65	118.03
12.2	113.23
11.96	108.47
11.44	103.68
11.09	98.93
10.64	94.17
10.13	89.42
9.79	84.66
9.3	79.9
8.9	75.12
8.43	70.35
7.94	65.6
7.63	60.84
7.18	56.09
6.71	51.32
6.2	46.55
5.84	41.79
5.31	37.04
4.89	32.28
4.57	27.52
4.04	22.75
3.7	18
3.21	13.24
2.72	8.46
2.23	3.7
1.76	-0.96
1.5	-5.7
1.03	-10.45
0.54	-15.22
0.07	-19.99
-0.42	-24.77
-0.8	-29.49
-1.34	-34.25
-1.74	-39
-2.09	-43.75
-2.67	-48.49
-3.19	-53.25
-3.61	-58
-3.99	-62.75
-4.59	-67.49
-5.04	-72.22
-5.44	-76.96
-5.93	-81.7
-6.56	-86.43
-7.02	-91.16
-7.45	-95.87
-8.07	-100.6
-8.61	-105.33
-9.03	-110.05
-9.54	-114.75
-10.15	-119.46
-11.04	-123.34
-10.32	-114.4
-10.03	-109.63
-9.61	-104.86
-9.19	-100.09
-8.81	-95.31
-8.32	-90.55
-7.94	-85.8
-7.45	-81.03
-6.96	-76.27
-6.56	-71.52
-6.18	-66.75
-5.75	-62
-5.19	-57.24
-4.86	-52.47
-4.33	-47.7
-3.97	-42.96
-3.52	-38.19
-3.03	-33.44
-2.56	-28.68
-2.16	-23.92
-1.74	-19.16
-1.18	-14.42
-0.87	-9.66
-0.29	-4.91
0.14	-0.25
0.49	4.49
1.01	9.24
1.5	14.01
1.92	18.78
2.39	23.53
2.77	28.33
3.24	33.04
3.68	37.81
4.19	42.56
4.71	47.31
5.09	52.06
5.58	56.81
6.07	61.56
6.4	66.31
6.89	71.05
7.36	75.79
7.85	80.54
8.43	85.29
8.81	90.03
9.32	94.77
9.79	99.5
10.42	104.23
10.91	108.97
11.31	113.7
11.84	118.42
12.42	123.14
12.96	127.84
13.52	132.52
14.16	137.21
14.68	141.87
15.37	146.56
16.04	151.19
16.88	155.8
17.64	160.41
18.31	164.99
19.29	169.55
20.12	174.08
21.12	178.58
22.17	183.05
23.29	187.5
24.51	191.91
25.78	196.28
26.39	198.22
28.28	189.15
28.39	182.29
28.39	188.78
28.28	184.79
28.39	190.49
28.42	184.65
28.71	179.61
29	175.04
30.91	179.17
33.39	182.96
35.37	186.35
35.73	177.68
35.8	176.98
35.69	176.59
35.2	172.25
34.39	167.66
33.61	163.08
32.61	158.58
31.58	154.04
30.65	149.52
29.78	144.98
28.86	140.44
27.95	135.91
26.92	131.34
26.1	126.79
25.16	122.23
24.31	117.65
23.53	113.08
22.64	108.49
21.93	103.91
21.08	99.29
20.45	94.68
19.65	90.06
18.91	85.43
18.29	80.79
17.67	76.16
16.91	71.52
16.3	66.85
15.7	62.2
15.01	57.54
14.36	52.87
13.74	48.21
13.18	43.54
12.56	38.87
11.91	34.19
11.22	29.49
10.75	24.79
10.1	20.14
9.5	15.45
8.92	10.76
8.21	6.06
7.65	1.49
7.07	-3.18
6.56	-7.87
6.02	-12.57
5.44	-17.26
4.75	-21.99
4.26	-26.66
3.61	-31.36
2.99	-36.06
2.52	-40.77
1.96	-45.45
1.34	-50.15
1.01	-52.4
0.34	-54.67
-0.18	-59.42
-0.67	-64.15
-1.27	-68.87
-1.76	-73.58
-2.34	-78.29
-2.92	-83
-3.61	-87.7
-4.15	-92.4
-4.66	-97.09
-5.22	-101.78
-5.93	-106.48
-6.47	-111.16
-7.18	-115.85
-7.8	-120.54
-8.45	-125.2
-9.05	-129.87
-9.74	-134.52
-10.28	-139.17
-11.06	-143.83
-11.71	-148.45
-12.53	-153.06
-13.31	-157.66
-14.12	-162.26
-14.83	-166.81
-15.77	-171.33
-16.75	-175.8
-17.62	-170.4
-17.75	-165.13
-17.86	-160.4
-20.74	-164.1
-22.41	-168.24
-24.46	-172.29
-26.65	-176.27
-29.06	-180.08
-32.07	-183.75
-32.18	-183.79
-31.96	-168.87
-30.98	-164.33
-30.17	-159.8
-29.24	-155.25
-28.26	-150.71
-27.43	-146.17
-26.61	-141.62
-25.69	-137.06
-24.82	-132.5
-23.88	-127.96
-23.08	-123.38
-22.23	-118.84
-21.3	-114.29
-20.56	-109.71
-19.78	-105.13
-18.96	-100.57
-18.09	-95.97
-17.24	-91.38
-16.55	-86.79
-15.86	-82.19
-15.16	-77.57
-14.25	-72.97
-13.56	-68.35
-12.76	-63.75
-12.18	-59.13
-11.28	-54.5
-10.59	-49.86
-9.97	-45.22
-9.21	-40.59
-8.38	-35.97
-7.76	-31.33
-7.02	-26.7
-6.31	-22.07
-5.48	-17.43
-4.88	-12.79
-4.08	-8.16
-3.32	-3.54
-2.65	1
-1.87	5.63
-1.27	10.27
-0.76	13.54
-0.6	11.95
-0.36	13.84
-0.11	15.72
0.11	17.6
0.38	19.48
0.74	21.34
1.03	23.22
1.21	25.07
1.47	26.94
1.81	28.8
2.05	30.68
2.43	32.52
2.59	34.38
2.97	36.23
3.24	38.09
3.57	39.95
3.73	41.81
4.17	43.66
4.42	45.51
4.62	47.38
4.89	49.22
5.33	51.07
5.62	52.93
5.96	54.77
6.07	56.62
6.49	58.47
6.8	60.32
7.05	62.16
7.29	64
7.76	65.86
8.03	67.7
8.23	69.56
8.66	71.38
8.86	73.23
9.3	75.06
9.64	76.92
9.93	78.76
10.15	80.6
10.53	82.46
10.93	84.28
11.13	86.16
11.44	87.95
11.8	89.78
12.2	91.61
12.58	93.45
12.85	95.28
13.16	97.1
13.52	98.93
13.83	100.77
14.32	102.58
14.5	104.39
14.9	106.21
15.21	108.04
15.68	109.85
15.97	111.66
16.42	113.47
16.8	115.28
17.2	117.09
17.42	118.9
17.93	120.69
18.29	122.5
18.71	124.31
19.07	126.1
19.41	127.91
19.96	129.68
20.36	131.47
20.7	133.25
21.23	135.03
21.64	136.81
22.13	138.61
22.51	140.36
22.97	142.13
23.55	143.88
23.95	145.64
24.65	147.38
25.05	149.15
25.67	150.88
26.21	152.63
26.76	154.34
27.3	156.08
27.86	157.79
28.46	159.51
29.02	161.24
29.73	162.95
30.24	164.65
30.89	166.34
31.56	168.03
31.63	168.12
31.76	165.99
31.63	164.05
31.47	162.2
31.02	160.36
30.8	158.52
30.44	156.69
30.04	154.85
29.66	153.02
29.35	151.21
28.97	149.4
28.57	147.61
28.1	145.8
27.84	143.98
27.43	142.17
26.94	140.37
26.7	138.55
26.23	136.73
25.83	134.93
25.56	133.09
25.16	131.27
24.71	129.46
24.38	127.65
24.02	125.83
23.66	124.02
23.29	122.19
23.02	120.37
22.66	118.54
22.22	116.71
21.99	114.9
21.61	113.07
21.17	111.24
20.97	109.41
20.54	107.57
20.3	105.74
19.87	103.91
19.67	102.08
19.25	100.24
18.96	98.41
18.74	96.57
18.33	94.73
18.13	92.89
17.87	91.04
17.51	89.2
17.11	87.36
16.82	85.54
16.57	83.69
16.3	81.84
15.95	80
15.66	78.14
15.44	76.3
15.03	74.46
14.81	72.61
14.45	70.75
14.23	68.9
13.85	67.05
13.56	65.2
13.34	63.35
13.03	61.5
12.69	59.64
12.49	57.8
12.27	55.94
11.93	54.09
11.64	52.24
11.38	50.39
10.97	48.53
10.77	46.68
10.42	44.81
10.19	42.97
9.95	41.12
9.66	39.25
9.37	37.4
8.97	35.56
8.74	33.71
8.52	31.85
8.21	29.99
7.9	28.13
7.54	26.29
7.25	24.43
6.94	22.58
6.74	20.73
6.47	18.87
6.09	17
5.82	15.14
5.64	13.3
5.24	11.44
5.02	9.57
4.8	7.72
4.51	5.86
4.11	4.01
3.84	2.16
3.5	0.36
3.35	-1.44
2.97	-3.29
2.79	-5.17
2.54	-7.01
2.25	-8.87
1.96	-10.72
1.63	-12.61
1.32	-14.44
1.07	-16.29
0.8	-18.16
0.4	-20.03
0.49	-20.02
-0.11	-21.76
-0.27	-23.64
-0.51	-25.5
-0.82	-27.37
-1.09	-29.24
-1.4	-31.11
-1.67	-32.96
-1.98	-34.82
-2.16	-36.68
-2.5	-38.53
-2.81	-40.39
-3.12	-42.25
-3.41	-44.11
-3.59	-45.97
-3.86	-47.85
-4.17	-49.68
-4.46	-51.53
-4.86	-53.41
-5.06	-55.25
-5.44	-57.11
-5.69	-58.96
-6	-60.81
-6.33	-62.65
-6.56	-64.51
-6.82	-66.36
-7.18	-68.2
-7.45	-70.05
-7.89	-71.89
-8.18	-73.74
-8.43	-75.57
-8.79	-77.41
-9.03	-79.25
-9.43	-81.11
-9.79	-82.93
-10.1	-84.77
-10.28	-86.61
-10.73	-88.45
-11.08	-90.29
-11.28	-92.1
-11.66	-93.95
-12	-95.77
-12.38	-97.6
-12.64	-99.42
-13.02	-101.26
-13.47	-103.08
-13.74	-104.9
-14.12	-106.73
-14.36	-108.54
-14.76	-110.36
-15.1	-112.17
-15.5	-113.99
-15.94	-115.82
-16.23	-117.63
-16.55	-119.43
-17.06	-121.23
-17.37	-123.04
-17.71	-124.83
-18.26	-126.64
-18.51	-128.43
-18.96	-130.21
-19.33	-131.99
-19.78	-133.78
-20.27	-135.57
-20.7	-137.35
-21.12	-139.11
-21.63	-140.89
-22.03	-142.66
-22.57	-144.42
-23.1	-146.19
-23.55	-147.94
-23.88	-149.7
-24.4	-151.45
-25.07	-153.21
-25.62	-154.94
-26.09	-156.69
-26.61	-158.42
-27.1	-160.14
-27.68	-161.88
-28.37	-163.59
-28.99	-165.31
-29.48	-167.04
-30.22	-168.73
-30.69	-170.43
-31.33	-172.13
-31.89	-173.07
-31.89	-169.93
-31.76	-164.04
-31.36	-162.21
-30.95	-160.41
-30.73	-158.59
-30.24	-156.77
-30	-154.95
-29.48	-153.14
-29.3	-151.33
-28.88	-149.52
-28.52	-147.7
-28.03	-145.89
-27.79	-144.07
-27.39	-142.25
-27.1	-140.43
-26.52	-138.61
-26.32	-136.78
-26	-134.97
-25.62	-133.14
-25.16	-131.31
-24.78	-129.5
-24.53	-127.66
-24.29	-125.85
-23.88	-123.99
-23.55	-122.2
-23.1	-120.39
-22.72	-118.57
-22.37	-116.74
-22.08	-114.93
-21.83	-113.1
-21.48	-111.28
-20.99	-109.45
-20.74	-107.62
-20.43	-105.79
-19.96	-103.98
-19.76	-102.15
-19.45	-100.32
-19.13	-98.49
-18.67	-96.66
-18.46	-94.83
-18.17	-93.01
-17.73	-91.16
-17.51	-89.34
-17.19	-87.5
-16.81	-85.65
-16.52	-83.82
-16.3	-81.99
-15.97	-80.15
-15.54	-78.3
-15.23	-76.47
-14.99	-74.62
-14.78	-72.75
-14.47	-70.95
-14.21	-69.08
-13.83	-67.26
-13.56	-65.41
-13.18	-63.57
-12.87	-61.71
-12.69	-59.87
-12.38	-58.03
-12.06	-56.18
-11.8	-54.33
-11.42	-52.48
-11.17	-50.63
-10.88	-48.79
-10.48	-46.93
-10.28	-45.04
-9.9	-43.21
-9.63	-41.37
-9.3	-39.48
-9.01	-37.66
-8.72	-35.82
-8.54	-33.96
-8.14	-32.12
-7.94	-30.25
-7.56	-28.4
-7.29	-26.55
-6.96	-24.69
-6.76	-22.85
-6.4	-20.99
-6.24	-19.15
-5.86	-17.28
-5.51	-15.43
-5.22	-13.58
-4.93	-11.73
-4.61	-9.88
-4.35	-8.01
-4.06	-6.15
-3.81	-4.33
-3.43	-2.54
-3.14	-0.75
-3.03	1.14
-2.63	2.99
-2.41	4.82
-2.09	6.68
-1.74	8.54
-1.49	10.39
-1.18	12.25
-0.87	14.09
-0.47	15.91
0.11	17.66
0.36	19.53
0.6	21.41
0.78	23.28
1.07	25.14
1.43	27.01
1.7	28.88
1.88	30.74
2.14	32.6
2.52	34.46
2.77	36.32
3.06	38.17
3.44	40.03
3.68	41.88
3.9	43.73
4.28	45.59
4.55	47.44
4.86	49.29
5.2	51.16
5.38	53
5.78	54.84
6.07	56.68
6.4	58.53
6.69	60.38
7.03	62.21
7.21	64.05
7.56	65.9
7.85	67.74
8.25	69.59
8.61	71.43
8.88	73.26
9.17	75.1
9.48	76.95
9.79	78.79
10.13	80.64
10.51	82.48
10.77	84.3
11.11	86.14
11.44	87.97
11.82	89.8
12.13	91.65
12.47	93.46
12.76	95.28
13.25	97.11
13.65	98.92
13.87	100.75
14.23	102.58
14.72	104.4
15.03	106.21
15.37	108.03
15.68	109.83
16.04	111.65
16.51	113.46
16.84	115.27
17.24	117.06
17.69	118.87
18.04	120.67
18.45	122.47
18.71	124.27
19.12	126.07
19.56	127.88
19.98	129.65
20.5	131.42
20.92	133.23
21.26	134.99
21.84	136.77
22.19	138.56
22.73	140.35
23.15	142.09
23.78	143.85
24.2	145.61
24.71	147.37
25.11	149.13
25.69	150.86
26.34	152.6
26.76	154.36
27.39	156.08
27.9	157.81
28.42	159.54
29.06	161.26
29.6	162.98
30.24	164.69
30.98	166.38
31.52	168.07
32.32	169.76
32.9	171.43
33.61	173.12
34.46	174.75
35.13	176.37
36	177.98
36.87	179.59
37.83	181.15
38.99	182.66
40.24	184.09
41.66	185.43
43.22	186.69
43.85	186.95
45.39	187.73
48.11	188.47
49.27	185.96
49.27	183.96
49.38	181.94
49.45	179.96
49.29	178.05
49	176.22
48.71	174.4
48.29	172.57
47.93	170.76
