Bayrak_&_Sheikh_02_RS-10HT	
34	
0	0
5.438103385	115.2311119
12.12676687	186.3467607
13.68691189	194.9786523
15.91918204	193.9576759
19.93156544	188.8806386
24.39203226	187.3584555
26.62430242	185.3257843
25.0641574	174.1507332
27.06831235	174.1507332
27.51639578	175.1717097
28.18444743	167.5515129
32.64491425	167.0410247
40.00570288	158.4091331
41.5658479	154.8542788
40.67375453	149.2667533
40.00570288	139.6138853
39.11360952	136.5695192
41.12183796	133.0146649
42.23389955	129.9610173
42.01393132	125.8956748
41.78988961	122.8513087
46.91840808	118.7859662
55.17129007	111.1657694
61.41594362	105.0770373
65.87641044	97.96732875
62.5320787	77.13940969
54.50323842	57.83367366
48.03454316	41.07109709
41.78988961	31.92871728
33.53700762	19.2314832
24.17206404	8.056432151
22.60784553	3.489883052
21.49578394	-4.640801931
