Bayrak_&_Sheikh_02_RS-_9HT	
56	
0	0
7.833312966	118.2661964
11.31614322	146.2223872
16.08212147	179.1906441
18.27773025	187.9524782
21.21063994	190.0408391
24.51016335	190.0408391
26.33915842	188.7878225
29.82198868	185.028773
31.83836409	182.9404121
35.50042772	184.6111008
42.64939509	182.5227399
43.56592937	179.1906441
43.38262251	175.4315946
43.74923622	174.1785781
43.74923622	171.2548728
46.12815186	171.2548728
50.5275164	171.2548728
54.55619373	171.2548728
56.755876	170.4288101
56.20595544	164.5813997
56.02264858	162.0753666
57.30579657	162.0753666
59.87209255	160.8223501
60.97193368	158.3255987
65.00061102	157.0725821
68.85005499	157.0725821
70.13320298	155.4018934
70.13320298	150.8074995
69.76658927	148.7284203
70.13320298	146.6400594
71.04973726	143.298682
70.31650984	139.9573046
72.14957839	137.4605532
77.09479001	137.042881
80.94423398	135.3721923
82.77322905	129.9424541
82.77322905	125.7750139
82.77322905	123.6866531
84.2396839	122.8513087
84.97291132	118.6838686
84.2396839	114.5071468
83.50645647	110.7480973
85.52283189	108.2513458
90.28881013	105.7453128
95.96724918	102.4039354
99.45007943	99.89790236
86.80597988	38.97345461
88.27243472	36.47670317
90.28881013	34.38834231
95.0507149	32.71765361
99.45007943	28.54093187
100	24.79116391
98.71685201	18.52608131
93.03433948	2.255429738
88.82235529	-7.759420828
