Bayrak_&Sheikh_02_WRS-22HT	
30	
0	0
16.87968995	89.83755195
20.64814051	104.4389875
26.59355158	117.7181715
30.36200214	119.0404231
33.84184052	113.0714016
35.0004123	107.0929354
34.2747588	102.7767284
36.74033149	102.4461655
44.13292653	99.1310918
50.659685	94.48432187
50.659685	91.15980355
49.64541931	88.50585569
57.61936175	83.85908576
67.47752948	78.21118247
67.04048817	74.5655459
67.47752948	72.90328674
76.6100437	65.27200604
82.11841346	62.60861352
84.62521646	60.57801284
81.87103158	54.93010956
86.22082955	52.27616169
86.36513565	47.95995467
82.15964377	40.65923687
78.97254061	33.35851908
89.70066793	22.73328296
99.27022347	13.77030601
102.7500618	8.792973177
99.41452956	-0.170003778
95.79038509	-5.147336607
