Hakim_Kono 2002 Column D1N30	
1457	
0.072997612	8.891810477
0.2094305	36.82276834
0.294442164	34.23662203
0.622070445	66.03414685
0.784073651	77.97813665
1.005867781	89.55224147
1.220556127	98.87198604
1.42513613	110.7259797
1.579073229	111.4236654
1.37448389	71.62177429
1.169791176	59.70377922
0.982220922	48.05757841
0.835342692	38.05068002
0.660616259	26.19706083
0.475870799	12.41010989
0.239025743	-4.987050314
0.059171811	-17.30261321
-0.130711413	-29.60839371
-0.345596084	-42.60750775
-0.542621874	-53.96315083
-0.727565928	-63.50490062
-0.912558243	-73.27952682
-1.137622273	-83.39485513
-1.324800231	-90.22173238
-1.484922518	-95.98318141
-1.522023345	-94.06491774
-1.318677182	-60.55665244
-1.100495609	-48.01895019
-0.885368395	-35.20975444
-0.705268195	-23.3220018
-0.54519245	-12.13180152
-0.339940656	3.423166982
-0.095706863	20.57981192
0.067303204	32.10936843
0.244655494	44.07147917
0.444008576	54.88891588
0.640659942	65.42174012
0.813552569	76.36159339
1.038002925	86.90926406
1.237185253	97.68900948
1.419324081	104.2781054
1.603887269	111.2626487
1.170517128	58.02837519
1.165517154	58.34860562
0.99082767	47.70886802
0.838956108	38.13628861
0.661337515	26.64394568
0.449505925	13.04668015
0.266839362	0.672662053
0.074892732	-12.18046893
-0.117078795	-24.39956722
-0.334859001	-36.95752392
-0.721825285	-58.25881995
-0.911812061	-67.56464125
-1.144007059	-78.59106679
-1.314086232	-86.50049597
-1.471287765	-94.01492254
-0.864716487	-30.27271825
-0.631854221	-17.28652974
-0.451587642	-3.773205681
-0.20269353	11.02370148
-0.069712814	20.07300285
0.067614401	30.82812064
0.244981876	42.42793714
0.431829303	51.83783033
0.661964387	66.45647588
0.916285886	65.93727077
1.046226364	85.22494898
1.271209999	96.95451062
1.549150907	107.3446437
1.704081066	114.7817134
1.898349817	119.8558167
2.092851623	125.393957
2.249608869	130.1221246
2.419270723	134.5655602
2.606730046	139.1183402
2.793399124	143.580544
3.02283287	148.1690419
3.189472083	150.9079598
2.983355878	120.212453
2.806655534	112.2164257
2.61430636	104.3468459
2.407771184	95.77236929
2.19828523	87.70617535
2.010858955	80.16797716
1.806326934	71.43895452
1.639573338	64.08712991
1.410041783	54.06500446
1.238272585	45.67864879
1.060698924	37.37739893
1.055714188	37.46782556
0.831081286	24.49024055
0.649240505	14.22916314
0.439521496	2.696088259
0.229755729	-9.976208611
0.069909041	-18.79476799
-0.129945048	-29.66321274
-0.304845687	-39.42907476
-0.561869462	-52.24766514
-0.716841528	-59.98534007
-0.938955454	-70.28850766
-1.144017027	-79.63089437
-1.524195548	-96.46827668
-1.753568543	-104.0552876
-1.928648791	-109.2823024
-2.138912218	-114.8500892
-2.356425925	-120.0634163
-2.541683878	-124.5537971
-2.762042867	-128.6305365
-2.947399069	-132.3305214
-3.094835944	-134.7475657
-2.876402403	-102.6242627
-2.663325358	-92.82403067
-2.470020518	-84.71819333
-2.279639401	-77.56864136
-2.112305343	-70.87516209
-1.856316509	-60.40687814
-1.673802001	-53.12349711
-1.471278834	-43.54778866
-1.245590095	-31.14222139
-1.028682899	-23.08559585
-0.830447586	-10.70353922
-0.624929551	1.196886192
-0.353877634	9.694554844
-0.226768531	19.4355515
-0.031961219	27.73318098
0.106033772	36.33122704
0.243302031	43.06839854
0.442627468	51.36205242
0.659847375	63.968384
0.916272382	73.71582043
1.03415122	79.20928163
1.256279086	88.49770822
1.519993807	95.23176957
1.649934235	100.708315
1.861886419	108.9781385
2.051739907	115.885166
2.325415394	123.3250546
2.495249033	129.4140049
2.650026567	134.7932513
2.856856855	141.9232728
3.152273368	148.6378057
3.182279486	146.7141999
2.94121268	113.7648153
2.74454657	106.0504048
2.557179599	99.37924775
2.37060306	92.23510591
2.176117577	85.23883927
1.996595359	78.84949922
1.77709522	69.70160521
1.572535386	61.43065834
1.38293738	53.31723845
1.211163578	45.71637917
1.051455032	38.06836032
0.84179301	27.77849934
0.682063405	19.54495835
0.594306094	15.61181635
0.452373629	8.511468272
0.257626237	-2.923360882
0.085707442	-11.1574373
-0.122014883	-21.88848386
-0.324020142	-32.61908419
-0.563923974	-43.41936223
-0.721007761	-50.43381596
-0.916000964	-59.06490369
-1.136042282	-67.16945509
-1.323286972	-74.33957011
-1.518387558	-81.07104887
-1.730672445	-88.37863875
-1.925840306	-94.83233864
-2.136132575	-101.4807321
-2.341408337	-108.015954
-2.531747723	-113.6591485
-2.739192944	-119.6418892
-2.939592207	-126.2170785
-3.094832003	-129.7955628
-2.884229853	-99.04078738
-1.403034798	-39.681954
-1.222379506	-30.69931324
-0.908515954	-19.63744779
-0.620251558	-2.498179339
-0.417700443	9.680578785
-0.15392266	17.55997328
0.224942705	36.51739473
0.404447495	45.09876464
0.634345202	56.87575316
0.804132061	64.39102716
1.047733372	72.94120718
1.22054401	79.98552507
1.432855082	87.4912316
1.629596278	94.62710063
1.844210393	102.1341479
2.055928611	109.2742043
2.240396661	115.1037352
2.427172375	122.152253
2.654688629	129.7718786
2.861427191	137.3265145
3.114335951	143.0002495
3.294066637	149.415976
3.516097318	153.7582215
3.695713882	157.0525575
3.867275319	160.7832367
4.056714946	164.4286758
4.250985113	167.3356722
4.455435987	171.4131337
4.666823128	174.3813483
4.891816027	176.9798493
5.247506186	182.4619378
5.665984122	187.9715281
5.850225412	188.7353396
5.925020208	188.3938866
5.966998168	186.0401647
6.094321291	187.4879414
6.288426717	189.6773993
6.304603285	165.3375905
6.114573002	156.8355912
5.912530069	150.7894424
5.714150224	144.9733374
5.544856604	140.0101031
5.335806137	134.3391563
5.126617706	128.2961308
4.957358732	123.5474377
4.743066697	117.726033
4.536761515	111.9638292
4.359550137	107.8845815
4.148195194	101.6529788
3.943895502	96.07897532
3.769476405	91.20029954
3.563090041	85.00375733
3.345862298	78.80717602
3.166404267	73.86060605
2.956991858	67.38872146
2.745530207	61.14393186
2.56600824	55.90984885
2.359449266	49.45061771
2.032395508	39.09024903
1.860663856	33.59871102
1.636183381	25.79863359
1.436588771	18.84373591
1.249830318	11.88375232
1.042332191	4.074740011
0.830587542	-4.539605928
0.650830076	-11.4071991
0.446107423	-19.91827856
0.224241364	-28.49990178
0.054421646	-34.74027504
-0.120450095	-41.47535684
-0.325344681	-49.37183021
-0.545270056	-57.13164962
-0.732315569	-63.73670896
-0.932353356	-70.40016636
-1.1395551	-77.35664014
-1.332517905	-83.60202033
-1.536888588	-89.46845332
-1.737044545	-96.71026529
-1.942244149	-102.7044835
-2.150398704	-108.8240814
-2.334878319	-114.6614051
-2.53805093	-120.6173649
-2.743452815	-126.559798
-2.950998289	-132.3855983
-3.137139367	-134.7675276
-3.354582557	-139.5219771
-3.58235737	-143.3358801
-3.792913643	-147.6715166
-3.983568623	-150.5008258
-4.206331198	-154.0730874
-4.437054868	-156.8842334
-4.602668446	-159.0784224
-4.803324681	-160.1526196
-5.017032308	-163.0972983
-5.194781117	-165.6586355
-5.421639447	-167.7398178
-5.608700872	-170.0428992
-5.718183361	-158.6844326
-5.924140729	-164.3865757
-6.120054826	-168.9924712
-5.649720083	-134.8158721
-5.479508481	-129.4143945
-5.269908941	-123.1458923
-5.056810806	-117.0029479
-4.873297621	-111.772332
-4.657279073	-105.3006636
-4.451569396	-99.74731372
-4.268722442	-94.28784341
-4.063027337	-88.60418114
-3.842266583	-82.76291361
-3.666742414	-77.62426457
-3.456059615	-71.80784949
-3.241216273	-65.46832334
-3.05758818	-59.39376249
-2.827562347	-51.53717224
-2.591721146	-44.27768545
-2.368331716	-38.29263611
-2.203492156	-32.38412887
-2.003911501	-26.78554322
-1.808923521	-19.5174054
-1.571134589	-12.43372126
-1.378374924	-4.983041917
-1.141018993	2.085617057
-1.01165149	7.330729049
-0.77188582	14.89553719
-0.616672227	20.5707321
-0.385039075	27.68954134
-0.174822897	35.92296096
-0.134738709	39.85666731
-0.074668326	38.62590261
0.086377419	40.16575572
0.446521632	53.42587499
0.542930083	54.93704972
0.687919207	61.11374874
0.875829111	66.95828137
1.07236614	71.91660398
1.28731255	78.2789704
1.526221066	83.00511389
1.691107256	88.03211432
1.890544306	92.8611136
2.271890176	102.5125909
2.481549379	108.238234
2.709927441	112.7939806
2.889662846	117.2844651
3.106690522	121.1299312
3.45266947	125.4846778
3.487573418	129.0479665
3.711381189	133.1577237
3.903501118	136.9360187
4.083063665	141.5815875
4.27722089	145.2859058
4.481517825	149.0179898
4.687701348	152.7985631
4.869381296	157.3794873
5.086342541	160.3357272
5.260756589	164.6205351
5.51163419	169.2597633
5.668389135	172.4635962
5.852649247	175.456036
6.059778344	179.4161896
6.305859455	182.5064548
6.112101373	155.5769461
5.912664779	150.393947
5.723430107	144.7893825
5.544251364	139.9572626
5.337229163	134.2432961
5.131022701	128.6365618
4.959602368	123.8830822
4.750441938	118.2624981
4.541216569	113.3046026
4.361950498	108.6796518
4.157734633	103.3771692
3.943456135	97.56531471
3.776935657	93.48520416
3.577630902	87.83938618
3.358312254	82.65207744
3.17890604	77.9378448
2.974545763	72.47328394
2.753106169	66.56250188
2.57358894	61.66808072
2.359161634	55.84362327
2.159674165	50.25133255
1.785600882	38.77191873
1.673774961	35.53832328
1.43638136	28.28502025
1.234677593	21.78507295
1.030076645	15.27387482
0.823295267	7.888245768
0.648579147	2.471465448
0.436009549	-5.666765411
0.064350466	-18.28696174
-0.115436415	-24.49276739
-0.332374282	-30.63293573
-0.527288589	-37.62575048
-0.722215821	-43.7742678
-1.141379383	-56.17758876
-1.356457	-62.24083762
-1.534430508	-67.27414629
-1.741659208	-72.75943689
-1.96892532	-77.87992131
-2.139092445	-82.26426372
-2.349418423	-88.36897376
-2.581858722	-93.34865024
-2.785074585	-97.61228121
-2.975450962	-102.1971468
-3.175782603	-106.8941791
-3.373439407	-111.0710933
-3.55594892	-115.5397791
-3.957045495	-124.1488163
-4.144647919	-128.3857387
-4.360378491	-132.0702475
-4.563120443	-136.5190726
-4.746678559	-140.9416793
-4.987614481	-145.4355127
-5.161169784	-149.0830397
-5.339017956	-153.1449223
-5.567901619	-157.4627986
-5.992087599	-163.1155929
-6.17297457	-166.835633
-5.834825424	-135.0352074
-5.38629404	-122.6344104
-4.886954913	-108.7064797
-4.41742318	-96.43393866
-3.918542473	-83.54129868
-3.379404444	-68.31839176
-2.873521497	-55.41323472
-2.358365399	-41.71784623
-1.865915023	-27.06998452
-1.386166635	-11.96052086
-0.921532672	2.861691896
-0.362353066	22.05972435
0.059353674	35.7051769
0.530960193	49.96791761
1.042683859	65.46751194
1.55141898	78.9220037
2.0374091	90.41698346
2.55304943	103.2751893
3.038759695	113.7419789
3.522478637	124.6235363
4.013006745	134.617699
4.516264081	144.4911177
4.989680639	154.5318193
5.492111585	164.3951759
5.972438543	172.1077737
6.472794079	181.9546104
6.976892719	189.150857
7.487319594	191.6046828
8.007956467	193.9660672
8.49865001	195.1652493
9.02561028	194.7055452
8.931885158	168.5432755
9.179241339	188.0111082
9.350174763	187.0249421
8.967472148	151.0467692
8.479956219	137.4974073
7.965778927	123.6995738
7.137087372	102.4310577
6.980719097	100.6863518
6.480184082	89.47551963
5.992382977	79.23212162
5.492541329	68.61704086
5.079207684	59.18452041
4.989595318	59.09469115
4.516478991	49.0073589
4.170702944	35.07398401
4.049011385	39.00515879
3.525873558	26.8446626
3.020282594	15.67020256
2.514623696	4.346715797
2.010912841	-6.860902928
1.531960291	-17.80693348
0.529525209	-41.39421426
0.03801935	-53.58107031
-0.433705236	-65.16550513
-0.925607579	-77.1654446
-1.437832751	-88.57603329
-1.92517168	-99.87126811
-2.462932687	-110.3850004
