"Pujol 2002, No. 10-1-2.25N"	
32189	
-0.105183669	0.238716727
-0.204727349	0.35014966
-0.146120353	0.216430158
-0.165897511	0.261003318
-0.150020282	0.216430158
-0.195957445	0.216430158
-0.101745462	0.238716727
-0.133338638	0.238716727
-0.211529815	0.238716727
-0.14210459	0.261003318
-0.081455008	0.238716727
-0.138653659	0.216430158
-0.18323999	0.238716727
-0.206308414	0.238716727
-0.144853809	0.283289909
-0.175680664	0.261003318
-0.207671342	0.261003318
-0.124970557	0.216430158
-0.127151571	0.216430158
-0.177556868	0.238716727
-0.080747367	0.216430158
-0.077401562	0.194143567
-0.158938544	0.216430158
-0.109300197	0.216430158
-0.079227194	0.216430158
-0.007403165	0.194143567
-0.041215494	0.104997224
0.007245621	0.171856975
0.034476747	0.171856975
0.034287372	0.238716727
-0.000818341	0.862741056
0.018243444	0.885027669
-0.013202192	0.840454487
0.032125294	0.885027669
0.024523155	0.885027669
-0.004426525	0.885027669
-0.000327838	0.885027669
-0.004228403	0.885027669
0.013723741	0.862741056
-0.056153865	0.907314238
-0.046463718	0.885027669
0.006266177	0.929600852
0.038931741	0.885027669
0.037055542	0.862741056
-0.006515521	0.907314238
0.020780566	0.216430158
-0.003904038	0.3055765
0.007754341	0.327863069
-0.028040275	0.238716727
0.057355187	0.238716727
-0.037928542	0.261003318
0.020077892	0.238716727
-0.027180321	0.238716727
0.002033347	0.238716727
0.042748479	0.238716727
0.021187522	0.283289909
-0.031029079	0.283289909
0.033626528	0.238716727
0.021492349	0.261003318
-0.035086305	0.261003318
-0.022263142	0.261003318
0.055530179	0.261003318
0.018914097	0.261003318
-0.073634099	0.3055765
0.033613458	0.283289909
0.063635265	0.238716727
-0.00183883	0.261003318
0.017633867	0.238716727
0.048367711	0.238716727
-0.020091846	0.194143567
0.051385897	0.216430158
0.013364458	0.261003318
0.097650291	0.216430158
0.042513871	0.261003318
-0.00682027	0.238716727
-0.002458214	0.238716727
0.078177339	0.238716727
0.072798678	0.216430158
-0.015742865	0.238716727
0.081616166	0.238716727
0.040438926	0.238716727
0.090141542	0.238716727
0.0346618	0.216430158
0.025277099	0.216430158
0.050581084	0.149570406
0.09480842	0.216430158
-0.004944074	0.261003318
0.044694895	0.261003318
0.066505897	0.261003318
0.024061125	0.194143567
0.067406685	0.238716727
-0.019508954	0.238716727
0.061325353	0.238716727
0.084393163	0.238716727
-0.007637782	0.216430158
0.02933469	0.238716727
0.055641847	0.238716727
0.072230853	0.238716727
0.059911259	0.216430158
0.042407153	0.283289909
0.029385264	0.283289909
0.091754362	0.261003318
0.041442108	0.3055765
0.025171374	0.238716727
0.047379231	0.238716727
0.014621269	0.261003318
0.085765432	0.283289909
0.069597444	0.3055765
0.012334159	0.283289909
0.043321643	0.216430158
0.086426637	0.283289909
0.064458351	0.261003318
0.008235474	0.283289909
0.060609608	0.3055765
0.06684823	0.327863069
0.052652431	0.283289909
0.104217544	0.35014966
-0.00708327	0.238716727
0.111583084	0.261003318
0.066649115	0.327863069
0.058377393	0.261003318
0.034857201	0.327863069
0.044986023	0.283289909
0.027601712	0.283289909
