"Pujol 2002, No. 10-1-2.25S"	
32189	
-0.177048023	0.238716727
-0.093889888	0.35014966
-0.094667786	0.216430158
-0.079012077	0.261003318
-0.104408925	0.216430158
-0.079706919	0.216430158
-0.150175137	0.238716727
-0.117078787	0.238716727
-0.054073501	0.238716727
-0.131590075	0.261003318
-0.188643361	0.238716727
-0.140019082	0.216430158
-0.061135269	0.238716727
-0.054746533	0.238716727
-0.099073207	0.283289909
-0.082872281	0.261003318
-0.073626794	0.261003318
-0.126417754	0.216430158
-0.12272214	0.216430158
-0.078940048	0.238716727
-0.029682126	0.216430158
-0.026423266	0.194143567
0.033323146	0.216430158
0.006436851	0.216430158
-0.028170809	0.216430158
0.002113316	0.194143567
0.009282927	0.104997224
0.01074429	0.171856975
-0.014960803	0.171856975
-0.061860185	0.238716727
-0.047987065	0.862741056
-0.052427748	0.885027669
-0.001725811	0.840454487
-0.026900989	0.885027669
-0.034456807	0.885027669
-0.022189085	0.885027669
-0.00052252	0.885027669
-0.010263279	0.885027669
-0.027666884	0.862741056
0.032007491	0.907314238
0.012254016	0.885027669
-0.017289798	0.929600852
-0.067045699	0.885027669
-0.063113466	0.862741056
0.005121196	0.907314238
0.00674039	0.216430158
-0.011668498	0.3055765
-0.011739549	0.327863069
0.011051133	0.238716727
-0.068248582	0.238716727
0.0188788	0.261003318
-0.017346474	0.238716727
0.017769015	0.238716727
-0.023556895	0.238716727
-0.047585496	0.238716727
-0.00438354	0.283289909
0.002347756	0.283289909
-0.05665325	0.238716727
-0.00414694	0.261003318
0.009975613	0.261003318
0.016859042	0.261003318
-0.069996492	0.261003318
-0.024301943	0.261003318
0.065611461	0.3055765
-0.02135074	0.283289909
-0.050278265	0.238716727
0.031299277	0.261003318
0.015406357	0.238716727
-0.024408244	0.238716727
0.048137973	0.194143567
0.048891076	0.216430158
0.046411903	0.261003318
-0.04585075	0.216430158
0.046068631	0.261003318
0.073191899	0.238716727
0.065800636	0.238716727
-0.029958079	0.238716727
-0.011916092	0.216430158
0.076049222	0.238716727
-0.003085562	0.238716727
0.038075425	0.238716727
-0.029793521	0.238716727
0.032267507	0.216430158
0.05225722	0.216430158
0.036164746	0.149570406
-0.03694818	0.216430158
0.069259671	0.261003318
0.042373008	0.261003318
0.005415479	0.261003318
0.050982877	0.194143567
0.041428154	0.238716727
0.11921656	0.238716727
0.035383276	0.238716727
0.028994881	0.238716727
0.09576746	0.216430158
0.044628745	0.238716727
0.053188676	0.238716727
0.01690451	0.238716727
0.022183122	0.216430158
0.057757853	0.283289909
0.038948966	0.283289909
-0.004667925	0.261003318
0.062727815	0.3055765
