"Pujol 2002, No. 10-3-1.5N"	
20547	
0.009787204	0.466352488
-0.032572491	0.444065897
0.003060408	0.487803348
0.021814398	0.465516756
-0.041642195	0.398656983
0.009195502	0.465516756
-0.001441976	0.465516756
-0.010084628	0.487803348
0.029178377	0.532376485
-0.012123084	0.510089916
-0.05024266	0.510089916
0.011319159	0.487803348
-0.000543221	2.337589767
-0.064781016	2.293016652
0.016436187	2.337589767
-0.031824131	2.270729972
-0.010705637	2.35987647
0.068090604	4.789114281
-0.013446267	4.766827579
0.05843336	4.766827579
0.057850785	4.789114281
0.053611311	4.766827579
0.088083411	6.794906839
0.035967061	6.817192985
0.15542546	6.839479688
0.089404913	6.794906839
0.123846094	6.839479688
0.159742936	9.357863463
0.148380298	9.357863463
0.208422555	9.335577295
0.155382437	9.357863463
0.148323858	9.380150677
0.214153666	11.63109523
0.278875833	11.58652187
0.211575919	11.63109523
0.199256097	11.5642357
0.230913151	11.58652187
0.210617748	11.5642357
0.250129024	11.5642357
0.222093616	11.51966231
0.267811607	11.51966231
0.184974885	11.54194848
0.266555373	11.51966231
0.203772472	11.47508893
0.246330236	11.49737615
0.247792939	11.51966231
0.252011849	11.49737615
0.312686183	13.74832072
0.292327217	13.72603455
0.268763933	13.77060686
0.293129394	13.74832072
0.280567291	13.72603455
0.325960126	15.93240574
0.382160621	15.88783235
0.334857848	15.88783235
0.349863629	15.91011957
0.290922829	15.88783235
0.399254081	18.18335135
0.355836702	18.16106518
0.356675109	18.11649076
0.430436349	18.18335135
0.380755495	18.18335135
0.454211409	20.63487558
0.473788688	20.67944792
0.447351409	20.65716175
0.524187487	20.65716175
0.399651618	20.65716175
0.446626322	20.65716175
0.47722603	20.67944792
0.492344692	20.65716175
0.51486314	20.63487558
0.497884117	20.63487558
0.50833887	22.7298149
0.543022281	22.7298149
0.537397508	22.70752662
0.531539151	22.75210107
0.563899945	22.7298149
0.568053716	22.70752662
0.559134407	22.70752662
0.536794	22.68524047
0.586617142	22.70752662
0.510697	22.68524047
0.56763535	22.6629543
0.582589419	22.70752662
0.582192161	22.70752662
0.579671314	22.68524047
0.537453968	22.68524047
0.586683178	24.62417455
0.61290894	24.62417455
0.629362502	24.62417455
0.609464416	24.60188627
0.659685215	24.62417455
0.650658731	24.66874686
0.682181278	24.69103303
0.627600338	24.66874686
0.571301327	24.64646069
0.704820746	24.64646069
0.691575572	27.18713171
0.766097172	27.18713171
0.637598819	27.18713171
0.73807557	27.16484342
0.716416238	27.18713171
0.758767533	27.18713171
0.715691151	27.18713171
0.793628226	27.14255726
0.672131963	27.14255726
0.741029307	27.12027109
0.782067528	29.61636765
0.843720383	29.63865593
0.820200771	29.63865593
0.846383639	29.68322825
0.80424438	29.70551441
0.845195935	29.81694733
0.803376127	29.81694733
0.889338002	29.83923349
0.773579473	29.81694733
0.875916305	29.81694733
0.901672627	32.26847157
0.93742751	32.29075774
0.926371165	32.2461854
0.919567585	32.2461854
0.875433818	32.2461854
0.96017559	34.11825888
1.033795259	34.16283122
0.949594549	34.09597274
1.002272154	34.14054505
0.948018606	34.11825888
1.086840196	34.14054505
1.0569797	34.14054505
0.985022002	34.11825888
1.095958692	34.14054505
1.04262088	34.09597274
1.132448398	35.96804621
1.153909261	35.94575793
1.093590387	35.94575793
1.061172933	35.99033025
1.151529863	35.94575793
1.277693069	39.1773126
1.242754328	39.19960088
1.274994062	39.19960088
1.270094654	39.1773126
1.260052841	39.1773126
1.651854985	44.28094288
1.607919288	44.28094288
1.623556149	44.37008751
1.645221146	44.50380871
1.659458587	44.57066508
1.809803208	44.77124687
1.816926398	44.74895859
1.779884696	44.79353092
1.807168762	44.79353092
1.778685262	44.77124687
1.730367438	44.86039152
1.853724222	44.8826798
1.801266713	44.8826798
1.839102931	44.83810749
1.734386781	44.83810749
2.01213578	50.18688762
2.065330985	50.20917168
2.063876182	50.20917168
2.088850438	50.20917168
2.004274416	50.18688762
2.298753732	50.05316643
2.307559801	50.09773875
2.278416013	50.07545471
2.288918368	50.07545471
2.315093016	50.09773875
2.617449498	56.18197702
2.657308235	56.22654935
2.625771643	56.18197702
2.64366692	56.15968873
2.657506624	56.22654935
2.995189209	61.30789133
2.972033018	61.37475193
2.985368369	61.35246365
2.925576353	61.35246365
2.999791271	61.39703598
3.466702203	67.7041401
3.365025579	67.7041401
3.464698517	67.65956776
3.416339675	67.65956776
3.488580274	67.72642838
3.660754606	65.0966106
3.605272575	65.11889888
3.61999362	65.0966106
3.572614116	65.07432232
3.635716987	65.0966106
3.600907048	67.59270717
3.609627568	67.59270717
3.546666746	67.59270717
3.609109169	67.61499545
3.613724	67.59270717
3.582601903	67.16926378
3.595937254	67.1469755
3.570579467	67.16926378
3.603941465	67.16926378
3.598920279	67.16926378
3.617144025	66.45609393
3.619126643	66.45609393
3.66114532	66.45609393
3.555769043	66.45609393
3.646204339	66.43380565
3.64687532	65.85407702
3.607982355	65.89864936
3.655275991	65.87636108
3.645782023	65.92093339
3.629058568	65.89864936
3.858478252	72.13889285
3.870841287	72.16118114
3.862838991	72.13889285
3.883901478	72.11660457
3.889396692	72.13889285
3.918165886	70.26681726
3.846591799	70.22224495
3.923165366	70.22224495
3.9026283	70.24453323
3.885407515	70.28910555
4.399984601	78.57971394
4.345268995	78.55742565
4.373383807	78.49056928
4.334368904	78.55742565
4.375705746	78.51285757
4.731552384	83.57190704
4.702899383	83.6164836
4.734931869	83.59419532
4.773974862	83.59419532
4.724833315	83.6164836
5.167192148	89.00984032
5.181792531	89.00984032
5.220033986	88.98755204
5.143397535	88.98755204
5.21249295	88.96526376
5.2566663	86.55831608
5.268271528	86.51373951
5.298485789	86.55831608
5.233531496	86.5360278
5.248946506	86.58059589
5.292254156	85.82285372
5.270012185	85.86743028
5.307316437	85.82285372
5.285933143	85.86743028
5.319032751	85.86743028
5.323799526	85.33255397
5.370974096	85.33255397
5.357375077	85.35483377
5.392633188	85.31026568
5.321797436	85.2879774
5.790854422	94.82663196
5.804803935	94.84892024
5.792320238	94.84892024
5.74956195	94.82663196
5.780878446	94.82663196
6.208935038	100.286845
6.305668683	100.3091333
6.28908632	100.3091333
6.260532274	100.286845
6.250989147	100.2199887
6.562253526	104.0755643
6.613035497	104.0309962
6.546375342	104.0309962
6.614194233	103.9641314
6.597489931	103.9864197
6.604435958	100.6880086
6.748196378	100.6880086
6.699576102	100.6880086
6.675314804	100.6657204
6.69141452	100.6211438
6.695416147	98.34791732
6.830972849	98.32562904
6.780851644	98.3702056
6.811032388	98.34791732
6.723692479	98.34791732
6.722145583	96.73993705
6.83896078	96.76222533
6.777641022	96.73993705
6.860541985	96.71764877
6.754244146	96.71764877
6.791977418	96.60621586
6.848201295	96.60621586
6.727740711	96.56164777
6.825417942	96.62850414
6.774559999	96.65079242
7.577283898	105.5208494
7.602444733	105.4985696
7.569204034	105.4762814
7.642203716	105.4762814
7.522725663	105.4094165
8.13791704	107.3483527
8.114134558	107.3483527
8.100956897	107.2814964
8.162473928	107.3037762
8.172891692	107.2592081
8.252527767	103.5819217
8.228865946	103.5596334
8.179051184	103.5596334
8.238246275	103.5596334
8.204431635	103.5819217
8.290896268	101.9329877
8.216260311	101.9775643
8.255956729	101.955276
8.213036282	101.9998526
8.270238221	101.9775643
8.810090101	107.3040562
8.773794555	107.2594881
8.772089969	107.2817679
8.767311383	107.2371998
8.804429855	107.2149115
9.30485473	108.3069524
9.350175004	108.3069524
9.263178566	108.3292407
9.332712896	108.2623844
9.29657504	108.2623844
9.60929502	108.6858277
9.599651023	108.6858277
9.574939637	108.6858277
9.60749084	108.6412512
9.62625086	108.6412512
9.673874559	105.2982636
9.710269061	105.2759753
9.735392867	105.3205519
9.681870152	105.2982636
9.657753775	105.2982636
9.995634589	107.0811903
9.874257232	107.058902
9.990535516	107.058902
9.942956506	107.0366222
9.992892568	107.0143339
10.18336183	107.526922
10.29010401	107.4823539
10.15322386	107.5046337
10.25318217	107.5046337
10.1868425	107.4823539
10.49530996	107.8612208
10.52489505	107.8389325
10.52772709	107.8166527
10.4999117	107.8166527
10.52262802	107.7943644
10.79947381	109.1761275
10.87372352	109.1538477
10.85178863	109.1538477
10.85376136	109.1315594
10.84058816	109.0869829
11.22019111	110.2236003
11.19740967	110.2458886
11.24844637	110.1790238
11.17972667	110.156744
11.24785009	110.1790238
11.32849295	106.1228706
11.29055156	106.078294
