"Pujol 2002, No. 10-3-1.5S"	
20547	
-0.017399149	0.466352488
0.022523605	0.444065897
-0.047504135	0.487803348
-0.017166543	0.465516756
0.019311976	0.398656983
-0.012126738	0.465516756
-0.022701168	0.465516756
0.015625273	0.487803348
-0.056653211	0.532376485
0.00190471	0.510089916
0.046068619	0.510089916
-0.045155921	0.487803348
0.003965697	2.337589767
0.057278425	2.293016652
-0.008462752	2.337589767
0.043122398	2.270729972
0.040781231	2.35987647
0.057657433	4.789114281
0.123108548	4.766827579
0.042168397	4.766827579
0.070922847	4.789114281
0.066681303	4.766827579
0.132777333	6.794906839
0.163055806	6.817192985
0.041520199	6.839479688
0.12236736	6.794906839
0.074602081	6.839479688
0.148585271	9.357863463
0.184180828	9.357863463
0.091445678	9.335577295
0.155973904	9.357863463
0.154845674	9.380150677
0.228945576	11.63109523
0.129112374	11.58652187
0.208799763	11.63109523
0.219914005	11.5642357
0.21038249	11.58652187
0.184319406	11.5642357
0.223595224	11.5642357
0.207393559	11.51966231
0.170782792	11.51966231
0.240858444	11.54194848
0.140227016	11.51966231
0.236015756	11.47508893
0.208013546	11.49737615
0.180189696	11.51966231
0.190215588	11.49737615
0.224023844	13.74832072
0.238925044	13.72603455
0.297615902	13.77060686
0.216305825	13.74832072
0.250680181	13.72603455
0.316131545	15.93240574
0.242994642	15.88783235
0.319060444	15.88783235
0.251946391	15.91011957
0.328137044	15.88783235
0.344899502	18.18335135
0.366186753	18.16106518
0.37868649	18.11649076
0.287977431	18.18335135
0.355816671	18.18335135
0.384995492	20.63487558
0.386929192	20.67944792
0.395787531	20.65716175
0.343219456	20.65716175
0.448013133	20.65716175
0.441957505	20.65716175
0.413789944	20.67944792
0.405346099	20.65716175
0.392535252	20.63487558
0.404963126	20.63487558
0.47657484	22.7298149
0.405549517	22.7298149
0.45268203	22.70752662
0.452774562	22.75210107
0.402857891	22.7298149
0.453849504	22.70752662
0.456706002	22.70752662
0.487221478	22.68524047
0.401967253	22.70752662
0.490585521	22.68524047
0.435794182	22.6629543
0.474160808	22.70752662
0.450320349	22.70752662
0.459509471	22.68524047
0.482017185	22.68524047
0.550948525	24.62417455
0.465654479	24.62417455
0.51131587	24.62417455
0.509093284	24.60188627
0.44767888	24.62417455
0.526679965	24.66874686
0.464263557	24.69103303
0.533065977	24.66874686
0.588437361	24.64646069
0.439822463	24.64646069
0.588070867	27.18713171
0.486311807	27.18713171
0.62233344	27.18713171
0.534624683	27.16484342
0.554151088	27.18713171
0.584528585	27.18713171
0.600321101	27.18713171
0.53120793	27.14255726
0.639022659	27.14255726
0.584395754	27.12027109
0.634156729	29.61636765
0.630996861	29.63865593
0.654507336	29.63865593
0.604393154	29.68322825
0.650450606	29.70551441
0.691298098	29.81694733
0.737645752	29.81694733
0.623841511	29.83923349
0.743193237	29.81694733
0.651500929	29.81694733
0.732904833	32.26847157
0.745029497	32.29075774
0.716399958	32.2461854
0.756527231	32.2461854
0.753683941	32.2461854
0.83439041	34.11825888
0.761095617	34.16283122
0.853151147	34.09597274
0.823512743	34.14054505
0.822305328	34.11825888
0.831382805	34.14054505
0.877895172	34.14054505
0.935285606	34.11825888
0.840446318	34.14054505
0.875289135	34.09597274
0.902437776	35.96804621
0.870991201	35.94575793
0.928256424	35.94575793
0.9488381	35.99033025
0.862765538	35.94575793
1.039088253	39.1773126
1.06885921	39.19960088
1.030572347	39.19960088
1.031535007	39.1773126
1.056721219	39.1773126
1.317734953	44.28094288
1.326811952	44.28094288
1.354188349	44.37008751
1.287973253	44.50380871
1.302209656	44.57066508
1.481216696	44.77124687
1.441379665	44.74895859
1.498395025	44.79353092
1.431736466	44.79353092
1.497174204	44.77124687
1.543034423	44.86039152
1.431235624	44.8826798
1.467008942	44.8826798
1.45767426	44.83810749
1.541141024	44.83810749
1.712528502	50.18688762
1.695101028	50.20917168
1.652625081	50.20917168
1.671590513	50.20917168
1.734020646	50.18688762
1.938666219	50.05316643
1.877140091	50.09773875
1.947782561	50.07545471
1.905472764	50.07545471
1.925658538	50.09773875
2.268953807	56.18197702
2.23243577	56.22654935
