"Pujol 2002, No. 20-3-3N"	
12980	
-0.11	-0.171
-0.12	-0.193
-0.12	-0.193
-0.11	-0.171
-0.12	-0.216
-0.11	-0.149
-0.12	-0.193
-0.11	-0.149
-0.11	-0.171
-0.11	-0.127
-0.12	-0.209
-0.12	-0.209
-0.12	-0.187
-0.12	-0.209
-0.12	-0.187
-0.12	-0.209
-0.12	-0.187
-0.12	-0.187
-0.12	-0.209
-0.12	-0.209
-0.12	-0.209
-0.12	-0.187
-0.12	-0.187
-0.11	-0.164
-0.12	-0.187
-0.11	-0.164
-0.12	-0.187
-0.12	-0.209
-0.11	-0.164
-0.12	-0.209
-0.12	-0.209
-0.12	-0.187
-0.12	-0.187
-0.11	-0.164
-0.11	-0.164
-0.12	-0.254
-0.12	-0.209
-0.11	-0.164
-0.12	-0.209
-0.12	-0.231
-0.11	-0.164
-0.12	-0.254
-0.12	-0.231
-0.12	-0.209
-0.12	-0.231
-0.09	0.148
-0.09	0.170
-0.09	0.148
-0.10	0.125
-0.09	0.148
-0.08	0.460
-0.08	0.437
-0.08	0.415
-0.07	0.482
-0.08	0.415
-0.08	0.437
-0.08	0.460
-0.08	0.437
-0.08	0.460
-0.08	0.460
-0.09	0.281
-0.08	0.304
-0.08	0.304
-0.09	0.281
-0.08	0.326
-0.09	0.192
-0.09	0.214
-0.09	0.170
-0.09	0.192
-0.09	0.192
-0.10	0.058
-0.10	0.081
-0.10	0.103
-0.10	0.103
-0.10	0.081
-0.10	0.036
-0.10	0.058
-0.10	0.058
-0.10	0.036
-0.10	0.036
-0.10	0.058
-0.10	0.081
-0.10	0.036
-0.10	0.081
-0.10	0.058
-0.10	0.014
-0.10	0.058
-0.10	0.036
-0.10	0.036
-0.10	0.014
-0.10	0.036
-0.10	-0.008
-0.10	0.014
-0.10	0.014
-0.10	0.036
-0.10	0.036
-0.10	0.014
-0.10	0.036
-0.10	0.036
-0.10	0.036
-0.10	0.014
-0.10	0.014
-0.10	0.058
-0.10	0.014
-0.10	0.036
-0.10	0.058
-0.10	0.081
-0.10	0.081
-0.10	0.036
-0.10	0.036
-0.10	0.081
-0.10	0.036
-0.10	0.058
-0.10	0.081
-0.10	0.081
-0.10	0.081
-0.10	0.036
-0.10	0.058
-0.10	0.036
-0.10	0.014
-0.10	0.036
-0.10	0.058
-0.10	0.103
-0.10	0.036
-0.10	0.014
-0.10	0.014
-0.10	0.036
-0.10	0.014
-0.10	0.014
-0.10	0.036
-0.11	-0.031
-0.10	0.036
-0.10	0.036
-0.10	-0.008
-0.10	0.014
-0.10	0.058
-0.10	0.103
-0.10	0.058
-0.10	0.058
-0.10	0.058
-0.10	0.036
-0.10	0.081
-0.10	0.103
-0.10	0.081
-0.10	0.103
-0.10	0.058
-0.10	0.036
-0.10	0.103
-0.10	0.103
-0.10	0.103
-0.10	0.036
-0.10	0.058
-0.10	0.036
-0.10	0.036
-0.10	0.036
-0.10	0.036
-0.10	0.014
-0.10	0.036
-0.10	-0.008
-0.10	0.014
-0.10	0.058
-0.10	0.103
-0.10	0.058
-0.10	0.103
-0.10	0.058
-0.10	0.081
-0.10	0.103
-0.10	0.081
-0.10	0.103
-0.10	0.103
-0.10	0.081
-0.10	0.103
-0.10	0.058
-0.10	0.081
-0.10	0.103
-0.10	0.058
-0.10	0.014
-0.10	0.036
-0.10	0.014
-0.10	0.036
-0.10	0.058
-0.10	0.081
-0.10	0.058
-0.10	0.081
-0.10	0.036
-0.10	0.036
-0.10	0.058
-0.10	0.081
-0.10	0.058
-0.10	0.058
-0.10	0.081
-0.10	0.103
-0.10	0.058
-0.10	0.036
-0.10	0.103
-0.09	0.148
-0.10	0.081
-0.10	0.058
-0.10	0.058
-0.10	0.103
-0.10	0.125
-0.10	0.081
-0.10	0.103
-0.10	0.081
-0.10	0.103
-0.10	0.081
-0.10	0.103
-0.10	0.081
-0.10	0.058
-0.10	0.103
-0.10	0.081
-0.10	0.081
-0.10	0.103
-0.10	0.058
-0.10	0.036
-0.10	0.055
-0.10	0.055
-0.10	0.099
-0.10	0.055
-0.10	0.099
-0.10	0.077
-0.10	0.099
-0.10	0.077
-0.10	0.032
-0.10	0.099
0.06	2.662
0.06	2.684
0.05	2.640
0.03	2.640
0.03	2.640
-0.01	2.684
0.01	2.684
-0.04	2.573
0.00	2.684
-0.03	2.640
0.03	4.735
0.07	4.802
0.07	4.735
0.06	4.735
0.05	4.735
0.04	7.030
0.07	6.986
0.04	7.008
0.10	7.008
0.09	6.986
0.14	7.008
0.14	7.030
0.13	7.008
0.09	7.030
0.05	7.053
0.18	9.281
0.13	9.259
0.17	9.259
0.13	9.326
0.20	9.237
0.20	9.237
0.16	9.192
0.16	9.237
0.10	9.259
0.14	9.259
0.22	11.488
0.25	11.443
0.18	11.443
0.23	11.443
0.15	11.488
0.17	13.337
0.22	13.360
0.16	13.382
0.26	13.337
0.22	13.337
0.20	13.426
0.26	13.382
0.21	13.449
0.26	13.404
0.27	13.404
0.27	15.588
0.23	15.566
0.25	15.566
0.21	15.588
0.22	15.588
0.25	15.566
0.25	15.544
0.25	15.499
0.21	15.566
0.23	15.544
0.31	15.588
0.31	15.611
0.28	15.611
0.29	15.633
0.23	15.566
0.28	18.151
0.22	18.174
0.26	18.196
0.24	18.151
0.30	18.151
0.31	18.196
0.31	18.218
0.31	18.196
0.35	18.218
0.28	18.151
0.28	19.956
0.26	19.890
0.32	19.934
0.33	19.934
0.31	19.890
0.40	22.787
0.38	22.765
0.34	22.765
0.38	22.765
0.33	22.809
0.37	22.787
0.38	22.765
0.38	22.765
0.31	22.787
0.35	22.809
0.33	22.854
0.35	22.765
0.30	22.742
0.35	22.742
0.37	22.787
0.40	24.815
0.42	24.748
0.42	24.770
0.33	24.837
0.39	24.815
0.39	24.793
0.42	24.815
0.43	24.748
0.38	24.815
0.40	24.770
0.46	26.999
0.42	27.088
0.41	27.066
0.37	27.066
0.43	27.044
0.42	27.044
0.39	27.021
0.41	27.066
0.39	27.044
0.46	27.110
0.49	29.228
0.49	29.228
0.42	29.228
0.49	29.183
0.51	29.250
0.47	29.228
0.51	29.205
0.53	29.228
0.51	29.205
0.50	29.228
0.52	31.523
0.52	31.523
0.47	31.545
0.46	31.545
0.43	31.501
0.53	33.796
0.60	33.796
0.57	33.841
0.54	33.819
0.55	33.796
0.58	33.752
0.58	33.730
0.51	33.796
0.55	33.752
0.51	33.707
0.55	35.824
0.61	35.802
0.60	35.802
0.55	35.824
0.58	35.802
0.62	35.891
0.63	35.869
0.56	35.936
0.61	35.869
0.62	35.891
0.65	38.477
0.66	38.499
0.60	38.543
0.66	38.543
0.61	38.521
0.67	38.499
0.61	38.521
0.63	38.543
0.61	38.566
0.65	38.499
0.70	40.326
0.67	40.349
0.62	40.326
0.69	40.349
0.69	40.393
0.69	40.326
0.64	40.304
0.67	40.326
0.69	40.349
0.70	40.326
0.77	42.421
0.75	42.444
0.72	42.421
0.72	42.354
0.70	42.399
0.78	44.672
0.79	44.650
0.80	44.650
0.80	44.650
0.77	44.695
0.78	44.672
0.82	44.650
0.81	44.695
0.76	44.650
0.77	44.628
0.80	44.672
0.81	44.672
0.83	44.672
0.79	44.650
0.81	44.695
0.89	46.968
0.82	47.012
0.83	47.035
0.83	46.968
0.89	47.012
0.92	47.057
0.90	47.035
0.95	47.035
0.93	47.035
0.91	47.012
0.89	47.012
0.95	46.990
0.94	47.012
0.92	46.990
0.92	46.968
0.98	43.647
0.98	43.625
0.94	43.625
0.97	43.625
0.93	43.669
0.97	47.926
0.94	47.971
0.95	47.948
0.89	47.971
0.94	47.948
1.00	50.444
0.98	50.422
0.97	50.378
0.99	50.400
0.94	50.378
1.05	49.776
1.02	49.709
1.02	49.709
1.00	49.731
1.05	49.754
1.07	52.495
1.02	52.450
1.08	52.473
1.11	52.428
1.10	52.473
1.06	51.915
1.03	51.893
1.10	51.893
1.10	51.893
1.06	51.915
1.13	54.924
1.15	54.969
1.09	54.946
1.12	54.946
1.09	54.880
1.16	54.010
1.13	54.010
1.15	53.988
1.14	53.988
1.08	54.033
1.27	58.490
1.23	58.490
1.26	58.490
1.21	58.423
1.26	58.445
1.29	57.175
1.22	57.175
1.29	57.220
1.32	57.197
1.25	57.175
1.40	61.788
1.47	61.811
1.44	61.811
1.46	61.788
1.43	61.788
1.45	60.496
1.46	60.473
1.48	60.496
1.48	60.496
1.47	60.540
1.58	64.886
1.56	64.908
1.51	64.864
1.53	64.864
1.48	64.998
1.66	67.249
1.70	67.182
1.61	67.226
1.65	67.226
1.63	67.182
1.63	65.220
1.65	65.220
1.59	65.220
1.65	65.265
1.65	65.220
1.63	64.708
1.71	64.708
1.71	64.775
1.68	64.708
1.67	64.708
1.74	63.928
1.74	63.883
1.69	63.906
1.73	63.950
1.65	63.950
1.81	67.494
1.78	67.516
1.77	67.494
1.77	67.516
1.71	67.516
1.97	71.149
1.96	71.149
1.96	71.193
1.98	71.149
1.95	71.104
2.01	69.165
1.97	69.098
1.95	69.076
1.95	69.098
2.01	69.031
2.07	72.174
2.06	72.152
2.08	72.085
2.03	72.062
2.03	72.085
2.13	74.180
2.15	74.157
2.14	74.157
2.12	74.157
2.07	74.113
2.20	75.472
2.22	75.428
2.25	75.428
2.27	75.383
2.27	75.361
2.41	77.946
2.40	77.946
2.42	77.991
2.36	77.924
2.36	77.902
2.48	76.654
2.36	76.631
2.39	76.676
2.34	76.676
2.40	76.654
2.46	74.045
2.41	74.000
2.46	74.022
2.47	74.000
2.43	74.045
2.47	76.786
2.52	76.786
2.55	76.786
2.51	76.786
2.55	76.808
2.58	78.457
2.54	78.457
2.59	78.502
2.57	78.413
2.60	78.413
2.64	79.928
2.65	79.906
2.63	79.884
2.62	79.928
2.61	79.884
2.76	82.313
2.79	82.335
2.75	82.268
2.73	82.291
2.72	82.291
2.91	84.586
2.96	84.519
2.97	84.542
2.90	84.542
2.89	84.497
3.03	86.793
3.03	86.837
2.95	86.748
3.01	86.726
3.05	86.748
3.09	83.851
3.08	83.895
3.06	83.851
3.01	83.851
3.05	83.828
3.27	87.149
3.23	87.149
3.25	87.127
3.21	87.149
3.27	87.105
3.38	89.088
3.40	89.177
3.34	89.110
3.35	89.088
3.34	89.088
3.40	85.901
3.39	85.856
3.44	85.901
3.44	85.923
3.40	85.901
3.37	85.856
3.44	85.879
3.43	85.834
3.41	85.834
3.42	85.834
3.37	85.812
3.37	85.767
3.34	85.812
3.39	85.790
3.38	85.812
3.52	89.779
3.56	89.779
3.55	89.779
3.54	89.801
3.53	89.779
3.61	91.740
3.58	91.740
3.56	91.718
3.54	91.696
3.59	91.718
3.74	93.077
3.74	93.033
3.67	93.033
3.70	92.966
3.67	92.944
3.77	95.952
3.86	95.952
3.82	95.930
3.88	95.930
3.85	95.930
3.94	93.166
3.95	93.189
3.95	93.189
3.89	93.166
3.89	93.144
4.05	96.264
4.08	96.220
4.05	96.220
4.03	96.197
4.00	96.242
4.10	98.248
4.05	98.203
4.08	98.226
4.09	98.248
4.12	98.203
4.31	100.944
4.26	100.922
4.26	100.922
4.25	100.922
4.30	100.878
4.46	102.772
4.46	102.727
4.40	102.750
4.44	102.750
4.40	102.727
4.46	101.502
4.38	101.457
4.45	101.524
4.43	101.479
4.50	101.524
4.60	104.822
4.61	104.845
4.61	104.822
4.58	104.822
4.55	104.822
4.54	103.663
4.61	103.686
4.55	103.663
4.65	103.641
4.64	103.641
4.70	107.051
4.75	107.051
4.76	107.051
4.79	107.006
4.81	107.029
4.77	104.466
4.84	104.466
4.85	104.466
4.85	104.466
4.83	104.510
4.92	107.564
4.92	107.564
4.87	107.564
4.94	107.608
4.92	107.519
5.01	109.614
4.93	109.592
4.99	109.614
5.02	109.614
5.03	109.569
5.11	107.363
5.04	107.318
5.06	107.341
5.05	107.318
5.10	107.318
5.08	106.160
5.07	106.160
5.12	106.160
5.09	106.137
5.04	106.137
5.24	109.525
5.20	109.525
5.25	109.547
5.24	109.525
5.20	109.503
5.32	111.664
5.26	111.664
5.29	111.642
5.31	111.664
5.36	111.664
5.36	108.522
5.37	108.544
5.36	108.522
5.32	108.522
5.31	108.522
5.43	107.519
5.46	107.519
5.44	107.564
5.38	107.474
5.41	107.519
5.43	107.318
5.43	107.318
5.38	107.318
5.43	107.318
5.41	107.318
5.49	111.820
5.49	111.843
5.54	111.843
5.54	111.843
5.46	111.820
5.59	114.183
5.65	114.183
5.64	114.138
5.60	114.138
5.59	114.138
5.75	116.144
5.81	116.166
5.79	116.144
5.75	116.122
5.74	116.122
5.84	117.905
5.83	117.860
5.89	117.815
5.88	117.815
5.83	117.838
6.06	120.334
6.04	120.312
6.03	120.289
5.99	120.312
6.03	120.312
6.10	117.548
6.05	117.503
6.08	117.481
6.09	117.503
6.13	117.481
6.14	116.345
6.14	116.322
6.12	116.300
6.11	116.345
6.07	116.367
6.17	115.453
6.16	115.431
6.11	115.408
6.13	115.408
6.12	115.431
6.38	120.780
6.34	120.802
6.30	120.757
6.35	120.802
6.37	120.780
6.44	122.964
6.48	122.897
6.46	122.919
6.41	122.874
6.46	122.874
6.62	124.791
6.66	124.791
6.64	124.791
6.70	124.769
6.69	124.724
6.83	126.552
6.82	126.552
6.84	126.529
6.83	126.529
6.78	126.507
6.84	125.326
6.90	125.348
6.89	125.326
6.84	125.348
6.87	125.304
6.92	123.610
6.91	123.610
6.87	123.610
6.89	123.610
6.82	123.565
7.07	117.458
7.03	117.436
7.06	117.458
7.10	117.436
7.11	117.436
7.16	121.135
7.17	121.068
7.17	121.068
7.16	121.068
7.10	121.046
7.24	123.631
7.24	123.631
7.17	123.609
7.22	123.587
7.22	123.609
7.30	125.347
7.32	125.347
7.36	125.303
7.33	125.303
7.25	125.236
7.36	121.804
7.34	121.804
7.42	121.737
7.40	121.759
7.37	121.759
7.55	124.567
7.58	124.545
7.59	124.501
7.56	124.523
7.55	124.478
8.14	127.376
8.15	127.309
8.14	127.331
8.11	127.286
8.07	127.331
8.58	128.378
8.63	128.378
8.64	128.334
8.55	128.356
8.59	128.334
8.76	124.523
8.76	124.545
8.75	124.501
8.72	124.523
8.66	124.523
9.13	128.089
9.05	128.089
9.10	128.089
9.07	128.066
9.11	128.044
9.54	129.270
9.61	129.292
9.59	129.225
9.54	129.225
9.59	129.203
10.03	129.961
9.99	129.961
9.93	129.938
9.95	129.894
9.92	129.961
10.08	124.657
10.03	124.679
10.09	124.657
10.10	124.612
10.08	124.634
10.35	127.376
10.30	127.376
10.28	127.353
10.34	127.353
10.33	127.353
10.38	123.966
10.38	123.943
10.37	123.899
10.32	123.921
10.37	123.921
11.04	129.560
11.06	129.560
11.10	129.560
11.03	129.493
11.06	129.493
11.22	125.258
11.20	125.303
11.15	125.281
11.17	125.281
11.19	125.281
11.88	129.493
11.84	129.470
11.85	129.493
11.81	129.426
11.90	129.404
12.33	130.117
12.29	130.095
12.22	130.028
12.27	130.050
12.27	130.005
12.45	124.701
12.41	124.701
12.40	124.701
12.32	124.679
12.39	124.701
12.84	128.334
12.82	128.334
12.84	128.312
12.77	128.289
12.80	128.289
13.30	128.646
13.34	128.713
13.34	128.646
13.26	128.668
13.30	128.624
13.65	129.604
13.64	129.582
13.57	129.515
13.57	129.537
13.55	129.470
13.62	125.771
13.62	125.749
13.67	125.815
13.68	125.771
13.65	125.793
13.73	122.316
13.75	122.361
13.68	122.361
13.71	122.339
13.65	122.361
13.74	120.753
13.69	120.775
13.68	120.753
13.78	120.686
13.80	120.753
13.79	120.218
13.81	120.174
13.80	120.196
13.76	120.174
13.73	120.174
14.01	126.525
13.95	126.570
13.98	126.570
13.99	126.570
14.02	126.525
13.98	124.051
14.03	124.029
14.02	124.029
14.07	124.029
14.07	124.051
14.39	127.127
14.46	127.082
14.49	127.060
14.47	127.060
14.45	127.060
14.87	128.598
14.88	128.553
14.81	128.598
14.88	128.487
14.91	128.531
15.22	129.489
15.20	129.467
15.15	129.423
15.23	129.400
15.22	129.356
15.37	124.051
15.27	124.029
15.30	124.029
15.33	124.051
15.37	124.029
15.87	127.818
15.87	127.773
15.91	127.729
15.86	127.706
15.80	127.706
16.27	128.709
16.36	128.687
16.33	128.687
16.35	128.620
16.34	128.620
16.82	128.665
16.80	128.643
16.76	128.643
16.71	128.598
16.78	128.620
16.82	125.701
16.82	125.701
16.86	125.678
16.86	125.634
16.80	125.678
16.95	123.494
16.94	123.539
16.94	123.494
16.86	123.494
16.89	123.494
17.02	121.359
