"Pujol 2002, No. 20-3-3S"	
12980	
-0.03	-0.171
-0.03	-0.193
-0.03	-0.193
-0.03	-0.171
-0.03	-0.216
-0.03	-0.149
-0.03	-0.193
-0.03	-0.149
-0.03	-0.171
-0.03	-0.127
-0.03	-0.209
-0.03	-0.209
-0.03	-0.187
-0.03	-0.209
-0.03	-0.187
-0.03	-0.209
-0.03	-0.187
-0.03	-0.187
-0.03	-0.209
-0.03	-0.209
-0.03	-0.209
-0.03	-0.187
-0.03	-0.187
-0.03	-0.164
-0.03	-0.187
-0.03	-0.164
-0.03	-0.187
-0.03	-0.209
-0.03	-0.164
-0.03	-0.209
-0.03	-0.209
-0.03	-0.187
-0.03	-0.187
-0.03	-0.164
-0.03	-0.164
-0.03	-0.254
-0.03	-0.209
-0.03	-0.164
-0.03	-0.209
-0.03	-0.231
-0.03	-0.164
-0.03	-0.254
-0.03	-0.231
-0.03	-0.209
-0.03	-0.231
-0.03	0.148
-0.03	0.170
-0.03	0.148
-0.03	0.125
-0.03	0.148
-0.04	0.460
-0.04	0.437
-0.04	0.415
-0.04	0.482
-0.04	0.415
-0.04	0.437
-0.04	0.460
-0.04	0.437
-0.04	0.460
-0.04	0.460
-0.04	0.281
-0.04	0.304
-0.04	0.304
-0.04	0.281
-0.04	0.326
-0.03	0.192
-0.03	0.214
-0.03	0.170
-0.03	0.192
-0.03	0.192
-0.03	0.058
-0.03	0.081
-0.03	0.103
-0.03	0.103
-0.03	0.081
-0.03	0.036
-0.03	0.058
-0.03	0.058
-0.03	0.036
-0.03	0.036
-0.03	0.058
-0.03	0.081
-0.03	0.036
-0.03	0.081
-0.03	0.058
-0.03	0.014
-0.03	0.058
-0.03	0.036
-0.03	0.036
-0.03	0.014
-0.03	0.036
-0.03	-0.008
-0.03	0.014
-0.03	0.014
-0.03	0.036
-0.03	0.036
-0.03	0.014
-0.03	0.036
-0.03	0.036
-0.03	0.036
-0.03	0.014
-0.03	0.014
-0.03	0.058
-0.03	0.014
-0.03	0.036
-0.03	0.058
-0.03	0.081
-0.03	0.081
-0.03	0.036
-0.03	0.036
-0.03	0.081
-0.03	0.036
-0.03	0.058
-0.03	0.081
-0.03	0.081
-0.03	0.081
-0.03	0.036
-0.03	0.058
-0.03	0.036
-0.03	0.014
-0.03	0.036
-0.03	0.058
-0.03	0.103
-0.03	0.036
-0.03	0.014
-0.03	0.014
-0.03	0.036
-0.03	0.014
-0.03	0.014
-0.03	0.036
-0.03	-0.031
-0.03	0.036
-0.03	0.036
-0.03	-0.008
-0.03	0.014
-0.03	0.058
-0.03	0.103
-0.03	0.058
-0.03	0.058
-0.03	0.058
-0.03	0.036
-0.03	0.081
-0.03	0.103
-0.03	0.081
-0.03	0.103
-0.03	0.058
-0.03	0.036
-0.03	0.103
-0.03	0.103
-0.03	0.103
-0.03	0.036
-0.03	0.058
-0.03	0.036
-0.03	0.036
-0.03	0.036
-0.03	0.036
-0.03	0.014
-0.03	0.036
-0.03	-0.008
-0.03	0.014
-0.03	0.058
-0.03	0.103
-0.03	0.058
-0.03	0.103
