"Ramirez & Jirsa -120C-U"	
63
0.	0.
0.852378899	19.85174017
2.452206411	89.23231562
4.214460256	172.5844955
5.590053184	209.5238095
6.807531982	235.8085187
7.25600115	244.7543661
9.30429783	283.3773087
9.880695702	278.3264229
9.913755929	271.064204
9.945378755	261.5403945
10.77763404	267.6969469
11.45033779	278.8792562
12.34727612	290.0866943
13.11484835	297.9017465
14.90872503	275.5371278
13.0516027	212.3131047
15.29251114	233.0192235
13.37070576	174.8209574
15.70935748	202.7892951
14.29926693	159.7185576
15.93359207	179.8718432
16.44530689	179.2938811
19.00675579	201.1307953
15.74098031	117.7534866
20.63964352	158.6128911
18.01351157	96.49453449
16.2210723	48.95087323
0.	0.
-0.007187006	-2.110817942
-0.577835274	-10.95615027
-1.862871928	-68.82774218
-3.226965646	-123.9602965
-4.823918356	-199.5225531
-6.265631738	-228.1191104
-7.434238896	-251.9411986
-8.564036223	-268.9533861
-10.0043122	-283.2516648
-9.343107661	-253.298153
-10.1221791	-262.1434854
-10.35503809	-254.6551074
-9.225240765	-213.1423546
-11.29078626	-243.7743435
-12.14747736	-243.7743435
-13.0429783	-251.2627214
-13.86085957	-254.6551074
-14.71898807	-260.1080538
-13.12203536	-197.4871215
-15.92640506	-226.762156
-14.01753629	-168.8905641
-16.31594078	-197.4871215
-14.56231134	-145.7469531
-16.39356044	-165.4981782
-16.97858272	-161.4021862
-17.95170332	-172.2829501
-19.19793014	-181.1534112
-19.86057209	-183.1888428
-18.4188587	-144.3899987
-19.00388098	-145.7469531
-19.97700158	-153.9138083
-20.67845336	-159.3667546
-19.15912031	-115.7934414
-20.75751042	-132.8056288
