Takemura and Kawashima #3																			
837																			
0.000	-1.31																		
2.895	72.19																		
3.145	72.07																		
3.295	78.65																		
3.844	85.96																		
4.393	91.57																		
4.892	98.28																		
5.292	102.95																		
6.090	111.93																		
6.190	106.54																		
6.889	117.80																		
7.388	125.46																		
7.837	127.85																		
8.287	130.24																		
8.836	133.00																		
9.185	134.56																		
9.884	137.31																		
10.583	141.38																		
11.282	142.81																		
11.482	142.81																		
11.931	142.70																		
13.079	144.26																		
13.428	144.85																		
14.177	146.40																		
14.577	147.85																		
15.076	149.04																		
15.725	148.80																		
16.124	149.28																		
16.623	150.24																		
17.172	150.24																		
17.372	145.32																		
18.920	144.85																		
18.770	140.30																		
18.221	127.73																		
18.021	121.15																		
17.322	112.77																		
16.873	104.03																		
16.474	97.57																		
15.924	88.23																		
15.575	81.76																		
14.876	71.23																		
14.477	65.72																		
13.778	57.34																		
13.428	52.07																		
12.730	44.77																		
12.380	37.82																		
12.031	31.24																		
11.581	25.02																		
10.982	15.80																		
10.433	10.41																		
9.884	3.35																		
9.485	-2.04																		
9.185	-6.23																		
8.686	-12.09																		
8.087	-18.67																		
7.738	-22.87																		
7.039	-28.85																		
6.689	-32.32																		
6.340	-36.39																		
5.841	-39.50																		
5.242	-45.01																		
4.742	-48.12																		
4.193	-50.40																		
3.894	-53.63																		
3.295	-55.78																		
2.796	-59.02																		
2.246	-61.53																		
1.747	-64.65																		
1.248	-67.64																		
0.649	-69.43																		
0.300	-72.30																		
-0.399	-74.81																		
-0.799	-78.29																		
-1.348	-80.92																		
-1.847	-84.28																		
-2.346	-87.15																		
-2.945	-91.82																		
-3.395	-94.58																		
-3.994	-98.05																		
-4.493	-103.07																		
-5.042	-105.94																		
-5.641	-108.33																		
-6.090	-100.56																		
-6.839	-113.25																		
-7.338	-115.64																		
-7.538	-116.72																		
-8.237	-118.63																		
-8.636	-120.91																		
-9.135	-123.18																		
-9.684	-125.09																		
-10.383	-127.97																		
-10.733	-129.05																		
-11.132	-130.60																		
-11.831	-132.76																		
