"Wight & Sozen, 1973,  00.033W"	
35	
0	0
4.070145456	42.11756474
8.408544957	62.50498157
13.2517498	68.65350015
23.34297921	77.08806089
23.44540349	66.37170715
23.04058375	55.47264
33.5366329	65.66634841
36.56302626	67.5997112
38.78221881	67.77392631
48.16867169	61.62540773
44.43506313	42.99713858
40.39905909	27.70445138
47.86627622	32.4507508
45.5446594	22.60972175
47.66386635	24.19040517
46.35186021	17.86342233
47.46145648	18.56878106
0	0
-4.099409534	-47.2930282
-8.135413566	-71.05851848
-9.674216312	-72.89839999
-10.63505353	-76.4124462
-23.89411934	-82.60345627
-23.41370073	-76.4124462
-23.99166627	-77.07956259
-23.31859248	-58.33656642
-27.25704959	-61.51917901
-36.96296865	-66.70738992
-45.61050358	-70.05147017
-49.166089	-71.05851848
-46.95665114	-58.84221514
-43.88148433	-42.44050006
-39.84548029	-26.54443371
-48.97343382	-31.39696185
