"Wight & Sozen, 1973, 00.048E"	
36	
0	0
5.660481602	35.879311
8.794396309	51.8803008
11.1451896	60.6791414
14.74783391	68.9449402
16.62846855	70.81180348
14.59206706	58.27923633
17.25582311	65.21121365
19.13645775	71.87788707
24.93269945	76.4123933
32.14084618	79.61064408
32.61100484	79.34534017
32.45380893	73.47944644
31.98365028	65.47895154
37.62412513	70.81180348
44.20491729	75.87935151
54.70274558	79.61064408
60.50041634	81.21220345
0	0
-7.016653539	-53.60842717
-8.830122651	-62.1492658
-11.3395409	-71.88032105
-12.73429729	-73.77882608
-15.38233375	-74.96417473
-15.10366828	-69.98181602
-17.47446832	-74.48954847
-21.37864296	-79.23581103
-26.118814	-83.26891722
-32.25517047	-87.06592727
-30.30308316	-69.74328591
-33.78854507	-76.15195736
-37.41405424	-80.6596898
-41.87555981	-83.9820736
-46.7557781	-86.35520488
-54.84279284	-88.01517979
-60.28177113	-88.25370991
