"Xaio_&_Yun_02,_No.FHC1-0.2"	
39	
0	0
8.582167164	430.9126214
14.43629851	548.6601942
22.6310209	677.1262136
29.95001194	724.2330097
34.33928358	704.9708738
35.80414328	683.5728155
35.80414328	666.4466019
37.26900299	651.4563107
42.24740299	666.4466019
45.17181493	662.1359223
50.44212537	655.7281553
54.83139701	655.7281553
54.83139701	623.6116505
56.88007761	619.3398058
63.61524776	623.6116505
69.4693791	619.3398058
72.39379104	619.3398058
72.39379104	595.7669903
72.39379104	576.5048544
72.39379104	559.3786408
75.90733134	563.6504854
78.24792239	563.6504854
81.76146269	563.6504854
91.42104478	563.6504854
96.39944478	555.1067961
101.6697552	544.3883495
108.1077075	533.6699029
108.1077075	512.2718447
108.1077075	490.8737864
108.1077075	480.1553398
108.9834388	448.038835
110.4482985	448.038835
110.4482985	420.1941748
113.9618388	409.5145631
128.0106925	392.3495146
139.1351343	373.0873786
143.2324955	366.6796117
143.2324955	362.407767
