Xaio 02 FHC6	
48	
0	0
8.065474625	398.7058824
18.55109167	643.3333333
21.79628264	682.4705882
26.7865763	711.8431373
28.53667929	707.9215686
29.28672342	698.1176471
29.78675285	678.5490196
30.53179669	668.7843137
32.28189968	662.9019608
33.53197324	658.9803922
33.53197324	639.4117647
33.53197324	619.8431373
36.02712007	633.5686275
38.5222669	633.5686275
43.01753143	643.3333333
46.76275183	643.3333333
49.25789866	639.4117647
49.75792808	633.5686275
50.50797222	629.6470588
50.50797222	604.1960784
50.50797222	590.5098039
54.25319261	598.3137255
57.24836887	594.3921569
67.23395649	598.3137255
69.72910332	574.8235294
69.22907389	555.254902
68.72904447	525.9215686
67.98400062	516.1176471
79.21466151	502.4313725
90.95035211	486.7843137
103.4310866	467.2156863
106.6812778	457.4117647
106.6812778	418.2745098
104.1811307	330.1960784
102.436028	267.5686275
100.4359103	238.2352941
96.69068991	179.5294118
94.19554308	134.5098039
93.69551366	111.0196078
95.94564607	111.0196078
103.4310866	128.627451
105.9312337	128.627451
105.4312043	91.45098039
102.9360574	52.31372549
99.19083704	17.05882353
95.44561665	-12.2745098
92.94546952	-31.84313725
