"Aboutaha, Engelhardt, Jirsa and Kreger, Test ORC1"	
6285	
-0.0685875	-0.01685792
-0.0632834	-0.0673872
-0.0499317	-0.01685792
-0.0632834	-0.0673872
0.0492001	2.18977264
0.39175351	6.990427872
1.17132818	17.36657994
1.57081836	22.75678643
2.03673782	28.31543869
2.16045138	28.26490941
2.1540133	27.92801789
2.14307588	27.70904285
2.14289298	27.57428624
2.13308954	27.52375251
2.1532817	27.42268506
2.1410274	27.30477747
2.1503553	27.27108832
1.92399826	22.672568
1.5996434	18.17511069
1.32428745	14.77254192
1.13147427	12.01005814
0.95219569	9.938197536
0.90219083	8.270602304
0.77961125	6.821982112
0.6556965	5.659719712
0.58151226	4.615364896
0.49801841	3.672077536
0.43769799	2.813013056
0.37501816	1.852885568
0.24768318	0.741152448
0.17876646	-0.72431232
-0.0213993	-2.4592992
-0.1717431	-4.05951168
-0.5115713	-7.90000384
-0.8554233	-10.4603616
-1.1939712	-15.6316064
-1.9391058	-24.23910912
-2.1004236	-26.26041376
-2.1944342	-27.001584
-2.2421711	-27.35528896
-2.2908225	-27.49006336
-2.3098441	-27.6416512
-2.3295973	-27.69218048
-2.3144166	-27.67536704
-2.3482531	-27.7090384
-2.3495334	-27.72589632
-2.2498529	-24.66020128
-2.0391521	-20.92076768
-1.8787488	-18.62991424
-1.7774222	-16.96231456
-1.7231009	-15.5642192
-1.3146852	-10.42669024
-1.1081911	-8.10216544
-0.4625541	-0.85908672
0.45258605	8.439043616
0.66866411	10.44353037
1.54118856	21.42607827
1.80096143	24.57598285
2.01692975	27.15317629
2.02848903	26.90050765
2.04374289	26.78260006
2.04513293	26.64784346
2.0523209	26.58046515
2.04712654	26.47940214
2.04504148	26.46255312
2.03287863	26.39517926
2.05795422	26.36149011
2.05638128	26.34464554
1.74636578	20.19643757
1.35488662	15.29471933
1.05502207	11.38681773
0.87488386	7.90002608
0.58548119	5.103853152
0.25099367	1.02751024
-0.1283958	-3.08250848
-0.9832704	-11.47103616
-1.9403861	-22.90840096
-2.1351746	-25.35084224
-2.2127242	-26.31094304
-2.2913712	-26.78260896
-2.3241103	-27.0689712
-2.3235616	-27.20370112
-2.3493505	-27.3216176
-2.2822262	-27.35528896
-2.2957608	-27.33847552
-2.302711	-27.37214688
-2.2835065	-27.35528896
-2.2975898	-27.3890048
-2.2977727	-27.37214688
-2.2884448	-27.33847552
-2.2937489	-27.37214688
-2.3083809	-27.27108832
-2.1699256	-22.6051808
-1.9947074	-19.60687296
-1.7148704	-15.1094112
-1.421133	-12.11114784
-0.4488366	-0.65692512
-0.4140856	-0.43795008
-0.3939666	-0.21897504
-0.3789688	-0.16844576
-0.3833584	-0.1347744
-0.3489732	0.185290336
-0.3442178	0.185290336
-0.3436691	0.235819616
-0.3564721	0.21897504
-0.3623249	0.21897504
-0.3561063	0.269508768
0.37276849	7.25993664
1.04419439	14.67147446
1.68712447	22.97576592
2.26651509	30.25254714
3.50540653	41.48775923
3.74154872	42.00994109
4.43594686	47.737048
4.43865378	46.79376064
4.46142483	46.38948192
4.45992505	46.13683552
4.44015356	45.88414464
4.43591028	43.0206023
4.43836114	43.00375773
4.43453853	42.98691315
4.4355079	43.00375773
4.97504461	49.97732768
5.87085223	57.422568
6.49907715	61.73472608
7.15056695	67.36077888
8.76003208	79.53926944
9.16702116	80.97103616
9.16912451	80.24672384
8.54060695	69.14629504
7.55801328	57.1025344
6.74654085	47.55174432
6.05002107	39.58434438
5.31651891	33.09924934
4.69282991	27.72588298
4.22451446	23.29580842
3.83793702	19.55635258
3.40649421	16.22115766
3.12671208	13.25654342
2.73025804	10.4940641
2.43920927	7.798958624
2.11569575	5.23860976
1.62510308	0.235819616
0.97972214	-6.35032064
0.60755722	-9.2980992
-0.4943787	-19.42161376
-1.9908665	-32.8802832
-2.5086564	-36.13123744
-3.2852498	-41.7909616
-3.9477136	-46.2885568
-4.4259971	-49.4212832
-4.4916582	-49.57296
-4.5156181	-49.4719904
-4.5567706	-49.3879232
-4.5403096	-49.3034112
-4.5443334	-49.219344
-4.5812792	-49.1521792
-4.5730487	-49.0676672
-4.5803647	-48.9666976
-4.59079	-48.9328928
-4.6048733	-48.8319232
-4.5876807	-48.6971488
-4.598106	-48.6802464
-4.5988376	-48.629984
-4.6034101	-48.5285696
-4.5968257	-48.4952096
-4.592619	-48.4445024
-4.5898755	-48.4106976
-4.6551708	-46.4735936
-4.6480377	-46.4735936
-4.658463	-46.490496
-4.6396243	-46.4566912
-4.6229804	-46.4402336
-4.0377004	-36.63657472
-3.3739563	-29.05660448
-2.858727	-24.45808416
-2.5701108	-21.34185984
-2.3266709	-19.30369728
-2.2061398	-17.6360976
-2.1007894	-16.49064864
-2.0102539	-15.3115728
-1.8919176	-14.35142752
-1.7093834	-12.43118144
-1.2684115	-8.55697344
-0.3354386	-0.74117024
0.64494198	6.923049568
1.6574398	15.37893776
2.68586821	24.30647408
3.74026842	32.32440774
4.78874267	41.45407453
5.65135394	48.04022368
5.66711992	47.46754368
5.69155536	47.11379424
5.66810758	46.87796128
5.66214504	46.72637344
5.65876139	46.59159904
5.67030238	46.42315328
5.65621908	46.33895264
5.67560648	46.20417824
5.59099694	43.55962429
4.79091918	34.80053373
4.22875774	28.5849519
3.68175871	23.64954006
3.21294943	19.45528512
2.74816395	15.78320314
2.39476457	12.83543347
2.0243372	9.870819232
1.63977166	6.350338432
0.98606877	0.656929568
0.1472345	-6.60301152
-1.380895	-17.80454336
-1.8677748	-21.35871776
-3.3148796	-35.54169952
-4.1831059	-43.13852768
-4.5639037	-47.0633984
-4.8969646	-50.5835456
-4.9613454	-50.836192
-4.9763432	-50.836192
-5.0120087	-50.836192
-5.0387121	-50.7521248
-5.0207879	-50.802832
-5.0410898	-50.6680576
-5.0317619	-50.6680576
-5.064501	-50.567088
-5.0597456	-50.5501856
-5.0537099	-50.5332832
-5.0317619	-50.5163808
-5.0643181	-50.4487712
-5.0447478	-50.4656736
-5.0515151	-50.4154112
-5.0602943	-50.3478016
-4.6659619	-42.71739104
-3.7452433	-32.50967584
-3.1563053	-26.51310464
-2.7136873	-22.38620576
-2.3451438	-18.78150208
-2.1192623	-16.12008576
-1.0081448	-5.91237056
-0.2869701	-0.75798368
0.59124254	5.79447632
1.92875366	17.41711366
3.57675582	30.9094767
4.85897627	42.06047037
6.3501051	54.34005952
6.46732571	54.45793152
6.46540526	54.08736864
6.74195006	57.30465152
7.69129251	65.81109568
7.67073455	65.25522912
