"Aboutaha and Machado, Test ORC2"	
10275	
-1.0906327	-1.01067456
-1.0849628	-1.11173312
-1.0778297	-1.027488
-1.0966684	-1.04434592
-1.091913	-1.06120384
-1.0672215	-1.04434592
-1.0966684	-1.0948752
-1.0906327	-1.0948752
-1.0822193	-1.0948752
-1.0652096	-1.0948752
-1.0999606	-1.07806176
-1.084597	-1.027488
-1.0906327	-1.027488
-1.0798416	-1.027488
-1.0849628	-1.027488
-1.0966684	-1.06120384
-1.0716111	-1.06120384
-1.0829509	-1.06120384
-1.0950223	-1.14540448
-1.0873405	-1.19593376
-1.0783784	-1.24650752
-1.0628319	-1.26332096
-1.0750862	-1.36437952
-1.0650267	-1.38123744
-1.0533211	-1.39809536
-1.0556988	-1.44862464
-1.0471025	-1.44862464
-1.0513092	-1.43176672
-1.0686847	-1.482296
-1.0639293	-1.49915392
-1.0613687	-1.49915392
-1.0694163	-1.46548256
-1.0811219	-1.49915392
-1.0867918	-1.482296
-1.0714282	-1.53282528
-1.0840483	-1.46548256
-1.0606371	-1.51601184
-1.058991	-1.46548256
-1.0730743	-1.49915392
-1.062649	-1.46548256
-1.080939	-1.44862464
-1.0690505	-1.49915392
-1.0476512	-1.46548256
-1.0633806	-1.49915392
-1.055333	-1.49915392
-1.0522237	-1.51601184
-1.048017	-1.53282528
-1.0556988	-1.5496832
-1.0655754	-1.49915392
-1.0641122	-1.56654112
-1.0520408	-1.51601184
-1.0595397	-1.56654112
-1.0430787	-1.58335456
-1.0502118	-1.63392832
-1.0573449	-1.60021248
-1.0439932	-1.66759968
-1.0432616	-1.63392832
-1.0450906	-1.56654112
-1.0434445	-1.63392832
-1.0487486	-1.65074176
-1.044359	-1.66759968
-1.0471025	-1.6844576
-1.0414326	-1.66759968
-1.0483828	-1.66759968
-1.0500289	-1.70127104
-1.031556	-1.73498688
-1.0556988	-1.75180032
-1.0474683	-1.6844576
-1.0350311	-1.66759968
-1.0233255	-1.70127104
-1.0253374	-1.6844576
-1.0330192	-1.71812896
-1.0513092	-1.73498688
-1.0593568	-1.66759968
-1.0456393	-1.6844576
-1.0319218	-1.71812896
-1.0403352	-1.73498688
-1.0540527	-1.76865824
-1.0209478	-1.71812896
-1.044359	-1.76865824
-1.044359	-1.76865824
-1.0430787	-1.8023296
-1.0677702	-1.8023296
-1.0492973	-1.8023296
-1.0310073	-1.8023296
-1.0251545	-1.78551616
-1.040701	-1.75180032
-1.0706966	-1.81918752
-1.0319218	-1.76865824
-1.0456393	-1.8023296
-1.044359	-1.76865824
-1.0410668	-1.76865824
-1.0500289	-1.78551616
-1.0606371	-1.76865824
-1.0492973	-1.78551616
-1.0286296	-1.78551616
-1.040701	-1.83604544
-1.0319218	-1.78551616
-1.0302757	-1.81918752
-1.0335679	-1.81918752
-1.0403352	-1.85290336
-1.0439932	-1.88657472
-1.035214	-1.8697168
-1.0332021	-1.83604544
-1.048017	-1.90343264
-1.0372259	-1.90343264
-1.0569791	-1.83604544
-1.040701	-1.8023296
-1.0469196	-1.88657472
-1.0449077	-1.90343264
-1.0439932	-1.88657472
-1.0432616	-1.88657472
-1.0419813	-1.85290336
-1.048017	-1.8697168
-1.0319218	-1.8023296
-1.02424	-1.83604544
-1.0586252	-1.8697168
-1.0436274	-1.83604544
-1.0575278	-1.83604544
-1.0214965	-1.90343264
-1.0573449	-1.92024608
-1.0262519	-1.90343264
-1.0286296	-1.90343264
-1.0246058	-1.90343264
-1.0513092	-1.90343264
-1.0719769	-1.8697168
-1.0456393	-1.90343264
-1.0368601	-1.8697168
-1.0383233	-1.8697168
-1.0332021	-1.8697168
-1.0335679	-1.90343264
-1.0441761	-1.8697168
-1.0326534	-1.90343264
-1.0599055	-1.8023296
-1.0465538	-1.83604544
-1.0392378	-1.81918752
-1.0258861	-1.81918752
-1.0450906	-1.8697168
-1.0328363	-1.85290336
-1.0372259	-1.83604544
-1.0436274	-1.85290336
-1.0405181	-1.85290336
-1.0469196	-1.83604544
-1.0202162	-1.8023296
-1.02424	-1.81918752
-1.0467367	-1.83604544
-1.0302757	-1.8023296
-1.0428958	-1.83604544
-1.0218623	-1.85290336
-1.0335679	-1.83604544
-1.0335679	-1.85290336
-1.0291783	-1.90343264
-1.0258861	-1.937104
-1.0346653	-1.937104
-1.0449077	-1.92024608
-1.0364943	-1.937104
-1.0235084	-1.937104
-1.0496631	-1.97077536
-1.0311902	-1.937104
-1.0401523	-2.0044912
-1.040701	-2.0044912
-1.035214	-2.02134912
-1.038872	-2.0044912
-1.0355798	-1.98763328
-1.04253	-1.98763328
-1.031556	-1.97077536
-1.0372259	-1.98763328
-1.0344824	-2.0044912
-1.058991	-2.0718784
-1.0308244	-1.98763328
-1.0401523	-2.02134912
-1.0375917	-2.0718784
-1.0346653	-2.03816256
-1.0432616	-2.02134912
-1.022411	-1.95396192
-1.0282638	-1.98763328
-1.0282638	-1.98763328
-1.0375917	-2.03816256
-1.048017	-2.0718784
-1.0332021	-2.0718784
-1.0401523	-2.0718784
-1.0271664	-2.03816256
-1.0385062	-2.0718784
-1.0372259	-2.05502048
-1.031556	-2.0718784
-1.0344824	-2.10554976
-1.0302757	-2.0718784
-1.0310073	-2.10554976
-1.0240571	-2.10554976
-1.0341166	-2.13922112
-1.0417984	-2.17293696
-1.0344824	-2.08869184
-1.016924	-2.12240768
-1.0542356	-2.10554976
-1.0300928	-2.08869184
-1.0381404	-2.10554976
-1.0465538	-2.08869184
-1.0266177	-2.17293696
-1.0247887	-2.12240768
-1.0417984	-2.10554976
-1.0353969	-2.10554976
-1.0494802	-2.08869184
-1.0416155	-2.10554976
-1.0447248	-2.03816256
-1.0396036	-2.12240768
-1.0271664	-2.08869184
-1.0203991	-2.12240768
-1.0268006	-2.17293696
-1.0392378	-2.10554976
-1.0101567	-2.0718784
-1.0311902	-2.10554976
-1.0191188	-2.1897504
-1.0481999	-2.13922112
-1.0538698	-2.0718784
-1.038872	-2.03816256
-1.0310073	-2.05502048
-0.9971708	-2.05502048
-1.0253374	-2.15607904
-1.038872	-2.12240768
-1.0324705	-2.10554976
-1.0268006	-2.17293696
-1.0361285	-2.13922112
-1.0432616	-2.12240768
-1.0284467	-2.10554976
-1.0542356	-2.0718784
-1.0074132	-2.0718784
-1.046188	-2.10554976
-1.0268006	-2.17293696
-1.0390549	-2.12240768
-1.0167411	-2.10554976
-1.0264348	-2.0718784
-1.0342995	-2.08869184
-1.038872	-2.08869184
-1.0191188	-2.10554976
-1.0264348	-2.05502048
-1.0288125	-2.05502048
-1.0273493	-2.12240768
