"Aboutaha et al 1999, Test ORC3"	
8734	0
0.03058088	-0.01685792
-0.0089621	-0.03367136
-0.0129859	-0.01685792
0.000468224	-0.01685792
-0.00160952	-0.01685792
0.00521265	-0.01685792
-0.0080476	-0.01685792
-0.0186558	-0.01685792
0.01128493	-0.20211712
0.00502975	-0.2526464
0.00729771	-0.26950432
0.00546871	-0.2526464
0.00521265	-0.21897504
0.01525386	-0.2526464
-0.0089621	-0.20211712
-0.0029264	-0.2526464
-0.0129859	-0.23583296
0.01051675	-0.28636224
0.00521265	-0.2526464
-0.0139004	-0.30322016
-0.0069502	-0.3200336
0.00892552	-0.28636224
-0.0029264	-0.3200336
-0.00133517	-0.30322016
0.01589401	-0.35374944
0.0045725	-0.3200336
-0.0177413	-0.33689152
0.0020119	-0.35374944
-0.0060357	-0.40427872
-0.0195703	-0.42109216
0.0095108	-0.35374944
-0.00160952	-0.3200336
0.02392332	-0.35374944
-0.0235941	-0.40427872
-0.0034751	-0.3874208
0.02161878	-0.3200336
0.0140833	-0.3874208
0.01527215	-0.35374944
0.001143125	-0.35374944
0.00519436	-0.33689152
0.001406501	-0.28636224
-0.0032922	-0.2526464
0.01688167	-0.3200336
0.01527215	-0.26950432
0.0149978	-0.2526464
0.02136272	-0.28636224
0.001406501	-0.26950432
0.000479198	-0.3200336
-0.0170097	-0.28636224
0.00497488	-0.30322016
0.01580256	-0.30322016
0.01512583	-0.2526464
0.03217211	-0.28636224
0.00973028	-0.30322016
0.00718797	-0.26950432
0.01580256	-0.33689152
0.02295395	-0.3200336
-0.0069502	-0.30322016
0.00267034	-0.3200336
-0.0206677	-0.30322016
0.00698678	-0.3200336
0.00268863	-0.28636224
-0.0098766	-0.30322016
-0.0065844	-0.2526464
0.0060357	-0.28636224
0.00954738	-0.30322016
-0.0074989	-0.35374944
0.000126384	-0.30322016
0.00552358	-0.3200336
0.00568819	-0.28636224
-0.0100595	-0.35374944
0.00426157	-0.33689152
-0.0056699	-0.3200336
-0.0117056	-0.3200336
-0.00087792	-0.28636224
0.00618202	-0.28636224
-0.0074989	-0.35374944
0.00314588	-0.30322016
-0.0058528	-0.3200336
0.00568819	-0.28636224
-0.0223138	-0.28636224
-0.0049383	-0.3200336
0.00623689	-0.21897504
