"Aboutaha, Engelhardt, Jirsa and Kreger, Test SC9"	
966	
0	0
0.292095936	45.34260064
0.134099808	0.74966592
-0.34637472	-47.4308032
-0.1773936	1.841454208
0.335121504	46.42012864
0.00341376	-8.50070624
-0.390144	-51.2333984
-0.17361408	1.31124816
-0.19068288	1.014637728
0.057412128	21.2005113
0.513185664	64.37528128
0.791407104	89.55376352
0.6696456	40.547968
0.36825936	10.03123635
0.135440928	-5.52935328
-0.25822656	-36.95451776
-0.35856672	-48.6984832
-0.54083712	-68.4916384
-0.81832704	-94.4946464
-0.73993248	-54.3171968
-0.34369248	-9.09664928
-0.17763744	5.990330656
0.495763296	49.16659072
0.845442048	89.61799264
0.662257248	38.96364378
0.26468832	2.47711344
-0.20958048	-27.53325344
-0.4700016	-52.1834912
-0.84088224	-94.6209696
-0.72444864	-51.4660288
-0.25908	-1.67062432
-0.26005536	-2.10981984
0.231806496	26.36334493
0.699772032	69.19121984
0.931066464	98.84870464
1.22572272	134.6744979
1.225283808	111.3964682
0.91671648	55.16516352
0.641591808	24.62204189
0.157605984	-5.919176
-0.36600384	-40.43948128
-0.61593984	-67.244864
-0.87697056	-98.0010048
-1.20286272	-136.8044672
-1.21090944	-133.6575072
-0.93110304	-62.703456
-0.57570624	-25.63208928
-0.34515552	-5.85339008
-0.17300448	8.374102816
0.385035552	33.80941702
0.942392832	88.13916608
1.278319008	131.9920426
1.03430832	69.48696736
0.774667488	38.68921107
0.217834464	-2.0498608
-0.48255936	-46.9668768
-0.90732864	-89.3612096
-1.25504448	-137.418736
-1.21420128	-105.6702464
-1.042416	-76.7511296
-0.62313312	-29.26548256
-0.25200864	1.006822592
-0.25103328	0.412471936
0.496507008	39.61846944
0.889699008	77.68325248
1.264237248	128.611696
1.596005952	173.1396454
1.693054272	181.4198643
1.66951152	144.899249
1.212299328	69.50809536
0.932395392	42.15322006
0.26493216	-3.73903328
-0.39916608	-41.8761408
-0.72859392	-73.1598144
-1.08886752	-115.194304
-1.2612624	-140.881504
-1.61068512	-179.6436
-1.64445696	-141.4526272
-1.41268704	-103.536096
-1.08252768	-63.5699264
-0.6138672	-20.4356688
-0.359664	-2.02690912
-0.35125152	-2.55697728
0.717230976	55.20750848
1.108460064	93.99073248
1.473183744	134.8215043
1.78143408	183.4678125
1.78472592	177.6806976
1.712378592	147.4326963
1.610611968	129.5416838
1.313066208	81.14717696
0.994647744	49.39873184
0.701515488	25.17078275
-0.15337536	-17.8162416
-0.61033152	-51.0857248
-1.10776512	-97.3035584
-1.43146272	-139.571568
-1.7397984	-180.8663552
-1.7416272	-178.925248
-1.74674784	-154.99056
-1.59678624	-124.5110848
-1.30917696	-85.897552
-0.63191136	-22.31557152
-0.30016704	0.785374464
-0.30382464	0.129628064
0.565806336	41.05505334
1.062801024	85.47752736
1.494349056	133.5340752
1.74363888	172.2526253
2.08903824	220.6247142
2.058399744	175.9067907
1.697821344	117.62736
1.468855584	85.18213568
1.277209536	64.480432
0.90239088	33.55608118
0.0463296	-10.648512
-0.55193184	-47.2413184
-1.09374432	-95.3820224
-1.43060928	-136.1506112
-1.76869344	-179.9798688
-2.15359488	-224.3433312
-2.22040704	-213.483984
-2.17188288	-178.080128
-1.9366992	-140.692464
-1.5995904	-98.4867264
-1.08118656	-48.3822304
-0.45585888	-1.80913504
0.476487744	37.14702275
1.114909632	87.92757472
1.530729984	129.8157251
