"Amitsu et al. 1991, Specimen CB060C"	
381	
0	0
0.01976	36.772
0.032934	52.286
0.079042	77.564
0.13832	101.12
0.20419	124.68
0.24371	148.81
0.30958	172.36
0.33591	189.6
0.40838	215.46
0.46766	238.44
0.52695	264.3
0.61915	291.87
0.71796	315.43
0.797	336.69
0.89581	359.1
0.96167	376.91
1.0737	398.74
1.1395	413.1
1.2515	433.79
1.3701	451.03
1.5545	468.24
1.7191	479.76
1.9299	490.66
2.1012	499.87
2.2856	505.03
2.4503	505.6
2.5885	504.45
2.7402	493.55
2.7993	480.92
2.8257	471.13
2.8257	462.5
2.8324	450.45
2.839	434.94
2.8191	425.17
2.7927	407.93
2.7666	394.14
2.6083	345.31
2.5557	327.5
2.4503	302.21
2.3317	271.19
2.2724	251.65
2.2	232.69
2.0353	183.28
1.9233	154.55
1.7455	117.21
1.594	77.564
1.403	28.728
1.2976	0
1.2054	-27.004
1.0341	-52.86
0.96825	-77.564
0.86947	-110.31
0.77724	-140.19
0.65209	-176.39
0.51377	-211.44
0.3491	-245.91
0.11856	-286.7
0.046109	-297.04
-0.065867	-322.32
-0.21736	-351.05
-0.38862	-375.18
-0.59939	-398.74
-0.77066	-417.12
-0.96825	-437.81
-1.0737	-445.29
-1.2054	-448.71
-1.3503	-459.08
-1.5018	-472.29
-1.673	-486.08
-1.8311	-494.13
-1.9563	-496.98
-2.0814	-500.44
-2.2329	-504.45
-2.4239	-508.5
-2.5624	-511.34
-2.7071	-513.66
-2.7468	-513.66
-2.76	-499.29
-2.76	-469.4
-2.7402	-442.41
-2.6939	-407.36
-2.6939	-383.8
-2.6612	-366.56
-2.6083	-347.61
-2.4569	-310.26
-2.3317	-280.38
-2.2132	-249.35
-2.088	-218.9
-1.9365	-184.43
-1.8114	-154.55
-1.6335	-110.31
-1.4754	-75.843
-1.2712	-40.793
-1.021	-6.8948
-0.83652	18.386
-0.63891	46.539
-0.44133	74.117
-0.28324	97.1
-0.098801	122.38
0.059281	148.81
0.20419	171.22
0.40838	202.24
0.72453	243.03
0.98143	272.91
1.2186	302.79
1.5084	334.97
1.7389	358.52
2.0551	379.78
2.2724	387.25
2.4437	390.12
2.6347	390.69
2.8125	387.83
2.9378	384.95
2.9312	369.44
2.9246	349.9
2.918	334.97
2.9246	313.13
2.9312	291.87
2.9312	271.19
2.9312	250.51
2.9047	225.8
2.8588	193.63
2.7795	166.04
2.5359	122.96
2.4173	100.55
2.2461	75.265
1.9958	45.392
1.8311	27.578
1.6269	5.7455
1.4557	-12.066
1.212	-32.75
0.86947	-52.286
0.59939	-70.67
0.37544	-90.205
0.072453	-114.34
-0.19102	-142.49
-0.3952	-165.47
-0.60599	-189.03
-0.86286	-217.76
-1.0144	-237.87
-1.1724	-257.4
-1.4096	-282.11
-1.5545	-295.89
-1.7191	-313.7
-1.897	-336.69
-2.0353	-352.78
-2.1736	-368.86
-2.3186	-379.78
-2.4898	-390.69
-2.6347	-397.02
-2.6807	-397.59
-2.6873	-353.92
-2.6546	-321.18
-2.6149	-299.92
-2.503	-266.59
-2.3844	-236.72
-2.2132	-204.54
-2.0353	-166.04
-1.897	-137.89
-1.7521	-111.46
-1.5479	-78.712
-1.1593	-29.302
-0.97485	-10.342
-0.7048	13.215
-0.4479	39.069
-0.24371	59.754
-0.14491	69.522
0.16467	91.927
0.38862	108.02
0.55987	122.38
0.80358	143.07
0.97485	159.15
1.179	176.39
1.3503	191.33
1.4491	199.37
1.6533	220.06
1.7982	233.27
1.9694	249.35
2.1012	262.57
2.2527	278.66
2.3712	289
2.4635	298.77
2.5557	306.24
2.6741	312.56
2.8191	317.73
2.9047	322.9
2.9047	299.92
2.9113	282.11
2.9113	263.72
2.8915	241.89
2.8456	226.95
2.7468	198.79
2.6546	175.81
2.569	158
2.4503	134.45
2.3186	114.34
2.1341	89.058
1.9694	64.923
1.8509	49.413
1.706	27.578
1.5611	8.6184
1.3635	-15.513
1.1922	-29.877
0.98143	-48.261
0.797	-62.05
0.59281	-76.417
0.22395	-100.55
0.01976	-113.19
-0.15808	-126.4
-0.41496	-147.09
-0.68504	-167.77
-0.96167	-190.75
-1.1329	-205.69
-1.2976	-223.5
-1.4557	-244.19
-1.6533	-267.74
-1.8707	-287.85
-2.0221	-303.94
-2.1934	-321.18
-2.3515	-336.11
-2.5491	-353.35
-2.6479	-362.54
-2.7137	-363.12
-2.7005	-334.97
-2.6413	-307.96
-2.5951	-287.85
-2.5557	-264.3
-2.5096	-242.46
-2.4437	-220.06
-2.3712	-199.95
-2.2659	-178.69
-2.1802	-163.17
-2.1078	-149.96
-2.0221	-135.02
-1.9365	-121.23
-1.8377	-105.72
-1.6928	-87.906
-1.5479	-68.948
-1.3964	-51.708
-1.2515	-37.346
-1.0012	-18.386
-0.78382	-1.7236
-0.53353	15.513
-0.303	31.026
-0.085628	47.687
0.11198	62.05
0.35568	78.712
0.64552	97.674
0.88262	116.06
1.1856	136.74
1.3701	152.26
1.5084	163.17
1.7916	187.31
1.9958	202.82
2.1802	216.61
2.3449	228.67
2.4898	243.03
2.6215	259.12
2.76	275.78
2.8849	293.59
2.7402	263.14
2.5951	235.57
2.5228	214.31
2.4173	190.75
2.3054	167.77
2.1868	145.93
2.0353	117.78
1.9102	95.952
1.7982	76.99
1.6533	52.286
1.4886	29.877
1.3701	14.364
1.1198	-10.342
0.85628	-37.346
0.63233	-63.775
0.36886	-85.032
0.059281	-106.29
-0.2569	-129.85
-0.46109	-144.21
-0.92215	-178.11
-1.2251	-202.82
-1.4689	-226.95
-1.6928	-251.08
-1.9365	-275.21
-2.1341	-298.19
-2.3317	-316.58
-2.503	-332.67
-2.6149	-341.29
-2.7005	-348.75
-2.7005	-311.98
-2.6546	-287.28
-2.5819	-260.85
-2.4766	-232.69
-2.4108	-214.31
-2.3054	-193.05
-2.2132	-174.66
-2.1078	-153.41
-2.0287	-136.74
-1.9365	-120.66
-1.8114	-101.69
-1.7126	-90.205
-1.5611	-74.117
-1.4293	-60.328
-0.93533	-11.491
-0.67843	7.4691
-0.48743	21.258
-0.31615	34.473
-0.11856	49.987
0.1515	67.223
0.29642	76.99
0.42156	85.611
0.67843	100.55
0.87605	115.48
1.1724	140.77
1.3239	158.58
1.5413	179.84
1.785	205.12
2.0682	228.67
2.2461	241.31
2.5557	266.02
2.7269	279.23
2.8783	291.3
2.9903	274.06
3.0366	267.17
3.0958	260.85
3.1747	256.25
3.2603	253.38
3.3	248.78
3.3198	234.42
3.2934	217.18
3.2669	201.67
3.221	181.56
3.1222	149.38
3.0891	133.87
3.0432	116.64
3.0036	96.526
2.9576	70.67
2.9113	48.839
2.8588	27.004
2.8125	10.917
2.76	-3.4473
2.6017	-24.706
2.3844	-49.413
2.1802	-68.37
1.9233	-93.079
1.6665	-114.91
1.3898	-137.89
1.1132	-160.3
0.7048	-192.47
0.48085	-209.14
0.11198	-237.87
-0.22395	-262.57
-0.51377	-281.53
-0.94191	-310.84
-1.2712	-330.94
-1.5545	-348.18
-1.897	-362.54
-2.1144	-369.44
-2.2724	-371.16
-2.6281	-373.46
-2.9378	-372.31
-3.03	-371.74
-3.0498	-353.92
-3.0036	-321.75
-2.8915	-295.32
-2.7927	-270.04
-2.7203	-247.63
-2.6083	-220.63
-2.4832	-193.05
-2.3449	-167.77
-2.2329	-148.81
-2.1012	-129.28
-1.9958	-109.74
-1.8772	-92.505
-1.7521	-73.543
-1.6533	-58.602
-1.5413	-44.814
-1.3766	-29.302
-1.1593	-10.917
-1.0473	-2.2982
