Ang et al. 1981 Specimen 4	
534	
0	0
0.24615	7.9939
0.4923	15.013
0.73845	21.447
0.98461	30.415
1.1692	38.409
1.3538	44.649
1.5385	50.694
1.7231	56.93
2.0308	62.779
2.2769	69.215
2.6462	75.647
3.0155	81.496
3.6924	90.468
4.4308	97.874
5.1077	103.92
5.7231	108.99
6.4615	113.28
7.2616	118.74
7.1999	112.5
7.0155	106.26
6.7694	99.826
6.2154	88.128
5.6617	79.744
5.2309	72.333
4.6769	64.927
4.2461	57.713
3.5692	47.963
3.0155	39.384
2.7076	31.39
2.3385	23.006
1.9077	14.818
1.6	7.409
1.2308	1.3648
0.98461	-4.4845
0.73845	-10.334
0.36924	-20.082
-0.18461	-34.9
-0.61539	-43.089
-1.3538	-57.713
-1.6	-63.562
-2.4615	-75.26
-2.8923	-81.496
-3.3231	-87.345
-3.9385	-93.39
-4.4922	-99.826
-5.0462	-105.48
-5.6617	-111.72
-6.4	-117.57
-7.0769	-121.08
-7.0155	-110.94
-6.7076	-101.97
-6.3386	-93.194
-5.9693	-85.006
-5.5385	-77.6
-4.9845	-69.994
-4.554	-62.975
-4.0615	-55.76
-3.6924	-49.328
-3.1999	-41.724
-2.7076	-34.9
-2.3385	-29.831
-1.4769	-14.623
-0.92309	-6.0439
-0.4923	1.3648
0.061539	16.962
1.0461	33.535
1.7231	44.649
2.5231	55.177
3.1384	64.927
3.8153	73.699
4.2461	81.109
4.7384	88.515
5.3538	97.291
5.9078	104.31
6.5847	111.33
7.1999	118.35
8.1232	128.29
9.1077	135.5
10.585	143.89
11.939	149.54
14.031	156.76
15.939	161.63
18.031	165.72
19.631	168.06
19.815	163.58
19.323	152.66
18.708	138.23
17.846	128.48
16.862	117.96
15.692	108.4
14.769	99.044
13.538	87.933
11.815	74.09
9.7231	56.347
8.6769	46.989
7.6924	36.459
6.5847	26.516
5.7231	17.937
4.7384	8.7737
3.8768	0
3.1384	-7.6039
2.5231	-15.793
0.86154	-31.78
0.061539	-40.944
-1.1077	-56.152
-2.0923	-68.241
-2.6462	-75.064
-3.2616	-82.279
-3.7539	-88.128
-4.923	-99.631
-5.6617	-107.04
-6.4	-112.3
-7.8153	-125.76
-8.7384	-132.97
-9.7846	-140.18
-10.892	-146.42
-12.369	-153.44
-13.415	-157.15
-15.385	-161.24
-17.292	-162.02
-18.769	-162.41
-18.708	-153.44
-18.585	-144.08
-18.277	-132.78
-17.662	-120.69
-16.185	-103.14
-14.892	-91.051
-13.169	-77.404
-10.523	-54.399
-9.1691	-42.893
-7.8768	-32.17
-6.5847	-21.837
-6.5847	-21.642
-4.0615	-2.7296
-2.8923	8.3836
-1.2923	22.227
0	32.755
6.523	89.102
8.2461	101.58
9.8461	113.08
11.508	124.39
13.354	135.7
15.323	146.23
17.169	154.03
19.138	160.66
19.446	161.24
19.138	145.25
17.908	129.65
16.492	115.42
14.769	100.02
13.477	89.685
12.061	79.157
11.077	69.994
10.585	65.706
9.2309	52.251
7.6307	38.604
6.2154	28.076
4.9845	17.937
4	9.3586
2.5231	-4.2893
1.4769	-15.013
0.4923	-25.541
-0.98461	-38.994
0.4923	-25.151
-1.3538	-42.699
-6.6462	-84.423
-8.3076	-95.926
-9.9078	-105.87
-11.508	-115.23
-13.354	-124.98
-15.692	-137.07
-16.862	-143.31
-18.461	-149.35
-18.461	-141.74
-17.908	-127.9
-17.231	-115.62
-16.123	-102.55
-14.277	-86.763
-13.046	-77.404
-12	-69.411
-10.277	-55.569
-8.7384	-43.868
-8	-37.24
-6.5847	-27.101
-5.5385	-17.547
-4.0615	-5.2642
-2.9538	6.2392
-1.6615	16.183
-0.061539	28.856
0.86154	36.849
5.5999	76.43
6.9538	87.154
8.1846	96.513
9.9078	108.4
12	121.08
14.461	135.12
16.554	146.42
18.954	156.95
21.908	164.55
24.923	168.45
26.769	169.23
29.108	167.09
30.03	165.92
31.262	164.75
33.724	164.95
35.507	165.34
37.17	164.75
38.646	165.14
38.707	157.93
38.031	140.97
36.86	123.22
35.446	109.77
33.785	96.513
32.492	86.567
31.077	77.6
29.909	70.385
27.569	56.152
26.401	49.911
24.615	39.774
21.354	23.202
19.077	13.063
16.862	4.0944
14.646	-3.5095
11.939	-14.038
10.092	-21.252
8.2461	-29.051
5.2309	-40.164
3.0155	-49.72
1.0461	-58.883
-0.55385	-67.267
-1.9077	-73.503
-7.4463	-100.02
-9.5385	-109.96
-11.077	-116.4
-12.738	-123.42
-15.939	-135.9
-18.708	-144.86
-21.046	-150.32
-23.631	-155
-25.662	-155.39
-29.784	-155
-33.045	-155.98
-35.631	-156.36
-37.661	-156.17
-37.6	-148.37
-37.414	-135.31
-36.8	-122.44
-36.06	-112.11
-35.385	-102.55
-34.338	-93.003
-33.292	-84.814
-31.999	-75.064
-30.955	-68.437
-28.677	-54.982
-25.969	-36.07
-23.569	-23.202
-21.477	-12.868
-18.461	1.7547
-15.815	11.113
-12.985	20.862
-9.7846	31.195
-7.1999	38.604
-3.7539	48.55
-1.6615	55.373
1.7231	65.51
7.5692	85.006
11.446	97.095
14.646	106.85
17.6	114.64
21.046	123.61
23.754	130.24
27.262	137.46
30.216	142.72
34.707	149.54
36.924	153.05
39.014	154.61
38.892	149.35
38.278	140.18
37.724	128.1
37.17	119.71
36.307	110.94
35.385	102.94
34.463	95.926
32.309	80.914
30.77	70.777
27.937	54.59
26.337	45.819
24.985	37.629
23.692	30.415
22.277	23.981
19.323	9.7487
17.662	3.1195
16.554	-1.1698
14.031	-10.723
10.461	-23.591
8.3693	-30.806
6.2154	-38.019
3.4463	-47.38
0.8	-56.543
-1.0461	-62.196
-7.2616	-83.253
-9.8461	-91.442
-12.369	-98.265
-14.523	-104.31
-18.092	-112.3
-22.708	-123.42
-26.03	-130.44
-27.755	-133.75
-29.662	-137.26
-31.57	-140.18
-33.785	-143.89
-35.878	-146.03
