"Arakawa et al. 1982, Specimen 102"	
1597	
0	0
0.21597	46.877
0.32395	54.194
0.40495	54.719
0.43193	54.194
0.48593	52.277
0	0.17426
-0.51293	-39.383
-0.56693	-49.488
-0.59393	-57.33
-0.6479	-63.428
-0.7289	-69.353
-0.80988	-72.316
-0.86388	-75.629
-0.89088	-72.142
-0.91788	-70.052
-0.94485	-66.044
-0.89088	-62.036
-0.78288	-54.541
-0.6209	-44.087
-0.56693	-32.412
0.026995	0
0.32395	48.617
0.35095	54.194
0.40495	57.504
0.53993	63.428
0.53993	66.217
0.56693	62.557
0.48593	55.938
0.32395	47.745
0.24297	40.602
-0.053993	0.52277
-0.48593	-42.345
-0.59393	-50.885
-0.7289	-58.549
-0.78288	-66.044
-0.91788	-76.675
-1.0529	-81.203
-1.1878	-85.388
-1.2418	-87.652
-1.3228	-94.969
-1.4578	-98.977
-1.4308	-96.192
-1.2688	-84.516
-1.1338	-78.418
-0.94485	-66.044
-0.7289	-49.662
-0.51293	-35.375
-0.026995	0.17426
0.78288	69.006
0.6479	68.134
0.7019	76.848
0.86388	86.082
1.1338	93.052
1.0799	90.615
0.99885	86.954
0.83688	74.411
0.7289	65.697
0.45893	50.707
0	0.52277
-0.6749	-46.353
-1.2148	-76.323
-1.5118	-100.2
-1.8627	-109.61
-1.9707	-112.22
-1.9167	-114.84
-2.1327	-115.19
-1.9977	-109.43
-1.7818	-98.63
-1.5118	-86.954
-0.97185	-61.164
0	0
0.48593	44.262
0.91788	77.72
1.3498	102.46
1.4578	110.13
1.7278	112.22
1.6198	109.09
1.4578	99.328
1.2418	86.78
1.0799	78.592
0.86388	66.742
-0.053993	0.34852
-0.6749	-38.511
-1.3498	-72.316
-1.5928	-87.305
-1.6198	-99.502
-1.9437	-113.09
-2.1867	-120.06
-2.2137	-123.73
-2.3217	-124.94
-2.4027	-126.16
-2.3757	-124.25
-2.3217	-121.98
-2.2677	-117.97
-2.2137	-115.19
-2.1867	-111.7
-1.9977	-104.73
-1.8357	-98.11
-1.7278	-89.569
-1.5388	-81.901
-1.3498	-72.494
-1.1069	-58.029
-0.080988	-0.52277
0.16198	31.541
0.89088	69.006
1.1338	82.426
1.4308	97.411
1.6738	109.96
1.8627	116.75
1.9707	121.11
2.0787	123.03
2.1597	124.25
2.2407	122.85
2.1057	117.28
1.8897	108.74
1.7278	94.969
1.4038	82.248
0.6209	45.654
-1.0259	-64.825
-1.3768	-76.501
-1.7548	-90.962
-2.1327	-106.47
-2.4567	-116.06
-2.6187	-123.73
-2.7536	-130.34
-2.8077	-132.61
-2.8885	-134.35
-3.0236	-134.7
-3.0236	-132.43
-2.9157	-128.25
-2.5916	-117.62
-2.2677	-104.73
-1.9707	-90.788
-1.6468	-78.418
-1.3498	-66.391
-0.97185	-49.84
0.053993	0.17426
0.7019	55.765
1.3498	84.165
1.8087	100.2
2.1057	110.13
2.3757	118.85
2.3217	121.98
2.3487	125.12
2.4297	127.73
2.5376	130.52
2.6187	132.43
2.5646	129.47
2.4027	126.34
2.2677	123.55
2.1597	116.93
2.0247	108.22
1.7278	97.06
1.4038	85.909
1.1338	72.142
0.91788	58.202
0.48593	37.466
0.053993	0.17426
-0.91788	-43.39
-1.7818	-79.464
-2.0517	-89.222
-2.0517	-95.321
-2.1327	-101.59
-2.4567	-107.69
-2.6726	-115.53
-2.8346	-122.5
-3.0236	-126.69
-3.1316	-130.87
-3.1316	-134.88
-3.2395	-137.14
-3.3475	-139.23
-3.4285	-140.63
-3.4554	-139.23
-3.4826	-137.49
-3.4285	-135.05
-3.2664	-131.91
-3.2664	-131.04
-3.2126	-128.43
-3.1857	-125.64
-3.1316	-123.55
-2.9967	-120.94
-2.8616	-117.62
-2.7805	-114.66
-2.7267	-112.57
-1.7548	-74.059
-0.78288	-34.155
0	0.34852
0.6479	45.481
1.5928	90.788
2.1057	111.35
2.4837	123.73
2.6457	127.21
2.8885	131.04
2.9157	133.83
2.9426	137.31
3.1585	139.93
3.2126	137.49
3.1316	134.35
3.0236	129.3
2.7805	122.68
2.5106	117.97
2.3487	112.4
2.1867	103.34
1.7818	92.879
1.4848	84.69
1.2958	75.104
0.7019	51.232
0.16198	26.487
0	0
-1.3768	-58.376
-1.7818	-75.976
-2.0247	-85.388
-2.3487	-94.796
-2.6457	-105.43
-2.9426	-116.58
-3.2664	-126.34
-3.5364	-134.53
-3.6985	-141.15
-3.8064	-144.11
-4.0223	-146.38
-4.0223	-145.85
-4.0223	-144.46
-3.9144	-142.89
-3.8334	-141.5
-3.7526	-138.71
-3.7795	-136.27
-3.6985	-132.26
-3.2936	-122.85
-3.0236	-109.96
-2.6995	-102.12
-2.4027	-92.185
-2.2407	-83.298
-1.9437	-74.233
-1.7008	-66.044
-1.3768	-52.451
-1.1878	-41.996
-0.99885	-34.852
-0.026995	0.17426
1.1069	66.742
1.8087	96.015
2.3487	110.13
2.8885	125.46
3.4016	141.32
3.5364	143.24
3.5905	144.28
3.6716	146.2
3.7526	144.98
3.6985	141.85
3.5636	137.31
3.3475	131.39
3.0775	124.07
2.8616	115.71
2.4837	106.82
2.1867	96.015
1.8627	83.645
1.5388	72.667
1.1069	58.9
0.6209	40.777
0.18897	24.048
0	0.17426
-1.4038	-47.923
-1.6198	-57.682
-1.9167	-67.961
-2.1597	-77.546
-2.4297	-84.863
-2.6187	-93.23
-2.6995	-98.803
-3.0775	-108.74
-3.4826	-121.28
-3.8334	-130.34
-4.1575	-136.1
-4.3734	-140.97
-4.5082	-145.68
-4.6164	-150.04
-4.6972	-153.35
-4.8054	-151.95
-4.7244	-146.73
-4.5354	-138.88
-3.8334	-125.82
-3.5636	-114.31
-3.2126	-103.86
-2.8077	-93.23
-2.4027	-80.509
-2.0517	-67.788
-1.5388	-49.662
-1.0259	-36.072
0.10799	0.17426
1.7548	78.592
2.1057	92.358
2.3757	104.55
2.4837	110.13
2.9426	122.33
3.1585	127.91
3.5905	138.71
3.8334	145.68
3.9685	149.86
4.0223	150.39
4.1303	151.43
4.1034	148.82
4.1034	146.38
3.9416	143.07
3.6175	135.05
3.4554	125.29
3.0775	117.1
2.7536	107.34
2.3217	93.75
2.0247	85.909
1.7278	77.72
1.5658	70.052
1.2688	62.21
1.1069	53.67
0.86388	46.353
0.6479	38.511
0.32395	22.479
-0.053993	0.52277
-1.5388	-49.488
-1.7548	-56.983
-1.9707	-67.089
-2.2947	-77.373
-2.5106	-86.082
-2.9967	-98.803
-3.3475	-108.04
-3.6175	-116.75
-3.9416	-128.25
-4.4003	-136.27
-4.6164	-143.07
-4.7513	-149.16
-4.8054	-152.65
-5.0213	-154.04
-5.0483	-150.21
-5.0483	-144.98
-4.8054	-139.06
-4.5623	-134.7
-4.1303	-124.25
-3.7526	-113.79
-3.5636	-106.3
-3.2395	-99.155
-2.8616	-88.871
-2.6187	-81.901
-2.4567	-75.278
-2.2677	-68.833
-1.9977	-61.338
-1.8357	-55.938
-1.7548	-51.93
-1.5388	-44.087
-1.2148	-34.852
-0.94485	-27.707
-0.40495	-13.592
-0.026995	0
0.37795	28.056
0.7289	42.345
1.5388	69.705
1.8897	80.856
2.1597	88.871
2.5646	99.328
2.8346	108.04
3.0505	117.28
3.3746	124.07
3.6985	131.74
3.9144	138.54
4.1303	144.11
4.3464	148.82
4.5082	152.65
4.5082	154.57
4.7513	155.27
4.6972	153.87
4.6434	150.73
4.3734	144.64
4.3193	141.5
4.1844	135.05
3.8875	126.69
3.5095	118.49
3.1316	109.26
2.7805	101.42
2.4567	93.052
2.1327	83.818
1.8627	77.195
1.5928	70.398
1.3498	64.825
1.1069	58.029
0.86388	49.84
0.56693	39.383
0.32395	28.578
0.26995	18.646
0.053993	9.0615
-0.10799	0
-0.29695	-9.9328
-0.53993	-20.911
-0.7019	-29.798
-2.1867	-66.916
-2.4567	-79.637
-2.7805	-87.826
-3.0775	-94.449
-3.2936	-99.849
-3.5636	-108.91
-3.7526	-114.84
-3.9954	-121.28
-4.2385	-127.91
-4.5082	-134
-4.8054	-139.4
-4.9134	-143.07
-4.9944	-147.25
-5.0213	-149.69
-5.2642	-153.17
-5.3183	-154.74
-5.5342	-156.83
-5.6152	-156.31
-5.5342	-154.04
-5.4262	-151.61
-5.4262	-149.52
-5.3452	-145.68
-5.1562	-140.97
-4.9134	-135.92
-4.7782	-130.87
-4.6164	-126.34
-4.3464	-121.63
-4.1034	-116.06
-3.8605	-109.26
-3.5905	-102.29
-3.4554	-97.238
-3.1857	-91.833
-2.9967	-85.388
-2.9157	-80.856
-2.6726	-75.456
-2.4837	-70.052
-2.2137	-63.606
-2.0787	-58.9
-1.8627	-51.757
-1.7278	-46.179
-1.4308	-40.428
-1.2418	-35.375
-1.1878	-29.972
-1.0259	-23.873
-0.86388	-18.646
