"Arakawa et al. 1989, Specimen AO2"	
488	
0	0
0.066605	15.406
0.14653	28.283
0.20648	33.82
0.4396	50.067
0.67271	66.435
0.79259	81.723
0.83256	92.794
0.96577	104.59
1.1323	111.33
1.2055	114.94
1.2921	118.67
1.3321	119.51
1.3588	115.54
1.3454	109.04
1.2388	100.02
1.1256	90.988
1.039	83.164
0.95245	76.786
0.85254	71.132
0.726	63.789
0.63275	57.17
0.51952	51.272
0.43293	43.81
0.33969	34.783
0.2531	28.645
0.1865	23.59
0.099907	15.526
0.059944	9.8692
0.013321	1.4443
-0.033302	-13.36
-0.17983	-31.172
-0.30639	-42.004
-0.38631	-55.965
-0.45291	-68.842
-0.93247	-101.7
-1.0857	-107.24
-1.2522	-113.13
-1.3122	-115.54
-1.4253	-108.8
-1.3188	-103.02
-1.1789	-91.713
-1.079	-78.952
-0.96577	-65.114
-0.85254	-54.764
-0.6927	-45.014
-0.59944	-35.385
-0.5395	-25.997
-0.4396	-20.34
-0.33969	-13.961
-0.23312	-9.7487
-0.073265	0.12035
0.093247	10.591
0.13987	24.071
0.21313	34.783
0.36633	58.011
0.51285	76.546
0.77262	93.395
0.97243	106.03
1.2388	116.39
1.5985	126.74
1.7451	129.62
1.8316	130.58
1.9182	130.58
1.9315	129.5
1.9449	126.01
1.9182	120.35
1.8849	114.7
1.7983	108.2
1.6984	101.82
1.5785	93.635
1.4986	89.302
1.392	81.843
1.2788	73.659
1.2055	67.16
1.119	60.537
1.059	56.93
1.0057	53.318
0.97909	51.752
0.93247	49.226
0.84588	42.365
0.76595	37.792
0.726	35.144
0.67937	31.654
0.64606	29.126
0.60611	27.08
0.52617	23.469
0.47955	21.062
0.43293	18.535
0.38631	16.128
0.30639	13.119
0.23978	10.712
0.1865	8.7861
0.17318	8.425
0.099907	1.9257
0.039963	-2.4071
0.019981	-9.0268
-0.046623	-17.211
-0.22645	-35.144
-0.39963	-56.205
-0.54616	-72.333
-0.69935	-82.684
-0.85254	-92.194
-0.99242	-101.22
-1.2388	-111.21
-1.4187	-114.7
-1.6918	-117.47
-1.7917	-118.07
-1.8449	-117.83
-1.8915	-116.02
-1.825	-105.19
-1.7583	-96.526
-1.6185	-84.129
-1.4454	-73.779
-1.1922	-56.325
-1.0124	-46.7
-0.81924	-38.393
-0.63941	-29.006
-0.53284	-21.544
-0.37965	-13.961
-0.29972	-11.313
-0.13987	-3.4903
0.039963	6.3789
0.093247	17.211
0.1865	33.579
0.33969	50.672
0.45957	66.676
0.51285	67.28
0.56614	73.299
0.65938	77.871
0.84588	84.61
1.0124	92.434
1.2122	101.46
1.392	109.76
1.5719	115.9
1.7184	119.51
1.865	122.4
1.9849	125.17
2.1913	127.82
2.2313	127.94
2.3645	126.74
2.471	122.16
2.5043	120.23
2.5509	114.46
2.4378	104.83
2.3312	99.053
2.1713	89.543
2.0714	83.404
2.0048	77.026
1.9515	72.333
1.8583	67.04
1.7983	63.909
1.6918	59.937
1.5452	53.438
1.452	48.381
1.3454	44.291
1.2388	40.319
1.1056	34.422
0.99242	30.45
0.89916	26.237
0.67937	15.526
0.58612	8.425
0.16651	-2.046
0	-9.3879
-0.079926	-15.767
-0.11989	-21.905
-0.1865	-28.283
-0.25975	-34.542
-0.3197	-39.718
-0.5062	-49.346
-0.71267	-57.771
-0.87253	-66.555
-1.0324	-75.345
-1.2655	-85.815
-1.4653	-94.6
-1.6518	-101.1
-1.7917	-105.43
-1.9182	-108.32
-2.0514	-109.88
-2.1847	-108.32
-2.2446	-103.38
-2.2379	-97.487
-2.1514	-87.981
-1.9582	-75.945
-1.8316	-63.669
-1.6252	-53.678
-1.4253	-45.494
-1.1789	-36.588
-0.97243	-27.562
-0.85254	-20.22
-0.63941	-11.313
-0.4396	-4.0921
-0.13321	5.1752
0.013321	9.508
0.026642	12.156
0.12655	19.979
0.30639	28.885
0.49954	35.385
0.76595	41.523
1.0857	55.124
1.4187	66.916
1.7318	76.906
2.0315	86.055
2.2247	95.321
2.4111	101.46
2.6375	106.88
2.7375	108.44
2.8174	108.2
2.8707	104.83
2.7042	92.914
2.5843	85.815
2.4244	77.871
2.3245	71.613
2.138	62.343
1.9116	53.078
1.8383	48.381
1.5653	40.801
1.2921	31.533
1.1256	24.793
0.93247	18.174
0.65938	8.9062
0.46623	3.37
0.16651	-2.7682
-0.019981	-10.952
-0.17318	-15.767
-0.30639	-21.544
-0.55949	-30.209
-0.78594	-37.551
-0.98575	-46.335
-1.1056	-52.838
-1.4054	-60.537
-1.6585	-68.842
-1.8782	-75.825
-2.0182	-81.603
-2.1446	-87.621
-2.1847	-92.914
-2.2713	-95.321
-2.3512	-97.247
-2.4045	-98.212
-2.4844	-99.533
-2.5244	-100.26
-2.571	-100.26
-2.5909	-100.14
-2.6043	-97.127
-2.5509	-91.469
-2.5043	-86.896
-2.491	-82.564
-2.4577	-77.391
-2.3711	-69.927
-2.2779	-64.149
-2.198	-59.577
-2.0514	-51.993
-1.9582	-47.42
-1.8915	-44.05
-1.8449	-40.921
-1.725	-36.107
-1.5452	-30.089
-1.4187	-26.358
-1.2189	-21.183
-1.0657	-17.331
-0.98575	-15.165
-0.79926	-10.712
-0.62608	-7.1008
-0.46623	-3.4903
-0.23978	0.96286
-0.066605	4.5734
0.059944	7.2213
0.059944	7.1008
0.2531	12.276
0.43293	18.535
0.5395	24.312
0.71267	30.45
0.86586	34.783
