"Arakawa et al. 1989, Specimen OA5"	
346	
0	0
0.21485	44.653
0.23438	52.847
0.27995	70.305
0.37761	90.61
0.46874	106.76
0.53386	119.47
0.61849	130.04
0.68359	133.24
0.76172	133.96
0.8138	130.99
0.85937	120.54
0.94402	111.28
0.89844	101.3
0.72266	90.73
0.66406	81.705
0.66406	76.243
0.65756	70.305
0.64452	62.228
0.54036	54.866
0.42969	47.385
0.40364	42.158
0.36458	35.627
0.32553	29.333
0.22786	20.189
0.15625	14.963
0.013021	7.1253
0.0065104	-2.0189
-0.058594	-14.607
-0.16276	-26.839
-0.19531	-33.964
-0.20833	-41.327
-0.20183	-52.371
-0.22786	-60.092
-0.29296	-67.69
-0.29948	-76.123
-0.39063	-88.115
-0.46874	-96.072
-0.57292	-100.71
-0.63151	-103.2
-0.70312	-105.45
-0.75521	-106.64
-0.82682	-107.36
-0.88542	-107.24
-0.91145	-106.41
-0.92448	-104.74
-0.9375	-102.72
-0.9375	-100.47
-0.9375	-93.817
-0.92448	-85.86
-0.79427	-75.647
-0.67709	-65.079
-0.66406	-56.054
-0.61849	-47.976
-0.56641	-40.377
-0.48828	-28.383
-0.45573	-23.276
-0.39714	-17.576
-0.32553	-12.588
-0.26041	-6.2939
-0.14323	2.2564
-0.032553	14.013
-0.019531	24.82
0.052083	38.121
0.1823	52.371
0.35808	64.367
0.59244	78.022
0.72266	87.759
0.86589	100.82
1.0026	106.53
1.1328	109.85
1.2565	111.63
1.3607	111.51
1.3672	108.54
1.3086	102.25
1.2435	95.596
1.25	86.692
1.1654	79.686
1.1328	74.104
1.0742	69.473
0.95703	63.415
0.89844	59.376
0.80729	54.27
0.76172	49.996
0.72266	45.841
0.65104	41.09
0.59244	36.933
0.50781	32.776
0.35808	25.889
0.14975	18.763
0.0065104	0.71253
0	-8.5504
-0.039063	-14.607
-0.13021	-24.582
-0.2474	-34.795
-0.41016	-45.009
-0.51432	-54.626
-0.63151	-63.535
-0.75521	-74.695
-0.90495	-85.268
