"Atalay and Penzien, 1975, Spec. 10"	
1623	
0	0
0.14418	3.2379
0.14418	4.015
0.14418	4.7923
0.14418	5.8282
0.14418	5.6988
0.48059	7.9005
0.8651	9.4547
1.2015	11.656
1.586	13.988
2.2588	17.485
2.6914	21.5
2.9317	24.867
3.0759	25.903
3.7488	29.4
4.3734	32.768
4.9982	36.394
5.6231	40.409
6.0076	42.74
6.6805	45.721
7.209	48.439
7.8339	51.161
8.4587	54.528
8.6027	55.302
8.8913	55.822
9.1796	56.209
9.4679	56.601
9.6121	56.73
9.6121	53.879
9.6121	51.027
9.5641	48.826
9.5641	47.923
9.5159	45.979
9.2756	44.165
8.747	41.963
7.257	37.042
8.1222	38.078
6.9207	32.897
6.1999	29.659
5.6711	26.68
4.9502	22.925
4.3254	19.686
3.8928	17.226
3.3162	13.34
2.9797	11.398
1.9705	5.1806
1.2015	1.6837
0.52868	-1.9428
-0.14418	-5.6988
-1.4899	-12.693
-2.6434	-18.65
-3.4122	-24.09
-3.8448	-27.587
-4.2294	-30.566
-5.0945	-35.358
-5.8153	-38.984
-6.4402	-42.093
-7.161	-45.85
-7.8339	-48.697
-8.651	-50.769
-9.0833	-50.125
-9.1796	-47.66
-8.8913	-44.036
-8.3144	-39.762
-7.7859	-36.265
-7.0168	-31.991
-6.2479	-27.846
-5.527	-23.572
-5.0945	-20.723
-4.3254	-15.283
-3.6525	-11.527
-2.7874	-6.217
-2.1147	-2.5903
-1.586	0.25903
-0.8651	4.7923
-0.19224	8.2893
0.43254	11.656
1.9705	20.593
3.0759	26.162
3.7005	29.53
4.6619	34.452
5.3348	37.689
5.8153	40.28
6.2479	42.223
6.9207	44.424
7.5456	46.624
8.3144	50.382
8.699	51.935
9.5641	54.657
9.6121	54.915
9.0353	50.382
8.4587	47.144
8.0742	45.072
7.209	40.409
6.7285	37.56
6.2959	34.193
5.6711	30.566
4.9022	26.292
4.4696	23.572
3.9891	20.982
3.5565	17.873
3.1239	14.895
2.5954	11.268
1.4899	4.533
0.28837	-1.9428
-0.28837	-5.6988
-0.7209	-8.4187
-2.4991	-18.78
-3.4122	-23.702
-3.9411	-26.939
-4.3734	-29.271
-4.9502	-31.861
-5.4308	-34.063
-6.1516	-37.042
-6.9687	-40.28
-7.6416	-43.129
-8.0742	-45.072
-8.3624	-46.495
-8.9873	-49.088
-9.1316	-49.088
-8.699	-43.388
-8.5067	-41.186
-8.2664	-39.244
-7.9781	-36.653
-7.6896	-34.581
-7.257	-31.473
-6.4402	-27.199
-5.1905	-20.982
-4.1331	-15.412
-3.2682	-10.62
-2.0185	-3.3674
-1.2496	1.5542
-0.33642	7.3823
0.8651	13.211
1.5379	17.096
2.7394	22.666
3.7005	27.587
4.4696	33.156
4.9022	35.358
5.575	39.114
6.3919	41.963
7.4013	44.685
8.1702	46.757
8.4587	47.144
7.9781	42.093
7.209	37.689
5.8153	30.696
4.5176	23.96
3.4122	16.967
2.7394	12.175
1.5379	5.31
0.67285	-0.38855
0.19224	-3.497
-0.62479	-9.9729
-1.7302	-15.672
-2.7874	-20.723
-3.7968	-25.515
-4.9982	-30.955
-5.6231	-33.674
-6.0556	-35.876
-6.7765	-38.855
-7.4973	-41.834
-8.3144	-45.201
-8.9393	-48.052
-8.747	-44.814
-8.2664	-40.798
-7.7859	-37.689
-7.257	-34.322
-6.8727	-31.602
-6.1999	-26.68
-5.527	-22.536
-4.8059	-18.521
-4.0851	-14.506
-3.4602	-11.009
-2.8357	-8.03
-2.3069	-5.1806
-1.6821	-1.2952
-0.91316	3.2379
-0.48059	5.5693
0.14418	9.0664
0.91316	12.433
1.6821	15.801
2.4991	19.557
3.7488	25.774
4.3734	28.623
5.0945	31.991
5.6711	35.229
6.4402	38.596
6.9207	40.28
7.3533	41.704
7.7859	42.74
7.0648	37.819
6.0556	31.732
5.6231	29.53
4.9982	25.385
4.2774	21.5
3.7005	18.262
3.0277	14.376
2.0666	8.6776
1.1054	2.9789
0.2403	-2.0723
-0.67285	-7.5118
-1.3457	-11.009
-2.6434	-19.298
-3.5085	-23.831
-4.3734	-28.494
-4.7099	-30.048
-5.527	-33.933
-6.3919	-38.207
-7.4973	-43.129
-8.5067	-47.144
-9.3718	-50.125
-8.795	-43.259
-7.7376	-36.394
-6.6805	-29.919
-6.0076	-25.774
-5.3348	-21.759
-4.7579	-18.65
-2.9797	-8.9365
-2.3069	-4.9217
-0.81702	2.8494
0.28837	9.0664
1.2496	14.118
2.6914	22.666
3.7488	27.199
5.2385	33.674
5.9113	36.524
6.7765	40.28
8.6027	47.923
8.9393	49.604
9.7081	52.455
10.766	56.209
11.727	57.766
13.649	63.206
14.226	64.887
14.899	66.702
15.475	67.868
16.148	69.033
16.485	69.678
17.013	70.585
17.638	71.364
18.119	71.884
18.695	72.658
18.984	73.178
19.416	73.823
19.897	75.118
20.281	76.933
19.753	74.86
19.08	70.977
18.599	67.61
17.975	63.722
17.206	59.319
16.581	56.467
15.523	52.455
14.61	49.346
13.553	44.943
12.304	39.114
11.054	35.358
9.8044	32.12
8.1702	27.069
5.7191	18.132
5.2868	16.449
4.2294	12.045
2.7394	5.8282
1.4418	0.51806
0	-5.4399
-2.1147	-16.708
-2.7874	-20.205
-3.9891	-27.069
-5.0945	-32.379
-6.4402	-38.726
-8.0261	-44.943
-9.0833	-48.826
-10.381	-52.584
-11.486	-55.951
-12.688	-59.319
-13.841	-62.428
-14.899	-65.666
-16.293	-68.775
-17.638	-71.751
-18.551	-73.952
-19.513	-75.251
-20.281	-75.767
-20.041	-72.787
-19.32	-67.347
-18.263	-61.907
-16.869	-56.338
-15.86	-52.326
-15.139	-49.217
-14.226	-46.108
-12.736	-41.057
-11.967	-38.467
-10.093	-32.379
-9.2276	-28.623
-8.2184	-24.479
-6.9687	-19.169
-5.8153	-14.376
-4.3254	-8.807
-2.9797	-3.2379
-1.9224	0.90664
-1.0573	4.274
-0.2403	7.5118
0.57673	11.268
1.586	15.153
3.7968	24.997
4.9502	28.882
5.9596	32.638
6.8245	35.617
8.0261	38.726
8.9393	41.575
9.4198	43.129
10.141	45.85
10.958	48.959
11.534	51.161
12.159	52.713
13.409	56.338
14.082	58.024
14.755	59.577
15.668	61.52
16.1	62.815
16.533	63.851
17.061	65.145
17.734	66.831
18.551	68.646
19.032	69.811
19.224	71.364
19.513	72.271
19.993	73.823
20.33	75.251
20.233	72.013
19.945	69.42
19.801	68.513
19.368	66.311
18.743	63.464
18.167	60.484
17.59	58.153
16.869	55.435
15.812	51.548
14.851	48.31
14.13	45.33
13.457	43
11.054	34.84
10.814	34.322
8.5067	27.717
6.7285	21.888
5.6231	17.744
3.9891	12.433
2.9317	6.3464
2.0185	2.4608
0.96121	-2.2018
0.28837	-5.1806
-0.48059	-9.0664
-0.91316	-11.398
-1.3937	-13.47
-3.22	-21.241
-3.6525	-24.22
-4.3254	-27.328
-5.0462	-29.919
-5.9113	-32.768
-6.6805	-35.487
-7.7859	-38.855
-8.6027	-41.575
-9.1796	-43.906
-9.7561	-46.108
-10.333	-48.31
-10.814	-49.862
-11.342	-51.548
-11.823	-52.971
-12.592	-55.044
-13.12	-56.601
-13.793	-58.54
-14.418	-60.097
-15.187	-61.907
-16.196	-64.5
-16.485	-65.274
-17.302	-67.476
-18.263	-70.327
-18.695	-71.622
-19.224	-73.178
-18.84	-67.476
-17.734	-61.778
-17.109	-58.669
-16.485	-55.435
-14.514	-48.181
-13.601	-44.295
-12.592	-40.28
-11.486	-36.265
-10.573	-32.638
-9.5159	-28.753
-8.747	-25.903
-7.3533	-20.723
-6.1999	-16.449
-4.0851	-8.6776
-3.172	-4.6624
-2.3069	-0.77711
-1.4418	3.6265
