"Atalay and Penzien, 1975, Spec. 5"	
1689	
0	0
0	1.5885
0.049657	2.2504
0.049657	3.4418
0.099314	4.633
0.3476	6.6191
0.89383	9.6637
1.3904	12.179
2.1353	16.812
2.8303	19.989
3.6746	24.49
4.7173	28.726
5.7602	32.83
6.2568	34.683
6.9022	37.331
8.2431	43.023
8.5905	44.613
8.9383	46.731
9.4844	49.244
9.7328	50.169
9.7328	48.981
9.5837	47.393
9.1864	43.817
8.6898	39.184
8.2926	35.345
7.4485	31.506
6.2568	25.946
5.6111	22.901
5.0152	20.519
4.1214	16.282
3.3269	11.252
2.3835	7.1484
1.887	4.3685
0.79451	-0.79428
0.099314	-3.9714
-0.59588	-7.413
-1.589	-12.444
-2.4828	-18.665
-3.178	-23.563
-3.6248	-26.873
-3.9726	-30.05
-5.3132	-36.801
-6.4056	-41.567
-7.1008	-44.214
-8.0444	-46.993
-8.6403	-48.581
-9.1864	-50.436
-9.1369	-47.522
-8.8389	-43.685
-8.4417	-39.448
-7.9451	-36.536
-7.4485	-33.359
-6.8527	-30.314
-5.9588	-25.681
-4.4193	-19.062
-1.7877	-5.2949
-0.29794	2.5152
1.9366	12.84
3.178	18.4
5.0152	27.8
5.6609	31.903
7.2995	38.257
8.4912	41.699
9.9314	45.143
9.5837	42.361
8.8885	38.257
7.8458	32.168
6.8029	27.402
5.9091	24.093
5.065	20.519
3.9726	14.959
3.3269	11.252
2.7808	7.8102
1.6387	1.7209
0.84417	-2.6475
0	-6.6191
-0.74485	-10.458
-1.9366	-15.62
-3.1283	-22.24
-4.5187	-28.329
-5.8595	-34.551
-6.9022	-38.787
-8.0444	-44.214
-8.6403	-46.993
-9.0871	-48.714
-9.4844	-50.703
-9.7823	-51.89
-9.8321	-50.703
-9.1864	-45.272
-8.7892	-40.11
-8.2926	-36.536
-7.4981	-32.565
-6.7534	-28.991
-5.6111	-23.828
-4.7173	-19.724
-3.6248	-15.091
-2.6317	-9.7958
-0.99314	-1.9857
-0.24828	3.0447
0.64554	8.2074
1.6387	13.238
2.5822	18.665
4.0719	24.49
5.5118	31.506
6.5049	36.272
7.5974	40.507
8.3424	43.685
9.1864	46.86
9.5341	47.923
9.0871	42.758
8.1933	36.801
7.6967	34.418
6.4056	28.726
5.3132	23.563
4.3698	18.268
2.9794	10.855
1.4897	3.3094
0.049657	-3.9714
-1.1421	-9.7958
-1.9366	-13.238
-2.6317	-17.341
-4.2705	-23.96
-5.363	-29.653
-5.7602	-32.433
-7.2001	-39.316
-8.094	-43.42
-8.9383	-47.522
-9.683	-51.761
-9.5341	-47.393
-8.6898	-41.169
-7.9451	-36.007
-7.0015	-31.506
-5.7602	-25.946
-4.7173	-20.916
-3.5255	-14.164
-2.4828	-7.9428
-1.0428	0.26475
0	5.6921
1.0428	10.59
2.1849	16.944
3.0289	21.048
3.7739	26.74
4.6678	33.889
5.5118	37.463
6.5547	41.169
7.8953	44.347
8.7892	45.539
9.7823	45.539
9.7823	45.539
9.2857	40.905
8.4912	37.066
7.4981	31.771
6.207	25.814
5.065	20.783
4.0719	16.018
2.6815	9.134
1.2414	1.7209
-0.3476	-6.354
-1.2414	-10.59
-1.887	-13.635
-2.6317	-17.474
-4.5187	-26.343
-5.4623	-30.579
-6.9022	-37.066
-8.2431	-43.023
-8.9383	-46.33
-9.3355	-48.452
-9.7328	-51.494
-9.0871	-41.567
-7.8458	-33.094
-6.6043	-27.005
-5.7104	-22.504
-4.0719	-15.488
-2.3339	-10.987
-1.887	-6.4865
-0.64554	0.39714
0.44691	6.0893
1.6883	12.311
2.8303	17.077
3.8732	21.842
4.4691	24.887
5.5118	30.579
6.5049	35.874
7.4981	39.448
8.2926	42.758
9.1864	46.068
10.031	48.714
10.527	50.04
11.421	52.024
13.209	57.584
14.45	60.631
15.145	62.219
16.188	64.732
17.281	66.849
18.025	68.041
19.118	69.5
19.912	70.425
19.813	67.512
18.919	63.144
18.125	59.572
17.032	54.541
16.536	52.291
15.394	48.319
13.755	43.817
12.563	40.11
11.471	36.272
9.7328	31.506
7.4981	23.166
6.5547	20.386
5.1145	14.827
3.6248	9.6637
2.2842	4.5009
1.2414	0
0.14897	-5.8247
-2.3339	-18.4
-3.6248	-23.431
-4.7671	-28.991
-6.1077	-34.683
-7.3492	-39.448
-8.8389	-45.539
-9.6335	-49.11
-10.378	-52.024
-11.669	-56.263
-12.762	-59.172
-13.953	-62.219
-15.294	-65.924
-16.685	-68.971
-18.075	-71.751
-19.068	-73.868
-20.111	-75.852
-20.608	-76.648
-20.31	-73.339
-19.466	-69.233
-18.919	-66.453
-17.777	-59.172
-16.933	-55.6
-15.692	-51.099
-14.152	-45.539
-13.258	-42.228
-12.116	-38.257
-10.527	-32.565
-9.1369	-27.534
-8.3919	-24.754
-7.0015	-20.121
-5.6609	-15.62
-4.3698	-10.458
-3.2774	-6.354
-2.4332	-3.1771
-1.1918	1.7209
0.19863	8.2074
2.5822	15.753
4.3698	22.372
5.1145	25.814
6.0084	28.858
7.2001	32.697
8.8885	36.801
10.031	40.64
11.62	45.272
12.662	48.452
14.351	53.879
15.145	56.263
16.188	59.439
17.132	61.952
17.976	64.069
19.217	66.057
19.912	67.249
20.558	68.174
19.813	65.79
18.82	61.689
18.224	59.439
16.983	55.729
14.401	46.731
12.265	37.86
9.9809	30.182
7.796	22.769
6.0084	16.018
4.4691	13.106
2.0359	3.5742
0	-5.0302
-1.0925	-9.5312
-3.2774	-18.798
-4.9159	-24.49
-6.654	-30.712
-8.7396	-38.522
-10.875	-45.143
-12.116	-50.569
-13.656	-55.862
-15.344	-60.893
-16.635	-64.469
-17.877	-68.57
-18.969	-71.484
-19.714	-72.542
-20.111	-72.676
-20.21	-70.688
-19.614	-66.849
-19.168	-63.144
