"Azizinamini et al., 1988, Spec. NC-4"	
652	
0	0
0.34953	29.036
0.52431	47.567
0.81559	63.633
1.0486	77.84
1.3982	96.993
1.7477	114.29
2.039	129.12
2.3303	143.94
2.6797	160
2.9129	176.07
3.1458	190.89
3.6119	212.52
3.9614	228.58
4.3109	245.88
4.6606	262.56
4.8936	274.29
5.1849	288.5
5.5344	304.56
5.8839	322.48
6.2918	339.78
6.4666	343.48
6.8743	356.46
7.2238	366.34
7.5151	374.37
7.2238	356.46
7.2238	348.43
7.2238	338.54
7.2238	331.13
6.7577	315.07
6.2334	292.83
5.7673	271.82
5.3015	250.2
4.777	223.02
4.3109	206.34
3.8451	187.8
3.4953	171.12
3.0295	148.88
2.7963	140.85
2.505	128.5
2.2138	114.91
1.8642	95.757
1.6895	88.342
1.3982	72.898
1.0486	54.363
0.58257	31.507
0.17477	10.502
0	-19.769
-0.4078	-45.717
-1.1069	-75.367
-1.3982	-92.665
-1.6895	-108.11
-1.9225	-124.17
-2.505	-153.21
-2.7963	-174.21
-3.4371	-211.9
-3.9614	-245.88
-4.6022	-273.06
-5.1265	-296.53
-6.0005	-326.8
-6.5829	-346.57
-7.2822	-367.58
-7.6317	-376.84
-7.3403	-350.28
-6.9327	-326.19
-6.4666	-302.71
-5.9421	-279.85
-5.4178	-256.38
-5.0101	-234.14
-4.5441	-215.6
-4.1946	-198.31
-3.7866	-179.16
-3.4371	-157.53
-3.0295	-136.53
-2.5634	-116.14
-2.1555	-99.462
-1.6312	-78.458
-1.2234	-64.247
-0.81559	-47.567
-0.34953	-27.8
-0.058257	-6.7957
0.058257	8.0313
0.4078	27.182
0.87386	49.422
1.4564	74.753
1.9225	98.225
2.3885	119.85
2.7963	139.62
3.4953	194.6
3.9614	215.6
4.3109	234.14
4.7188	250.82
5.0101	264.41
5.3015	279.85
5.7092	297.15
6.1752	320.01
6.5829	336.07
7.6898	365.11
8.2141	382.4
8.8549	398.47
9.6124	416.38
10.486	441.71
11.768	459.61
12.7	474.47
13.283	483.1
15.089	483.1
15.962	483.1
15.554	459.61
15.263	442.95
14.972	428.12
14.564	412.68
14.098	394.76
13.923	382.4
13.457	362.64
12.991	340.4
12.875	336.07
11.826	309.51
11.011	290.36
10.253	272.44
9.5542	256.38
8.9134	240.32
6.8161	179.16
5.651	140.24
4.7188	111.2
3.6119	74.753
3.2624	61.778
2.7381	47.567
2.272	30.271
1.6895	9.2665
1.3399	-0.61778
0.87386	-19.769
0	-54.982
-0.29129	-75.985
-0.69908	-94.52
-1.1651	-114.29
-1.6312	-133.44
-2.3303	-174.83
-3.1458	-210.66
-3.6703	-237.84
-4.4859	-275.53
-5.3597	-314.45
-6.7577	-358.93
-7.3985	-376.23
-7.923	-390.44
-8.7386	-410.2
-9.4958	-427.5
-10.078	-438
-11.185	-447.87
-12.991	-463.35
