"Bett, Klingner and Jirsa, 1985, Spec. 1-1"	
429	
0	0
0.037958	4.3952
0.075916	10.256
0.14234	19.339
0.18979	23.441
0.27518	27.836
0.3606	32.232
0.41753	35.455
0.47447	38.678
0.52192	42.195
0.54089	43.367
0.50295	41.315
0.47447	35.748
0.40805	26.079
0.3606	19.339
0.29418	12.6
0.1803	1.7581
0.11387	-4.1023
0.094894	-7.0323
0.075916	-12.307
-0.028468	-17.874
-0.11387	-22.855
-0.18979	-26.958
-0.27518	-31.353
-0.3606	-36.627
-0.446	-40.436
-0.50295	-43.952
-0.37958	-34.576
-0.32263	-27.544
-0.23724	-21.683
-0.16132	-12.307
-0.12336	-7.0323
-0.047447	-0.58602
0.028468	6.7396
0.14234	13.772
0.22775	20.218
0.31316	25.492
0.39855	30.474
0.43652	32.525
0.54089	39.557
0.72121	52.157
0.86352	62.703
0.94894	70.616
1.0438	79.699
1.0059	70.029
0.95842	61.534
0.892	54.208
0.77813	44.831
0.64529	32.525
0.55987	24.907
0.47447	18.167
0.37958	11.135
0.27518	2.6371
0.18979	-2.6371
0.085405	-9.9626
0	-16.702
-0.085405	-22.562
-0.32263	-36.92
-0.42702	-44.538
-0.51242	-50.983
-0.64529	-60.359
-0.75916	-68.566
-0.83508	-73.841
-0.92997	-80.58
-1.0059	-86.438
-1.0438	-89.369
-0.99639	-80.874
-0.92997	-73.254
-0.85405	-65.928
-0.75916	-55.671
-0.65476	-46.295
-0.55039	-36.041
-0.43652	-25.492
-0.34163	-16.995
-0.25621	-9.0837
-0.12336	0
0.085405	16.409
0.20877	24.32
0.31316	31.646
0.48397	42.487
0.63579	52.744
0.78763	62.703
0.93944	75.011
1.1672	88.493
1.3665	101.97
1.5468	113.1
1.746	124.53
1.9453	134.79
2.1256	144.46
2.1731	146.8
2.1162	133.91
1.9833	123.65
1.765	110.47
1.5752	97.869
1.4519	89.076
1.2905	78.823
1.1767	70.323
0.94894	56.258
0.81608	47.175
0.71171	39.557
0.58834	30.474
0.4555	21.39
0.3511	14.065
