Galeota 1996 Specimen AA3	
477	
0.28	3.302046
0.44	6.733584
0.52	7.704774
0.67	9.452916
0.82	12.43123
1.01	14.56785
1.05	15.08582
1.22	17.80515
1.46	20.39499
1.48	21.62516
1.59	22.53161
1.81	25.96315
2.03	29.00621
2.09	29.84791
2.3	32.69673
2.5	36.19301
2.61	37.35844
2.81	39.43031
2.96	41.82592
3.14	44.09203
3.28	44.93372
3.53	48.17102
3.75	50.2429
3.82	51.14934
4.17	53.93342
4.22	54.83986
4.48	56.65275
4.81	59.24259
4.86	60.08429
5.13	61.57344
5.34	62.99786
5.63	64.35752
5.97	66.23516
6.11	66.88262
6.56	69.34296
6.68	70.05518
7.06	71.80331
7.27	72.904
7.52	74.00468
7.76	75.04061
8.13	76.59452
8.38	77.30672
8.78	78.73113
8.890001	79.31385
9.390001	80.9325
9.51	81.38572
9.979999	83.13387
10.12	83.78133
10.5	84.81726
10.85	86.11218
11.02	86.43591
11.46	87.92507
11.74	88.63728
12.11	89.73795
12.58	91.09763
12.72	91.29186
13.21	92.39254
13.48	92.58678
13.63	92.97526
14.33	94.85289
14.53	92.97526
15.13	94.27018
15.76	95.30611
16.62	93.55797
17.15	87.86032
17.78	83.84607
18.19	81.7742
18.33	79.96131
18.89	80.80301
19.65	81.12674
20.55	79.76707
20.82	78.08368
20.77	77.30672
20.37	74.26366
20.15	73.22773
19.91	71.73857
19.48	69.27822
19.29	67.85381
18.86	65.39346
18.67	64.16328
18.43	63.12735
17.97	60.92599
17.74	59.43683
17.36	57.49445
17.13	56.45851
16.64	54.1924
16.48	53.41545
16	51.53782
15.78	50.69612
15.19	48.17102
14.86	47.0056
14.41	45.19271
14.18	44.4805
13.77	42.73236
13.53	41.50219
13.08	39.49506
12.86	38.8476
12.42	36.84047
12.22	35.93403
11.78	34.31538
11.57	32.95572
11.12	31.20757
10.97	30.30113
10.53	28.55299
10.36	27.77603
9.939999	25.76891
9.72	24.73297
9.350001	22.85534
9.140001	21.88415
8.66	20.20075
8.57	19.61804
7.99	17.22244
7.8	16.31599
7.39	14.56785
7.03	13.07869
6.67	11.3953
6.26	9.193932
6.09	8.74071
5.63	6.4746
5.49	5.568156
5.01	3.88476
4.84	3.043062
4.6	2.071872
4.25	-0.064746
4.22	-0.194238
3.86	-3.2373
3.55	-5.373918
3.4	-6.345108
3.08	-8.805456
2.82	-11.00682
2.66	-11.91326
2.19	-15.60379
1.99	-16.57498
1.79	-17.80515
1.38	-21.04245
1.17	-22.33737
1.06	-23.69704
0.67	-26.22213
0.5	-27.5818
0.34	-29.07095
-0.1	-32.89097
-0.22	-34.38013
-0.43	-35.80454
-0.73	-38.65336
-0.9	-39.6893
-1.05	-41.04897
-1.41	-42.99134
-1.6	-44.60999
-1.87	-47.19983
-2.03	-48.23577
-2.24	-49.53069
-2.7	-53.28596
-2.87	-54.1924
-2.96	-55.42258
-3.52	-58.40089
-3.65	-59.50158
-4	-61.57344
-4.31	-63.58057
-4.53	-64.746
-4.83	-66.62363
-5.01	-67.59483
-5.39	-69.14873
-5.56	-70.05518
-5.91	-71.93281
-6.08	-72.70975
-6.47	-74.58739
-6.64	-75.36434
-6.98	-76.91825
-7.38	-78.66639
-7.59	-79.37859
-8.15	-81.38572
-8.310001	-82.03318
-9.09	-83.13387
-9.45	-84.42879
-9.66	-85.39997
-10.31	-87.01862
-10.48	-87.53659
-11.13	-89.34948
-11.29	-89.73795
-11.7	-90.90338
-12.34	-92.1983
-12.56	-92.78102
-13.19	-94.39967
-13.64	-95.11188
-13.84	-95.82408
-14.47	-96.92476
-14.92	-97.70171
-15.1	-98.28443
-15.94	-97.9607
-19.14	-74.84637
-19.55	-74.13417
-20.13	-72.19179
-19.96	-70.3789
-19.44	-67.20634
-19.24	-65.84668
-18.85	-63.77481
-18.63	-63.12735
-18.24	-60.667
-18	-59.63107
-17.79	-58.07716
-17.28	-56.39376
-17.08	-54.96935
-16.67	-53.41545
-16.49	-52.37951
-16.1	-50.69612
-15.88	-49.85442
-15.41	-48.49475
-15.16	-47.58831
-14.78	-45.84017
-14.58	-44.99847
-14.14	-43.70355
-13.94	-42.79711
-13.52	-41.2432
-13.07	-39.88354
-12.84	-39.30082
-12.16	-37.22895
-11.99	-36.32251
-11.32	-34.18589
-11.14	-33.53843
-10.68	-31.91978
-10.49	-31.07808
-9.850001	-28.68248
-9.649999	-27.84078
-9.189999	-26.41637
-9.020001	-25.70416
-8.62	-23.76178
-8.390001	-23.11432
-7.94	-21.1072
-7.69	-20.2655
-7.35	-18.45261
-7.12	-17.61091
-6.72	-15.92752
-6.51	-15.15056
-6.08	-13.46717
-5.9	-12.62547
-5.47	-10.81258
-5.31	-9.841392
-4.89	-8.028504
-4.67	-7.186806
-4.28	-5.17968
-4.12	-4.467474
-3.72	-2.525094
-3.34	-0.97119
-3.18	0.194238
-2.74	1.877634
-2.61	3.043062
-2.15	5.956632
-1.95	6.927822
-1.61	8.805456
-1.28	10.61834
-1.09	12.04276
-0.6	14.5031
-0.48	14.95633
-0.11	17.35193
0.1	18.84109
0.25	19.4238
0.67	22.46686
0.86	23.63229
1.17	25.76891
1.47	27.84078
1.71	28.74722
2.15	32.11402
2.39	33.08521
2.7	34.96284
2.89	35.99878
3.27	38.26488
3.67	40.20727
3.87	41.30795
4.28	43.12083
4.45	44.15677
4.88	46.1639
5.12	47.0056
5.51	48.81849
5.72	49.66018
6.18	51.27883
6.4	52.31477
6.84	53.73918
7.07	54.3219
7.54	55.94054
8	57.4297
8.24	57.81818
8.92	60.01954
9.16	60.53751
9.84	62.28565
10.09	62.73887
10.88	64.22803
11.08	65.19922
11.61	66.17041
12.33	67.40059
12.53	68.11279
13.33	69.21347
13.82	70.11992
14.08	70.44365
14.8	71.67382
15.63	72.51552
15.88	72.58027
16.68	73.35722
17.54	73.6162
18.31	73.42197
19.29	72.51552
20.24	70.89687
20.91	69.40771
