Galeota 1996 Specimen AB4	
1075	
0.03	1.191915
0.08	2.38383
0.12	3.641963
0.18	4.94424
0.23	6.158225
0.28	7.372215
0.33	8.696565
0.38	10.02092
0.44	11.12454
0.48	12.25023
0.53	13.37593
0.57	14.50163
0.63	15.6494
0.68	16.75303
0.73	17.96701
0.78	19.13686
0.82	20.26255
0.88	21.47655
0.93	22.86711
0.99	24.08109
1.05	25.27301
1.1	26.59736
1.15	27.7672
1.2	28.93705
1.26	30.21725
1.31	31.56367
1.38	32.84388
1.42	34.01372
1.48	35.18356
1.54	36.50792
1.59	37.78812
1.66	39.02418
1.71	40.19402
1.77	41.29765
1.82	42.46749
1.87	43.6594
1.93	44.98375
2	46.26396
2.06	47.63245
2.12	48.97888
2.18	50.34735
2.25	51.71585
2.32	53.08435
2.38	54.45285
2.45	55.711
2.52	57.0574
2.58	58.3376
2.64	59.6178
2.71	60.8539
2.79	62.1341
2.85	63.30395
2.92	64.5179
2.98	65.6657
3.05	66.7914
3.11	67.9171
3.19	69.2635
3.26	70.5658
3.33	71.77975
3.4	72.99375
3.53	74.42845
3.59	75.6866
3.65	76.9006
3.75	78.31325
3.83	79.74795
3.92	81.11645
4.01	82.46285
4.1	83.8093
4.19	84.97915
4.25	86.08275
4.34	87.27465
4.43	88.5328
4.52	89.70265
4.6	90.91665
4.69	92.0644
4.78	93.1901
4.89	94.5365
5	95.79465
5.11	97.119
5.22	98.3992
5.33	99.5911
5.44	100.8493
5.55	102.0191
5.64	103.1448
5.74	104.3147
5.87	105.5286
5.98	106.8309
6.19	108.3539
6.27	109.4796
6.38	110.826
6.49	111.9738
6.63	113.3865
6.76	114.6666
6.9	115.991
7.03	117.2049
7.17	118.4631
7.3	119.5888
7.44	120.8028
7.58	121.9947
7.74	123.2749
7.89	124.5551
8.02	125.6808
8.23	126.9831
8.33	128.1971
8.47	129.5214
8.61	130.6692
8.78	131.9052
8.93	133.0751
9.1	134.4215
9.27	135.7459
9.45	137.004
9.63	138.1959
9.84	139.4099
10.05	140.6901
10.23	141.8379
10.4	143.0298
10.57	144.31
10.74	145.4798
10.91	146.6718
11.08	147.8416
11.25	148.9453
11.42	150.0709
11.58	151.2408
11.78	152.521
12.02	153.735
12.22	154.8607
12.42	156.0305
12.62	157.3107
12.8	158.5909
12.96	159.7166
13.05	157.6859
13.08	160.5112
13.25	161.6149
13.46	162.7847
13.63	163.9987
13.85	165.4113
14	166.5591
14.19	167.7952
14.37	169.0753
14.57	170.3776
14.72	171.4812
14.91	172.7835
15.1	173.9975
15.28	175.1453
15.52	176.4697
15.65	177.6174
15.81	178.8314
15.98	179.935
16.19	181.2594
16.36	182.363
16.58	183.7315
16.8	185.2103
17.03	186.5126
17.25	187.7708
17.43	188.9848
17.65	190.287
17.87	191.5672
18.08	192.7812
18.26	193.9952
18.49	195.1651
18.72	196.3349
18.9	197.593
19.22	198.8732
19.74	199.8002
20.07	200.9922
20.37	202.1841
20.93	203.5305
21.33	204.7666
21.73	199.7782
21.86	196.4453
21.91	195.2092
21.95	194.0394
21.99	192.9357
21.95	191.6555
21.83	190.1104
21.71	188.5654
21.59	187.0423
21.46	185.5856
21.34	184.1508
21.21	182.6058
21.09	181.1711
20.97	179.7805
20.84	178.2354
20.72	176.8007
20.59	175.366
20.47	173.8651
20.34	172.4303
20.22	170.9957
20.09	169.6051
19.96	168.1263
19.83	166.6915
19.71	165.2568
19.58	163.8663
19.45	162.3873
19.32	161.041
19.2	159.54
19.07	158.1494
18.94	156.7368
18.81	155.28
18.68	153.9336
18.56	152.521
18.43	151.0862
18.3	149.7399
18.17	148.3492
18.05	146.9146
17.92	145.5681
17.79	144.1334
17.65	142.6546
17.49	140.8887
17.36	139.4761
17.23	138.1077
17.1	136.7612
16.97	135.3707
16.84	134.0242
16.71	132.6557
16.58	131.2652
16.45	129.9408
16.32	128.5502
16.2	127.1597
16.06	125.8132
15.93	124.5331
15.81	123.0542
15.67	121.7519
15.55	120.4055
15.42	119.1032
15.28	117.7568
15.16	116.4103
15.03	115.1081
14.9	113.7396
14.76	112.4594
14.64	111.0468
14.51	109.8107
14.38	108.4864
14.25	107.1399
14.12	105.8376
13.99	104.4691
13.86	103.211
13.73	101.9308
13.6	100.6285
13.47	99.3483
13.33	98.0019
13.21	96.6555
13.07	95.33115
12.92	93.9185
12.78	92.55
12.64	91.20355
12.51	89.68055
12.37	88.4666
12.23	86.96565
12.09	85.5751
11.95	84.2728
11.81	82.86015
11.67	81.49165
11.53	80.21145
11.38	78.77675
11.25	77.3862
11.11	76.106
10.97	74.69335
10.84	73.3469
10.7	72.0005
10.55	70.5658
10.42	69.2635
10.28	67.895
10.14	66.5486
10	65.3346
9.87	63.92195
9.73	62.57555
9.6	61.27325
9.45	60.05925
9.32	58.71285
9.18	57.4768
9.05	56.24075
8.87	54.69565
8.73	53.50375
8.6	52.20145
8.47	51.00955
8.34	49.86178
8.2	48.47121
8.08	47.32344
7.95	46.13152
7.82	44.85132
7.69	43.54904
7.51	42.1364
7.27	40.96656
7.14	39.53185
7.01	38.25164
6.9	36.92729
6.78	35.5588
6.65	34.27859
6.54	33.08668
6.41	31.85062
6.29	30.57041
6.18	29.44472
6.05	28.0983
5.93	26.75187
5.8	25.58203
5.71	24.45633
5.59	23.04369
5.45	21.65312
5.34	20.41706
5.25	19.31344
5.14	17.96701
5.04	16.7751
4.92	15.45075
4.82	14.17054
4.73	13.06692
4.63	11.875
4.51	10.50651
4.44	7.747445
4.43	9.68983
4.34	8.49791
4.23	7.305995
4.14	6.158225
4.06	5.01046
3.97	3.730253
3.74	2.317612
3.66	1.191915
3.55	-0.2427975
3.44	-1.832018
3.36	-2.957715
3.28	-4.083413
3.15	-5.82714
3	-7.35014
2.86	-9.027655
2.76	-10.352
2.67	-11.52184
2.58	-12.80205
2.49	-13.97189
2.36	-15.58319
2.24	-17.01789
2.13	-18.36432
2.03	-19.73281
1.92	-20.99095
1.82	-22.33737
1.72	-23.70587
1.62	-24.98607
1.51	-26.33249
1.41	-27.65685
1.31	-29.04741
1.21	-30.34969
1.1	-31.62989
1	-32.9101
0.9	-34.14616
0.8	-35.47051
0.7	-36.70657
0.6	-37.98677
0.5	-39.26698
0.4	-40.52511
0.31	-41.76117
0.21	-43.04137
0.12	-44.2995
0.01	-45.55764
-0.08	-46.81578
-0.18	-48.05183
-0.28	-49.33204
-0.38	-50.5019
-0.47	-51.6938
-0.56	-52.95195
-0.66	-54.12175
-0.75	-55.3799
-0.85	-56.5718
-0.94	-57.7858
-1.03	-58.9998
-1.13	-60.23585
-1.25	-61.6264
-1.35	-62.8404
-1.44	-64.0544
-1.53	-65.20215
-1.63	-66.41615
-1.73	-67.586
-1.82	-68.75585
-1.92	-69.94775
-2.01	-71.16175
-2.08	-72.35365
-2.2	-73.54555
-2.31	-74.67125
-2.39	-75.79695
-2.52	-77.09925
-2.65	-78.44565
-2.78	-79.72585
-2.88	-80.87365
-3	-82.22005
-3.12	-83.52235
-3.25	-84.78045
-3.38	-86.08275
-3.49	-87.42915
-3.61	-88.66525
-3.74	-89.9013
-3.86	-91.1594
-3.98	-92.41755
-4.11	-93.63155
-4.24	-94.84555
-4.35	-96.01535
-4.5	-97.2956
-4.63	-98.4654
-4.75	-99.5911
-4.87	-100.7831
-5.02	-102.0632
-5.16	-103.4097
-5.31	-104.6898
-5.45	-105.9259
-5.59	-107.1399
-5.72	-108.3539
-5.86	-109.6121
-6	-110.826
-6.14	-112.018
-6.3	-113.254
-6.43	-114.3576
-6.57	-115.5054
-6.71	-116.7194
-7.03	-117.9555
-7.14	-119.2798
-7.24	-120.4717
-7.54	-121.5974
-7.68	-122.9438
-7.82	-124.2241
-7.97	-125.3497
-8.11	-126.5637
-8.25	-127.7115
