Galeota 1996 Specimen BA2	
1148	
0.17	1.444032
0.32	2.762496
0.23	4.206528
0.45	5.96448
0.48	7.345728
0.55	9.166464
0.66	10.54771
0.6	11.86618
0.88	13.24742
1.04	14.44032
0.9	16.00992
1.17	17.57952
1.28	19.14912
1.32	20.53037
1.34	21.78605
1.47	23.35565
1.57	25.1136
1.64	26.3065
1.87	27.75053
1.95	29.13178
2.07	30.32467
1.97	31.89427
2.11	33.65223
2.23	35.22182
2.41	36.66586
2.43	38.36102
2.62	40.05619
2.69	41.37466
2.76	43.19539
3.03	45.20448
3.06	47.15078
3.1	48.97152
3.2	50.28999
3.34	52.29907
3.33	54.11981
3.59	55.62663
3.54	57.44736
3.77	59.01696
3.89	60.8377
3.96	62.34451
4.03	63.97689
4.18	65.79763
4.53	67.68115
4.48	69.37632
4.54	71.13427
4.81	72.76665
4.87	74.65018
5.04	76.21977
5.33	77.66381
5.43	79.23341
5.56	80.86579
5.78	82.24704
5.98	84.19334
6.29	85.57459
6.27	87.01862
6.64	88.33709
6.82	90.09504
7	91.47629
7.1	93.17146
7.42	94.86662
7.61	96.31065
7.79	98.06861
7.91	99.70099
8.11	100.8311
8.29	102.4007
8.69	103.6564
8.81	105.226
9.07	106.6072
9.2	107.9257
9.46	109.5581
9.83	111.1277
9.96	112.5717
10.32	113.953
10.79	115.3342
11.05	116.9038
11.21	118.4106
11.72	119.6663
11.95	121.1731
12.44	122.4288
12.82	123.8728
13.34	125.568
13.65	122.8683
14.08	118.2851
14.69	117.0922
15.52	116.841
16.18	116.4643
16.76	115.7109
16.83	114.1413
16.92	112.7601
16.84	111.8811
16.72	110.3115
16.58	108.993
16.33	107.2979
16.28	105.6027
16.12	104.2214
15.9	103.1541
15.74	101.3962
15.53	99.63821
15.38	98.44531
15.12	96.68736
14.96	94.86662
14.74	93.10867
14.44	91.53907
14.19	89.71834
13.97	87.96038
13.78	86.76749
13.62	85.19789
13.44	83.81664
13.11	82.24704
12.93	80.99136
12.71	79.42176
12.52	78.29165
12.38	76.47091
12.3	74.90131
11.98	73.33171
11.81	71.57376
11.5	69.94138
11.36	68.30899
11.05	66.36269
10.85	64.54195
10.71	62.84678
10.45	61.33997
10.19	59.83315
10.05	58.26355
9.76	56.69395
9.52	55.06157
9.41	53.93146
9.2	52.48742
9.1	50.85504
8.96	49.28544
8.69	47.59027
8.6	45.76954
8.27	44.01159
8.11	42.81869
7.93	40.99795
7.69	39.17722
7.48	37.48205
7.36	36.1008
7.15	34.65677
6.97	33.3383
6.82	31.45478
6.62	29.75962
6.48	28.31558
6.35	27.12269
6.2	25.4903
5.98	23.98349
5.73	22.53946
5.59	21.03264
5.52	19.2119
5.18	18.01901
5.01	16.26106
4.9	15.19373
4.67	13.49856
4.61	11.67782
4.35	10.04544
4.11	8.726976
3.84	6.90624
3.73	5.524992
3.55	4.206528
3.43	2.950848
3.22	1.192896
3.15	-0.251136
2.91	-2.009088
2.82	-3.390336
2.81	-4.897152
2.5	-6.2784
2.45	-7.659648
2.26	-9.10368
2.16	-10.73606
2.11	-12.24288
1.94	-14.00083
1.83	-15.25651
1.6	-16.8889
1.5	-18.4585
1.35	-20.15366
1.33	-21.53491
1.04	-23.23008
0.89	-24.36019
0.62	-26.11814
0.56	-27.56218
0.48	-29.32013
0.35	-30.88973
0.14	-32.64768
-0.12	-34.40563
-0.19	-35.84966
-0.41	-37.6704
-0.43	-39.17722
-0.59	-40.62125
-0.69	-42.3792
-0.9	-43.5721
-0.92	-45.20448
-1.11	-46.14624
-1.21	-47.71584
-1.54	-48.90874
-1.66	-49.91328
-1.67	-51.48288
-1.88	-53.11526
-2	-55.12435
-2.24	-56.63117
-2.32	-58.20077
-2.5	-59.20531
-2.7	-60.64935
-2.78	-62.59565
-3	-64.22803
-3.15	-65.79763
-3.32	-67.17888
-3.42	-68.6857
-3.68	-70.12973
-3.87	-71.51098
-3.88	-72.89223
-4.07	-74.33626
-4.31	-76.09421
-4.38	-77.47546
-4.68	-78.79392
-4.67	-80.80301
-4.9	-81.9959
-5.09	-83.25159
-5.23	-84.7584
-5.45	-86.328
-5.52	-87.58368
-5.82	-89.52998
-6.26	-90.6601
-6.45	-92.29248
-6.57	-93.92487
-6.82	-95.68282
-6.97	-96.87571
-7.21	-98.57088
-7.46	-99.63821
-7.61	-101.0195
-7.84	-102.1496
-8.06	-103.782
-8.35	-105.0376
-8.62	-106.6072
-8.92	-107.9257
-9.13	-109.872
-9.41	-111.2533
-9.74	-112.2578
-10.03	-113.8902
-10.29	-115.5226
-10.68	-116.6527
-11.02	-118.2851
-11.28	-119.2896
-11.64	-120.9848
-12.26	-121.801
-12.47	-123.5589
-13.06	-124.8146
-13.59	-126.1331
-14.14	-127.012
-14.53	-128.1422
-15.11	-128.3933
-15.7	-125.6308
-16.5	-118.2223
-16.58	-116.4015
-16.88	-114.8319
-17.05	-113.074
-17.21	-111.5672
-17.3	-110.5626
-17.08	-108.993
-16.99	-107.7373
-16.84	-106.1677
-16.54	-104.4098
-16.42	-103.0285
-16.19	-101.3962
-15.99	-100.0149
-15.82	-98.57088
-15.57	-97.06406
-15.31	-95.43168
-15.16	-93.92487
-14.95	-92.54362
-14.7	-90.91123
-14.5	-89.4672
-14.3	-87.77203
-14.06	-86.328
-13.78	-85.1351
-13.64	-83.56551
-13.32	-81.9959
-13.16	-80.80301
-12.88	-79.04506
-12.71	-77.47546
-12.38	-76.09421
-12.19	-74.65018
-12	-73.14336
-11.86	-71.63654
-11.54	-70.06694
-11.33	-68.56013
-11.12	-67.1161
-10.99	-65.73485
-10.7	-64.7303
-10.49	-63.22349
-10.29	-61.52832
-10.09	-60.46099
-9.99	-59.01696
-9.72	-57.57293
-9.4	-56.44282
-9.27	-55.06157
-8.97	-53.24083
-8.89	-51.92237
-8.66	-50.54112
-8.53	-49.15987
-8.26	-47.40192
-8.04	-46.14624
-7.79	-44.51385
-7.61	-42.94426
-7.24	-41.93971
-7.13	-39.99341
-6.88	-38.61216
-6.56	-37.16813
-6.25	-35.91245
-6.17	-34.59398
-5.93	-32.89882
-5.81	-31.45478
-5.46	-29.75962
-5.27	-28.37837
-5.15	-26.99712
-4.91	-25.36474
-4.68	-23.98349
-4.49	-22.53946
-4.38	-20.96986
-4.16	-19.40026
-3.92	-18.01901
-3.87	-16.38662
-3.75	-14.62867
-3.55	-12.87072
-3.46	-11.23834
-3.22	-9.543168
-3.07	-7.973568
-2.86	-6.466752
-2.77	-5.211072
-2.61	-3.704256
-2.46	-2.134656
-2.29	-0.251136
-2.09	0.94176
-1.95	2.51136
-1.85	3.704256
-1.74	5.524992
-1.54	6.90624
-1.39	8.538624
-1.31	10.10822
-1.1	11.48947
-0.89	13.24742
-0.78	14.1264
-0.66	15.63322
-0.45	17.2656
-0.32	18.96077
-0.19	20.46758
-0.2	21.78605
0.12	23.60678
0.2	24.79968
0.3	26.3065
0.58	27.75053
0.68	28.88064
0.74	30.13632
0.94	31.83149
1	33.02438
1.22	34.71955
1.34	36.28915
1.52	37.85875
1.69	39.55392
1.81	41.06074
2.04	42.56755
2.18	44.19994
2.36	45.58118
2.49	47.40192
2.7	49.09709
2.82	50.47834
3.03	51.85958
3.13	53.42918
3.35	55.06157
3.51	56.25446
3.76	58.26355
3.91	59.77037
4.07	61.15162
4.23	62.59565
4.49	64.03968
4.51	65.42093
4.83	66.99052
5	68.87405
5.23	69.87859
5.35	71.44819
5.5	72.70387
5.76	74.21069
5.91	75.84307
6.27	76.84762
6.38	78.29165
6.58	80.23795
6.86	81.17971
6.96	83.12601
7.2	84.31891
7.46	85.70016
7.77	87.39532
8.06	88.58823
8.29	90.34618
8.67	91.35072
8.82	93.23424
9.1	94.30157
9.47	96.24787
9.93	98.00582
10.26	99.76378
10.79	100.9567
11.24	102.4007
11.75	104.2214
12.26	105.9166
12.74	107.1723
13.24	108.8047
13.77	109.7464
14.24	111.2533
14.82	111.8811
15.45	113.1368
16.02	113.639
16.63	113.8902
17.31	114.6436
17.97	113.8902
18.61	113.7646
19.25	112.6973
19.68	111.3788
20.25	110.9393
20.76	109.7464
21.34	108.9302
21.93	107.4234
22.59	106.2305
22.98	104.9748
23.5	102.2123
23.89	101.0195
24.51	100.0149
25.07	98.82201
25.43	97.3152
25.93	96.87571
26.47	95.05498
26.92	93.67373
27.43	92.85754
27.88	91.72742
28.44	90.53453
28.97	89.52998
29.49	88.39987
30.05	87.33254
30.57	86.20243
31.18	85.1351
31.84	84.00499
32.36	83.00045
32.88	81.80755
33.45	80.80301
33.97	79.98682
34.57	79.04506
35.07	78.10329
35.61	77.09875
36.12	76.40813
36.4	75.52915
36.09	73.70842
35.86	71.76212
35.59	70.06694
35.45	68.49734
35.2	66.48826
34.92	64.7303
34.64	62.97235
34.38	61.2144
34.09	59.39367
33.9	57.82406
33.62	55.87776
33.42	54.43373
33.12	52.86413
32.95	51.16896
32.58	49.47379
32.54	47.96698
32.27	46.39738
31.97	44.76499
31.69	43.38374
31.42	41.81414
31.2	40.24454
30.92	38.8633
30.65	36.79142
30.44	35.28461
30.15	33.84058
29.9	31.95706
29.63	30.45024
29.3	29.06899
28.97	26.93434
28.7	25.30195
28.41	23.35565
28.16	21.9744
27.92	20.4048
27.63	18.58406
27.26	17.07725
26.92	15.19373
26.61	13.62413
26.25	12.11731
25.93	10.17101
25.62	8.664192
25.23	7.157376
25.08	5.399424
24.8	4.018176
24.4	2.636928
23.94	1.25568
23.59	-0.251136
23.35	-1.820736
22.89	-3.327552
22.4	-4.771584
21.97	-6.466752
21.45	-7.471296
20.89	-9.040896
20.42	-10.48493
19.88	-11.86618
19.37	-13.24742
18.85	-14.81702
18.3	-16.19827
17.73	-17.6423
17.24	-19.14912
16.6	-20.34202
16.15	-21.72326
15.65	-23.04173
15.2	-24.61133
14.62	-25.55309
14.11	-26.99712
13.58	-28.19002
13.1	-29.50848
12.55	-30.45024
12.01	-31.70592
11.5	-32.83603
10.82	-34.09171
10.31	-35.09626
9.79	-35.91245
9.18	-37.04256
8.63	-38.0471
8.02	-39.36557
7.47	-40.18176
7.07	-41.56301
6.48	-42.75591
5.95	-43.5721
5.62	-44.82778
5.13	-46.20902
4.59	-47.77863
4.05	-49.15987
3.46	-50.85504
3.08	-52.29907
2.68	-53.68032
2.34	-54.87321
1.93	-56.44282
1.47	-57.88685
1.07	-59.39367
0.75	-60.8377
0.32	-62.34451
-0.04	-63.91411
-0.41	-65.10701
-0.73	-66.48826
-1.1	-68.12064
-1.43	-69.37632
-1.8	-70.88313
-2.08	-72.45274
-2.34	-73.83398
-2.71	-75.27802
-3.07	-76.65926
-3.41	-78.10329
-3.78	-79.48454
-4.04	-80.86579
-4.39	-82.24704
-4.76	-83.81664
-5.11	-85.1351
-5.52	-86.51635
-5.85	-88.08595
-6.29	-89.59277
-6.77	-91.16237
-7.15	-92.35526
-7.56	-93.86208
-7.98	-95.24332
-8.47	-96.87571
-8.92	-98.19418
-9.43	-99.26151
-10.01	-99.38707
-10.54	-99.82656
-10.81	-101.0195
-11.31	-102.024
-11.72	-103.4053
-12.25	-104.2214
-12.82	-104.0331
-13.41	-105.0376
-13.93	-105.9166
-14.44	-106.5444
-14.98	-106.5444
-15.5	-105.7283
-16.03	-106.4189
-16.58	-106.1677
-17.12	-105.9794
-17.49	-104.7237
-17.99	-104.5981
-18.56	-104.1587
-19.13	-102.4007
-19.67	-101.3962
-20.18	-100.266
-20.8	-99.82656
-21.07	-98.44531
-21.62	-97.6919
-22.14	-96.43623
-22.67	-95.24332
