Galeota 1996 SpecimenBA3	
852	
0.1	1.067328
0.19	2.762496
0.27	4.143744
0.35	5.65056
0.47	7.094592
0.55	8.538624
0.69	10.29657
0.77	11.74061
0.86	13.05907
0.9300001	14.31475
1.04	15.88435
1.18	17.45395
1.26	19.33747
1.36	20.65593
1.44	22.35111
1.53	23.85792
1.61	25.1136
1.69	26.36928
1.78	27.75052
1.87	29.0062
1.97	30.51303
2.06	31.83149
2.15	33.27552
2.2	34.59399
2.29	36.22637
2.38	37.35648
2.46	38.86329
2.56	40.37011
2.63	41.93972
2.71	43.13261
2.81	44.82778
2.91	46.46016
2.99	47.90419
3.09	49.59936
3.19	51.10617
3.3	52.86412
3.41	54.62208
3.49	56.06611
3.59	57.76128
3.71	59.26809
3.82	60.96327
3.93	62.65843
4.03	64.16525
4.12	65.48372
4.24	66.99052
4.35	68.49735
4.46	69.8158
4.62	71.69933
4.74	73.08057
4.86	74.5246
4.97	75.96864
5.12	77.47546
5.24	78.98228
5.37	80.36352
5.54	82.12147
5.69	83.50272
5.83	85.07232
5.98	86.57914
6.14	88.02318
6.29	89.34164
6.42	90.47175
6.66	92.35526
6.84	93.92487
7.03	95.36889
7.17	96.68736
7.36	98.13139
7.55	99.44989
7.73	100.9567
7.93	102.4007
8.150001	104.1586
8.39	105.5399
8.610001	106.984
8.81	108.4279
9.05	109.6208
9.29	111.4416
9.52	112.8229
9.8	114.2041
10.05	115.5854
10.29	116.841
10.56	118.5361
10.82	119.6663
11.13	120.9847
11.38	122.68
11.69	123.9356
12.02	125.8192
12.41	127.2004
12.91	128.7072
13.31	129.9629
13.81	131.093
14.21	129.4607
14.33	126.9492
14.45	124.4379
15.09	113.3879
15.22	111.0021
15.34	111.3161
15.26	109.1814
15.11	107.6117
14.94	105.6655
14.76	104.2215
14.59	102.7147
14.42	101.3333
14.24	99.88936
13.97	98.00581
13.8	96.43623
13.62	94.9922
13.44	93.86208
13.26	92.41805
13	90.28339
12.81	88.77657
12.54	86.7047
12.36	85.32345
12.09	83.1888
11.82	81.43085
11.65	79.92403
11.38	77.91493
11.1	76.03143
10.82	74.77575
10.64	73.20615
10.46	71.88768
10.29	70.38087
10.12	68.99962
9.940001	67.43002
9.68	65.48372
9.5	63.78854
9.33	62.53286
9.160001	60.96327
8.910001	59.01696
8.77	57.38458
8.55	56.00333
8.320001	53.86868
8.110001	51.98516
7.96	50.41555
7.75	48.28089
7.53	46.46016
7.32	44.19993
7.12	42.3792
6.92	40.43289
6.73	38.29824
6.53	36.66585
6.33	34.59399
6.14	32.45932
5.95	30.70137
5.83	29.63405
5.64	27.68775
5.47	25.61588
5.3	23.79513
5.14	21.91161
4.93	20.65593
4.74	19.14912
4.57	17.20281
4.41	15.25651
4.28	13.93805
4.08	11.23833
3.94	9.731521
3.82	8.224704
3.69	6.90624
3.53	4.897152
3.41	3.704256
3.32	2.19744
3.19	1.004544
3.04	-1.004544
2.98	-2.009088
2.86	-3.264768
2.72	-5.587776
2.63	-6.466752
2.5	-8.538624
2.4	-9.605952
2.31	-10.79885
2.17	-12.74515
2.08	-13.93805
1.95	-15.696
1.8	-17.20281
1.64	-19.40025
1.49	-21.22099
1.33	-23.04173
1.18	-25.49031
1.02	-27.12269
0.91	-28.81785
0.8	-29.69683
0.7	-31.51757
0.53	-33.02439
0.37	-35.41017
0.21	-37.23091
0.1	-38.73773
-0.05999999	-40.62125
-0.22	-42.81868
-0.32	-44.07437
-0.49	-46.02068
-0.59	-47.96697
-0.7	-48.90873
-0.81	-50.54112
-0.97	-52.61299
-1.08	-53.55475
-1.27	-55.43827
-1.43	-57.63571
-1.59	-59.51923
-1.7	-60.58656
-1.89	-62.03059
-2.05	-63.72577
-2.21	-65.48372
-2.37	-67.43002
-2.53	-68.99962
-2.64	-70.44365
-2.8	-71.88768
-2.96	-73.83398
-3.12	-75.40359
-3.23	-76.5337
-3.4	-78.22887
-3.57	-80.11239
-3.73	-81.55642
-3.9	-83.37715
-4.06	-84.69561
-4.32	-86.51636
-4.49	-87.8976
-4.66	-89.34164
-4.84	-91.09959
-5.08	-92.73196
-5.27	-94.11321
-5.46	-95.43168
-5.64	-96.87572
-5.88	-98.44528
-6.13	-100.0777
-6.31	-101.3962
-6.49	-102.6518
-6.92	-104.347
-7.17	-105.7283
-7.36	-106.9211
-7.75	-109.1185
-7.99	-110.2487
-8.259999	-111.5044
-8.58	-113.1995
-8.91	-114.7063
-9.24	-116.276
-9.509999	-117.2805
-9.839999	-118.7246
-10.18	-120.1058
-10.52	-121.5499
-10.94	-122.8683
-11.29	-124.1868
-11.71	-125.4424
-12.23	-124.8145
-12.67	-126.2586
-13.19	-128.0166
-13.72	-129.0839
-14.26	-130.0257
-14.81	-130.7791
-15.29	-130.1513
-15.38	-127.1376
-15.48	-125.3797
-15.5	-123.6845
-15.42	-122.4915
-15.19	-120.922
-14.98	-119.164
-14.76	-117.0922
-14.53	-115.397
-14.31	-113.8901
-14.08	-112.5089
-13.85	-110.6882
-13.63	-109.307
-13.4	-107.3607
-13.18	-105.9793
-12.95	-104.4725
-12.73	-102.9657
-12.5	-101.4589
-12.28	-99.88936
-12.06	-98.19414
-11.84	-96.49901
-11.62	-95.30611
-11.41	-93.67372
-11.13	-91.53908
-10.93	-90.2206
-10.75	-88.77657
-10.49	-87.01862
-10.23	-85.32345
-10.07	-83.94221
-9.839999	-82.30982
-9.61	-80.55186
-9.389999	-79.10784
-9.17	-77.34988
-8.94	-75.40359
-8.79	-74.33626
-8.559999	-72.38995
-8.339999	-70.69479
-8.11	-68.81126
-7.95	-67.68115
-7.74	-65.79764
-7.58	-64.47916
-7.37	-62.65843
-7.22	-61.15161
-7.07	-59.95872
-6.92	-58.57747
-6.7	-56.5056
-6.55	-55.18714
-6.32	-53.42919
-6.17	-51.73401
-5.93	-50.2272
-5.77	-48.72039
-5.54	-47.088
-5.31	-45.07891
-5.15	-43.88601
-4.91	-41.93972
-4.75	-40.74681
-4.53	-38.67495
-4.38	-37.35648
-4.16	-35.03347
-4.03	-33.58944
-3.88	-32.27098
-3.66	-30.07353
-3.51	-28.56672
-3.38	-26.87155
-3.17	-24.73689
-3.03	-23.16729
-2.89	-21.66048
-2.76	-20.02809
-2.63	-18.45849
-2.49	-17.14003
-2.36	-15.50765
-2.24	-14.1264
-2.1	-12.30567
-1.97	-10.92441
-1.85	-9.229248
-1.73	-7.910784
-1.6	-6.403968
-1.48	-4.897152
-1.3	-2.82528
-1.19	-1.25568
-1	0.439488
-0.82	2.323008
-0.72	3.829824
-0.56	5.776128
-0.4	7.785216
-0.25	9.605952
-0.12	11.23833
0.009999996	12.68237
0.17	14.00083
0.29	15.44487
0.42	17.14003
0.53	18.8352
0.65	20.34201
0.8	22.28832
0.91	23.35565
1.08	25.1136
1.24	26.99712
1.41	28.62951
1.57	30.51303
1.68	31.83149
1.86	33.65223
1.98	35.15904
2.1	36.54029
2.24	38.17267
2.36	39.30278
2.5	40.99796
2.64	42.56755
2.79	44.07437
2.94	45.76953
3.1	47.27635
3.24	49.22265
3.4	50.54112
3.55	52.04793
3.71	53.68032
3.86	55.37548
4.03	57.07065
4.27	59.01696
4.43	60.52378
4.6	62.03059
4.77	63.85133
5.01	65.79764
5.19	67.30444
5.36	68.49735
5.53	70.1925
5.79	72.01324
5.97	73.64563
6.24	75.59194
6.42	76.9104
6.69	78.66835
6.96	80.48909
7.24	82.43539
7.52	83.94221
7.71	85.32345
8	86.83027
8.29	88.46265
8.59	89.96947
8.990001	91.79021
9.400001	93.48537
9.8	95.11776
10.1	96.62458
10.51	98.3197
10.82	99.9521
11.34	101.6473
11.75	102.9657
12.17	104.2215
12.71	105.7283
13.26	106.9211
13.85	107.6117
14.41	108.2396
14.94	108.6791
15.48	108.4908
16.04	108.0513
16.66	106.7955
17.06	105.2887
17.48	104.0331
17.98	102.903
18.48	102.0239
18.85	100.7056
19.36	99.82652
19.89	98.38255
20.45	96.18509
20.74	95.11776
21.14	93.42259
21.51	92.10413
21.94	90.72288
22.37	89.52998
22.92	87.8976
23.45	86.57914
24	85.07232
24.44	83.94221
24.91	82.43539
25.27	81.36806
25.62	79.92403
25.99	78.35443
26.36	76.84762
26.73	75.02688
27.18	73.45728
27.63	72.2016
28.16	70.50642
28.69	68.99962
29.1	67.86951
29.58	66.42547
30.15	64.73031
30.73	63.72577
31.29	62.34451
31.8	60.83769
32.31	59.45645
32.7	57.94963
32.6	57.19622
32.39	55.56384
32.19	53.74311
31.91	52.42464
31.74	51.16896
31.51	49.59936
31.3	48.15533
31.02	46.33459
30.81	44.89056
30.59	43.44653
30.38	41.81414
30.16	40.18176
29.93	38.73773
29.77	37.35648
29.54	36.03801
29.27	34.21728
29.05	32.64768
28.78	31.07808
28.54	29.38291
28.28	27.56217
28.02	25.80423
27.79	24.29741
27.56	22.60224
27.31	21.09543
27.12	19.90253
26.89	18.70963
26.6	17.01447
26.35	15.31929
26.11	13.81248
25.84	12.24288
25.6	10.79885
25.35	9.229248
25.12	7.785216
24.79	6.090048
24.6	4.583232
24.25	3.013632
23.99	1.444032
23.71	0.062784
23.4	-1.757952
23.15	-3.264768
22.94	-4.771584
22.65	-6.403968
22.34	-7.785216
22.07	-9.040896
21.72	-10.79885
21.43	-11.99175
21.08	-13.56135
20.73	-15.19373
20.37	-16.76333
19.94	-18.33293
19.56	-19.58861
19.11	-21.22099
18.64	-22.79059
18.12	-24.10905
17.73	-25.49031
17.28	-27.05991
16.9	-28.37837
16.5	-29.88519
16.11	-31.14087
15.65	-32.71047
15.19	-33.96615
14.73	-35.28461
14.27	-36.79142
13.73	-38.17267
13.18	-39.36557
12.62	-40.74681
12.06	-41.87693
11.56	-43.13261
10.98	-44.38829
10.41	-45.70675
9.83	-47.02521
9.27	-48.53204
8.71	-49.66214
8.23	-50.98061
7.75	-52.61299
7.29	-53.93145
6.74	-55.43827
6.2	-57.07065
5.75	-58.26355
5.29	-59.77037
4.85	-61.46553
4.54	-62.47008
4.03	-64.22803
3.67	-65.67207
3.31	-66.86496
2.89	-68.56013
2.53	-70.2553
2.18	-71.8249
1.83	-73.39449
1.49	-74.58739
1.14	-76.09421
0.8	-77.53824
0.46	-78.79392
0.13	-80.11239
-0.13	-81.36806
-0.53	-83.06323
-0.9299999	-84.82118
-1.26	-86.13965
-1.53	-87.14419
-1.86	-88.651
-2.25	-90.28339
-2.59	-91.66464
-2.91	-92.85754
-3.25	-94.36436
-3.7	-96.05952
-4.09	-97.75467
-4.49	-99.26148
-4.82	-100.3917
-5.15	-101.7729
-5.48	-103.1541
-5.88	-104.4098
-6.27	-105.9166
-6.6	-107.1723
-7.14	-109.0558
-7.5	-110.1859
-7.99	-111.6927
-8.41	-113.0112
-8.9	-114.6436
-9.4	-115.6481
-9.83	-117.0922
-10.34	-118.4107
-10.86	-119.6663
-11.38	-120.5453
-11.92	-121.4243
-12.47	-122.3032
-13.05	-120.6708
-13.61	-120.4825
-14.15	-120.6708
-14.9	-116.2131
-15.43	-114.7063
-15.96	-114.1413
-16.49	-113.1995
-17.07	-112.3206
-17.65	-111.1277
-18.15	-109.7464
-18.67	-108.4279
-19.21	-106.984
-19.76	-105.4143
-20.29	-104.0331
-20.85	-102.4635
-21.27	-101.0194
-21.86	-99.07316
-22.33	-97.56635
-22.96	-95.30611
-23.42	-93.48537
-23.87	-92.16691
-24.43	-90.47175
-25.03	-88.71379
-25.49	-87.20698
-26.09	-85.07232
-26.57	-83.62829
-26.89	-82.24704
-27.41	-80.36352
-27.72	-78.79392
-28.2	-77.34988
-28.65	-74.5246
-29.05	-72.6411
-29.52	-70.632
-29.87	-69.12518
-30.28	-67.61838
-30.81	-65.9232
-31.29	-64.29081
-31.84	-62.97235
-32.38	-61.65388
-32.91	-60.52378
-33.44	-59.33088
-33.98	-57.63571
-34.11	-56.44281
-34.02	-55.24992
-33.8	-54.11981
-33.52	-52.61299
-33.22	-51.16896
-32.91	-49.4738
-32.62	-48.28089
-32.31	-46.39737
-32.01	-44.89056
-31.68	-43.63488
-31.34	-42.06528
-31.04	-40.55847
-30.73	-39.11444
-30.53	-38.04711
-30.23	-36.54029
-29.91	-35.03347
-29.6	-33.77779
-29.16	-32.08263
-28.83	-30.76416
-28.51	-29.57127
-28.08	-27.87609
-27.76	-26.62041
-27.45	-25.1136
-27.14	-23.48121
-26.83	-21.91161
-26.54	-20.4048
-26.12	-18.64685
-25.83	-17.01447
-25.52	-15.50765
-25.22	-14.18919
-24.91	-12.61959
-24.63	-11.11277
-24.33	-9.668736
-24.02	-8.16192
-23.73	-6.655104
-23.34	-4.897152
-22.97	-3.076416
-22.67	-1.5696
-22.3	0.188352
-21.89	1.5696
-21.55	3.076416
-21.25	4.520448
-20.96	5.838912
-20.63	7.282944
-20.29	8.538624
-19.92	9.919874
-19.54	11.74061
-19.14	12.87072
-18.79	14.56589
-18.39	16.07271
-18.03	17.89344
-17.53	19.33747
-17.22	20.46759
-16.76	22.09997
-16.41	23.35565
-15.9	24.92525
-15.38	26.24371
-14.84	27.56217
-14.28	28.50393
-13.73	29.25735
-13.17	30.51303
-12.6	31.392
-12.04	32.20819
-11.45	32.89881
-10.87	33.90336
-10.28	34.5312
-9.7	35.59853
-9.12	36.47751
-8.509999	37.35648
-7.91	38.17267
-7.3	38.67495
-6.69	39.67949
-6.07	40.30732
-5.46	41.06073
-4.84	42.12806
-4.22	42.81868
-3.59	43.44653
-2.98	44.19993
-2.35	44.89056
-1.73	45.70675
-1.11	46.46016
-0.49	47.21357
0.13	48.09255
0.75	48.72039
1.39	49.15987
2.03	49.97607
2.54	50.66669
3.05	51.10617
3.57	51.60845
4.08	52.1735
4.59	52.67578
5.12	53.30361
5.64	53.93145
6.16	54.30816
6.68	54.81043
7.21	55.24992
7.73	55.24992
8.26	56.06611
8.79	56.25447
9.31	56.44281
9.85	56.94509
10.41	56.94509
10.94	57.19622
11.49	57.51014
12.02	57.57293
12.58	57.94963
13.13	58.20076
13.67	58.01241
14.25	58.01241
14.8	58.01241
15.37	57.76128
15.93	57.63571
16.51	57.19622
17.08	56.94509
17.67	56.75673
18.24	56.12889
18.83	55.6894
19.41	55.43827
20.02	54.74765
20.61	54.30816
21.22	53.74311
21.81	52.80135
22.42	52.23629
23.03	51.48288
23.63	50.85504
24.24	50.28999
24.86	49.4738
25.47	48.59481
26.1	47.90419
26.72	47.02521
27.42	45.95789
28.15	44.26272
28.86	42.31642
29.5	41.18631
30.17	40.30732
30.84	39.30278
31.55	37.73319
32.2	36.35193
32.85	35.41017
33.35	35.15904
34.02	33.46387
34.57	32.39655
34.67	30.76416
34.75	29.38291
34.52	27.56217
34.27	26.05536
34.03	24.29741
33.84	22.72781
33.67	20.84429
33.45	19.71417
33.24	18.27015
33.03	17.20281
32.79	15.44487
32.57	14.18919
32.24	12.18009
32.03	10.48493
31.54	7.345728
31.27	5.776128
30.96	4.143744
30.71	2.574144
30.39	0.690624
30.14	-0.690624
29.9	-2.323008
29.61	-4.08096
29.32	-5.587776
29.01	-7.53408
28.7	-9.166464
28.4	-10.79885
28.09	-12.61959
27.77	-13.93805
27.44	-16.07271
27.09	-17.45395
26.76	-19.27469
26.43	-20.90707
26.07	-22.53945
25.69	-24.29741
25.3	-25.99257
24.91	-27.75052
24.51	-29.38291
24.11	-31.07808
23.49	-33.02439
23.05	-34.34285
22.41	-36.28915
21.99	-37.98432
21.37	-39.67949
20.94	-41.24908
20.31	-43.13261
19.85	-44.51385
19.2	-46.02068
18.54	-47.71584
17.87	-49.15987
17.19	-50.10163
16.49	-51.35732
15.77	-51.73401
15.04	-52.23629
14.32	-52.80135
13.58	-53.11527
12.87	-53.68032
12.13	-54.11981
11.38	-54.11981
10.66	-54.62208
9.900001	-54.99878
9.160001	-54.936
8.660001	-55.24992
7.92	-55.43827
7.18	-55.56384
6.68	-55.62663
5.93	-55.87776
5.19	-56.06611
4.44	-56.06611
3.94	-56.31725
3.2	-56.12889
2.47	-56.31725
1.72	-56.63116
0.99	-56.63116
0.25	-56.63116
-0.46	-57.07065
-1.18	-56.94509
-1.69	-56.94509
-2.43	-56.5056
-2.93	-56.63116
-3.65	-56.31725
-4.16	-56.31725
-4.89	-55.81497
-5.4	-55.81497
-6.13	-55.24992
-6.64	-54.99878
-7.38	-54.55929
-8.13	-53.74311
-8.87	-53.30361
-9.41	-52.80135
-9.98	-52.55021
-10.53	-51.92237
-11.09	-51.10617
-11.74	-50.47833
-12.26	-49.8505
-12.81	-49.22265
-13.37	-48.53204
-13.92	-47.96697
-14.47	-47.088
-15.03	-46.39737
-15.71	-44.95335
-16.17	-43.44653
