Galeota 1996 Specimen BB4	
3118	
0.09	1.619
0.16	2.655
0.24	4.273
0.31	5.957
0.39	7.381
0.46	8.676
0.53	10.165
0.6	11.784
0.7	13.338
0.78	14.697
0.86	15.733
0.96	17.87
1.03	19.1
1.14	21.496
1.24	22.791
1.34	25.251
1.41	26.87
1.51	28.165
1.61	30.625
1.71	32.179
1.79	33.733
1.86	35.222
1.94	36.517
2.02	37.876
2.11	39.171
2.2	40.79
2.29	42.15
2.39	44.092
2.54	46.293
2.63	47.912
2.73	49.466
2.83	51.149
2.92	52.574
3.04	53.998
3.13	55.358
3.22	56.782
3.31	58.271
3.4	59.437
3.54	61.638
3.64	63.127
3.74	64.94
3.84	66.429
3.94	68.048
4.04	69.408
4.14	71.091
4.25	72.71
4.35	74.005
4.46	75.688
4.56	77.112
4.66	78.407
4.77	80.156
4.87	81.515
4.97	83.004
5.07	84.105
5.23	86.177
5.38	87.99
5.49	89.479
5.58	90.839
5.74	92.652
5.85	94.076
6	95.889
6.16	97.637
6.27	99.061
6.43	100.615
6.58	102.558
6.75	104.306
6.91	105.924
7.07	107.802
7.23	109.615
7.4	111.428
7.51	112.593
7.73	114.795
7.91	116.09
8.01	117.385
8.18	119.133
8.41	120.169
8.58	121.917
8.75	123.471
8.92	125.154
9.05	127.485
9.31	128.715
9.49	130.075
9.72	131.37
9.89	132.924
10.12	134.542
10.29	136.031
10.47	137.197
10.71	138.686
10.94	140.434
11.18	142.182
11.42	143.607
11.65	144.966
11.83	146.391
12.12	147.945
12.36	149.369
12.66	151.182
12.9	152.671
13.14	153.966
13.44	155.714
13.74	157.462
13.98	158.887
14.28	160.376
14.52	161.736
14.76	163.03
15.11	164.649
15.41	166.591
15.71	167.951
16.01	169.311
16.24	170.8
16.6	172.224
16.9	173.778
17.21	175.009
17.86	172.807
18.5	173.649
19.22	172.16
19.45	170.606
19.5	169.57
19.4	168.599
19.29	167.304
19.16	166.009
19.05	164.584
18.93	163.289
18.81	161.995
18.69	160.7
18.56	159.469
18.45	158.239
18.33	156.815
18.17	155.261
18.05	154.031
17.93	152.477
17.78	151.052
17.61	149.499
17.48	148.204
17.32	146.261
17.13	144.448
17.01	143.348
16.81	141.341
16.68	139.981
16.49	138.103
16.36	136.873
16.18	134.736
16.05	133.765
15.86	131.693
15.67	130.01
15.53	128.521
15.35	126.708
15.17	125.154
15.04	123.794
14.92	122.241
14.73	120.492
14.6	119.133
14.41	117.449
14.28	115.895
14.09	114.277
13.97	113.047
13.77	110.975
13.6	109.032
13.41	107.219
13.21	105.406
13.09	104.112
12.9	102.299
12.77	101.004
12.59	98.997
12.4	97.572
12.19	95.954
12	94.464
11.86	93.105
11.67	91.357
11.5	89.479
11.35	87.99
11.13	85.983
10.92	84.235
10.78	82.227
10.64	81.062
10.5	79.573
10.35	77.566
10.2	76.53
10.06	74.911
9.85	72.969
9.71	71.156
9.57	70.185
9.43	68.501
9.29	66.947
9.08	65.199
8.93	63.322
8.76	61.444
8.57	59.372
8.39	57.559
8.21	55.617
8.04	53.804
7.85	51.797
7.67	49.854
7.5	48.171
7.32	46.034
7.15	44.286
6.98	42.15
6.8	40.402
6.65	38.394
6.48	36.581
6.32	34.769
6.16	33.02
6.01	31.272
5.85	29.459
5.71	27.776
5.57	26.352
5.43	24.539
5.3	23.114
5.17	21.69
5.03	20.201
4.91	18.647
4.78	17.158
4.63	15.345
4.48	13.791
4.29	11.525
4.13	9.323
3.99	8.029
3.88	6.28
3.77	5.05
3.62	3.496
3.51	2.072
3.36	0.453
3.22	-1.295
3.11	-2.59
2.97	-4.467
2.87	-5.762
2.76	-7.057
2.64	-8.546
2.53	-10.165
2.41	-11.46
2.3	-13.079
2.18	-14.438
2.06	-16.122
1.93	-17.481
1.81	-19.489
1.67	-21.042
1.54	-22.596
1.41	-24.28
1.28	-26.157
1.16	-27.841
1.02	-29.718
0.88	-31.467
0.75	-33.02
0.61	-34.833
0.46	-36.258
0.33	-38.006
0.21	-39.56
0.08	-40.919
-0.06	-42.473
-0.18	-43.898
-0.31	-45.775
-0.44	-46.941
-0.64	-48.948
-0.77	-50.113
-0.89	-51.538
-1.02	-53.092
-1.15	-54.451
-1.27	-56.07
-1.4	-57.43
-1.53	-59.178
-1.67	-60.602
-1.86	-62.48
-1.99	-64.034
-2.12	-65.393
-2.28	-66.818
-2.52	-68.825
-2.66	-70.055
-2.8	-71.544
-2.94	-72.839
-3.09	-74.199
-3.3	-76.595
-3.44	-77.501
-3.59	-79.12
-3.74	-80.803
-3.88	-82.163
-4.09	-83.911
-4.23	-85.465
-4.37	-86.889
-4.55	-88.184
-4.72	-89.932
-4.85	-91.098
-5.04	-92.846
-5.21	-94.4
-5.39	-95.954
-5.57	-97.507
-5.7	-98.932
-5.88	-100.486
-6.06	-102.104
-6.24	-103.464
-6.43	-105.018
-6.56	-106.248
-6.74	-107.867
-6.97	-109.485
-7.16	-110.975
-7.35	-112.529
-7.54	-114.018
-7.77	-115.442
-7.97	-116.802
-8.16	-118.291
-8.35	-119.392
-8.54	-120.751
-8.73	-122.241
-8.97	-123.6
