Galeota 1996 Specimen BB4B	
3118	
0.05	1.318464
0.12	2.82528
0.2	4.018176
0.28	5.524992
0.35	6.843456
0.43	8.224704
0.49	9.668736
0.56	10.73607
0.65	12.49401
0.75	14.18919
0.82	15.696
0.92	17.14003
1	18.89799
1.09	20.34201
1.2	22.28832
1.3	23.60679
1.36	24.67411
1.46	26.62041
1.56	27.93888
1.67	29.57127
1.74	30.95251
1.82	32.39655
1.9	33.71501
1.98	35.28461
2.07	36.72864
2.16	38.4866
2.25	39.74227
2.34	41.50023
2.5	43.38375
2.6	45.1417
2.69	46.58573
2.79	48.15533
2.88	49.8505
3	50.98061
3.1	52.67578
3.19	54.05703
3.27	55.43827
3.35	56.94509
3.5	59.26809
3.61	60.77491
3.7	62.21893
3.8	63.78854
3.9	65.29536
4.01	66.80218
4.11	68.12064
4.21	70.00416
4.32	71.32262
4.42	72.6411
4.53	74.46182
4.63	75.78029
4.73	77.16153
4.84	78.66835
4.94	79.92403
5.03	81.43085
5.18	83.37715
5.34	85.44903
5.43	86.7047
5.53	88.02318
5.69	90.03225
5.79	91.22516
5.95	93.23425
6.1	94.92941
6.21	96.24788
6.37	98.00581
6.52	99.82652
6.68	101.7729
6.84	103.3424
7	105.0377
7.16	106.9211
7.33	108.2396
7.43	109.6208
7.65	111.6927
7.81	113.0112
7.92	114.2669
8.09	115.5854
8.31	117.7201
8.47	119.3523
8.64	120.6708
8.8	122.2405
8.93	122.9311
9.19	125.5053
9.37	126.7609
9.59	128.3933
9.77	129.5861
10	131.0302
10.18	132.0975
10.36	133.6044
10.59	135.0483
10.82	136.4297
11.05	137.8737
11.28	139.4433
11.51	140.8873
11.69	142.2058
11.98	143.8382
12.21	145.4077
12.51	146.8518
12.75	148.1703
12.98	149.4887
13.27	150.9955
13.56	152.5651
13.79	154.0091
14.09	155.5159
14.32	156.7717
14.56	158.2785
14.91	159.8481
15.2	161.4804
15.5	163.0501
15.78	164.3685
16.02	165.5614
16.38	167.0682
16.68	168.575
16.97	169.9563
17.44	169.3285
17.95	170.5213
18.47	170.2703
18.61	169.0773
18.62	167.3821
18.51	165.1219
18.4	163.6779
18.29	161.9827
18.18	160.8527
18.07	159.5342
17.95	158.0901
17.84	156.8344
17.72	155.5159
17.61	154.072
17.49	152.879
17.34	151.2466
17.22	149.7398
17.11	148.6097
16.95	147.1029
16.79	145.345
16.66	143.7126
16.51	142.0175
16.33	140.2595
16.21	138.8154
16.03	136.8691
15.9	135.4879
15.72	133.6044
15.6	132.2859
15.42	130.5907
15.3	128.8955
15.12	127.1376
14.92	125.2541
14.8	123.9984
14.63	121.9893
14.44	120.1058
14.33	118.7873
