Galeota 1996 Specimen CA3	
2128	
0.1	1.302277
0.07	2.405902
0.14	4.017195
0.21	5.49605
0.22	7.04113
0.32	8.519985
0.43	9.756045
0.54	10.85967
0.59	11.98537
0.56	13.30972
0.54	14.43542
0.71	15.56111
0.76	16.68681
0.87	18.09945
0.79	19.46795
0.89	20.77022
1.04	21.91799
0.99	23.24234
1.09	24.4784
1.22	25.91311
1.26	27.17125
1.32	28.62803
1.27	29.84202
1.45	31.34295
1.45	32.46864
1.55	33.66056
1.63	34.78626
1.65	36.15475
1.59	37.36874
1.82	38.80346
1.85	40.10573
1.77	41.67288
1.91	43.17381
2.05	44.3878
2.07	45.5135
2.28	46.63919
2.17	47.85318
2.28	49.00095
2.36	50.19285
2.4	51.40685
2.6	52.53255
2.51	53.65825
2.72	54.806
2.74	55.9538
2.84	57.0574
2.97	58.2714
3.03	59.90475
3.01	61.05255
3.09	62.5976
3.13	63.70125
3.22	65.2684
3.44	66.8576
3.44	68.3144
3.47	69.8153
3.78	71.3383
3.88	72.7068
4.08	74.11945
4.12	75.46585
4.16	76.7461
4.28	78.1808
4.4	79.3948
4.49	80.7412
4.88	81.9552
4.9	83.25745
4.89	84.40525
5.02	85.6413
5.34	87.1643
5.32	88.55485
5.66	89.68055
5.58	90.7842
5.8	92.1527
6.27	93.54325
6.23	94.7793
6.51	96.01535
6.59	97.16315
6.78	98.35505
7	99.50285
7.12	100.6285
7.4	102.0191
7.61	103.1227
7.81	104.3809
7.94	105.6832
8.34	106.8751
8.49	108.0891
8.9	109.281
9.03	110.4066
9.17	111.5544
9.48	112.6801
9.79	113.9162
10.01	115.1964
10.25	116.4103
10.72	117.6023
10.94	118.7942
11.15	120.0082
11.52	121.3104
11.73	122.4141
12.2	123.6943
12.36	124.82
12.77	126.1002
13.32	126.9389
13.82	128.175
14.14	129.2787
14.67	130.1395
15.16	131.2431
15.67	131.6183
16.18	130.5147
16.49	127.6894
16.94	118.3528
17.09	116.9622
17.19	115.8586
17.24	114.5783
17.31	113.4306
17.28	111.7531
17.1	110.0976
16.91	108.5305
16.7	107.0075
16.59	105.4845
16.36	103.9836
16.21	102.5047
16.09	101.0038
15.96	99.56905
15.77	98.11225
15.51	96.67755
15.38	95.24285
