Galeota 1996 Specimen CB1	
2891	
0.13	2.574144
0.27	5.524992
0.49	8.538624
0.57	10.10822
0.65	11.67782
0.82	14.62867
1.01	17.6423
1.1	19.08634
1.14	20.4048
1.37	23.79514
1.61	27.37382
1.73	28.69229
1.79	29.88518
1.98	32.45933
2.18	35.28461
2.27	36.72864
2.36	38.10989
2.55	41.43744
2.74	44.76499
2.92	46.33459
3.03	48.72038
3.35	52.73856
3.51	54.87321
3.61	56.12889
3.91	59.51923
4.01	61.02605
4.15	62.59565
4.42	65.73485
4.57	67.17888
4.7	68.74848
4.99	71.57376
5.1	73.14336
5.23	74.65018
5.49	77.53824
5.64	78.91949
5.75	80.23795
6.06	83.06323
6.19	84.3817
6.35	85.76295
6.59	88.52544
6.75	89.78112
6.92	91.16237
7.19	93.79929
7.32	95.11776
7.67	96.87571
7.82	98.06861
7.98	99.44986
8.390001	103.0913
8.55	104.4726
8.7	105.6027
9.12	108.8047
9.24	110.1231
9.49	111.9439
9.74	111.5672
10.11	115.5853
10.32	117.72
10.44	118.4734
10.79	121.2359
10.92	122.0521
11.18	123.8728
11.5	126.3842
11.6	127.3887
11.98	129.7745
12.18	131.3441
12.42	133.0393
12.75	135.3623
12.9	136.1157
13.28	138.3759
13.35	139.2549
13.8	141.8918
13.91	142.6452
14.24	144.8427
14.46	145.91
14.8	147.8563
15	149.0492
15.22	150.3677
15.55	152.0629
15.75	153.193
16.15	155.5788
16.28	155.9555
16.71	158.5924
16.76	158.2785
17.41	161.9199
17.62	162.8617
17.97	164.4313
18.38	159.3458
18.62	158.9063
19.17	160.727
19.67	161.3549
19.87	162.0455
19.79	158.2785
19.37	153.8208
19.01	149.4887
18.84	147.6052
18.62	145.5961
18.2	141.264
18.01	139.2549
17.82	137.3714
17.46	133.7299
17.26	131.7208
17.06	129.8373
16.78	126.8237
16.53	124.6262
16.26	122.0521
16.02	119.8547
15.83	118.0967
15.45	114.3297
15.24	112.3834
15.06	110.3743
14.64	106.4189
14.47	104.7865
14.31	102.7146
13.9	99.32429
13.68	97.3152
13.46	95.68282
13.09	91.60185
12.89	89.96947
12.67	88.39987
12.27	84.63284
12.06	82.87488
11.86	81.05415
11.52	77.34989
11.3	75.65472
11.1	73.58285
10.71	70.69479
10.52	68.56013
10.3	66.61382
9.890001	63.34906
9.74	61.5911
9.47	60.08429
9.140001	56.31725
8.93	54.49651
8.729999	52.86413
8.29	49.59936
8.16	48.09254
7.91	46.33459
7.56	42.94426
7.4	41.24909
7.22	39.6167
6.83	36.41472
6.65	34.46841
6.47	33.14995
6.1	30.07354
5.94	28.50394
5.76	26.80877
5.47	23.73235
5.34	21.84883
5.14	20.84429
4.91	18.20736
4.74	16.63776
4.59	15.3193
4.31	12.43123
4.23	11.74061
3.99	9.480384
3.67	6.59232
3.56	5.148288
3.43	3.390336
3.11	0.753408
3.04	-0.188352
2.79	-3.1392
2.46	-5.776128
2.31	-7.282944
2.11	-8.852544
1.81	-13.05907
1.66	-14.44032
1.5	-15.82157
1.23	-18.96077
1.11	-20.4048
0.92	-22.16275
0.63	-25.1136
0.53	-26.74598
0.36	-28.12723
0.08	-31.32922
-0.11	-33.08717
-0.23	-34.46841
-0.54	-37.98432
-0.79	-37.79597
-1.13	-41.24909
-1.37	-44.63942
-1.54	-46.02067
-1.69	-47.59027
-2.01	-50.47834
-2.16	-52.1735
