Gill et al. 1979 Specimen 3	
701	
0	0
0.044831	17.309
0.15691	45.003
0.20174	51.926
0.26899	71.542
0.33622	96.926
0.47071	120
0.60521	145.39
0.67246	163.85
0.7397	186.93
1.0087	223.85
1.1656	251.56
1.3225	278.09
1.4794	301.17
1.6363	328.86
1.7036	339.25
1.6811	305.78
1.5915	286.16
1.5018	263.1
1.4122	237.7
1.3673	216.93
1.2553	191.55
1.1432	163.85
1.0087	135.01
0.96385	116.54
0.87419	101.54
0.76213	69.233
0.56037	32.308
0.51554	12.693
0.35865	-12.693
0.26899	-36.925
0.11208	-69.233
0.022415	-87.697
-0.13449	-122.31
-0.22415	-144.24
-0.40348	-176.55
-0.56037	-200.78
-0.67246	-227.32
-0.85179	-253.85
-1.0535	-287.32
-1.2328	-315.01
-1.4794	-347.32
-1.3898	-315.01
-1.3225	-285.01
-1.188	-238.86
-1.0535	-199.62
-0.94145	-173.09
-0.7397	-136.16
-0.51554	-90.003
-0.31382	-56.541
-0.15691	-21.924
-0.044831	4.6157
0.11208	33.462
0.24657	63.464
0.33622	90.003
0.47071	121.16
0.7397	183.47
0.96385	221.55
1.3001	272.33
1.4346	297.7
1.7036	332.33
1.9501	366.94
2.3088	403.86
2.6449	431.57
3.5192	496.17
3.9228	521.55
4.5504	551.55
4.9091	566.56
5.4244	586.18
5.94	600.04
6.478	616.18
6.792	619.65
6.6797	567.72
6.59	544.64
6.4333	518.1
6.2314	484.63
5.985	451.18
5.8057	425.78
5.6264	408.48
5.3574	379.64
5.1331	357.71
4.8417	326.55
4.4831	295.39
4.2365	270.02
3.5415	203.08
3.1829	170.78
2.6449	111.93
2.2864	77.311
1.9501	41.54
1.6811	5.7695
1.3225	-35.771
1.0087	-75.002
0.67246	-124.62
0.38105	-169.62
0.11208	-201.93
-0.33622	-256.16
-0.7397	-300.02
-1.1656	-350.79
-1.5018	-388.87
-2.0398	-443.09
-2.4881	-476.56
-3.0485	-512.32
-3.4745	-537.72
-4.0348	-566.56
-4.5728	-587.34
-5.94	-630.04
-6.6573	-648.5
-7.0609	-654.26
-6.9936	-626.57
-6.904	-590.81
-6.747	-553.86
-6.5677	-520.42
-6.4107	-496.17
-6.1417	-456.94
-5.8953	-426.94
-5.6037	-390.02
-5.1331	-343.85
-4.7744	-311.56
-4.4158	-276.93
-4.0795	-244.62
-3.5641	-205.39
-3.2278	-178.85
-2.9139	-150.01
-2.376	-110.77
-1.995	-76.156
-1.3001	-6.9233
-0.89662	25.385
-0.62763	56.541
-0.33622	96.926
-0.044831	129.24
0.13449	151.16
0.65004	205.39
1.1208	253.85
1.6587	300.02
2.107	336.94
2.7122	378.48
3.3175	417.71
3.7882	450.03
4.2588	480.03
5.0211	522.71
5.559	555.02
6.254	586.18
6.8367	604.64
7.0383	604.64
6.8143	544.64
6.6126	518.1
6.366	486.94
6.1417	456.94
5.2901	375.01
5.0434	350.79
4.7297	321.95
4.3934	293.08
3.9898	265.39
3.5641	234.23
3.2725	214.62
2.9588	190.39
2.4657	150.01
2.0398	114.24
1.5915	77.311
1.0759	36.925
0.44831	-24.233
0.80696	12.693
0.26899	-26.539
-0.067247	-57.695
-0.44831	-90.003
-0.78453	-118.85
-1.4122	-165.01
-1.6811	-191.55
-2.107	-228.47
-2.6675	-275.78
-3.2055	-323.08
-3.8555	-372.7
-4.3485	-406.17
-4.8865	-443.09
-5.4694	-480.03
-6.0074	-508.87
-6.4557	-536.56
-6.9936	-565.41
-6.9936	-538.88
-6.904	-510.03
-6.7023	-475.4
-6.5677	-441.93
-6.321	-409.64
-6.0074	-378.48
-5.7607	-349.64
-5.559	-333.47
-5.2227	-302.33
-4.8417	-271.17
-4.3711	-236.54
-3.8105	-191.55
-3.4519	-156.93
-3.0709	-126.93
-2.8242	-106.16
-2.3984	-72.696
-2.0398	-42.694
-1.5691	-4.6157
-1.2553	23.078
-1.0311	43.848
-0.62763	75.002
-0.13449	111.93
0.60521	177.7
1.0311	206.55
1.4346	236.54
2.0398	274.62
2.376	301.17
2.7572	327.71
3.1158	349.64
3.4072	366.94
3.7435	387.71
4.1918	414.24
4.5278	439.64
4.9538	467.33
5.4244	492.7
6.0074	525.02
6.5004	549.26
7.0609	576.95
7.554	596.57
8.0696	616.18
8.5402	627.72
9.3248	640.42
9.7506	641.56
10.109	641.56
10.535	640.42
10.894	635.8
11.118	625.41
11.409	602.33
11.589	597.72
11.992	596.57
12.328	601.17
12.642	606.95
13.068	615.02
13.404	621.94
13.875	632.33
14.099	639.27
14.167	615.02
14.077	590.81
13.942	565.41
13.875	540.03
13.785	523.86
13.651	498.49
13.404	473.09
13.292	451.18
13.023	428.1
12.799	403.86
12.328	370.41
11.97	346.17
11.611	323.08
11.23	298.86
10.849	276.93
10.401	258.47
9.9972	237.7
9.4816	212.32
8.8092	183.47
8.4506	167.32
7.8676	137.31
7.0383	98.081
6.4107	73.85
5.9177	50.772
5.3348	23.078
4.7968	-4.6157
4.0795	-39.231
3.5415	-65.773
2.8468	-101.54
2.1295	-133.85
1.5467	-161.54
0.87419	-196.16
0.31382	-229.63
-0.20174	-252.71
-0.94145	-291.94
-1.4346	-315.01
-2.0846	-351.95
-2.6449	-383.08
-3.0709	-403.86
-3.5641	-432.7
-4.0795	-460.41
-4.5728	-485.79
-5.1331	-514.63
-5.6487	-541.19
-6.2763	-571.17
-6.8367	-588.49
-7.3523	-605.8
-8.047	-624.25
-8.9662	-645.03
-9.4592	-653.1
-10.221	-661.17
-10.692	-663.49
-11.163	-665.8
-11.835	-666.96
-12.284	-668.11
-12.822	-668.11
-13.629	-666.96
-13.651	-641.56
-13.539	-602.33
-13.427	-572.32
-13.247	-538.88
-13.023	-504.25
-12.687	-470.8
-12.418	-446.56
-12.082	-416.56
-11.701	-387.71
-11.32	-364.62
-11.073	-346.17
-10.759	-330.02
-10.378	-309.25
-9.7955	-279.25
-9.3248	-251.56
-8.7869	-228.47
-8.2489	-197.32
-7.666	-165.01
-7.2177	-143.08
-6.7694	-125.77
-6.254	-100.39
-5.6934	-76.156
-5.2227	-50.772
-4.6175	-21.924
-4.1021	1.1539
-3.5192	24.233
-1.4346	113.08
-0.33622	156.93
0.11208	176.55
0.78453	204.24
1.5018	233.1
2.1519	257.32
2.8692	286.16
3.5641	311.56
4.6624	348.48
7.2626	436.17
8.2489	465.02
9.1902	491.55
10.042	514.63
11.118	542.32
12.261	567.72
13.203	587.34
13.718	590.81
13.696	572.32
13.606	544.64
13.427	515.79
13.27	492.7
12.911	452.32
12.53	420.02
12.104	387.71
11.14	326.55
10.737	303.46
10.02	265.39
9.4816	234.23
9.0333	207.7
8.4056	177.7
7.666	140.77
6.8143	101.54
6.0747	68.079
5.4244	43.848
4.1021	-16.154
3.1158	-57.695
2.3088	-93.466
1.4122	-129.24
0.51554	-166.16
-0.11208	-196.16
-1.188	-236.54
-1.9501	-266.55
-2.6899	-293.08
-4.1245	-345.01
-5.0434	-377.32
-6.1417	-414.24
-7.3523	-460.41
-8.2713	-490.41
-9.4592	-529.65
-10.58	-563.09
-11.364	-581.55
-12.216	-597.72
-13.023	-610.42
-13.898	-616.18
-13.785	-594.25
-13.629	-566.56
-13.472	-531.94
-13.225	-503.09
-13.001	-471.93
-12.418	-424.63
-11.902	-384.24
-11.14	-333.47
-10.558	-297.7
-9.7955	-257.32
-9.1229	-228.47
-8.4953	-197.32
-7.9573	-170.78
-7.3299	-140.77
-6.7246	-113.08
-6.1643	-90.003
-5.5141	-62.31
-4.5504	-24.233
-4.1021	0
-3.5641	24.233
-2.6899	63.464
-1.7036	102.7
-0.87419	136.16
-0.044831	170.78
0.29139	178.85
1.6363	229.63
2.376	251.56
3.1382	276.93
3.9228	302.33
4.9987	340.41
6.59	392.31
8.9886	460.41
9.9299	489.26
11.723	531.94
12.956	558.49
14.301	582.71
15.713	602.33
16.901	613.87
18.336	623.1
19.255	626.57
20.129	631.17
20.914	633.48
20.936	606.95
20.869	581.55
20.667	544.64
20.532	522.71
20.376	505.4
20.107	476.56
19.905	455.79
19.681	435.01
19.143	391.18
18.649	362.33
18.089	333.47
17.417	300.02
16.879	275.78
16.274	245.77
15.534	213.47
14.906	186.93
14.144	159.24
13.539	135.01
12.687	105
11.656	70.387
10.894	46.157
10.109	24.233
9.2575	-3.4617
8.5179	-33.462
7.7109	-65.773
6.9713	-88.851
6.1417	-117.7
5.178	-151.16
3.6985	-204.24
2.6899	-237.7
1.5018	-275.78
0.62763	-297.7
-0.44831	-333.47
-1.457	-361.18
-3.5641	-416.56
-5.3574	-462.7
-6.9936	-507.72
-8.7419	-552.71
-10.311	-591.94
-11.073	-604.64
-12.127	-620.79
-13.337	-638.11
-14.436	-645.03
-14.974	-651.94
-15.534	-655.41
-16.363	-658.88
-17.103	-660.04
-18.134	-665.8
-19.031	-665.8
-19.927	-665.8
-20.779	-670.4
-20.757	-646.18
-20.622	-609.26
-20.51	-578.11
-20.331	-553.86
-20.151	-526.18
-19.972	-501.93
-19.658	-465.02
-19.569	-446.56
-19.031	-413.09
-18.56	-384.24
-17.999	-355.4
-16.924	-296.55
-16.206	-261.94
-15.691	-237.7
-14.906	-205.39
-14.57	-192.7
-14.054	-175.39
-13.292	-148.85
-12.508	-123.47
-11.499	-92.312
-10.714	-71.542
-10.109	-56.541
-9.1006	-26.539
-8.1592	0
-7.3299	26.539
-6.4107	50.772
-5.0884	84.234
-4.2141	105
-2.9139	136.16
-1.7932	161.54
-0.47071	193.85
0.17932	207.7
0.91902	225
1.5915	237.7
2.4657	255
4.5504	298.86
5.2901	313.85
6.0297	331.18
6.6573	343.85
7.666	366.94
7.666	366.94
8.0919	375.01
8.7419	386.55
9.5712	406.17
9.8628	411.95
10.49	423.47
11.947	453.47
12.866	473.09
13.629	488.1
15.041	514.63
16.049	534.25
17.372	551.55
18.201	563.09
19.031	572.32
20.017	581.55
21.07	586.18
20.914	553.86
20.734	519.26
20.488	488.1
20.084	447.71
19.591	408.48
18.717	342.7
17.91	294.24
17.125	257.32
16.655	231.94
16.251	213.47
14.996	166.16
14.458	143.08
13.875	122.31
13.315	101.54
12.418	73.85
11.589	43.848
10.737	17.309
9.5489	-18.462
9.2352	-27.693
8.6746	-43.848
8.1592	-60.004
6.6797	-102.7
5.7831	-124.62
5.1107	-141.93
4.3485	-161.54
3.7208	-176.55
1.8156	-226.16
0.78453	-249.24
0.022415	-265.39
-1.2104	-295.39
-2.2415	-320.79
-3.4295	-348.48
-4.2141	-364.62
-4.9314	-377.32
-5.8504	-396.94
-6.9713	-420.02
-8.1143	-443.09
-9.3022	-468.49
-9.9299	-481.18
-11.14	-507.72
-11.611	-516.95
-12.508	-538.88
-13.584	-559.65
-14.615	-573.48
-16.318	-593.1
-17.08	-603.48
-17.865	-616.18
-18.896	-626.57
-19.793	-636.95
-20.577	-636.95
-20.6	-628.88
-20.465	-586.18
-20.263	-555.02
-19.95	-514.63
-19.725	-485.79
-19.389	-450.03
-19.098	-428.1
-18.762	-401.57
-18.38	-375.01
-17.798	-345.01
-17.282	-317.32
-16.632	-287.32
-15.982	-263.1
-15.399	-238.86
-14.996	-222.71
-14.391	-197.32
-13.068	-151.16
-12.082	-120
-11.185	-91.157
-10.468	-69.233
-9.5265	-35.771
-8.7419	-13.847
-8.0696	5.7695
-7.4196	23.078
-6.5453	47.309
-5.4021	77.311
-4.3934	102.7
-3.6761	117.7
-2.8242	140.77
-2.107	156.93
-1.3898	174.24
-0.44831	195.01
0.26899	208.86
1.1656	228.47
1.9277	242.33
2.8915	264.23
3.7658	281.56
4.9314	300.02
5.7831	316.16
6.523	332.33
7.4866	350.79
8.2263	366.94
8.9436	383.08
9.4592	394.63
11.208	429.25
11.992	443.09
12.754	459.26
14.368	488.1
15.108	501.93
15.87	516.95
16.632	529.65
17.417	540.03
18.111	549.26
18.918	557.33
19.636	561.94
20.757	564.25
20.667	542.32
20.465	514.63
20.241	491.55
19.972	462.7
19.838	439.64
19.434	410.8
18.672	362.33
18.336	338.09
17.753	305.78
17.17	273.46
16.767	252.71
16.43	234.23
15.489	198.47
15.063	180.01
14.413	153.47
13.853	133.85
13.337	115.39
12.956	100.39
12.037	71.542
11.387	48.463
10.737	27.693
10.02	6.9233
9.4145	-11.539
8.9886	-24.233
8.4056	-39.231
7.7556	-58.849
6.747	-91.157
5.4694	-124.62
4.4381	-152.32
2.9139	-190.39
2.107	-206.55
1.4346	-219.24
0.22415	-248.09
-0.51554	-263.1
-1.7932	-293.08
-2.2864	-304.62
-3.3848	-328.86
-4.1918	-346.17
-5.1107	-365.78
-5.828	-381.95
-6.747	-403.86
-7.666	-422.32
-9.4816	-454.63
-10.513	-473.09
-11.656	-491.55
-12.777	-513.48
-13.965	-534.25
-15.13	-551.55
-16.206	-570.03
-17.305	-586.18
