"Imai and Yamamoto 1986, Specimen 1"	
301	
0	0
0	30.181
0.039294	51.076
0.15717	71.973
0.23576	87.061
0.35364	109.12
0.51079	130.01
0.64833	147.42
0.74656	162.52
0.8448	177.6
0.96266	197.34
0.98232	200.82
0.94303	184.57
0.8841	171.8
0.82514	161.36
0.72692	145.1
0.64833	130.01
0.58938	112.6
0.49116	90.543
0.41257	70.812
0.31435	38.307
0.2554	23.216
0.17682	8.1256
0.058938	-12.769
0	-27.86
-0.058938	-44.111
-0.13752	-61.525
-0.21611	-77.773
-0.27506	-87.061
-0.31435	-99.831
-0.43223	-128.85
-0.51079	-147.42
-0.58938	-161.36
-0.68763	-175.28
-0.74656	-184.57
-0.8448	-197.34
-0.72692	-164.84
-0.58938	-135.82
-0.49116	-109.12
-0.43223	-94.026
-0.35364	-73.134
-0.23576	-42.95
-0.13752	-13.93
-0.078585	5.8042
0.019646	24.377
0.15717	52.237
0.23576	77.773
0.39294	110.28
0.53045	133.49
0.70726	160.19
0.86444	183.41
1.0216	208.95
1.1591	231
1.3556	251.9
1.5324	268.15
1.6307	278.6
1.7092	285.56
1.611	251.9
1.5324	226.36
1.4145	206.63
1.2574	179.93
1.1788	164.84
1.1002	152.07
0.98232	136.98
0.80551	112.6
0.62868	87.061
0.51079	66.168
0.41257	49.915
0.31435	33.664
0.19646	13.93
0.11788	0
0.078585	-13.93
-0.039294	-45.272
-0.23576	-85.9
-0.37328	-116.08
-0.53045	-145.1
-0.64833	-164.84
-0.82514	-190.37
-0.96266	-208.95
-1.1002	-224.04
-1.1788	-233.32
-1.4342	-262.35
-1.5914	-275.11
-1.7485	-289.04
-1.8861	-296.01
-1.8664	-286.72
-1.7485	-260.03
-1.6307	-239.13
-1.4931	-208.95
-1.2377	-167.16
-1.0609	-141.62
-0.86444	-110.28
-0.66797	-81.256
-0.49116	-55.72
-0.27506	-24.377
-0.058938	11.608
0.15717	56.881
0.41257	99.831
0.60904	136.98
0.8841	176.44
1.3556	229.84
1.6307	266.99
2.0432	307.62
2.4361	341.28
2.8486	376.11
3.3594	412.09
3.8113	439.95
4.2436	445.78
3.9883	416.74
3.8113	391.2
3.5166	348.25
3.222	316.91
2.9075	276.27
2.7112	250.74
2.4361	219.4
2.1611	189.21
1.7682	139.3
1.3949	89.383
1.0412	46.433
0.68763	3.4825
0.35364	-35.986
0.098232	-63.847
-0.13752	-95.187
-0.45187	-138.14
-0.72692	-171.8
-1.0216	-207.79
-1.336	-241.45
-1.6307	-270.47
-1.9646	-299.49
-2.3183	-323.87
-2.6718	-344.76
-3.0846	-363.34
-3.4775	-374.94
-3.6934	-381.91
-3.5166	-354.05
-3.2024	-311.1
-2.7897	-263.51
-2.2986	-206.63
-1.7485	-148.59
-1.3752	-109.12
-0.96266	-65.008
-0.53045	-24.377
-0.15717	9.2865
0.41257	76.612
0.90373	126.53
1.7092	200.82
2.3379	258.86
2.6718	292.53
3.1237	334.32
3.5166	373.78
3.89	409.77
4.2042	434.15
4.6759	449.25
5.285	460.86
6.0117	467.8
