"Kanda et al 1988, Spec. PDC2"	
1106	
0	0.05886
0	0
0	0
0	-0.017952
0	0.0045126
0.0005	0.53886
0.007	0.93862
0.0155	2.196
0.0285	2.8562
0.044	3.0942
0.0505	4.0866
0.061	3.1975
0.061	4.3741
0.065	3.3097
0.0595	3.7004
0.0615	2.9954
0.0575	3.5702
0.062	3.3367
0.0595	3.7543
0.065	3.6914
0.0615	3.7454
0.064	3.4849
0.0595	3.1166
0.056	2.3621
0.047	2.1151
0.047	2.1107
0.0455	1.6705
0.0455	2.9055
0.053	3.4579
0.0645	4.6076
0.0805	4.5133
0.091	6.076
0.106	5.2048
0.111	6.9023
0.117	5.3216
0.112	6.3096
0.1065	4.4773
0.095	3.9295
0.08	3.202
0.0625	2.0478
0.045	1.0554
0.026	0.87574
0.0125	-0.31431
0.0005	-0.31883
0.0005	-0.22906
0.0105	1.3562
0.029	2.6766
0.053	4.0058
0.0815	5.5641
0.1075	6.7272
0.129	6.3096
0.131	7.4862
0.1215	5.0656
0.094	3.395
0.052	1.2934
-0.003	-1.1092
-0.0565	-3.4309
-0.097	-4.9175
-0.1165	-5.4563
-0.116	-3.2872
-0.093	-1.7918
-0.055	-0.076322
-0.0045	2.3576
0.053	4.8051
0.1135	7.4054
0.173	9.6238
0.2275	11.483
0.275	12.974
0.3095	14.061
0.332	13.118
0.3305	14.285
0.311	11.29
0.272	9.3768
0.222	7.4009
0.1695	5.3351
0.1145	3.2424
0.064	1.3158
0.0235	-0.28292
-0.0065	-1.4999
-0.0285	-2.1017
-0.045	-2.3801
-0.0505	-3.193
-0.06	-1.8322
-0.0685	-3.7004
-0.085	-3.6959
-0.1065	-5.4608
-0.1315	-6.1209
-0.1585	-7.5805
-0.188	-7.8409
-0.217	-9.6822
-0.249	-10.827
-0.286	-11.865
-0.3255	-13.409
-0.365	-14.932
-0.3965	-15.7
-0.4195	-15.911
-0.421	-16.293
-0.4125	-13.746
-0.3865	-12.215
-0.35	-10.688
-0.303	-8.5819
-0.2505	-6.579
-0.204	-4.7558
-0.168	-0.33079
-0.1495	-3.7678
-0.155	-4.1405
-0.1815	-6.2602
-0.231	-8.8738
-0.297	-11.649
-0.378	-14.703
-0.4695	-18.439
-0.561	-21.484
-0.644	-23.976
-0.7115	-25.791
-0.7525	-26.815
-0.7705	-25.068
-0.7535	-24.017
-0.702	-21.174
-0.6255	-18.129
-0.53	-14.6
-0.416	-10.621
-0.2795	-5.7213
-0.114	0.26948
0.085	7.1943
0.3085	14.438
0.5475	21.25
0.7755	27.169
0.972	31.153
1.12	33.47
1.213	35.118
1.239	35.176
1.193	30.308
1.076	27.156
0.8945	22.575
0.6535	16.589
0.364	8.6223
0.043	-1.455
-0.2905	-12.035
-0.616	-22.53
-0.912	-30.475
-1.164	-34.97
-1.37	-37.97
-1.5345	-40.049
-1.661	-41.926
-1.7555	-43.197
-1.822	-43.83
-1.8705	-44.36
-1.9115	-44.939
-1.9415	-45.016
-1.96	-44.432
-1.9515	-42.492
-1.9135	-40.772
-1.8465	-38.989
-1.744	-36.479
-1.6135	-33.367
-1.461	-29.976
-1.2995	-26.469
-1.138	-22.961
-0.983	-19.373
-0.84	-16.086
-0.72	-13.127
-0.6335	-10.89
-0.588	-9.6148
-0.5865	-12.022
-0.636	-14.398
-0.7335	-17.442
-0.8385	-20.334
-0.913	-22.207
-0.886	-19.284
-0.7	-13.921
-0.352	-3.1884
0.147	10.693
0.7555	25.072
1.4315	38.208
2.1375	46.403
2.8565	53.261
3.559	58.812
4.226	63.599
4.8395	67.658
5.39	70.568
5.869	72.23
6.2735	73.106
6.6065	73.784
6.864	74.228
7.0505	74.372
7.1675	74.413
7.2125	73.901
7.181	69.774
7.0705	68.063
6.881	65.35
6.6125	61.883
6.264	57.577
5.8375	52.529
5.3365	46.785
4.7675	40.727
4.1325	34.153
3.437	27.295
2.6835	19.539
1.8805	10.387
1.0405	-0.026977
0.174	-12.179
-0.698	-25.202
-1.558	-39.227
-2.384	-50.284
-3.1585	-58.524
-3.8805	-64.959
-4.5455	-70.187
-5.1545	-74.305
-5.7145	-76.694
-6.236	-77.709
-6.727	-78.948
-7.1995	-79.995
-7.659	-80.394
-8.118	-80.843
-8.582	-81.072
-9.053	-81.4
-9.5405	-81.589
-10.05	-81.598
-10.562	-81.405
-11.052	-81.315
-11.505	-81.463
-11.901	-81.328
-12.117	-81.288
-12.03	-74.862
-11.614	-69.104
-10.851	-59.238
-9.802	-47.158
-8.529	-34.224
-7.0645	-20.577
-5.4385	-6.8126
-3.7175	3.7454
-1.961	11.488
-0.2015	19.01
1.528	27.915
3.1845	39.991
4.717	52.273
6.084	62.597
7.25	68.081
8.1925	70.119
8.8925	71.336
9.339	72.176
9.523	72.67
9.438	67.456
9.087	63.109
8.473	56.032
7.5925	46.92
6.522	36.721
5.336	27.439
4.1715	18.489
3.174	10.365
2.319	3.7858
1.5835	-0.9655
0.9825	-4.3112
0.53	-6.7227
0.2045	-8.4472
-0.0185	-9.6193
-0.155	-10.437
-0.2185	-10.598
-0.241	-10.441
-0.2525	-10.315
-0.223	-8.7346
-0.121	-7.0236
0.0945	-4.1944
0.461	-0.094274
0.952	5.4518
1.5385	11.726
2.202	18.269
2.9285	24.264
3.691	29.841
4.4665	35.989
5.2325	42.124
5.961	48.002
6.6285	53.256
7.2175	57.725
7.7055	61.353
8.077	63.85
8.3195	65.391
8.422	66.033
8.379	63.599
8.1865	60.94
7.85	56.894
7.3735	51.518
6.763	45.124
6.0345	38.239
5.214	31.386
4.334	24.879
3.426	18.062
2.5175	10.185
1.647	2.6541
0.8475	-3.4714
0.1375	-8.3529
-0.4685	-12.538
-0.9675	-15.677
-1.363	-18.12
-1.6565	-20.123
-1.8475	-21.453
-1.943	-22.126
-1.9585	-21.727
-1.8965	-19.885
-1.7745	-18.233
-1.608	-16.131
-1.4185	-14.029
-1.2155	-11.874
-1.0145	-9.7451
-0.832	-7.9308
-0.68	-6.3635
-0.536	-5.0072
-0.374	-3.3996
-0.189	-1.446
0.0225	0.62872
0.244	2.7125
0.458	4.8456
0.6555	6.9159
0.83	8.6852
0.9655	10.037
1.0485	10.782
1.067	10.872
1.018	8.9592
0.8935	7.1718
0.687	4.5717
0.401	1.1811
0.033	-2.8606
-0.4075	-7.558
-0.919	-12.579
-1.4445	-17.456
-1.9295	-22.171
-2.3645	-25.62
-2.7385	-28.346
-3.0645	-30.861
-3.354	-33.178
-3.598	-35.091
-3.795	-36.569
-3.966	-37.821
-4.1265	-38.944
-4.278	-40.089
-4.4205	-41.217
-4.5715	-42.357
-4.757	-43.803
-4.865	-44.571
-4.7855	-41.738
-4.515	-37.952
-4.0545	-32.473
-3.4455	-26.28
-2.7285	-19.697
-1.9275	-12.799
-1.069	-4.6929
-0.196	3.6285
0.6445	11.173
1.4115	17.811
2.0685	22.764
2.668	26.999
3.2615	31.04
3.8545	35.72
4.451	40.143
5.02	44.477
5.5405	48.379
6.002	51.707
6.4055	54.693
6.726	56.939
6.944	58.268
7.052	58.951
7.0485	57.496
6.9155	55.439
6.6575	52.25
6.277	47.89
5.7875	42.847
5.223	37.498
4.619	32.307
3.9795	27.376
3.303	22.548
2.604	17.263
1.8985	11.236
1.1925	4.7602
0.4945	-1.3383
-0.1805	-6.6688
-0.828	-11.757
-1.4415	-16.576
-2.0225	-21.089
-2.5655	-25.31
-3.065	-29.352
-3.516	-33.326
-3.916	-36.591
-4.2405	-39.339
-4.471	-41.36
-4.5965	-42.469
-4.606	-41.513
-4.4925	-39.344
-4.261	-36.259
-3.9315	-32.302
-3.528	-28.094
-3.067	-23.604
-2.5705	-19.288
-2.059	-14.972
-1.5605	-10.455
-1.0935	-5.8291
-0.6795	-1.7738
-0.3435	1.3966
-0.1045	3.8127
0.0235	5.0162
0.032	4.1675
-0.0905	1.9176
-0.341	-1.3787
-0.6625	-5.1734
-0.9925	-8.8019
-1.309	-12.103
-1.5905	-14.725
-1.8365	-16.926
-2.0535	-18.799
-2.235	-20.393
-2.3815	-21.646
-2.475	-22.432
-2.5045	-22.697
-2.4665	-21.12
-2.362	-19.854
-2.207	-18.273
-2.018	-16.311
-1.8005	-14.128
-1.5655	-11.797
-1.328	-9.305
-1.107	-7.0416
-0.914	-4.9758
-0.757	-3.3052
-0.652	-2.1916
-0.613	-1.8592
-0.6415	-3.4085
-0.746	-4.9938
-0.927	-7.293
-1.191	-10.383
-1.5335	-13.836
-1.9515	-17.828
-2.4425	-22.153
-3.007	-27.133
-3.6245	-32.81
-4.279	-38.976
-4.957	-45.393
-5.6455	-50.535
-6.324	-55.232
-6.971	-59.252
-7.557	-62.696
-8.058	-65.4
-8.3775	-67.052
-8.427	-66.59
-8.239	-62.31
-7.848	-56.997
-7.2815	-49.992
-6.563	-41.931
-5.725	-33.434
-4.793	-25.625
-3.758	-17.743
-2.6145	-7.6254
-1.374	2.7259
-0.0425	11.425
1.3805	20.366
2.903	29.976
4.479	41.342
6.062	53.063
7.6145	63.486
9.604	70.802
10.491	73.654
11.752	74.592
11.752	74.592
13.847	75.162
14.651	74.911
15.262	74.79
15.672	74.758
15.866	74.709
15.828	69.742
15.544	66.127
15.013	60.361
14.24	52.655
13.227	43.574
11.988	34.135
10.618	24.969
9.2145	16.584
7.8025	8.6807
6.4075	2.3576
5.0285	-2.5553
3.6635	-6.5341
2.316	-10.091
0.9865	-13.755
-0.3295	-18.017
-1.645	-23.981
-2.9575	-32.213
-4.264	-41.194
-5.555	-49.92
-6.822	-57.621
-8.0705	-63.967
-9.302	-69.45
-10.479	-73.483
-11.559	-76.083
-12.429	-77.412
-12.976	-78.126
-13.222	-78.733
-13.186	-73.896
-12.876	-69.419
-12.31	-62.436
-11.517	-53.459
-10.533	-43.215
-9.405	-33.021
-8.175	-23.554
-6.8465	-14.011
-5.4155	-4.4325
-3.8785	3.2513
-2.225	9.04
-0.496	14.133
1.2835	19.724
3.094	27.062
4.9215	36.2
