"Kanda et al. 1988, Spec. PDC3"	
794	
0	0
0	0
0	0
0	-0.080834
-0.0005	-0.11223
-0.0005	-0.085347
0.013	1.5718
0.032	2.5283
0.056	3.7498
0.077	4.1316
0.097	5.0252
0.1135	5.4293
0.1285	4.5133
0.1315	5.0208
0.13	4.3381
0.111	3.2828
0.085	1.6751
0.0625	1.1811
0.0435	0.3099
0.0335	0.78588
0.0635	3.0403
0.1215	5.3845
0.1855	7.6209
0.229	8.6448
0.231	7.8364
0.218	6.9697
0.155	4.1316
0.064	0.83081
-0.026	-2.6181
-0.0775	-4.4773
-0.0565	-1.5268
0.045	2.6316
0.1795	7.4547
0.2635	10.221
0.2715	8.7615
0.2445	7.2706
0.1095	2.3756
-0.045	-3.2693
-0.1365	-6.5072
-0.149	-6.3365
-0.126	-3.9519
-0.0005	1.0554
0.196	8.043
0.404	14.168
0.5525	17.878
0.5815	18.394
0.581	16.149
0.4845	12.934
0.2945	7.4772
0.068	0.44459
-0.144	-7.0775
-0.2945	-11.694
-0.37	-14.186
-0.3835	-12.439
-0.371	-12.929
-0.322	-9.7046
-0.2575	-7.4547
-0.23	-8.528
-0.2655	-10.499
-0.3235	-12.556
-0.362	-13.818
-0.3665	-11.761
-0.3515	-10.724
-0.2845	-8.2855
-0.221	-6.2063
-0.198	-7.2302
-0.2635	-10.405
-0.409	-15.031
-0.6065	-19.8
-0.7915	-23.527
-0.8975	-25.885
-0.903	-23.693
-0.868	-22.701
-0.694	-18.049
-0.3355	-8.4068
0.238	9.5431
0.9155	26.065
1.4865	36.959
1.684	39.955
1.8015	41.145
1.8315	40.812
1.7595	37.09
1.3375	27.506
0.5975	11.537
-0.326	-13.715
-1.236	-32.203
-1.6375	-39.016
-1.9935	-44.203
-2.5615	-50.315
-2.947	-53.553
-3.1965	-55.277
-3.281	-54.59
-3.1175	-50.248
-2.703	-43.116
-2.1	-33.69
-1.4175	-23.244
-0.753	-11.77
-0.2365	-0.48049
-0.009	4.9938
-0.1265	-1.455
-0.2965	-6.5746
-0.0335	3.7363
0.7585	21.241
1.8845	41.535
2.5055	48.617
3.1295	54.114
4.3015	62.79
5.287	68.013
6.042	70.874
6.5455	72.293
6.797	72.67
6.821	70.86
6.758	68.013
6.38	62.629
5.664	53.373
4.6325	41.221
3.317	26.949
1.7675	10.383
0.058	-14.209
-1.6795	-35.697
-3.3225	-55.066
-4.806	-65.247
-6.1305	-71.66
-7.358	-74.916
-8.552	-76.348
-9.783	-76.856
-11.083	-77.215
-11.083	-77.215
-12.477	-77.475
-13.826	-77.134
-14.864	-76.9
-14.995	-76.644
-14.791	-70.133
-13.359	-55.125
-10.889	-33.672
-7.6445	-14.151
-4.027	2.663
-0.353	17.766
3.067	39.573
5.9215	61.228
7.903	68.561
8.853	70.501
8.919	70.281
8.6905	64.668
7.406	49.587
5.5505	31.476
4.0215	20.15
