"Kanda et al. 1988, Spec. STC2"	
652	
0.0485	4.0327
0.099	6.3275
0.1485	8.5505
0.198	10.405
0.248	12.211
0.1515	4.5133
0.052	0.33678
0.0015	-1.9625
-0.048	-3.8531
-0.099	-5.8784
-0.148	-7.585
-0.1995	-9.489
-0.2485	-10.931
-0.152	-3.5792
-0.052	0.38171
-0.002	2.2679
0.248	12.215
0.4985	20.707
0.7485	27.82
0.9995	33.093
1.2485	37
1.498	40.161
1.749	43.484
1.9995	46.264
2.2485	49.098
2.499	51.734
2.2515	42.191
1.751	32.401
1.252	23.15
0.752	12.399
0.252	-0.74546
0.001	-7.9263
-0.249	-14.806
-0.4985	-21.453
-0.748	-26.693
-0.998	-31.391
-1.2485	-34.925
-1.499	-38.423
-1.748	-41.275
-1.9985	-44.32
-2.249	-46.92
-2.498	-49.448
-2.2515	-40.655
-1.7515	-31.701
-1.2515	-23.235
-0.752	-13.742
-0.252	-1.94
-0.0015	4.3785
0.2495	10.755
1.2495	30.286
2.2485	46.682
2.499	50.288
2.251	41.589
1.2515	23.963
0.252	2.3756
0.002	-4.1135
-0.248	-10.167
-1.248	-28.835
-2.2485	-44.306
-2.499	-48.038
-2.2515	-39.968
-1.252	-23.473
-0.2515	-3.1166
-0.0015	3.0447
0.2485	9.4397
1.249	29.127
2.248	45.272
2.4985	49.363
2.251	41.311
1.252	24.08
0.2515	2.8158
0.002	-3.4938
-0.249	-9.6193
-1.249	-28.036
-2.249	-43.368
-2.498	-47.248
-2.2515	-39.923
-1.2505	-23.622
-0.251	-3.633
-0.0015	2.5104
0.499	14.667
1.4995	32.504
2.498	48.936
3.4985	60.523
3.9985	64.69
4.323	67.304
4.0005	57.639
3.501	49.758
2.501	35.473
1.502	21.506
0.002	-6.8126
-0.499	-16.531
-1.498	-32.078
-2.499	-47.01
-3.498	-57.967
-3.998	-62.193
-4.3245	-64.703
-4.001	-55.493
-3.5005	-47.993
-2.502	-34.373
-1.502	-21.435
-0.002	4.4189
0.498	14.258
1.498	29.496
2.499	42.263
3.498	55.102
4.3245	65.292
3.5015	48.537
