"""Matamoros et. al 1999 Specimen c10-20 South"""	
1425	
-0.058166	0.564924143
-0.07493	0.573820586
-0.078994	0.578268808
-0.07493	0.5560277
-0.058166	0.5560277
-0.07493	0.551579478
-0.091694	0.12766396
-0.095758	0.108091785
-0.091694	0.075619767
-0.154178	1.1120554
0.5715	15.79118668
1.28778	28.24620716
1.93548	40.25640548
2.54	48.48561544
3.2004	56.93723648
3.81	64.05439104
4.445	69.83707912
5.1054	75.17494504
5.7912	78.73352232
6.4262	82.2920996
7.0104	84.96103256
7.6962	87.62996552
8.255	89.85407632
8.9916	91.63336496
9.6266	94.30229792
10.16	95.19194224
10.8458	96.97123088
11.4808	98.75051952
12.065	98.75051952
12.7	99.64016384
12.0396	90.29889848
11.3792	85.85067688
10.8204	82.2920996
10.1092	78.28870016
9.525	74.28530072
8.7376	69.83707912
8.1534	66.27850184
7.5438	61.83028024
6.9596	57.38205864
6.35	52.48901488
5.715	47.15114896
5.08	41.1460498
4.3942	35.05198621
3.7592	27.57897392
3.175	19.97251498
2.47396	10.98710735
1.82372	4.381498276
1.28778	-4.00339944
0.59436	-13.52259366
-0.0249936	-22.68593016
-0.65024	-31.62685558
-1.26238	-41.10156758
-1.88976	-49.37525976
-2.6416	-56.93723648
-3.2004	-62.2751024
-3.9116	-68.50261264
-4.4704	-72.95083424
-5.207	-76.50941152
-5.7658	-80.0679888
-6.4262	-84.07138824
-7.0358	-84.96103256
-7.62	-88.51960984
-8.2804	-90.29889848
-8.89	-93.4126536
-9.6266	-95.19194224
-10.16	-96.97123088
-10.922	-96.97123088
-11.5062	-99.64016384
-12.1158	-100.084986
-12.7	-101.4194525
-12.7508	-98.75051952
-12.7508	-98.30569736
-12.0396	-92.52300928
-11.3792	-88.07478768
-10.8204	-84.07138824
-10.16	-80.0679888
-9.525	-76.06458936
-8.8138	-71.61636776
-8.255	-67.61296832
-7.5438	-63.16474672
-6.9596	-59.60616944
-6.3246	-54.71312568
-5.6134	-49.82008192
-4.953	-44.92703816
-4.4196	-39.45572559
-3.7846	-32.5164999
-3.1496	-25.79968528
-2.7432	-19.43872839
-2.47396	-14.27879134
-2.45618	-13.70052253
-2.30632	-8.318174392
-2.10566	-1.347811145
-2.032	0.840713882
-1.14046	3.478509291
-0.63754	7.028190128
0.033274	10.98710735
0.65278	17.74840418
1.31572	26.60036517
1.97866	34.25130632
2.5908	41.81328304
3.2004	46.7063268
3.8608	52.93383704
4.4704	57.38205864
5.207	61.83028024
5.715	64.94403536
6.35	68.9474348
7.0866	72.06118992
7.6454	75.17494504
8.4836	78.28870016
9.017	80.95763312
9.525	84.07138824
10.16	86.29549904
10.8712	88.51960984
11.4554	91.63336496
12.0396	94.30229792
12.7	96.52640872
12.7	93.85747576
12.0396	89.85407632
11.4046	85.85067688
10.795	82.2920996
10.0838	78.73352232
9.4996	75.17494504
8.89	71.61636776
8.3058	68.50261264
7.493	64.4992132
6.9088	60.49581376
6.2992	56.49241432
5.715	52.04419272
5.08	46.7063268
4.4196	41.45742531
3.8354	35.63025502
3.1496	28.6465471
2.5146	21.08457038
1.86944	14.54568463
1.22428	6.850261264
0.59436	-0.578268808
-0.033274	-5.960616944
-0.65278	-15.12395344
-1.36144	-24.82107653
-2.0066	-34.2068241
-2.5654	-40.38985213
-3.2004	-46.7063268
-3.8354	-52.04419272
-4.5466	-58.27170296
-5.1308	-61.83028024
-5.7658	-65.83367968
-6.4262	-69.83707912
-7.0612	-73.3956564
-7.6454	-76.06458936
-8.4074	-79.17834448
-8.9662	-82.73692176
-9.5758	-85.85067688
-10.2108	-88.07478768
-10.7696	-90.29889848
-11.4808	-93.4126536
-12.1158	-95.19194224
-12.7508	-98.30569736
-9.652	-73.84047856
-8.9154	-68.9474348
-8.128	-64.4992132
-7.366	-59.60616944
-6.858	-56.04759216
-5.8674	-48.48561544
-5.3848	-44.43773378
-4.9022	-39.98951218
-4.445	-35.36336172
-3.7846	-27.97931386
-3.175	-20.55078379
-3.0734	-19.66113947
-3.0734	-19.92803277
-2.9972	-20.41733714
-2.51968	-18.01529748
-1.83134	-14.10086247
-1.32334	-6.583367968
-0.58674	2.144042811
-0.070866	8.940925416
0.70866	16.50290214
1.3081	24.99900539
1.92278	31.9827133
2.54	38.12125911
3.2004	44.482216
3.8354	49.37525976
4.445	53.82348136
5.08	58.27170296
5.7404	62.2751024
6.3246	65.83367968
7.0104	69.39225696
7.6708	72.06118992
8.2804	74.73012288
8.9154	77.843878
9.525	80.95763312
10.1854	83.62656608
10.7442	85.85067688
11.4554	88.964432
12.065	92.07818712
12.8524	94.74712008
13.335	95.6367644
13.9954	98.75051952
14.605	99.64016384
15.2908	100.9746303
15.9004	101.4194525
16.5608	101.4194525
17.145	101.8642746
17.8308	100.9746303
18.415	100.084986
19.0246	100.5298082
19.05	97.41605304
19.05	97.41605304
19.05	97.41605304
18.3642	93.4126536
17.7546	89.85407632
17.1958	86.7403212
16.51	83.62656608
15.9512	80.51281096
15.113	76.95423368
14.5796	74.28530072
13.9954	71.1715456
13.1826	67.61296832
12.6492	64.94403536
12.0396	62.2751024
11.4046	58.71652512
10.6934	55.60277
10.1346	52.48901488
9.4996	49.37525976
8.89	45.81668248
8.2296	42.08017634
7.62	39.05538565
7.0104	35.71921945
6.35	31.93823109
5.6896	28.11276051
5.0292	23.97591442
4.2926	19.79458612
3.7846	15.5687756
3.175	11.3874473
2.5146	6.138545808
1.88214	0.898540763
1.26238	-4.408187606
0.59944	-7.828870016
-0.087376	-15.65774003
-0.70358	-22.81937681
-1.29032	-29.80308472
-2.0066	-37.00920371
-2.5654	-43.1032673
-3.2766	-49.37525976
-3.9624	-54.26830352
-4.5212	-58.27170296
-5.08	-61.83028024
-5.7912	-65.83367968
-6.4008	-68.9474348
-7.3406	-73.3956564
-7.8232	-75.6197672
-8.3566	-78.28870016
-8.9916	-80.95763312
-9.5504	-84.07138824
-10.1854	-86.7403212
-10.8966	-88.964432
-11.4554	-91.63336496
-12.0904	-94.30229792
-12.7508	-96.08158656
-13.4112	-97.8608752
-14.224	-100.084986
-14.6812	-100.9746303
-15.2908	-101.8642746
-15.9512	-102.3090968
-16.5608	-103.1987411
-17.2974	-103.1987411
-17.8054	-103.6435633
-18.4658	-103.6435633
-19.0754	-103.1987411
-18.3896	-95.6367644
-17.78	-92.52300928
-16.9926	-88.964432
-16.4846	-85.85067688
-15.8496	-82.73692176
-15.8496	-82.73692176
-15.367	-78.28870016
-14.732	-75.17494504
-13.9954	-72.06118992
-13.3604	-68.9474348
-12.7	-65.83367968
-11.9888	-62.71992456
-11.2268	-59.16134728
-10.7696	-56.49241432
-10.1346	-53.3786592
-9.4742	-50.26490408
-8.763	-47.15114896
-8.255	-44.08187606
-7.62	-41.05708537
-7.0104	-37.94333025
-6.1976	-33.6285553
-5.715	-30.11446023
-5.0546	-25.71072085
-4.4704	-21.30698146
-3.81	-16.59186657
-3.2004	-11.92123389
-2.53238	-6.316474672
-1.90754	-0.969712309
-1.1938	4.848561544
-0.59944	10.23090968
0.020828	16.01359776
0.67564	20.95112374
1.22428	26.46691852
2.00152	32.96132206
2.667	37.72091917
3.175	41.36846088
3.8354	45.37186032
4.5466	49.37525976
5.1308	52.48901488
5.7404	56.04759216
6.4262	59.16134728
7.0612	61.83028024
7.6708	64.4992132
8.4328	66.723324
8.9154	68.9474348
9.6266	71.61636776
10.1854	73.3956564
10.8966	75.6197672
11.4046	77.843878
12.1412	80.51281096
12.7254	82.2920996
13.4112	84.07138824
14.0208	85.85067688
14.605	87.62996552
15.24	89.40925416
15.9258	90.29889848
16.51	92.07818712
17.1704	92.96783144
17.9324	94.74712008
18.4658	95.19194224
18.3896	89.40925416
17.7546	86.29549904
17.1704	82.73692176
16.5354	79.62316664
15.875	76.50941152
15.24	73.3956564
14.5034	70.28190128
13.97	67.61296832
13.3604	64.4992132
12.7	61.83028024
12.0904	58.71652512
11.4046	55.60277
10.8204	52.48901488
10.1346	49.37525976
9.398	46.26150464
8.8646	43.32567838
8.2042	39.67813667
7.5946	36.56438155
6.9596	33.45062643
6.3246	30.0254958
5.6388	26.37795409
5.0546	22.86385902
4.3942	18.9049418
3.7846	15.16843566
3.1496	11.25400065
2.7686	8.318174392
2.51968	6.538885752
1.90246	1.961665726
1.27	-2.793483165
1.26492	-2.442073658
0.60706	-4.492703816
0.0124968	-10.8536607
-0.66548	-17.12565316
-1.52908	-24.7321121
-1.97866	-30.15894245
-2.5908	-35.14095064
-3.3782	-41.59087196
-3.81	-44.92703816
-4.5466	-48.9304376
-5.08	-52.93383704
-5.7658	-56.04759216
-6.4008	-59.16134728
-7.0612	-62.2751024
-7.62	-64.94403536
-8.255	-66.723324
-9.017	-70.28190128
-9.5758	-72.50601208
-10.2108	-74.28530072
-10.795	-76.50941152
-11.43	-79.17834448
-12.065	-81.40245528
-12.7	-83.62656608
-13.3604	-84.96103256
-14.0208	-87.18514336
-14.605	-88.964432
-15.3416	-90.74372064
-15.9258	-92.07818712
-16.637	-93.4126536
-17.2212	-94.74712008
-17.8562	-96.08158656
-18.4404	-96.97123088
-19.1008	-98.30569736
-18.4658	-92.07818712
-17.7038	-88.51960984
-17.145	-85.40585472
-16.383	-82.2920996
-15.875	-79.17834448
-15.24	-76.50941152
-14.6558	-73.3956564
-13.8684	-70.28190128
-13.335	-67.16814616
-12.7	-64.4992132
-11.938	-61.38545808
-11.4046	-58.71652512
-10.7442	-55.60277
-10.1346	-52.48901488
-9.4742	-49.82008192
-8.9154	-46.7063268
-8.128	-43.59257168
-7.62	-40.74570986
-6.9088	-37.72091917
-6.3754	-34.07337746
-5.715	-30.11446023
-4.9784	-25.88864971
-4.4704	-21.92973249
-3.7592	-17.17013538
-3.2004	-12.72191378
-2.53238	-7.428530072
-1.92278	-2.161835698
-1.27508	0.083626566
-0.64008	6.6723324
0.020828	13.03328929
0.67818	18.41563742
1.3081	24.33177215
1.94564	29.98101358
2.667	35.18543286
3.2766	39.45572559
3.8354	43.32567838
4.572	47.15114896
5.1308	50.26490408
5.715	52.93383704
6.3246	56.04759216
7.0104	58.71652512
7.5946	60.94063592
8.2804	63.60956888
9.0678	66.27850184
9.5504	68.50261264
10.16	70.72672344
10.8712	72.50601208
11.5062	74.73012288
12.065	76.50941152
12.7	78.28870016
13.4112	80.95763312
14.0208	82.73692176
14.605	84.07138824
15.6464	86.29549904
15.9258	87.62996552
16.51	88.964432
17.1958	90.29889848
17.78	91.63336496
18.4912	92.96783144
19.1008	93.4126536
19.6596	93.85747576
20.3454	94.74712008
20.955	94.74712008
21.6154	93.85747576
22.2504	93.85747576
22.9108	93.85747576
23.495	92.96783144
24.1808	92.96783144
