"""Matamoros et. al 1999 Specimen c5-20 North"""	
1458	
0.101	-1.01
0.184	-0.295
0.508	1.78
0.419	-0.494
0.45	0.529
0.455	0.796
0.488	1.89
0.554	6.18
0.643	11.9
1.38	21.7
2.95	38.3
3.89	46.7
3.89	45.8
5.03	50.3
5.08	52.5
5.11	52.9
5.77	54.7
6.5	59.6
7.01	59.2
7.67	63.6
8.33	64.5
8.92	66.3
9.55	68.1
10.2	68.1
10.2	68.1
10.8	68.5
11.5	70.7
12	71.2
12.7	71.2
12.1	64.1
11.5	60.1
11	56.9
10.4	51.6
9.83	47.6
9.25	44.5
8.69	40.7
7.59	35.6
6.99	32.2
6.48	28.8
5.89	25.3
5.05	19.8
4.57	16.1
4.04	11.8
3.66	8.5
3.35	2.63
2.27	0.592
1.8	-6.36
1.28	-11.6
0.818	-15.2
-0.154	-26.4
-0.681	-30.5
-1.2	-34.8
-1.73	-39.4
-2.57	-44.1
-3.07	-46.7
-3.63	-51.2
-4.24	-53.4
-5.16	-56.9
-5.77	-58.3
-6.35	-60.5
-6.93	-62.3
-7.77	-64.9
-8.41	-65.8
-8.99	-68.1
-9.55	-69.4
-10.4	-70.3
-11	-70.3
-11.6	-72.5
-12.2	-72.1
-12.8	-68.9
-12.3	-62.3
-11.7	-58.7
-11.2	-55.6
-10	-48.5
-9.47	-44.9
-8.89	-42.2
-8.36	-39.2
-7.47	-34.7
-6.88	-31.8
-6.32	-29
-5.77	-26.2
-4.95	-21.9
-4.34	-18.9
-3.81	-15.9
-3.25	-12.9
-2.77	-10.2
-2.51	-8.05
-1.95	-5.03
-1.46	-2.54
-0.973	-0.881
0.351	10.6
0.775	14.1
0.884	16.6
0.996	18.7
2.77	24.3
3.33	27.5
3.89	31.1
4.45	33.7
5.13	37.5
5.72	39.8
6.3	42.7
7.29	47.2
7.62	48.9
8.28	50.7
8.81	52.9
9.37	55.6
10.2	59.6
10.8	61.4
11.4	63.6
12	65.8
12.9	67.6
12.3	60.9
11.7	57.4
11.1	53.8
10.2	48.5
9.65	45.8
9.02	42.3
9.02	42.4
8.43	39.1
7.54	35.1
6.96	32.1
6.32	28.9
5.82	26.1
4.93	21.5
4.39	18.7
3.91	15.7
3.48	12.8
2.39	7.07
1.89	3.84
1.44	0.538
0.899	-2.86
0.0831	-7.07
-0.432	-9.88
-1.02	-12.7
-1.54	-14.3
-2.74	-22.3
-3.3	-24.8
-3.84	-27.2
-4.5	-30.2
-5.31	-34.1
-5.92	-36.3
-6.5	-38.7
-7.09	-41.3
-7.8	-44.9
-8.38	-47.2
-8.97	-50.3
-9.5	-52.5
-10.4	-56.5
-11	-58.3
-11.5	-60.1
-12.1	-62.7
-13	-65.4
-12.4	-59.6
-11.9	-56.5
-11.4	-53.4
-9.93	-45.4
-9.42	-42.6
-8.86	-39.5
-8.2	-36.7
-7.54	-33.3
-6.99	-30.8
-6.35	-28.2
-5.87	-25.5
-4.57	-19
-3.99	-16.1
-3.43	-13.2
-2.72	-9.7
-2.35	-8.72
-1.81	-6.72
-1.27	-4.63
-0.767	-3.05
-0.33	-1.85
0.483	-0.319
1.45	-0.399
1.88	19.9
3	26.1
2.69	23.8
3.3	27.3
3.33	27.2
3.86	30.3
4.42	33
5.23	37.1
5.79	39.1
6.4	41.8
7.01	44.2
7.8	48
8.43	48.9
9.02	51.6
9.58	54.3
10.2	56
10.8	57.8
11.4	60.1
12	62.3
12.9	64.9
13.5	65.8
14.1	67.6
14.7	68.9
15.3	69.8
15.9	70.3
16.5	70.3
17.1	71.2
17.9	70.3
18.5	69.8
19.2	69.4
18.6	63.6
17.8	58.7
17.2	55.6
16.6	52.5
16.1	50.3
15.5	47.2
14.9	45.4
14.4	42.9
13.7	40.3
13.2	37.9
12.6	35.1
12	32.8
11.5	30.6
10.9	28.3
10.2	25.1
9.65	23.1
9.02	21
8.53	19
7.24	16.2
6.71	14
6.3	12.1
6.07	10.5
5.11	7.34
4.52	5.03
3.99	2.88
3.43	0.979
2.4	-2.35
2.4	-0.312
1.86	-4.63
1.35	-7.34
0.8	-9.92
0.0706	-13.4
-0.447	-14.6
-0.996	-15.2
-1.6	-16.6
-2.67	-26.3
-3.25	-28.7
-3.78	-30.7
-4.34	-33.1
-4.9	-34.8
-5.49	-36.7
-6.05	-38.7
