"""Mo and Wang, 2000 Test C2-2"""	
738	
-0.0616	-0.24
0.1144	-0.49
0.2736	21.97
1.4792	47.61
0.9968	47.12
1.3704	46.39
1.576	52.49
0.8576	31.25
0.3392	2.69
-1.0976	-15.14
-1.056	-41.5
-1.7088	-25.88
-1.6592	-33.94
-1.3688	-44.43
-1.7664	-38.57
-2.5248	-67.63
-3.5776	-86.43
-2.8672	-65.43
-2.3808	-35.64
-0.7768	-8.79
0.2848	6.59
0.3328	28.56
0.7608	35.64
1.0704	38.33
1.26	42.97
1.4896	49.32
1.9832	52.25
1.4488	31.98
0.3712	4.39
-1.0656	-11.96
-1.712	-38.57
-1.0216	-39.55
-0.948	-22.95
-1.6008	-31.74
-1.5352	-41.99
-3.0992	-63.72
-3.5296	-84.23
-2.8192	-63.72
-1.7744	-33.69
-0.7288	-7.08
-0.7288	-7.08
1.2904	28.56
-1.1528	33.94
-0.1728	40.77
2.0384	64.7
4.536	104.49
6.412	134.77
5.9256	107.91
3.244	64.94
1.608	20.26
1.6608	-15.38
1.3136	-24.66
-0.3056	-30.27
-2.2448	-53.96
-4.4792	-100.83
-6.6184	-132.32
-8.3744	-159.91
-7.5528	-136.23
-5.4616	-92.29
-3.7696	-48.83
-1.304	-6.35
-1.8672	24.41
-0.9608	38.33
0.4184	45.9
2.4136	62.74
4.1448	96.19
6.396	131.84
5.9016	107.91
3.5952	67.14
1.504	25.15
1.3328	-9.28
1.1296	-25.39
-0.3776	-24.17
-1.9736	-46.14
-4.16	-84.47
-6.4104	-120.12
-8.5344	-155.27
-7.5368	-133.3
-5.4296	-91.31
-3.3944	-49.07
-1.7664	-7.81
-1.7664	-7.81
0.6984	29.79
-0.8352	37.6
2.1496	57.13
5.3024	107.91
8.5032	156.25
12.0392	192.38
10.2752	157.47
6.7232	102.78
3.4432	53.47
3.0096	-0.49
1.6896	-30.76
-0.664	-33.94
-4.04	-81.3
-6.9768	-133.79
-10.5448	-182.13
-13.8016	-220.46
-12.1104	-185.55
-8.7656	-130.62
-5.7328	-77.88
-3.0912	-24.41
-2.8432	19.53
-0.7792	35.89
1.8224	54.44
4.9512	97.66
8.144	142.09
11.856	187.74
10.092	155.03
7.0744	102.54
3.5952	55.18
2.9216	1.71
1.9048	-33.45
-1.2552	-32.71
-3.936	-73.49
-7.0168	-120.85
-10.3776	-167.48
-13.6264	-214.36
-12.1184	-182.37
-8.7736	-128.42
-6.4752	-77.64
-3.2032	-25.39
-3.2032	-25.39
0.2032	24.9
0.172	38.57
4.2968	79.59
8.056	136.23
12.8456	195.07
16.6368	236.08
14.6896	187.01
10.1792	126.22
5.5336	70.56
1.424	9.52
0.0728	-26.86
-1.9176	-42.48
-5.972	-104.49
-10.1224	-163.82
-14.488	-223.14
-18.4552	-265.14
-16.244	-216.06
-12.3736	-151.12
-8.1592	-90.82
-3.5456	-31.98
-0.084	21.48
0.284	44.19
4.4888	77.64
8.4952	126.71
12.9096	176.76
17.02	227.54
14.6976	183.35
9.828	124.76
5.9168	70.8
1.5912	12.21
-0.2544	-23.44
-2.3328	-37.84
-6.4032	-96.19
-10.1624	-149.17
-14.368	-203.37
-18.6464	-255.86
-16.252	-211.67
-12.0144	-148.19
-7.8	-89.84
-3.3384	-32.47
-4.004	-26.4056
0.254	25.896
0.215	40.1128
5.371	82.7736
10.07	141.6792
16.057	202.8728
20.796	245.5232
18.362	194.4904
12.724	131.2688
6.917	73.3824
1.78	9.9008
0.091	-27.9344
-2.397	-44.1792
-7.465	-108.6696
-12.653	-170.3728
-18.11	-232.0656
-23.069	-275.7456
-20.305	-224.7024
-15.467	-157.1648
-10.199	-94.4528
-4.432	-33.2592
-0.105	22.3392
0.355	45.9576
5.611	80.7456
10.619	131.7784
16.137	183.8304
21.275	236.6416
18.372	190.684
12.285	129.7504
7.396	73.632
1.989	12.6984
-0.318	-24.3776
-2.916	-39.3536
-8.004	-100.0376
-12.703	-155.1368
-17.96	-211.5048
-23.308	-266.0944
-20.315	-220.1368
-15.018	-154.1176
-9.75	-93.4336
