"Mo and Wang, 2000 Test C3-3"	
779	
-0.0136	50.29
1.392	48.58
1.2624	61.52
2.5232	73
3.4416	85.69
4.3592	94.48
3.4416	67.14
2.34	39.31
1.0624	13.43
-0.0232	-1.71
-1.1008	-20.02
-2.1704	-16.85
-2.968	-21.73
-2.9976	-27.83
-3.3464	-34.67
-2.8416	-47.36
-1.052	-24.41
-0.5096	-1.71
1.1032	14.4
2.1728	40.04
2.8832	44.43
4.064	55.66
3.7976	50.54
4.044	62.26
4.2896	80.57
4.7112	93.99
3.0424	67.38
2.308	39.79
0.6632	13.67
-0.4064	-1.71
-1.1088	-18.31
-2.3536	-19.04
-3.3672	-24.41
-3.2456	-29.79
-3.2672	-35.16
-2.2576	-28.81
-0.7784	-6.84
0.8576	7.81
1.9272	32.96
2.9968	41.5
2.9968	41.5
1.94	43.95
2.8472	47.36
3.4664	64.94
5.4208	113.53
7.2408	145.75
9.7952	172.36
7.9512	139.89
5.78	97.66
3.8168	53.96
1.6936	10.5
-0.5016	-18.8
-1.2328	-28.32
-1.2208	-30.03
-1.8072	-55.91
-4.3376	-93.99
-5.8296	-124.51
-4.3208	-94.73
-2.5968	-51.51
-0.4976	-8.54
1.912	23.44
3.1632	37.84
3.2792	55.42
3.9944	61.28
5.7008	100.1
7.76	133.79
9.268	168.21
8.1344	137.45
5.788	97.17
3.8168	55.18
1.7016	12.21
-0.2856	-16.36
-1.0976	-26.37
-1.1008	-34.67
-1.8632	-51.03
-4.1216	-89.36
-5.9656	-123.54
-4.3208	-94.24
-2.5888	-52
-0.1384	-9.52
1.936	22.46
1.936	22.46
2.8592	46.63
4.3	58.35
6.172	100.1
8.6456	152.34
11.9904	200.93
15.0952	231.93
12.3496	181.15
9.0928	125.98
5.868	73.49
2.6832	17.58
-0.4448	-24.9
-1.2216	-29.79
-1.8472	-59.81
-4.9432	-111.08
-8.3592	-154.05
-10.6416	-182.13
-8.4952	-138.43
-4.9512	-89.36
-2.1496	-35.89
1.2744	9.77
3.7952	45.41
3.4136	50.05
5.8456	96.19
8.6704	140.62
