"Mugaruma et al. 1989, Spec. AH1"	
483	
0.06	0.40551
0.07	0.39912
0.06	0.39374
0.05	0.40796
0.05	0.40844
0.05	0.48983
0.03	0.45699
0.04	0.46874
0.22	25.448
0.43	50.267
0.73	76.67
1.07	102.24
1.26	114.47
1.44	127.12
1.66	139.75
1.89	152.17
2.14	164.85
2.18	162.46
2.18	160.82
2.13	153.59
1.9	128.06
1.57	103.05
1.26	78.339
0.95	52.815
0.66	27.101
0.32	-0.24079
0.02	-25.324
-0.28	-49.86
-0.58	-74.979
-0.9	-99.1
-1.1	-111.67
-1.34	-126.09
-1.57	-139.47
-1.86	-152.98
-2.13	-164.71
-2.49	-178.72
-2.58	-176.01
-2.42	-152.94
-2.07	-128.33
-1.67	-102.34
-1.31	-76.494
-0.98	-51.961
-0.66	-25.968
-0.31	-0.18685
0	25.051
0.31	49.947
0.65	75.932
1.02	100.77
1.42	127.59
1.84	152.6
2.35	178.67
2.77	191.56
3.21	205.07
4.11	225.14
5.07	228.81
5.36	214.68
4.86	184.8
4.22	158.52
3.59	132.25
3.02	106.92
2.46	80.596
1.96	54.901
1.5	28.579
1.04	2.3988
0.66	-23.514
0.27	-48.809
-0.13	-74.603
-0.56	-99.345
-1.01	-124.28
-1.56	-151.95
-2.12	-178.24
-2.44	-191.47
-2.94	-205.39
-3.35	-216.44
-3.58	-217.33
-3.82	-230.55
-5.03	-231.34
-5.82	-223.72
-5.75	-209.64
-5.19	-184
-4.52	-158.25
-3.65	-127.1
-3.15	-105.76
-2.53	-79.94
-1.94	-53.723
-1.38	-27.646
-0.8	-1.5084
-0.3	24.413
0.19	50.418
0.72	76.527
1.29	101.28
1.92	127.63
2.68	154.46
3.48	180.65
4.54	205.68
5.08	217.82
5.15	213.39
4.71	183.4
4.06	157.87
3.38	131.9
2.75	105.62
2.14	79.845
1.62	54.115
1.09	28.532
0.53	1.6118
0.03	-24.681
-0.47	-49.852
-1.05	-76.515
-1.64	-101.48
-2.39	-128.66
-3.17	-155.11
-4.1	-183
-5.03	-209.51
-5.14	-206.2
-4.87	-183.47
-4.24	-157.43
-3.53	-130.64
-2.88	-105.24
-2.25	-79.369
-1.65	-52.738
-1.13	-27.656
-0.53	-0.88707
-0.02	24.683
0.51	51.968
1.04	77.307
1.67	103.76
2.31	129.51
2.99	153.74
3.88	181.54
4.96	209.99
6.32	232.9
7.05	238.25
8.56	242.91
10.06	244.13
10.2	225.08
9.57	196.35
8.55	168.48
7.63	142.94
6.64	115.29
5.59	88.662
4.61	61.316
3.58	34.611
2.5	7.2674
