"Mugaruma et al. 1989, Spec. AL1"	
439	
0.01	0.051977
-0.01	-0.029904
-0.04	-0.14466
-0.07	-0.24519
-0.08	-0.29226
-0.08	-0.28589
-0.13	-0.178
-0.12	-0.10984
-0.11	3.3569
0.01	24.594
0.31	50.408
0.61	74.115
0.67	75.657
0.92	100.75
1.19	112.27
1.38	126.46
1.62	139.23
1.81	151.99
2.06	165.01
2.39	178.82
2.44	180.71
2.48	176.74
2.16	143.76
1.93	127.77
1.58	102.36
1.25	77.29
0.92	51.869
0.61	26.503
0.28	0.81935
0	-24.232
-0.3	-49.572
-0.65	-75.075
-0.98	-100.26
-1.18	-113.16
-1.43	-126.01
-1.66	-138.99
-1.87	-152.04
-2.19	-165.07
-2.45	-177.8
-2.49	-177.86
-2.58	-174.91
-2.41	-153.1
-2.02	-127.79
-1.64	-102.44
-1.3	-76.966
-0.96	-51.639
-0.6	-26.112
-0.25	-0.53939
0.1	24.864
0.44	50.238
0.77	75.871
1.16	101.1
1.52	126.73
1.99	152.38
2.42	177.96
2.74	191.02
2.82	185.22
3.19	204.85
3.68	217.52
4.35	228.74
4.95	220.17
5.17	212.7
4.67	183.59
4.03	156.63
3.42	131.18
2.82	105.05
2.28	79.11
1.77	53.314
1.3	27.549
0.87	2.0216
0.43	-24.257
0.09	-48.887
-0.37	-74.698
-0.78	-99.981
-1.24	-126.03
-1.77	-151.89
-2.2	-177.52
-2.52	-190.45
-2.92	-203.26
-3.39	-217.51
-3.99	-234.73
-4.79	-242.56
-4.77	-229.48
-4.57	-209.87
-4.01	-184.06
-3.39	-157.87
-2.8	-131.52
-2.25	-105.36
-1.74	-79.043
-1.26	-53.583
-0.73	-27.476
-0.29	-2.2165
0.14	23.934
0.63	49.842
1.08	75.551
1.62	101.59
2.26	127.62
2.98	154.36
3.69	180.05
4.73	207.04
5.04	211.45
5.06	201.58
4.77	183.16
4.14	157.13
3.51	131.04
2.83	104.79
2.25	78.906
1.69	53.225
1.16	27.311
0.45	-9.8594
0.21	-24.911
-0.26	-50.474
-0.75	-77.82
-1.25	-102.02
-1.75	-129.22
-2.31	-154.54
-3.05	-181.22
-3.47	-195.74
-3.58	-199.48
-3.6	-191.53
-2.98	-156.35
-2.5	-130.58
-2	-105.03
-1.49	-78.863
-1	-52.951
-0.55	-26.967
-0.07	-1.314
0.39	24.601
0.83	50.234
1.41	75.974
1.96	101.74
2.6	128
3.35	154.28
4.08	181.95
5.07	207.26
6.82	236.38
7.88	236.24
9.12	238.99
9.41	234.91
9.38	223.33
8.8	196.25
7.93	169.76
7.01	142.29
6.06	116.7
5.21	89.806
4.22	61.76
3.29	34.979
2.41	7.4881
1.64	-19.121
0.95	-46.166
