"Mugaruma et al. 1989, Spec. BH2"	
494	
0.05	0.12598
0.05	0.13579
0.04	0.11693
0.02	0.068649
0.03	0.1135
0.01	0.07006
-0.02	-0.0077194
-0.04	-0.056058
-0.06	-0.094591
-0.07	-0.12401
-0.08	-0.31034
0.06	24.87
0.26	50.59
0.53	75.793
0.81	101.48
1.09	127.27
1.38	152.46
1.79	178.41
2.04	191.99
2.26	204.71
2.51	215.92
2.53	212.45
2.3	180.58
2.04	155.21
1.76	129.57
1.5	103.91
1.22	78.215
0.95	52.919
0.7	27.165
0.42	1.5796
0.15	-23.849
-0.1	-49.181
-0.37	-74.771
-0.67	-100.46
-0.96	-126.2
-1.28	-151.72
-1.48	-165.09
-1.66	-177.71
-1.82	-191.32
-2.05	-203.99
-2.41	-223.17
-2.48	-219.99
-2.39	-205.2
-2.18	-179.82
-1.88	-154.39
-1.59	-128.6
-1.28	-102.93
-1.01	-77.515
-0.73	-51.924
-0.45	-26.278
-0.16	-0.70648
0.11	24.836
0.38	50.52
0.66	75.851
0.92	101.41
1.22	127.02
1.52	152.81
1.84	178.44
2.17	204.23
2.36	216.22
2.55	230.2
2.88	243.72
3.23	257.36
3.54	268.92
3.75	274.61
3.72	265.17
3.46	236.28
3.08	210.28
2.7	184.13
2.34	158.19
1.99	131.94
1.68	106.21
1.36	80.208
1.07	54.526
0.78	28.928
0.48	2.7116
0.21	-22.617
-0.07	-48.406
-0.35	-74.216
-0.62	-99.746
-0.94	-125.54
-1.24	-151.61
-1.59	-177.25
-1.95	-203.17
-2.16	-216.48
-2.37	-229.52
-2.65	-242.94
-2.95	-256.67
-3.3	-271.24
-4.47	-274.02
-5.03	-269.03
-5.52	-263.92
-5.26	-238.05
-4.73	-211.6
-4.16	-184.71
-3.62	-158.61
-3.09	-132.48
-2.6	-106.48
-2.14	-79.94
-1.74	-53.899
-1.35	-27.99
-0.95	-1.8396
-0.61	23.412
-0.28	49.539
0.07	74.168
0.44	101.37
0.83	127.63
1.21	153.52
1.63	180.25
2.06	205.74
2.56	232.5
3.04	256.23
2.95	234.84
2.59	209.32
2.2	182.7
1.82	156.74
1.46	130.99
1.06	104.18
0.72	78.725
0.36	52.452
0.02	26.905
-0.39	0.47061
-0.72	-25.273
-1.07	-51.07
-1.44	-77.019
-1.85	-103.65
-2.31	-129.74
-2.79	-155.41
-3.34	-182.47
-3.98	-209.24
-4.59	-231.14
-5.01	-243.34
-5.05	-241.75
-4.66	-209.68
-3.85	-170.34
-3.52	-155.7
-3.07	-131.95
-2.56	-106.13
-2.09	-78.287
-1.7	-54.012
-1.31	-27.612
-0.94	-1.8739
-0.58	24.108
-0.24	50.215
0.13	75.384
0.48	100.92
0.87	127.27
1.23	153.71
1.68	180.4
1.74	184.41
2.12	206.84
2.61	234.51
3.14	260.66
3.69	282.09
4.88	261.32
6.26	276.34
7.67	285.11
8.72	287.97
10.08	287.72
10.52	275.21
10.34	256.38
9.62	228.66
8.8	201.99
7.99	174.84
7.08	146.83
6.17	118.69
5.38	92.133
4.57	64.547
3.79	37.403
3.05	10.219
2.37	-16.564
1.73	-43.049
1.07	-69.936
0.43	-96.387
-0.29	-123.55
-1.01	-150.38
-1.81	-177.52
-2.69	-206.22
-3.72	-233.51
-5.05	-260.8
-6.34	-277.69
-7.67	-288.06
-7.61	-276.24
-8.27	-281.08
