"Mugaruma et al. 1989, Spec. BL1"	
461	
0.3	-0.16295
0.3	-0.16295
0.31	-0.15752
0.31	-0.077551
0.28	-0.081021
0.27	-0.042699
0.26	-0.039077
0.36	25.013
0.54	50.022
0.78	75.041
1.12	100.01
1.36	125.4
2.08	169.89
2.23	176.67
2.8	202.12
2.97	202.63
3.94	229.68
5.3	236.44
5.05	204.6
4.58	181.91
4.09	156.77
3.21	129.8
1.9	103.65
2.38	78.937
1.95	53.395
1.55	27.919
1.18	1.4391
0.88	-22.517
0.54	-47.83
0.23	-73.389
-0.11	-98.809
-0.5	-123.99
-0.93	-149.53
-1.36	-175.41
-1.9	-201.38
-2.63	-227.35
-3.73	-253.95
-3.89	-250.48
-3.85	-230.47
-3.47	-205.74
-2.94	-180.34
-2.92	-180.54
-2.35	-154.38
-1.84	-126.54
-1.41	-102.6
-1.33	-77.427
-0.63	-51.841
-0.22	-26.331
0.16	-0.45097
0.46	25.277
0.8	50.787
1.2	75.778
1.66	101.62
2.23	127.73
2.66	152.87
3.7	179.36
4.64	206.24
5.26	218.5
4.63	205.91
3.75	180.37
4.16	155.96
3.46	130.15
2.77	104.54
2.24	78.673
1.77	52.274
-0.26	24.94
0.88	0.97663
0.6	-23.808
0.25	-49.167
-0.11	-74.942
-0.6	-100.27
-1.38	-126.05
-1.39	-151.75
-1.91	-177.15
-2.56	-203.16
-3.2	-229.39
-3.5	-238.58
-3.59	-228.78
-3.35	-205.49
-2.85	-179.96
-2.31	-154.06
-1.84	-128.25
-1.61	-102.75
-0.95	-76.59
-0.55	-51.126
-0.15	-25.778
0.2	-0.30251
0.59	24.714
0.93	50.126
1.35	76.037
1.85	101.69
2.3	127.33
3.06	153.32
3.92	179.56
4.61	205.58
5.26	216.16
6.12	233.49
6.66	234.96
7.05	238.66
8.53	240.89
8.66	234.54
9.56	240.89
10.64	239.73
10.7	220.75
10.16	195.52
9.35	168.58
8.42	142.39
7.43	115.87
6.48	89.114
5.26	61.427
4.04	33.702
2.43	5.2759
2.11	-20.257
1.43	-46.299
0.87	-71.997
0.34	-97.892
-0.17	-122.53
-0.21	-123.8
-0.77	-149.86
-1.38	-175.89
-2.2	-202.16
-2.98	-229.28
-3.09	-229.34
-3.52	-241.27
-3.86	-247.49
-4.14	-253.2
-4.36	-254.69
-4.48	-253.09
-4.48	-236.94
-4.07	-211.92
-3.46	-185.67
-2.88	-160.25
-2.16	-133.14
-1.55	-106.04
-1.13	-80.037
-0.53	-53.36
-0.03	-27.196
0.45	-0.76193
0.9	24.945
1.38	50.604
2.05	77.074
2.9	103.58
3.74	129.62
4.84	157.21
6.42	185.57
8.66	215.47
9.64	224.14
10.49	225.1
10.53	217.48
10.08	194.88
9.46	168.79
8.36	142.12
7.48	114.95
6.37	87.856
5.29	60.767
4.13	33.447
2.75	5.8155
2.16	-20.061
1.42	-46.629
0.69	-74.435
0.26	-99.1
-0.31	-124.9
-1.08	-151.3
-1.55	-177.45
-2.5	-205.08
-3.42	-230.01
-4.2	-245.64
-4.26	-236.55
-4.25	-233.09
-4.12	-216.75
-3.42	-185.77
-2.79	-159.53
-2.14	-133.55
-1.5	-106.73
-3.25	-84.033
-0.39	-53.284
0.14	-26.846
0.58	-0.47179
1.14	24.468
1.67	51.632
2.01	77.317
3.33	104.34
4.04	130.95
5.29	157.29
7.22	186.72
9.98	218.04
12.19	233.5
14.36	232.72
16.08	233.08
16.56	223.89
16.2	207.75
15.57	181.6
14.61	155.4
13.44	127.57
12.2	100.55
10.61	72.157
7.98	42.223
6.02	12.549
4.17	-16.194
2.6	-44.045
1.87	-70.302
0.99	-97.409
0.23	-123.74
-0.73	-150.75
-1.23	-177.08
-2.25	-205.23
-2.45	-206.11
-3.38	-232.06
-4.26	-242.56
-7.17	-247.14
-8.71	-248.44
-9.02	-239.72
-8.93	-223.78
-8.24	-197.65
-7.41	-171.12
-6.4	-144.17
-5.29	-116.94
-4.08	-88.753
-2.87	-60.472
-1.77	-32.158
-1.03	-4.7425
0.13	22.468
0.98	49.217
1.95	76.68
3.03	103.72
4.52	131.8
6.65	161.07
9.04	189.62
17.79	220.72
17.69	209.1
17	183.44
16.1	156.19
14.83	128.84
13.8	101.76
12.07	73.947
10.16	44.594
7.54	14.671
5.14	-14.929
0.31	-47.499
2.07	-70.625
0.87	-97.988
-0.27	-125.08
-1.41	-152.75
-3.04	-181.72
-5.47	-212.98
-7.27	-227.6
-8.43	-235.07
-9.29	-240.36
-9.42	-224.34
-8.77	-198.56
-7.89	-171.61
-6.85	-144.5
-5.69	-117.32
-4.55	-90.007
-3.26	-61.428
-1.95	-32.692
-0.8	-4.4192
0.32	22.866
1.28	50.098
2.43	77.306
3.89	105.26
5.66	133.53
8.63	164.43
11.17	185.33
13.3	199.15
15.03	209.3
16.02	211.13
17.03	215.6
18.57	218.67
21.23	219.39
21.52	212.19
21.02	189.27
20.05	162.59
18.98	135.62
17.79	108.38
16.24	80.506
14.29	51.671
11.2	20.617
7.83	-10.739
5.02	-40.385
3.39	-68.516
1.68	-96.942
0.32	-124.66
-1.25	-153.04
-3.22	-182.69
-6.5	-213.34
-8.21	-227.31
-10.68	-238.51
-11.83	-238.98
-12.63	-239.22
-13.16	-227.47
-13	-211.54
-12.12	-185.28
-11.06	-157.9
-9.88	-130.69
-8.4	-103.08
-6.7	-74.263
-4.53	-42.926
-2.78	-11.496
-0.63	18.848
0.81	47.998
2.22	76.17
4.14	104.46
6.64	133.54
9.45	165.13
15.82	197.84
18.48	207.88
21.32	213.35
21.05	188.51
20.14	161.89
19.04	134.96
17.79	107.07
16.3	79.571
14.41	51.037
11.64	20.919
8.21	-10.772
5.5	-40.6
3.39	-69.218
1.18	-98.622
-0.49	-128.45
-2.43	-157.21
-5.95	-191.23
-9.85	-216
-11.07	-222.95
-11.6	-223.37
-11.61	-207.2
-10.78	-181.25
-9.75	-154.18
-8.63	-127.13
-7.17	-99.08
-5.65	-70.905
-3.75	-40.845
-1.91	-13.892
-0.11	18.8
1.31	47.971
3.1	77.399
4.64	104.61
7.85	136.8
11.94	168.8
15.88	185.94
18.35	199.57
20.18	204.27
21.41	207.96
24.53	210.24
26.52	208.56
26.93	200.09
27.02	197.44
26.34	170.85
25.3	143.71
24.15	116.89
22.71	89.143
20.91	60.36
18.01	30.11
13.86	-1.2495
9.47	-33.906
6.26	-64.846
3.61	-95.331
1.2	-125.4
-1.78	-156.9
-6.1	-192.42
-9.43	-210.96
-11.65	-218.71
-13.64	-221.48
-14.67	-221.33
-15.06	-211.34
-14.72	-192.81
-13.75	-166.08
-12.6	-138.8
-11.24	-111.19
-9.49	-82.222
-7.42	-53.257
-4.25	-21.514
-3.71	-25.129
-3.15	-15.849
-1.22	14.847
1.02	45.63
3.11	75.829
5.99	105.99
9.22	137.92
14.79	168.07
16.74	176.64
20.26	189.13
23.31	196.81
26.49	199.34
26.62	196.94
25.93	168.7
24.89	141.61
