"Nagasaka 82, Specimen HPRC 10 63"	
686	
0	0
0.062283	3.4282
0.093426	10.285
0.13495	13.713
0.19723	19.662
0.21799	23.594
0.28026	28.736
0.36332	36.299
0.40485	41.643
0.51902	48.399
0.63322	53.945
0.70587	57.473
0.80968	60.297
0.9654	64.532
1.1003	67.859
1.2561	70.883
1.4429	73.708
1.6194	72.698
1.7024	70.986
1.7024	69.673
1.6297	66.649
1.5571	63.927
1.4844	61.302
1.4118	58.18
1.3391	54.448
1.2872	50.516
1.2457	48.096
1.1938	45.174
1.1211	41.542
1.038	38.013
0.94463	33.677
0.82006	30.35
0.72664	26.821
0.66436	23.796
0.61244	21.174
0.5813	18.553
0.51902	15.528
0.47749	12.906
0.43599	9.8812
0.38407	6.3522
0.2699	-0.80664
0.21799	-4.2349
0.16609	-7.1591
0.093426	-12.402
0.062283	-17.242
0.020761	-20.166
0	-23.191
-0.020761	-25.51
-0.051902	-29.342
-0.16609	-36.702
-0.25951	-41.34
-0.35293	-46.686
-0.4256	-50.618
-0.5398	-54.853
-0.67473	-58.278
-0.82006	-61.609
-0.99654	-65.034
-1.1938	-68.566
-1.3183	-70.683
-1.4429	-72.698
-1.391	-68.566
-1.3183	-63.726
-1.2768	-60.092
-1.2249	-56.063
-1.1834	-51.828
-1.1315	-48.803
-1.0796	-45.476
-1.0173	-42.046
-0.95501	-38.416
-0.8512	-34.484
-0.75778	-30.955
-0.65397	-28.131
-0.5398	-24.602
-0.41521	-20.973
-0.36332	-18.351
-0.22837	-9.2763
-0.031143	4.0332
0	9.4778
0.051902	12.805
0.13495	17.242
0.19723	24.602
0.32179	30.854
0.49827	36.4
0.62283	40.433
0.76817	44.466
0.88235	47.994
1.0692	53.541
1.2353	58.278
1.3806	62.01
1.5052	65.741
1.6297	68.664
1.692	69.976
1.609	65.844
1.4948	61.707
1.4429	58.18
1.3702	55.253
1.3287	52.531
1.2976	50.414
1.2353	47.594
1.1938	44.667
1.1211	40.937
1.0069	37.005
0.92387	33.778
0.84082	30.451
0.7474	27.123
0.68511	24.502
0.5813	19.964
0.51902	16.133
0.49827	13.31
0.44635	9.4778
0.29065	1.6133
0.21799	-2.1174
0.15571	-6.1507
0.083045	-10.083
0.031143	-13.511
-0.083045	-19.359
-0.11419	-23.392
-0.15571	-27.426
-0.28026	-32.165
-0.43599	-36.198
-0.52941	-40.13
-0.59169	-42.55
-0.71625	-46.686
-0.84082	-50.818
-0.95501	-54.146
-1.0588	-57.877
-1.1626	-61.302
-1.2664	-65.034
-1.3495	-68.664
-1.4014	-70.986
-1.4429	-72.293
-1.4325	-68.263
-1.3599	-62.01
-1.2872	-58.18
-1.1938	-54.146
-1.1211	-50.213
-1.0692	-46.784
-1.0069	-43.458
-0.92387	-38.92
-0.78892	-33.476
-0.5813	-26.619
-0.45674	-21.477
-0.39446	-18.956
-0.32179	-13.915
-0.25951	-9.9822
-0.21799	-7.562
0.051902	7.3606
0.13495	13.007
0.20761	18.149
0.24913	23.09
0.33218	27.829
0.51902	35.189
0.66436	40.029
0.80968	44.569
0.9031	47.794
1.038	51.726
1.1107	53.843
1.2457	57.575
1.474	64.229
1.5571	67.054
1.692	70.078
1.4948	62.414
1.4533	58.58
1.391	55.355
1.3495	52.331
1.2976	48.701
1.2353	46.584
1.1419	41.441
1.0796	38.416
1.0069	35.089
0.92387	31.963
0.79931	27.93
0.70587	24.401
0.61244	19.662
0.57094	16.939
0.50863	13.007
0.40485	6.5541
0.33218	1.5125
0.21799	-2.2183
0.1038	-7.1591
0.01038	-11.595
-0.041521	-15.628
-0.11419	-20.267
-0.18685	-23.392
-0.24913	-27.627
-0.34257	-32.265
-0.4256	-36.097
-0.51902	-39.424
-0.62283	-42.55
-0.68511	-45.174
-0.82006	-50.414
-0.93426	-53.741
-1.1003	-58.18
-1.2353	-63.219
-1.3287	-67.054
-1.4118	-70.781
-1.5571	-75.923
-1.7024	-80.562
-1.8374	-83.587
-2.128	-86.109
-2.5951	-87.519
-2.8547	-87.421
-3.0104	-85.909
-3.0414	-81.772
-2.9792	-76.43
-2.9274	-71.991
-2.8755	-68.263
-2.7821	-63.322
-2.6782	-59.087
-2.5329	-54.346
-2.3356	-48.803
-2.2111	-45.476
-2.0035	-39.223
-1.6713	-32.568
-1.2768	-24.502
-1.1003	-19.964
-0.93426	-15.528
-0.6955	-9.1753
-0.49827	-4.0332
-0.32179	0.50414
-0.093426	7.2596
0.12457	14.419
0.2699	24.401
0.43599	30.854
0.63322	37.307
0.80968	42.852
0.98616	48.199
1.1626	53.643
1.3391	58.883
1.5882	66.244
1.7543	70.683
1.9931	74.815
2.2214	78.343
2.4809	81.372
2.6886	83.387
2.9065	84.597
3.1039	83.084
3.0831	80.06
3.0104	74.815
2.9065	69.473
2.8026	65.844
2.7198	62.01
2.5847	56.97
2.4706	53.238
2.3875	50.111
2.2837	46.281
2.1592	42.852
2.0035	38.316
1.7958	32.366
1.5986	27.627
1.4325	23.191
1.1938	16.637
1.0069	11.999
0.73703	6.2517
0.55016	2.3191
0.2699	-4.0332
0.12457	-8.9738
0.041521	-12.503
-0.01038	-15.528
-0.16609	-21.275
-0.30104	-24.602
-0.45674	-27.829
-0.71625	-33.274
-0.94463	-38.215
-1.1211	-42.046
-1.4221	-47.491
-1.7024	-52.228
-1.9412	-56.565
-2.2007	-61.204
-2.4083	-64.532
-2.5847	-67.756
-2.7821	-71.386
-2.9482	-74.411
-2.8651	-68.766
-2.7508	-62.917
-2.5951	-57.673
-2.4913	-53.34
-2.3668	-48.901
-2.2318	-44.667
-2.045	-39.626
-1.6609	-32.467
-1.3806	-26.115
-1.2041	-21.578
-1.038	-17.645
-0.88235	-13.612
-0.7474	-10.184
-0.57094	-5.4448
-0.4256	-1.4116
-0.34257	0.30249
-0.072664	6.8566
0.1038	13.915
0.28026	19.158
0.71625	27.93
0.93426	33.677
1.1522	38.92
1.3806	43.256
1.6194	48.199
1.9204	53.945
2.1384	59.185
2.3772	64.331
2.5743	69.269
2.8026	74.513
3	78.645
2.9065	71.591
2.73	62.917
2.6264	57.775
2.4809	52.936
2.2837	46.886
2.045	40.937
1.8166	33.98
1.6401	29.14
1.4948	24.199
1.2872	18.654
1.1211	14.419
0.92387	9.6797
0.68511	4.4365
0.50863	1.0083
0.12457	-6.0497
-0.17647	-15.226
-0.34257	-20.166
-0.47749	-23.897
-0.63322	-28.131
-0.79931	-31.257
-1.0069	-35.694
-1.3599	-42.55
-1.6609	-49.306
-1.9515	-56.063
-2.2007	-61.405
-2.5121	-68.059
-2.7508	-73.606
-2.8857	-75.62
-2.8755	-68.766
-2.7198	-62.214
-2.5743	-57.775
-2.346	-50.818
-2.1384	-45.072
-1.9204	-39.021
-1.7232	-34.383
-1.5986	-30.652
-1.3495	-26.216
-1.1522	-20.973
-0.98616	-16.939
-0.79931	-12.2
-0.59169	-7.0581
-0.46713	-3.2265
-0.30104	-0.10083
0.083045	10.991
0.31143	18.956
0.49827	23.292
0.77854	29.846
0.99654	35.29
1.2249	40.836
1.4948	46.179
1.7439	51.321
1.8581	53.643
2.2837	62.614
2.6573	70.986
2.8235	74.513
2.9896	78.343
3.2492	82.479
3.4775	85.201
3.8928	86.914
4.2664	86.714
4.5674	84.899
4.7023	80.865
4.744	75.42
4.5156	66.044
4.2873	59.087
4.0795	53.741
3.7889	45.476
3.5189	39.525
3.2179	32.265
2.8857	26.115
2.6159	20.771
2.346	15.528
2.0138	10.184
1.6713	4.6384
1.2561	-1.0083
0.89273	-5.9488
0.44635	-11.696
0.020761	-17.242
-0.35293	-24.3
-0.6955	-29.442
-1.1626	-36.198
-1.5882	-42.752
-1.9412	-48.399
-2.8026	-61.507
-3.3426	-69.473
-3.685	-73.806
-4.0899	-76.528
-4.3805	-76.63
-4.5466	-74.513
-4.7127	-69.473
-4.6713	-63.624
-4.5362	-58.078
-4.2769	-50.414
