"Nosho,Stanton and MacRae 1996,No.1"	
849	
-0.97028	-5.059656315
-0.97028	-5.279580855
-1.268687074	-7.47882378
-1.119483664	-5.059656315
-0.821088528	-4.619807865
-0.373489982	-2.2006404
-0.373489982	-2.2006404
-0.075082654	-0.221321565
0.223312228	1.757997225
0.670911028	4.177164465
0.372515892	1.318148595
0.074120756	-0.881094555
0.074120756	-0.66117015
0.074120756	-0.66117015
-0.224286318	-3.080337615
-0.821088528	-5.279580855
-1.268687074	-7.69874832
-1.716285874	-9.897990705
-2.16388442	-12.31715871
-2.61148322	-14.73632564
-2.61148322	-14.51640164
-2.313088084	-11.21753669
-1.865489538	-8.79836976
-1.417890738	-6.599126295
-0.97028	-3.960034875
-0.671884864	-1.760791635
-0.224286318	-0.00139725
0.074120756	2.197845765
0.670911028	4.177164465
0.969318102	6.59633193
1.715323976	9.45534789
1.715323976	8.7955749
1.267713238	5.27678595
0.820114692	2.637694395
0.521719556	0.43845138
0.074120756	-1.32094314
-0.373489982	-3.300261885
-0.821088528	-5.719429305
-1.268687074	-8.13859677
-1.716285874	-10.5577637
-2.16388442	-12.75700667
-2.61148322	-15.17617467
-3.059093958	-17.15549364
-3.655883976	-19.7945856
-3.655883976	-19.5746616
-3.655883976	-19.35473549
-3.655883976	-19.13481153
-3.20828543	-15.61602366
-2.76068663	-13.19685566
-2.313088084	-10.77768873
-2.01468101	-8.35852077
-1.417890738	-5.939353845
-1.119483664	-3.740110605
-1.119483664	-3.960034875
-0.821088528	-1.54086741
-0.671884864	-1.54086741
-0.373489982	0.218527065
0.074120756	2.41777017
0.521719556	4.397089005
0.670911028	2.41777017
0.521719556	4.177164465
0.521719556	4.397089005
0.969318102	6.59633193
0.969318102	6.59633193
1.416916902	8.7955749
1.416916902	8.5756509
1.416916902	8.5756509
1.864515448	10.99481783
2.312113994	12.97413684
2.312113994	12.75421284
2.461317658	13.63390983
2.461317658	12.09443985
2.461317658	12.09443985
2.162922522	9.45534789
1.566120312	7.036180425
1.267713238	4.8369375
0.820114692	2.41777017
0.521719556	0.43845138
0.074120756	-1.54086741
0.074120756	-1.32094314
0.074120756	-1.32094314
-0.224286318	-3.52018611
-0.671884864	-5.939353845
-1.268687074	-8.13859677
-2.462291748	-14.73632564
-3.059093958	-16.93556856
-3.506692504	-19.13481153
-3.954291304	-21.33405554
-4.40188985	-23.53329743
-4.551093514	-23.97314754
-4.551093514	-23.97314754
-4.40188985	-22.43367756
-3.954291304	-19.7945856
-3.655883976	-17.59534155
-3.20828543	-15.17617467
-2.76068663	-12.9769317
-2.16388442	-10.11791574
-1.865489538	-7.69874832
-1.865489538	-8.13859677
-1.417890738	-5.719429305
-0.821088528	-3.52018611
-0.821088528	-3.740110605
-0.224286318	0.218527065
-0.224286318	-0.00139725
-0.224286318	0.218527065
0.372515892	4.397089005
1.566120312	9.015499395
2.461317658	13.41398583
3.356515004	17.37262274
3.804125742	19.13201771
4.550119424	21.99103367
3.953317214	16.93277478
4.102520878	16.71284975
3.953317214	16.93277478
3.505718668	14.51360678
2.759724986	9.895196925
1.864515448	5.056861725
0.969318102	0.65837565
0.223312228	-2.86041339
-0.671884864	-7.258899285
-1.56708221	-11.65738572
-2.61148322	-16.27579557
-3.506692504	-20.23443356
-4.40188985	-24.41299545
-4.40188985	-24.1930715
-4.40188985	-23.97314754
-4.40188985	-23.97314754
-5.446290606	-28.37163344
-5.744685742	-30.35095133
-6.63989528	-32.99004329
-6.63989528	-31.45057335
-6.04309307	-27.27201141
-6.04309307	-27.49193537
-6.04309307	-27.49193537
-5.59549427	-24.85284341
-4.700284986	-20.01450956
-3.655883976	-15.61602366
-2.76068663	-10.99761273
-1.865489538	-6.599126295
-1.119483664	-2.2006404
-1.268687074	-1.32094314
-1.268687074	-1.32094314
-1.417890738	-1.32094314
0.074120756	-3.740110605
0.074120756	-0.66117015
-1.268687074	-3.080337615
-1.268687074	-4.619807865
-1.268687074	-4.619807865
-1.119483664	-4.619807865
-1.119483664	-4.619807865
-0.373489982	-0.441245835
-0.373489982	-0.441245835
0.521719556	3.517391745
1.416916902	7.91587791
1.416916902	7.695953415
1.267713238	7.91587791
2.312113994	11.8745159
3.058119868	16.05307676
3.058119868	15.83315276
3.058119868	15.6132288
3.058119868	15.6132288
3.953317214	20.01171578
4.997718224	24.19027767
4.997718224	23.5305036
4.997718224	23.31057965
5.445328962	25.50982154
5.892927508	27.26921759
6.340526054	28.58876357
6.04211898	25.50982154
6.191322644	25.50982154
5.743723844	22.87073169
5.445328962	20.89141164
4.400927952	16.05307676
3.505718668	11.8745159
2.610521322	7.25610492
1.715323976	2.857618755
0.969318102	-0.66117015
0.074120756	-4.619807865
-0.821088528	-9.238217715
-1.716285874	-13.19685566
-2.61148322	-17.3754176
-3.655883976	-21.55397954
-4.551093514	-25.07276741
-5.446290606	-29.03140535
-4.99869206	-25.73254143
-5.59549427	-28.59155739
-6.63989528	-32.77011933
-7.535092372	-36.50883332
-7.982691172	-37.60845318
-8.430289718	-39.14792528
-8.877900456	-40.4674691
-8.877900456	-40.02762114
-8.877900456	-39.80769719
-8.877900456	-39.58777323
-8.728697046	-37.16860523
-8.281098246	-34.74943722
-7.8334997	-32.55019533
-6.938290162	-28.15170944
-5.893889406	-23.53329743
-4.849488396	-19.35473549
-3.954291304	-14.95625067
-2.909890294	-10.5577637
-1.865489538	-6.599126295
-1.865489538	-6.81905079
-1.865489538	-7.038975285
-1.865489538	-7.038975285
-1.119483664	-2.420564625
-0.224286318	0.878299965
0.820114692	5.056861725
1.715323976	9.675271845
1.715323976	9.015499395
1.715323976	9.015499395
2.759724986	13.85383379
3.505718668	17.15269874
4.699323088	21.55118571
5.743723844	25.72974765
6.191322644	27.48914159
6.63892119	28.58876357
6.937328518	29.02861152
6.788124854	25.94967161
6.340526054	24.19027767
5.892927508	21.99103367
4.848526752	17.37262274
3.953317214	12.97413684
3.058119868	8.7955749
2.162922522	4.397089005
1.118521766	0.43845138
0.372515892	-2.86041339
-0.522681454	-7.258899285
-1.56708221	-11.43746172
-2.462291748	-15.39609863
-3.506692504	-19.7945856
-4.40188985	-23.53329743
-5.297087196	-27.27201141
-6.341487952	-31.23064935
-7.385888962	-34.96936334
-7.8334997	-36.72875727
-8.281098246	-38.04830109
-8.728697046	-39.80769719
-8.579493382	-36.06898536
-8.131894836	-34.52951327
-7.684296036	-31.89042126
-6.19229648	-25.29269352
-5.59549427	-23.09344947
-4.551093514	-17.81526555
-3.506692504	-13.85662865
-2.61148322	-10.77768873
-1.865489538	-6.1592778
-0.97028	-2.2006404
-0.075082654	0.878299965
0.820114692	5.056861725
1.715323976	9.235423935
2.759724986	13.1940608
3.654922078	16.05307676
4.550119424	20.23163973
5.743723844	24.85004963
6.63892119	28.1489135
7.534130728	31.66770348
8.130932938	32.98724951
8.42932782	34.08687149
9.026130284	34.30679549
9.026130284	30.78800546
9.026130284	32.76732551
9.175333694	32.76732551
8.87692662	30.3481575
8.42932782	28.36883745
7.981729274	25.94967161
6.937328518	21.55118571
6.04211898	18.03239573
5.146921634	14.07375882
4.102520878	9.895196925
3.207323532	5.93655894
2.162922522	1.318148595
1.267713238	-2.2006404
0.521719556	-5.49950481
-0.373489982	-9.238217715
-1.417890738	-13.63670469
-2.313088084	-16.93556856
-3.20828543	-20.67428147
-4.103494714	-24.1930715
-6.19229648	-32.11034526
-7.23669749	-35.84906136
-8.281098246	-38.92800128
-9.176295592	-42.22686519
-9.922301466	-44.4261092
-10.07149294	-44.6460332
-10.07149294	-40.6873931
-10.07149294	-40.6873931
-10.07149294	-40.6873931
-10.66829515	-43.32648506
-10.36990001	-40.6873931
-9.922301466	-38.48815337
-9.623894138	-36.94868123
-8.579493382	-32.55019533
-7.385888962	-27.49193537
-6.341487952	-23.31337347
-5.59549427	-19.7945856
-4.849488396	-16.49572065
-3.655883976	-11.65738572
-2.76068663	-7.47882378
-1.716285874	-3.740110605
-0.97028	-0.441245835
-0.821088528	-2.2006404
-0.821088528	-2.2006404
-0.821088528	-2.2006404
-0.075082654	1.757997225
0.969318102	6.15648348
2.013719112	10.55496992
2.759724986	14.07375882
3.953317214	18.25232076
4.699323088	20.89141164
5.594520434	24.19027767
6.937328518	28.36883745
7.6833222	31.00792946
8.578531484	32.98724951
9.175333694	34.9665674
9.47372883	35.84626542
10.07053104	36.94588529
10.2197347	37.38573324
10.36892618	37.60566152
10.66733325	38.26543343
11.26413546	38.92520534
11.11493205	35.40641535
11.11493205	35.18649135
11.11493205	35.40641535
11.11493205	35.40641535
10.81653691	32.98724951
10.51812959	31.44777953
9.921327376	29.46845948
9.026130284	25.94967161
7.6833222	21.11133564
6.788124854	18.03239573
5.892927508	14.51360678
5.296125298	11.8745159
3.953317214	6.376407435
3.058119868	3.077543025
2.312113994	-0.00139725
1.416916902	-3.52018611
0.521719556	-7.038975285
-0.224286318	-10.5577637
-1.56708221	-15.39609863
-2.462291748	-18.69496358
-3.20828543	-20.45435751
-4.103494714	-24.1930715
-5.147895724	-28.15170944
-6.19229648	-31.89042126
-7.385888962	-35.84906136
-8.131894836	-38.04830109
-9.325499256	-41.78701724
-10.07149294	-43.76633301
-10.66829515	-45.08588111
-11.41430102	-46.84527293
-12.1602947	-48.60466898
-12.30949837	-47.72497311
-12.1602947	-47.72497311
-12.75709691	-49.26444089
-12.60790544	-45.30580511
-12.45870178	-44.20618524
-11.41430102	-40.24754514
-10.81749881	-37.16860523
-9.773097802	-33.42989124
-8.579493382	-29.69117942
-7.8334997	-26.39231339
-6.78909869	-22.87352552
-5.744685742	-18.69496358
-4.700284986	-14.51640164
-3.80508764	-10.99761273
-2.76068663	-7.258899285
-1.716285874	-3.080337615
-0.97028	-0.441245835
-0.821088528	-2.2006404
-0.97028	-2.2006404
-0.821088528	-2.2006404
-0.821088528	-2.2006404
-0.224286318	1.757997225
0.820114692	6.15648348
1.715323976	9.45534789
2.759724986	13.63390983
3.654922078	16.93277478
4.550119424	20.01171578
5.594520434	22.87073169
6.489729718	25.94967161
7.534130728	28.58876357
8.42932782	31.44777953
9.622932494	34.08687149
10.36892618	36.06618942
10.36892618	35.84626542
11.5625306	38.26543343
12.45772794	40.46467743
13.20373382	41.7842213
11.71173426	32.54739939
10.81653691	29.46845948
9.772123966	26.16959561
9.026130284	23.7504276
7.6833222	19.57186566
7.08651999	16.93277478
6.04211898	13.85383379
4.997718224	9.895196925
4.102520878	6.81625647
2.908916458	2.197845765
2.162922522	-0.66117015
1.566120312	-3.080337615
0.372515892	-7.69874832
-0.373489982	-10.33783974
-0.373489982	-9.45814275
-0.522681454	-9.238217715
-0.522681454	-9.238217715
-0.373489982	-9.238217715
-1.417890738	-14.07655265
-2.313088084	-17.15549364
-3.20828543	-20.89420763
-4.252686186	-24.1930715
-5.147895724	-27.27201141
-6.19229648	-30.57087528
-7.385888962	-34.30958927
-8.281098246	-36.94868123
-9.474702666	-40.02762114
-10.36990001	-43.10656106
-11.11589369	-44.86595715
-12.30949837	-47.94489707
-13.20470765	-50.36406507
-14.24910866	-52.3433808
-14.84589868	-53.22308099
-14.84589868	-48.16482102
-14.54750354	-46.84527293
-13.6523062	-43.32648506
-12.75709691	-40.24754514
-11.7126959	-36.72875727
-10.66829515	-33.64981736
-9.623894138	-30.35095133
-8.728697046	-27.05208746
-7.8334997	-23.97314754
-6.78909869	-20.01450956
-5.893889406	-16.71564461
-4.700284986	-12.75700667
-3.655883976	-8.79836976
-2.76068663	-5.279580855
-1.716285874	-1.10101878
-1.119483664	0.218527065
-0.97028	-1.32094314
-0.821088528	-1.32094314
-0.224286318	2.197845765
0.670911028	6.15648348
1.715323976	10.55496992
2.610521322	13.63390983
3.505718668	17.37262274
4.550119424	20.23163973
5.445328962	23.09065569
6.340526054	25.72974765
7.384927064	28.1489135
8.42932782	31.00792946
9.324525166	33.20717346
10.36892618	35.62634147
11.41332693	37.82558547
12.30853647	40.0248252
13.35293723	42.00414525
14.24813457	43.76354135
14.84493678	44.64323721
15.14333192	44.64323721
15.14333192	42.22406925
15.14333192	42.22406925
14.99414045	41.12444939
14.54654165	39.36505329
13.80053603	36.94588529
12.75613502	33.64702142
11.71173426	31.44777953
10.51812959	27.48914159
9.772123966	25.50982154
8.87692662	22.87073169
7.981729274	19.79178966
7.08651999	17.37262274
6.04211898	13.85383379
4.997718224	10.33504484
3.953317214	7.47602946
3.207323532	3.95724024
2.162922522	0.43845138
1.416916902	-2.2006404
0.521719556	-5.49950481
-0.821088528	-9.45814275
-1.417890738	-12.31715871
-2.462291748	-16.05587162
-3.506692504	-19.7945856
-4.252686186	-22.21375145
-5.297087196	-25.51261748
-6.341487952	-29.03140535
-7.535092372	-32.33027138
-8.579493382	-35.40920913
-9.623894138	-38.04830109
-10.36990001	-40.02762114
-11.26509736	-42.66671315
-12.45870178	-45.30580511
-13.50310279	-48.60466898
-14.39830013	-50.36406507
-15.14430575	-52.12345685
-16.18870676	-54.1027769
-16.78550897	-55.20239676
-17.23310752	-54.98247281
-16.93471264	-50.58398903
-16.4871019	-48.82459298
-15.59190455	-46.18550097
-14.69670721	-43.54640901
-13.50310279	-40.4674691
-12.60790544	-37.60845318
-11.7126959	-34.74943722
-10.81749881	-31.89042126
-9.474702666	-27.71185937
-8.728697046	-25.29269352
-7.684296036	-22.21375145
-6.63989528	-18.69496358
-5.744685742	-15.17617467
-4.849488396	-11.87730968
-3.80508764	-8.578445805
-2.76068663	-5.059656315
-1.865489538	-2.2006404
-1.119483664	0.65837565
-0.97028	-0.441245835
-0.97028	-0.441245835
1.864515448	9.675271845
3.058119868	14.07375882
4.699323088	19.57186566
6.63892119	24.63012563
8.578531484	29.46845948
10.07053104	32.76732551
12.30853647	37.60566152
14.24813457	42.00414525
15.88933779	45.52293312
17.97813956	48.82180131
19.17174398	50.14134513
19.17174398	49.26164922
18.27654663	41.5642973
16.48614	37.16580929
14.69573312	32.32747544
12.75613502	27.26921759
10.51812959	21.77110971
8.727722956	16.49292575
6.937328518	11.21474291
4.848526752	4.8369375
3.207323532	-0.66117015
1.416916902	-6.599126295
-0.671884864	-12.09723476
-0.522681454	-10.99761273
-0.522681454	-11.21753669
-0.671884864	-10.99761273
-2.61148322	-19.35473549
-4.40188985	-24.63291945
-6.341487952	-30.13102737
-8.281098246	-35.18928734
-10.51910368	-40.24754514
-12.1602947	-44.20618524
-13.95070133	-48.38474502
-16.33791043	-53.44300499
-17.97911339	-56.5219449
-19.9187115	-59.38096082
-21.11231617	-60.70050468
-20.51551396	-52.12345685
-18.27750853	-46.40542497
-16.33791043	-41.56709328
-14.69670721	-36.94868123
-12.60790544	-31.67049731
-10.66829515	-25.73254143
-8.728697046	-20.45435751
-6.78909869	-14.29647768
-4.849488396	-8.79836976
-2.76068663	-2.2006404
-1.268687074	2.197845765
-1.268687074	0.65837565
0.670911028	7.25610492
2.759724986	13.41398583
4.550119424	18.03239573
6.63892119	23.31057965
8.578531484	27.26921759
10.51812959	31.00792946
12.45772794	34.9665674
14.39733824	38.70528138
16.33693634	42.00414525
18.4257381	45.52293312
20.66374353	49.04172527
22.3049465	51.02104104
23.64774265	52.56051314
23.94614972	52.56051314
24.54295193	52.56051314
24.09535338	46.18270935
23.34934751	44.42331326
22.45415016	42.66391716
20.81294694	38.92520534
19.02254031	34.7466434
17.08294221	30.78800546
14.84493678	25.72974765
12.90533868	21.3312596
10.81653691	16.49292575
8.727722956	11.65459082
6.63892119	6.15648348
4.997718224	1.757997225
3.207323532	-3.52018611
1.416916902	-7.918672275
-0.671884864	-13.63670469
-2.76068663	-19.5746616
-4.40188985	-23.53329743
-6.341487952	-28.59155739
-8.281098246	-32.99004329
-10.81749881	-38.48815337
-12.75709691	-42.22686519
-14.24910866	-45.52572906
-16.4871019	-49.92421712
-18.12830487	-53.00315703
-20.21710663	-56.5219449
-22.15671693	-59.60088482
-24.24551869	-62.23997678
-25.2899197	-63.33959664
-25.73751825	-63.7794446
-26.33432046	-63.7794446
-25.88672191	-55.86217299
-25.43912311	-54.76254881
-24.54391383	-52.56330908
-22.75351914	-48.38474502
-20.66471737	-43.76633301
-18.57590367	-39.14792528
-16.4871019	-34.30958927
-14.54750354	-29.69117942
-12.75709691	-24.85284341
-10.66829515	-20.01450956
-8.728697046	-15.39609863
-6.938290162	-10.5577637
-4.700284986	-4.619807865
-2.76068663	-0.00139725
-0.97028	3.077543025
-1.119483664	0.878299965
0.820114692	7.47602946
2.610521322	12.97413684
9.921327376	28.80868757
12.01012914	32.76732551
14.09893091	36.06618942
16.0385412	39.36505329
17.82893589	42.22406925
20.21614473	45.74285708
21.85734795	48.16202508
23.64774265	50.58119309
25.58735269	52.34058914
27.67615445	53.660133
29.01895669	54.53983319
29.01895669	49.26164922
27.67615445	45.52293312
26.18414905	42.44399321
24.24454486	38.26543343
22.15574309	34.30679549
20.66374353	31.44777953
18.72414518	27.48914159
16.93373855	23.97035156
14.84493678	19.35194171
13.05453015	15.83315276
10.96572839	11.65459082
9.026130284	7.25610492
6.937328518	2.857618755
5.296125298	-0.66117015
3.356515004	-5.719429305
1.715323976	-9.238217715
-0.373489982	-14.29647768
-2.76068663	-19.35473549
-4.40188985	-22.87352552
-6.490691616	-27.71185937
-8.877900456	-32.33027138
-10.36990001	-35.40920913
-12.1602947	-38.92800128
-14.24910866	-42.44678915
-16.18870676	-45.96557702
-17.97911339	-49.48436489
-20.3663103	-53.22308099
-22.45511206	-56.3020209
-24.24551869	-58.94111291
-26.03592532	-61.58020487
-27.97552368	-63.5595206
-29.76593031	-65.09899274
-31.556325	-65.75876465
-31.556325	-60.48058068
-30.21352885	-56.3020209
-27.97552368	-51.90353289
-26.33432046	-48.82459298
-24.54391383	-45.30580511
-22.15671693	-40.4674691
-20.3663103	-36.94868123
-18.57590367	-32.77011933
-16.63630531	-28.81148135
-14.54750354	-24.63291945
-12.75709691	-20.67428147
-10.96670222	-17.15549364
-8.728697046	-12.09723476
-6.938290162	-8.35852077
-4.849488396	-3.960034875
-3.20828543	-0.221321565
-1.268687074	3.517391745
-1.268687074	1.97792154
-1.268687074	1.53807291
-1.268687074	1.53807291
-1.119483664	1.098224325
0.670911028	6.81625647
2.312113994	10.99481783
4.400927952	15.6132288
6.191322644	18.91209375
8.28012441	23.09065569
9.622932494	25.28989754
11.86093767	28.80868757
13.94973944	32.32747544
15.88933779	35.18649135
17.97813956	38.26543343
19.91773766	41.12444939
22.15574309	43.9834653
23.79694606	46.18270935
25.88575392	48.60187304
27.82535202	50.58119309
29.6157589	51.90074123
31.55535701	52.56051314
33.64416487	52.34058914
34.39016465	51.460889
34.39016465	41.12444939
33.64416487	38.04550947
32.00296165	35.40641535
30.510956	32.54739939
28.42215423	29.02861152
26.48255003	25.72974765
24.6921495	22.65080558
22.7525453	19.35194171
20.96215061	16.27300179
18.87333665	13.1940608
16.78453488	9.45534789
14.84493678	6.376407435
12.90533868	3.077543025
11.11493205	-0.00139725
9.47372883	-2.64048885
7.534130728	-5.939353845
5.296125298	-9.45814275
3.058119868	-13.63670469
1.566120312	-16.27579557
-0.522681454	-19.7945856
-2.313088084	-22.87352552
-4.252686186	-26.17238939
-6.341487952	-29.69117942
-8.579493382	-33.42989124
-10.36990001	-36.28890932
-12.45870178	-39.58777323
-14.69670721	-43.10656106
-16.33791043	-45.52572906
-18.42671219	-48.38474502
-20.21710663	-50.80391303
-22.15671693	-53.44300499
-24.09631503	-55.64224899
-26.18511679	-58.28134095
-28.12472709	-60.26065673
-30.06432544	-62.45990073
-32.15312721	-63.7794446
-34.24192898	-64.21929683
-36.03233561	-47.94489707
-36.03233561	-44.6460332
-36.03233561	-40.90731705
-34.83873119	-37.82837714
-32.74992942	-34.74943722
-30.66112765	-31.45057335
-28.12472709	-27.71185937
-25.73751825	-23.97314754
-24.39472236	-21.77390349
-22.90271061	-19.7945856
-20.3663103	-16.05587162
-18.27750853	-13.19685566
-16.78550897	-10.99761273
-14.69670721	-8.13859677
-13.05550399	-5.939353845
-10.96670222	-3.080337615
-9.027091928	-0.221321565
-6.63989528	2.41777017
-4.40188985	5.49671049
-1.268687074	6.81625647
0.969318102	11.8745159
2.013719112	13.85383379
3.654922078	15.83315276
5.445328962	18.25232076
7.83252561	21.3312596
10.07053104	24.19027767
12.30853647	26.38951956
14.69573312	29.02861152
17.38133735	31.88762748
20.06694132	34.52671944
22.45415016	36.50603733
24.84135316	38.26543343
27.22855591	38.70528138
29.76495622	38.70528138
32.30136288	36.50603733
33.19656023	35.84626542
34.53936221	32.98724951
34.68856562	23.7504276
34.68856562	23.7504276
33.94255975	22.43088162
32.89815899	20.45156369
30.36175868	16.27300179
27.82535202	12.53428781
25.73655025	9.45534789
23.05095237	5.93655894
21.26054574	3.517391745
18.72414518	-0.00139725
15.74013413	-3.52018611
13.65133236	-5.939353845
11.26413546	-9.01829376
8.727722956	-11.65738572
