"Ohue et al. 1985, Specimen 4D13RS"	
1263	
0	0
0.082266	1.0299
0.13711	5.2784
0.19195	7.4669
0.21937	11.458
0.35649	16.736
0.4936	22.53
0.68555	26.907
0.79522	30.898
0.90493	34.374
0.9872	37.85
1.0694	43.901
1.234	49.053
1.3711	52.784
1.4534	56.258
1.3985	48.15
1.3163	43.901
1.2614	40.039
1.1791	36.047
1.1517	33.344
1.0694	29.353
0.9872	24.847
0.90493	21.886
0.74038	17.895
0.63071	14.162
0.54844	11.716
0.46617	8.6256
0.3839	4.7634
0.082266	0.77244
-0.10969	-5.0209
-0.30165	-13.003
-0.41133	-18.281
-0.63071	-24.203
-0.76782	-31.413
-0.93233	-37.85
-1.1243	-43.901
-1.2888	-47.376
-1.4808	-51.112
-1.5356	-53.429
-1.5905	-55.231
-1.563	-51.241
-1.4259	-46.219
-1.2888	-40.296
-1.0969	-32.7
-0.9872	-28.323
-0.82266	-23.302
-0.68555	-19.311
-0.54844	-13.131
-0.46617	-9.6557
-0.41133	-6.6947
-0.32906	-3.2185
-0.19195	0.90121
0	6.5657
0.19195	12.745
0.32906	18.539
0.4936	23.431
0.68555	28.195
0.85009	32.571
0.93233	38.107
1.0969	43.772
1.234	47.763
1.3711	52.655
1.4534	56.645
1.4259	49.951
1.3985	46.348
1.3711	43
1.3163	39.524
1.2888	36.82
1.1791	32.057
1.1243	28.967
0.71298	19.44
0.54844	11.844
0.27422	1.5449
0.082266	-3.476
-0.13711	-11.329
-0.32906	-17.509
-0.4936	-22.401
-0.65811	-25.877
-0.79522	-32.314
-0.87749	-36.305
-1.0146	-42.227
-1.1517	-46.348
-1.4259	-52.397
-1.6179	-55.618
-1.6179	-52.655
-1.5356	-48.021
-1.3711	-43.772
-1.2066	-38.365
-1.0146	-31.542
-0.76782	-20.599
-0.60328	-14.934
-0.43876	-8.7546
-0.30165	-3.6047
-0.082266	1.5449
0.027422	7.5958
0.19195	12.617
0.41133	21.628
0.57587	26.778
0.76782	32.571
0.93233	37.464
1.2614	47.376
1.4808	56.387
1.5905	62.054
1.8647	68.619
2.1115	74.028
2.3583	78.534
2.6325	82.266
2.7696	83.809
