"Ohno and Nishioka 1984, Specimen L2"	
613	
0	0
0.28928	2.4594
0.28928	9.0179
0.57856	15.085
0.86784	21.643
1.1571	28.857
1.5428	35.744
2.4106	45.089
2.8928	51.81
3.5677	56.894
4.1463	62.143
4.8212	67.552
5.4963	72.471
5.6891	74.273
5.4963	67.387
5.0142	61.978
5.0142	56.565
4.7249	49.844
4.3391	44.27
3.7605	39.023
3.2784	33.448
2.9891	28.365
2.6035	23.118
2.2178	18.364
1.6392	11.969
1.1571	6.2308
0.96426	0.32792
0.57856	-5.0827
0.48212	-10.657
0.096426	-15.412
0	-21.151
-0.19285	-25.578
-0.7714	-30.333
-1.1571	-33.284
-2.3142	-42.63
-3.2784	-50.827
-3.6642	-55.253
-4.2428	-59.354
-4.5321	-63.126
-5.0142	-68.046
-5.3998	-71.653
-5.6891	-75.585
-5.4963	-69.847
-4.8212	-63.615
-4.3391	-57.388
-3.857	-51.81
-3.4714	-47.385
-2.8928	-40.991
-2.7	-36.236
-2.5071	-31.644
-2.2178	-26.889
-1.8321	-22.135
-1.5428	-12.789
-1.2535	-4.919
-0.7714	0.65586
-0.3857	5.7388
-0.096426	10.165
0.28928	14.428
0.7714	20.495
0.96426	25.578
1.2535	30.169
1.5428	35.252
2.0249	40.662
2.3142	45.254
2.8928	51.975
3.857	59.519
5.1105	69.193
6.1712	76.079
7.2319	84.112
8.0998	90.179
9.064	96.735
9.7389	100.67
10.317	103.95
9.8354	96.9
9.3533	87.884
9.064	82.475
8.6784	78.045
8.3891	73.454
7.6177	65.092
7.2319	58.86
6.4605	51.486
5.7856	45.089
4.6284	33.448
3.9535	27.546
3.2784	20.987
2.6035	13.937
2.1214	8.6901
1.6392	3.7711
1.35	0.32792
0.48212	-6.5586
-0.096426	-14.428
-0.28928	-24.594
-0.96426	-31.644
-1.6392	-36.728
-2.1214	-41.974
-2.6035	-48.043
-2.8928	-52.798
-3.6642	-57.059
-4.0498	-61.485
-4.8212	-66.075
-5.9784	-76.408
-7.2319	-85.095
-8.0998	-90.833
-8.6784	-93.951
-9.064	-94.44
-9.2568	-90.833
-8.7747	-84.77
-8.1961	-78.538
-7.4247	-71.159
-5.9784	-56.401
-4.4356	-42.63
-3.3749	-33.448
-2.6035	-24.43
-1.8321	-16.724
-0.7714	-7.8703
-0.096426	-0.4919
0.28928	3.6072
0.96426	17.708
2.5071	31.153
3.2784	39.351
4.2428	47.549
4.8212	54.928
5.4963	59.848
6.1712	66.898
6.8463	71.653
7.4247	77.062
7.907	82.635
8.4854	88.377
9.064	92.968
9.8354	97.229
10.896	101.65
12.246	104.77
15.139	105.76
18.996	107.56
21.406	107.4
21.117	103.13
20.828	96.735
20.346	89.685
19.767	82.635
18.996	73.783
17.742	61.978
16.489	50.009
14.56	32.792
13.596	25.086
11.571	11.477
10.607	3.9351
9.6426	-2.7873
8.6784	-10.494
7.1354	-18.2
5.8819	-25.25
4.6284	-30.169
2.6035	-39.679
0.19285	-48.203
-1.0607	-53.616
-2.6035	-60.173
-3.7605	-66.24
-4.9177	-71.488
-5.7856	-76.568
-7.0391	-84.441
-7.907	-89.031
-8.7747	-94.115
-9.9319	-95.917
-11.475	-98.706
-14.368	-100.51
-16.971	-102.15
-18.707	-103.3
-19.381	-104.44
-20.539	-104.77
-20.539	-100.67
-20.442	-96.9
-20.057	-92.474
-19.092	-80.669
-17.164	-61.978
-15.717	-51.156
-14.368	-39.515
-13.114	-30.989
-11.86	-23.118
-9.6426	-9.5098
-9.1605	-6.3944
-6.9426	4.263
-4.6284	13.937
-2.7	22.463
-0.096426	31.153
1.6392	37.219
5.1105	49.515
7.6177	59.354
11.185	74.766
13.403	83.947
15.524	90.833
16.778	95.263
19.478	99.689
21.599	103.63
23.431	103.79
25.745	103.13
27.866	104.61
29.411	105.1
30.663	105.1
29.411	91.162
28.832	84.112
28.252	76.568
27.673	70.505
27	64.274
26.325	58.207
25.167	48.532
23.624	37.383
23.142	32.628
22.178	26.398
20.828	19.02
19.575	12.461
18.321	5.4105
16.874	-1.4757
15.524	-6.5586
12.535	-17.708
10.51	-25.742
8.3891	-31.809
5.6891	-38.859
3.2784	-45.583
1.0607	-50.827
-1.2535	-57.059
-3.9535	-63.615
-8.8712	-76.897
