"Ono et al. 1989, Specimen CA025C"	
1083	
0	0
0.037846	3.1525
0.088306	8.7301
0.12615	14.792
0.18923	22.067
0.2523	27.887
0.30277	32.98
0.35321	38.557
0.40368	43.892
0.41631	47.046
0.40368	42.922
0.36584	36.86
0.31537	31.767
0.23969	25.22
0.164	16.732
0.11354	10.67
0.075689	4.8501
-0.012615	-2.1825
-0.037846	-7.5176
-0.088306	-14.307
-0.15138	-19.885
-0.21446	-27.402
-0.26492	-33.222
-0.35321	-41.952
-0.39106	-47.772
-0.26492	-37.345
-0.21446	-27.645
-0.11354	-18.672
-0.037846	-8.9725
0.012615	-0.2425
0.11354	8.7301
0.17661	18.915
0.32799	31.282
0.37846	39.042
0.45415	45.832
0.52984	55.289
0.61813	65.475
0.64338	69.598
0.61813	63.775
0.55507	56.018
0.44153	44.863
0.34061	32.01
0.21446	20.612
0.12615	9.2149
0.037846	-1.6975
-0.05046	-11.155
-0.12615	-23.038
-0.21446	-30.555
-0.27752	-39.527
-0.32799	-46.077
-0.40368	-53.109
-0.492	-60.866
-0.54244	-66.929
-0.56769	-69.113
-0.492	-61.111
-0.37846	-48.986
-0.29014	-38.315
-0.20184	-28.615
-0.10092	-16.975
-0.037846	-8.0024
0.088306	5.0925
0.164	16.49
0.26492	26.918
0.36584	40.982
0.492	53.594
0.56769	61.351
0.63076	69.598
0.52984	58.442
0.44153	49.471
0.35321	39.285
0.29014	32.252
0.22707	24.007
0.13877	16.247
0.088306	8.9725
0.037846	1.6975
-0.037846	-5.5773
-0.11354	-15.278
-0.17661	-24.735
-0.26492	-32.98
-0.35321	-41.467
-0.44153	-50.925
-0.5046	-58.198
-0.54244	-64.745
-0.60554	-69.113
-0.52984	-60.866
-0.44153	-50.44
-0.34061	-38.072
-0.22707	-24.977
-0.12615	-14.55
-0.037846	-5.8198
0.037846	2.91
0.12615	13.337
0.20184	24.25
0.34061	36.86
0.40368	47.287
0.52984	60.866
0.64338	70.083
0.73167	76.63
0.87043	82.933
1.0849	89.24
1.2363	93.848
1.5012	100.64
1.4255	93.604
1.3624	88.511
1.2741	83.418
1.1858	78.085
1.1101	74.691
1.0218	70.323
0.93353	66.204
0.76952	57.473
0.63076	50.196
0.51722	44.863
0.4289	39.042
0.32799	32.737
0.20184	23.038
0.088306	15.52
0.063076	8.2448
0	1.2125
-0.02523	-6.305
-0.10092	-14.792
-0.23969	-26.675
-0.2523	-32.737
-0.29014	-39.77
-0.41631	-48.501
-0.5046	-57.228
-0.58029	-64.745
-0.70645	-72.751
-0.89568	-80.994
-1.0344	-87.056
-1.211	-92.394
-1.3751	-96.757
-1.5138	-98.941
-1.4507	-91.18
-1.3498	-84.147
-1.2363	-77.115
-1.0597	-68.628
-0.85783	-58.198
-0.69383	-49.955
-0.52984	-41.952
-0.35321	-31.282
-0.12615	-19.158
0	-2.1825
0.15138	8.7301
0.29014	19.642
0.39106	29.342
0.52984	38.072
0.6686	47.772
0.79474	56.018
0.90828	64.26
1.148	77.115
1.3372	87.056
1.5012	95.788
1.5895	102.09
1.4381	92.149
1.3498	84.147
1.2867	76.386
1.2489	70.568
1.1354	62.321
0.98397	54.079
0.83259	45.832
0.73167	40.255
0.65598	31.767
0.492	22.552
0.34061	12.61
0.20184	4.1225
0.063076	-4.365
-0.037846	-11.882
-0.15138	-19.642
-0.34061	-29.342
-0.45415	-37.345
-0.58029	-48.501
-0.75689	-57.473
-0.90828	-65.719
-1.0723	-73.961
-1.211	-82.448
-1.312	-88.755
-1.3751	-93.604
-1.5012	-102.34
-1.4633	-93.604
-1.3372	-83.662
-1.1984	-67.659
-1.1354	-59.172
-0.90828	-47.531
-0.68123	-37.83
-0.47937	-29.1
-0.23969	-19.158
-0.075689	-11.155
0.02523	-3.88
0.29014	15.52
0.51722	31.767
0.64338	42.68
0.75689	54.804
0.84521	63.05
1.0092	72.751
1.1858	81.963
1.312	89.965
1.4255	97.482
1.5012	101.12
1.4633	91.18
1.3498	80.994
1.2867	73.236
1.211	65.719
1.1101	58.927
0.93353	51.165
0.79474	40.982
0.68123	30.555
0.46675	18.43
0.29014	7.0323
0.075689	-5.0925
-0.075689	-16.49
-0.27752	-29.342
-0.5046	-43.165
-0.85783	-58.198
-0.99659	-67.899
-1.2363	-80.024
-1.4003	-90.695
-1.5012	-97.242
-1.5643	-102.82
-1.3877	-85.846
-1.211	-67.899
-1.0723	-57.713
-1.0092	-52.624
-0.87043	-45.588
-0.7443	-39.527
-0.59291	-32.737
-0.47937	-28.13
-0.31537	-22.067
-0.17661	-16.247
-0.075689	-10.427
0.012615	-4.1225
0.13877	14.792
0.23969	24.007
0.39106	34.192
0.51722	42.922
0.61813	51.41
0.85783	63.05
1.148	78.325
1.3246	88.026
1.5643	99.911
1.8418	107.91
2.0815	114.95
2.2203	117.12
2.2329	107.67
2.1319	101.61
1.9932	88.996
1.8418	79.539
1.6652	71.052
1.5138	64.02
1.3498	57.228
1.1858	51.165
1.0597	45.588
0.84521	34.677
0.68123	26.432
0.46675	17.46
0.22707	7.2751
0.10092	0.48501
-0.05046	-7.2751
-0.18923	-15.52
-0.27752	-22.795
-0.37846	-29.342
-0.44153	-34.435
-0.58029	-43.407
-0.70645	-49.955
-0.9209	-61.596
-1.0597	-69.113
-1.3372	-80.509
-1.4507	-88.026
-1.5517	-95.303
-1.6778	-102.09
-1.8292	-108.64
-2.1067	-115.91
-2.296	-119.07
-2.2581	-108.4
-2.0941	-95.788
-2.0058	-88.271
-1.8797	-78.085
-1.703	-69.353
-1.4507	-59.172
-1.1858	-47.531
-0.93353	-35.89
-0.71905	-26.19
-0.492	-15.278
-0.27752	-5.3349
-0.05046	4.365
0.164	14.55
0.52984	30.07
0.88306	52.135
1.1354	64.26
1.3372	73.721
1.539	81.478
1.7409	90.45
2.0058	102.34
2.195	108.64
2.1319	99.182
2.0563	90.695
1.9301	81.723
1.703	71.777
1.4886	63.775
1.1984	53.349
0.97137	43.407
0.73167	33.465
0.51722	25.22
0.29014	16.005
0.12615	8.0024
0	0.48501
-0.23969	-14.307
-0.5046	-33.465
-0.88306	-48.741
-1.0092	-55.289
-1.2237	-63.775
-1.4507	-72.267
-1.7156	-81.238
-1.9175	-91.18
-2.0689	-98.697
-2.296	-108.15
-2.1572	-95.788
-2.0184	-84.872
-1.7661	-72.751
-1.5643	-62.566
-1.3624	-53.834
-1.1228	-42.437
-0.88306	-30.555
-0.60554	-18.43
-0.32799	-6.5475
-0.037846	5.3349
0.164	16.975
0.44153	31.282
0.69383	43.65
1.1228	62.806
1.4381	75.66
1.7661	87.786
2.031	97.727
2.3212	108.15
2.4347	111.79
2.1446	97.482
1.8923	80.994
1.6778	70.323
1.4255	58.682
1.1984	48.986
0.84521	35.405
0.58029	25.462
0.4289	18.43
0.18923	6.305
0	-3.1525
-0.18923	-14.55
-0.34061	-23.765
-0.59291	-38.072
-0.71905	-45.347
-0.97137	-55.533
-1.1228	-62.566
-1.5012	-72.992
-1.804	-86.331
-2.0563	-97.242
-2.296	-107.91
-2.1067	-92.634
-1.9049	-79.784
-1.6274	-67.174
-1.3877	-56.018
-0.98397	-38.072
-0.94612	-36.132
-0.7443	-25.705
-0.492	-12.367
-0.2523	0
0.15138	18.43
0.45415	32.495
0.70645	45.588
1.0471	58.927
1.3246	70.323
1.5895	80.509
1.9049	93.119
2.1067	101.85
2.4473	113.49
2.6871	121.98
2.9771	126.59
2.9393	113.25
2.8763	104.27
2.7501	92.879
2.4473	80.269
2.1572	69.598
1.8292	56.503
1.5264	45.103
1.2615	36.132
0.84521	23.28
0.58029	13.58
0.2523	1.6975
-0.037846	-8.4872
-0.30277	-19.158
-0.59291	-32.495
-0.81999	-42.195
-1.1101	-54.804
-1.4129	-68.868
-1.6526	-78.814
-1.8797	-90.45
-2.0563	-96.028
-2.4221	-111.55
-2.6995	-116.88
-3.0401	-121.98
-2.952	-111.55
-2.7122	-94.818
-2.5104	-85.117
-2.2455	-72.992
-1.9049	-58.198
-1.476	-43.407
-1.1732	-31.282
-0.80736	-18.672
-0.52984	-6.5475
-0.23969	3.88
-0.05046	12.852
0.088306	21.825
-0.2523	-4.365
0.063076	13.095
0.29014	24.25
0.63076	37.102
0.99659	48.256
1.4255	60.382
1.6652	69.113
2.031	80.994
2.3086	89.965
2.6492	100.88
2.9393	111.79
2.7374	95.788
2.4978	83.662
2.1698	70.083
1.8544	55.048
1.4633	42.437
1.1354	32.252
0.75689	19.4
0.55507	10.67
0.27752	-0.72751
-0.063076	-15.278
-0.30277	-25.22
-0.59291	-37.83
-0.93353	-51.65
-1.6147	-71.293
-1.8797	-79.784
-2.4221	-96.028
-2.7752	-106.21
-3.015	-113.49
-2.7249	-95.303
-2.4473	-81.963
-2.1824	-69.838
-1.867	-57.957
-1.4633	-43.165
-1.0849	-28.615
-0.6686	-13.095
-0.2523	0
-0.012615	9.2149
-0.012615	9.2149
0.39106	23.28
0.70645	33.222
1.148	49.955
1.5012	62.081
1.8797	76.87
2.2203	88.271
2.523	97.967
2.7628	105.49
2.9644	113.49
2.6871	93.604
2.4852	82.208
2.2203	70.083
2.0184	60.382
1.7283	51.165
1.3751	38.8
1.0218	26.19
0.6686	13.095
0.18923	-1.2125
-0.10092	-17.46
-0.36584	-29.342
