Saatcioglu and Gira 1999 Column BG-1	
1935	
0.01119782	-1.618220061
0.5107929	41.11279635
1.010388	50.25006079
1.509983	59.24951368
2.009578	68.66243161
2.509173	75.90468085
3.008769	84.55957447
3.508363	89.28656535
4.007959	94.42705167
4.507554	99.25744681
5.024376	104.885228
5.506744	111.2955623
6.00634	115.9192097
6.505934	118.9579331
7.00553	122.3756231
7.505125	127.2060182
8.004721	132.6910638
7.487897	20.63132523
6.988302	7.187167173
6.488707	-4.982151976
5.989111	-7.607398176
5.47229	-17.05974468
4.989922	-22.84987842
4.490326	-31.81487538
3.990731	-40.29748936
3.491136	-53.29374468
2.991541	-54.50632219
2.491946	-63.19568389
1.992351	-71.36820669
1.492756	-78.05914894
0.9931607	-88.23009119
0.4763381	-88.8618845
-0.006029591	-98.20091185
-0.5056247	-100.1714894
-1.00522	-106.448997
-1.504815	-110.1079027
-2.00441	-117.2123404
-2.504005	-120.5266869
-3.003601	-121.9804863
-3.503196	-125.9494833
-4.00279	-129.1948936
-4.502386	-133.9219453
-5.001981	-135.2034043
-5.501576	-139.0690578
-6.018399	-139.1496049
-6.500767	-142.6312462
-7.000361	-144.2573252
-7.517184	-144.3722796
-8.016778	-148.8925836
-8.516373	-151.3455319
-7.999552	-92.72571429
-7.499956	-81.72790274
-6.983134	-73.89495441
-6.483539	-65.41234043
-5.983943	-58.44572644
-5.484349	-51.5824924
-4.984753	-44.71926444
-4.485158	-36.51229179
-3.985563	-28.68431611
-3.485968	-22.09672948
-2.986373	-15.71586626
-2.486778	-3.40872766
-1.987183	6.383191489
-1.487588	11.04128875
-0.9879924	12.25387842
-0.4883973	26.318231
0.01119782	34.97311854
0.5107929	39.63122796
1.010388	47.08018845
1.509983	54.59806687
2.009578	62.73617021
2.526401	67.98492401
3.008769	74.32638298
3.508363	80.87951368
4.007959	85.29641337
4.507554	93.29671733
5.007149	102.1582979
5.506744	106.988693
6.00634	111.8534954
6.505934	112.5837082
7.00553	120.4461398
7.505125	125.3454711
8.021948	129.9396353
8.504315	131.905228
9.00391	137.5969605
9.503505	139.326383
8.986683	66.02869301
8.487087	48.07091185
7.987493	47.44406687
