Saatcioglu and Grira 1999 Column BG-4	
5371	
0	-0.828990881
0.5	15.65871125
1	20.32830395
1.5	27.92658359
2	35.66268085
2.5	42.91641337
3	44.55394529
3.5	52.18668085
4	56.51172644
4.5	64.28224924
5	69.95106383
5.5	77.06699088
6	82.21896657
6.5	86.50954407
7	90.17993921
7.5	96.46887538
8	99.6224924
8.5	102.052462
2.987493	5.271195745
2.487897	4.977531915
1.988302	4.546048024
1.488707	-15.0424924
0.9891119	-15.64624924
0.4895167	-36.06172036
-0.01007843	-38.42268693
-0.5096736	-52.91186626
-1.009269	-60.88905775
-1.526091	-67.18322188
-2.008459	-73.08772036
-2.508054	-81.40942249
-3.007649	-88.9731307
-3.507244	-96.43349544
-4.006839	-97.03720365
-4.506434	-102.8781763
-5.00603	-103.4474772
-5.505625	-103.9134347
-4.988802	-59.33953191
-4.489207	-30.72374468
-3.989612	-21.85074772
-3.490017	-10.49699088
-2.973194	-0.929522796
-2.490827	8.523829787
-1.991231	13.53784802
-1.491636	21.79065046
-0.9920411	29.2509848
-5.505625	-55.50395137
-6.00522	-64.41136778
-6.504815	-73.52559271
-7.00441	-83.29440729
-7.504005	-93.3043769
-8.003601	-94.39051672
-8.520423	-103.0621277
-9.00279	-111.8264438
-9.502386	-112.8091793
-10.00198	-118.7534954
-10.50158	-125.2835258
-11.00117	-129.8151368
-11.51799	-133.4563526
-12.00036	-133.6068085
-12.51718	-139.246383
-13.01678	-144.5705167
-12.49996	-65.12802432
-11.98313	-57.04212766
-11.48354	-52.33820669
-10.98394	-46.32499696
-10.48435	-35.45361094
-9.984754	-29.09584195
-9.485159	-21.08423708
-8.985563	-12.28015805
-8.485969	-3.92399696
-7.986373	5.879282067
-7.486778	11.58240122
-6.987183	18.52590274
-6.487587	18.61283283
-5.987992	28.76066261
-5.488398	38.46057751
-4.988802	45.09398176
-4.489207	50.38364742
-3.989612	58.63643769
-3.490017	65.8900304
-2.990422	71.11082067
-2.490827	76.60717325
-1.991231	80.17410334
-1.491636	85.87720365
-0.9920411	92.68285714
-0.4924459	99.35075988
0.00714922	103.951307
0.5067444	110.6880851
1.00634	113.7725836
1.505935	115.2722188
2.00553	118.7357447
2.505125	122.6816413
3.004721	127.1443769
3.504315	128.6095441
2.987493	45.5492462
2.487897	44.84212158
1.988302	35.55567173
1.488707	29.43908815
0.9891119	18.98116109
0.4722896	9.723787234
-0.01007843	1.131808511
-0.5096736	-10.8421459
-1.009269	-11.89382371
-1.508864	-18.113769
-2.008459	-24.05807295
-2.508054	-36.0664924
-3.007649	-36.98034043
-3.507244	-44.75076596
-4.006839	-58.55084498
-4.506434	-59.49916109
-5.023257	-71.30620061
-5.522852	-72.66796353
-6.00522	-74.36893617
-6.504815	-85.1024924
-7.00441	-86.2575076
-7.504005	-93.68340426
-8.003601	-97.73264438
-8.503196	-101.196231
-9.00279	-106.7270517
-9.502386	-106.7795137
-10.00198	-113.3095441
-10.50158	-123.5951976
-11.00117	-130.8832827
-11.50077	-132.2105775
-12.00036	-141.3936778
-12.51718	-144.4146505
-13.01678	-150.2555623
-13.51637	-150.3080851
-12.99955	-89.09234043
-12.49996	-86.52468085
-11.98313	-76.16468085
-11.48354	-72.32218845
-10.98394	-62.7256535
-10.48435	-52.99127052
-9.984754	-46.70242553
-9.485159	-39.17319149
-8.985563	-33.57343465
-8.485969	-27.11230395
-7.986373	-21.37472948
-7.486778	-11.02017021
-6.987183	-4.627948936
-6.47036	1.149454711
-5.987992	9.259057751
-5.488398	16.65047416
-4.988802	21.04430395
-4.489207	30.05511246
-3.989612	39.82393313
-3.490017	41.59917325
-2.973194	49.82289362
-2.490827	54.14243161
-1.991231	60.60356231
-1.491636	69.54547112
-0.9920411	72.59556231
-0.4924459	77.74735562
0.00714922	82.86474164
0.5067444	90.66966565
1.00634	94.61556231
1.505935	99.59513678
2.00553	102.9897264
2.505125	108.3827964
3.004721	115.0851064
2.487897	41.12096657
1.988302	40.72393921
