Saatcioglu and Grira1999 Column BG-6	
9441	
0	3.822452888
0.25	30.32671125
0.5	40.22359878
0.75	47.60525836
1	55.2970152
1.25	65.53848024
1.5	72.40328267
1.75	82.92036474
2	86.16741641
2.25	91.89525836
2.507149	93.00826748
3.006744	99.95015198
3.50634	104.9625532
4.005935	109.6303951
4.50553	115.2629787
5.005125	118.3458967
5.504721	123.9095441
6.004315	121.4796353
5.487493	41.90100304
4.987897	10.46152584
4.488302	-1.889813982
3.988707	-15.75717933
3.489112	-15.94584802
2.989517	-27.26353191
2.489922	-43.57721581
1.990326	-43.93816413
1.490731	-52.53389058
0.9911363	-59.82032827
0.4915411	-71.72370821
-0.008054018	-71.84352584
-0.5076491	-82.29981763
-1.007244	-88.89714286
-1.506839	-90.15392097
-2.006434	-97.0268693
-2.50603	-98.28370821
-3.005625	-105.3634043
-3.50522	-109.4454711
-4.004815	-112.7006687
-4.50441	-116.9206079
-5.004005	-123.1389058
-5.503601	-123.8444377
-6.003196	-124.5155015
-5.486373	-49.41601216
-4.986778	-36.20330699
-4.487183	-29.36478419
-3.987587	-19.35639514
-3.487992	-6.488231003
-2.988397	6.586662614
-2.488802	9.841848024
-1.989207	20.53933739
-1.489612	24.58699088
-0.9900167	37.97198176
-0.4731941	43.26532523
0.009173393	48.78923404
0.510793	56.24856535
1.010388	64.80984802
1.509983	70.7525228
2.009578	79.79617021
2.509173	86.04893617
3.008769	94.64468085
3.508364	100.1394529
4.007959	106.6678419
4.507554	112.6794529
5.007149	119.24231
5.506744	126.6320973
6.00634	129.4393921
6.505935	137.8283891
7.00553	138.1893009
7.505125	143.2706383
8.004721	145.251003
8.504315	148.575076
7.987493	80.15987842
7.47067	73.52279635
6.988302	58.04136778
6.488707	49.61792097
5.989112	38.61033435
5.489517	33.49457751
4.989922	20.83314286
4.490326	11.85840729
3.990731	0.850823708
3.491136	0.420962553
2.991541	-17.1331003
2.491946	-17.59741641
1.992351	-30.25885106
1.492756	-30.51643769
0.9931607	-39.56008511
0.4763381	-39.65071125
-0.006029591	-57.88855319
-0.5056247	-69.37854103
-1.00522	-69.67051672
-1.504815	-80.6781155
-2.00441	-81.28030395
-2.521233	-81.85325228
-3.003601	-96.0943465
-3.503196	-100.4520973
-4.002791	-105.5333739
-4.502386	-122.8807295
-5.001981	-123.1382979
-5.501576	-123.3958663
-6.001172	-123.6879027
-6.500767	-123.8421277
-5.983944	-123.6481459
-6.500767	-131.2155623
-7.000362	-131.2319757
-7.517184	-137.7311854
-8.016779	-142.5368997
-7.499957	-83.97586626
-6.983134	-60.97258359
-6.483539	-53.34161702
-5.983944	-47.26111854
-5.484349	-39.14775684
-4.984754	-28.14017021
-4.485158	-18.92425532
-3.985563	-9.329325228
-3.485968	-1.698342249
-2.986373	6.5183769
-2.486778	13.32243769
-1.987183	20.91897264
-1.487588	28.30876596
-0.9879924	33.94135562
-0.4883973	41.57233435
0.01119782	46.41244985
0.510793	58.62597568
1.010388	64.29300912
1.509983	71.0281459
2.009578	74.80018237
2.509173	84.53294833
3.008769	88.64948328
3.508364	95.97033435
4.007959	101.6029787
4.507554	105.6161702
5.007149	111.3176292
5.506744	116.4334347
6.00634	121.3424316
6.505935	130.1104559
7.00553	134.1580547
7.505125	139.2738602
8.004721	142.7012766
8.504315	146.1632219
7.987493	73.57896657
7.487897	65.25890578
6.988302	52.56300304
6.488707	51.3751307
5.989112	34.57907599
5.47229	30.35384195
4.989922	13.3563769
4.490326	11.78950152
3.990731	-0.251740912
3.491136	-1.16397386
2.991541	-1.86947538
2.491946	-22.76568389
1.992351	-32.91190274
1.492756	-33.78967173
0.9931607	-47.48475988
0.4935656	-48.0868997
-0.023257	-48.55652888
-0.5056247	-58.66297872
-1.00522	-68.9125228
-1.522042	-69.14097264
-2.00441	-74.11361702
-2.504005	-83.05392097
-3.003601	-91.99416413
-3.503196	-97.07550152
-4.002791	-97.43641337
-4.502386	-106.3077812
-5.001981	-111.2512462
-5.501576	-115.8157447
-6.001172	-123.5156231
-6.500767	-124.3244985
-7.000362	-129.3713678
-7.517184	-133.9756231
-8.016779	-138.4022492
-8.516374	-139.7624316
-7.999552	-90.09082067
-7.499957	-73.05361702
-6.983134	-66.79550152
-6.483539	-56.99386018
-5.983944	-52.32601824
-5.484349	-37.76955623
-4.984754	-29.38055319
-4.485158	-25.3673617
-3.985563	-16.56490578
