Saatcioglu et al. Column BG-9	
11402	
0	0
0.25	14.2025228
0.5	15.00406687
0.75	15.77115502
1.5	31.99229179
2	38.17790274
2.55	46.75652888
3	54.30474772
3.5	61.79963526
4	71.6031003
4.5	81.95775076
5	88.45349544
5.5	93.01969605
6	99.72212766
6.5	103.3925228
7	106.7872948
7.5	112.835076
8	115.6440729
7.5	28.48891185
7	27.60938602
6.5	3.093639514
6	2.937671733
5	-17.77170213
4	-18.25591489
3	-32.28100304
2	-46.37499696
1	-47.65167781
-0.0260911	-55.79307599
-1	-69.77556231
-2	-70.43203647
-3	-74.6718541
-4	-89.42054711
-5	-89.83580547
-6	-99.55398176
-7	-99.76255319
-8	-114.9591489
-8.5	-115.8386626
-7.5	-26.63246809
-7	-26.37313678
-6	-12.6926079
-5	1.814843161
-4	2.402421277
-3	20.04529483
-2	20.35722796
-1	34.14112462
0.008363724	45.13676596
0.510793	59.42009726
1.010388	66.57033435
1.509983	72.61799392
2.009578	77.83878419
2.509173	90.08832827
3.008769	96.06711246
3.508364	103.5618845
4.007959	110.1953191
4.507554	116.8631611
5.007149	118.3283283
5.506744	124.5482675
6.00634	131.6984802
6.505935	132.2677812
7.00553	137.3506991
7.505125	140.0906991
8.004721	143.9676596
8.504315	147.7068693
7.987493	80.73714286
7.47067	78.88759878
6.988302	68.05604863
6.488707	61.21592705
5.989112	49.2419696
5.489517	38.88741641
4.989922	28.73958663
4.490326	28.61819453
3.990731	11.23478419
3.491136	9.528462006
2.991541	-0.791645593
2.491946	-16.45229787
1.992351	-16.98714894
1.492756	-29.40902128
0.9931607	-36.35252888
0.4935656	-48.9811307
-0.006029591	-49.34370213
-0.5056247	-56.66621277
-1.00522	-67.12413374
-1.504815	-73.4474772
-2.00441	-81.01112462
-2.504005	-90.43544073
-3.003601	-90.52237082
-3.503196	-96.94905775
-4.002791	-105.0984802
-4.502386	-111.5596353
-5.001981	-122.0864438
-5.518804	-122.2821277
-6.001172	-127.7041945
-6.500767	-135.1990274
-7.000362	-135.3203647
-7.517184	-147.0930091
-8.016779	-147.1799392
-8.516374	-147.2324012
-7.999552	-73.4750152
-7.499957	-73.07799392
-6.965907	-72.53240122
-6.483539	-60.25370821
-5.983944	-47.69401824
-5.484349	-40.8538845
-4.984754	-34.28938602
-4.485158	-27.34587842
-3.985563	-19.64436474
-3.485968	-7.946048632
-2.986373	-2.311839514
-2.486778	5.424133131
-1.987183	16.1232462
-1.487588	28.37284498
-0.9879924	28.63205471
-0.4883973	36.43693009
0.01119782	46.65367781
0.510793	51.254231
1.010388	61.43653495
1.509983	61.55793313
2.009578	69.25945289
2.526401	79.10255319
3.008769	82.97416413
3.508364	89.15963526
4.007959	94.96613982
4.507554	101.5651064
5.007149	107.3715502
5.506744	113.0057751
6.00634	116.8138602
6.505935	124.6876596
7.00553	128.9091793
7.505125	134.0955015
8.004721	137.1111246
7.487897	77.99714286
6.988302	59.44227964
6.488707	59.18307599
5.989112	48.51841945
5.489517	43.22875988
4.989922	31.90945897
4.490326	25.17268693
3.990731	11.44151976
3.491136	11.28567781
2.991541	-3.134595137
2.491946	-14.28162918
1.992351	-14.95429179
1.492756	-26.85934347
0.9931607	-35.9046079
0.4935656	-43.67503951
-0.006029591	-43.72751368
-0.5056247	-52.39378116
-1.00522	-62.81726444
-1.504815	-68.58930091
-2.00441	-77.66899696
-2.504005	-77.8937386
-3.003601	-86.21544073
-3.503196	-93.53799392
-4.002791	-98.13854103
-4.502386	-106.7013982
-5.001981	-106.9262006
