"Saatcioglu and Ozcebe 1989, Spec. U1"	
1751	
0	0.0005
0.0685	4.708
0.167	10.5
0.214	14.05
0.31	19.65
0.495	25.5
0.66	30.92
0.808	36.9
0.964	41
1.17	47
1.32	51.67
1.6	57.22
1.72	60.22
1.97	65.15
2.21	70.52
2.5	76.22
2.52	77.32
2.81	82.6
3.18	87.77
3.22	88.9
3.39	91.9
3.61	97.2
3.96	101.2
3.88	95.37
3.71	89.45
3.62	86.37
3.56	82.55
3.4	76.92
3.27	71.15
3.09	64.97
2.84	59.27
2.7	53.72
2.56	47.97
2.35	41.7
2.35	41.7
2.19	35.75
1.99	30.12
1.77	24.27
1.57	18.32
1.36	12.6
1.15	6.771
0.954	1.488
0.757	-4.22
0.558	-10.36
0.363	-16.08
0.173	-22.08
-0.045	-28
-0.257	-33.53
-0.585	-39.03
-0.828	-44.83
-1.08	-50.75
-1.36	-56.63
-1.66	-62.63
-1.87	-66.8
-2.18	-72.75
-2.34	-75.08
-2.58	-80.7
-2.87	-86.83
-2.94	-87.13
-3.25	-92.78
-3.37	-94.83
-3.66	-99.53
-3.7	-93.73
-3.59	-88.25
-3.42	-82.18
-3.33	-76.43
-3.12	-70.35
-2.98	-64.73
-2.98	-64.73
-2.68	-54.53
-2.49	-48.95
-2.3	-43.13
-2.1	-37.45
-1.89	-31.25
-1.62	-25.45
-1.42	-19.5
-1.21	-14.13
-0.997	-7.967
-0.705	-2.129
-0.417	3.858
-0.183	9.053
0.105	14.77
0.396	20.6
0.701	26.62
0.974	32.75
1.21	38.87
1.49	44.8
1.77	50.7
1.98	56.85
2.29	63.05
2.52	68.97
2.82	75.1
3.1	81.27
3.4	87.15
3.63	92.62
3.63	86.67
3.49	81.22
3.33	75.12
3.19	69.05
2.98	62.4
2.78	56.07
2.58	49.6
2.58	49.6
1.6	22.72
1.37	16.6
1.09	10.42
0.785	4.468
0.495	-0.8645
0.255	-6.49
-0.0935	-12.65
-0.347	-18.78
-0.638	-25.3
-0.933	-31.43
-1.22	-37.65
-1.42	-43.65
-1.72	-49.58
-1.93	-55.58
-2.18	-61.38
-2.47	-67.43
-2.68	-73.4
-2.99	-79.33
-3.23	-85.3
-3.59	-91.2
-3.58	-85.3
-3.42	-79.38
-3.27	-73.73
-3.1	-67.8
-2.92	-62.23
-2.7	-56.2
-2.59	-50.58
-2.39	-44.83
-2.18	-38.65
-1.97	-32.85
-1.7	-26.43
-1.49	-20.95
-1.22	-15.15
-1.22	-15.15
-0.92	-7.877
-0.68	-2.25
-0.385	3.53
-0.113	8.458
0.192	14.23
0.498	19.82
0.775	26.02
1.09	31.97
1.26	37.92
1.57	43.95
1.82	50.02
2.09	56.02
2.4	61.85
2.63	67.97
2.93	73.72
3.19	79.9
3.49	85.7
3.7	91.67
3.99	97.77
3.94	91.8
3.8	85.87
3.62	79.6
3.47	74.02
3.3	68.12
3.11	62.02
2.93	56.02
2.7	50.6
2.49	44.4
2.3	38.45
2.05	33.72
1.92	28.72
1.7	23.1
1.41	17.07
1.41	17.07
1.18	11.15
0.896	5.311
0.661	0.523
0.345	-5.459
-0.003	-11.48
-0.308	-17.45
-0.603	-23.18
-0.842	-29.43
-1.12	-35.35
-1.4	-41.5
-1.63	-47.48
-1.9	-53.23
-2.14	-59.18
-2.42	-64.95
-2.65	-71.03
-2.97	-76.73
-3.21	-82.45
-3.47	-88.18
-3.71	-93.65
-3.62	-87.43
-3.55	-81.93
-3.31	-75.93
-3.2	-70.65
-3.01	-64.5
-2.81	-58.6
-2.68	-53.05
-2.47	-47.1
-2.23	-41.18
-2.07	-35.35
-1.81	-29.35
-1.59	-23.3
-1.32	-17.25
-1.09	-11.53
-1.09	-11.53
-0.812	-5.717
-0.502	0.403
-0.223	5.698
-0.092	6.011
0.119	11.48
0.403	17.17
0.688	23.1
0.976	29.15
1.23	35.32
1.51	41.32
1.73	47.27
2.02	53.25
2.3	58.85
2.6	64.92
2.88	70.77
3.11	76.6
3.41	82.5
3.63	88.17
3.92	94.32
4.12	100.1
4.47	106
4.79	112.2
5.24	117.9
5.53	122.7
6.17	128.4
6.67	134.4
7.18	140.4
7.68	145.7
8.19	151.9
8.54	156.4
9.03	161.9
9.45	167.7
10	173.7
10	173.7
10.6	179.7
11.1	184.4
11.8	190.2
12.1	193.7
12.4	196.4
13	201.2
13.5	205.4
14.2	210.9
14.9	216.4
15.3	219.2
15.9	221.9
16.7	226.7
17.8	229.9
18.8	234.7
19.6	238.9
20.3	241.4
20.4	241.4
20.9	243.4
21.6	246.2
22.8	247.4
23.3	247.9
23.2	241.9
23.1	235.7
22.9	229.7
22.7	223.4
22.5	217.2
22.3	211.2
22	204.7
21.9	198.4
21.6	192.2
21.4	185.9
21.1	179.7
20.9	173.2
20.9	173.2
20.4	161.4
20.2	154.9
19.9	148.4
19.6	142.2
19.3	136.4
18.9	130.2
18.6	123.7
18.4	117.4
18.1	111.4
17.4	104.9
17.4	98.92
17.1	92.75
16.7	86.5
16.3	80.4
16	74.5
15.7	68.75
15.4	62.8
15	59.9
14.8	53.95
14.4	48.15
14	42.37
13.5	36.5
13.1	31.05
12.8	25.25
12.3	19.5
11.9	13.9
11.4	8.348
11	3.218
10.4	-2.992
9.82	-8.83
9.22	-14.63
8.55	-20.13
7.91	-26.13
7.91	-26.13
6.86	-35.05
6.09	-41.08
5.38	-46.95
4.66	-52.6
4.05	-58.35
3.24	-63.93
2.58	-69.65
2.03	-75.18
1.44	-80.93
0.833	-87.03
0.169	-93
-0.445	-99.33
-1.08	-105.6
-1.66	-111.6
-2.28	-118.1
-2.95	-124.6
-3.55	-130.6
-4.14	-137.1
-4.83	-143.6
-5.46	-149.8
-6.12	-155.6
-6.77	-161.8
-7.45	-168.3
-8.29	-174.6
-9.2	-180.8
-10	-187.1
-11.1	-193.3
-12.2	-199.1
-13.3	-203.8
-14.2	-207.1
-14.8	-210.6
-15.9	-214.3
-16.9	-218.3
-16.9	-218.3
-18	-222.1
-19.1	-225.1
-19.8	-226.3
-20.9	-229.1
-21.1	-229.8
-23.4	-222.3
-21.3	-160.6
-21.4	-160.6
-21	-151.6
-20.6	-145.6
-20.3	-138.8
-20	-132.3
-19.6	-125.8
-19.3	-119.1
-18.9	-112.8
-18.5	-106.6
-18.2	-100.3
-17.8	-94.53
-17.5	-88.2
-17.1	-81.8
-16.6	-75.73
-16.2	-69.65
-15.7	-63.7
-15.3	-57.78
-14.9	-51.65
-14.4	-45.7
-13.9	-39.33
-13.3	-33.05
-12.7	-27.25
-12.2	-21
-11.6	-14.83
-11	-9.577
-10.4	-3.627
-10.4	-3.627
-9.35	4.63
-8.63	10.47
-7.76	16.32
-6.82	22.45
-5.99	28.45
-5.05	34.45
-4.28	38.65
-3.28	44.72
-2.37	49.97
-1.37	55.15
-0.583	60.62
0.465	66.25
1.48	72.37
2.48	78.5
3.47	84.5
4.4	90.55
5.32	96.55
6.28	102.7
7.13	108.9
8.02	115.2
8.85	121.4
9.67	127.4
10.5	133.4
11.3	139.7
12.1	145.7
12.8	151.7
13.6	157.9
14.3	164.2
15.1	170.2
15.8	176.4
16.4	182.4
17.1	188.7
17.8	194.9
17.8	194.9
19.1	206.7
19.8	213.2
20.5	219.4
21.3	224.9
22	230.7
22.5	223.9
22.1	216.7
21.9	209.7
21.7	202.7
21.4	195.7
21.1	188.9
20.9	182.2
20.6	175.4
20.4	169.2
20	162.7
19.8	156.7
19.5	150.2
19.1	143.4
18.8	136.9
18.5	129.9
18.1	123.2
17.7	116.4
17.3	109.9
16.9	103.4
16.5	97.35
16.1	90.77
15.7	84.35
15.3	77.82
14.8	71.75
14.4	65.62
13.9	59.52
13.4	53.6
12.9	47.35
12.9	47.35
11.6	33.22
11	27.05
10.3	21.17
9.69	15.22
8.94	9.348
8.2	3.558
7.45	-1.822
6.47	-7.785
5.55	-13.93
4.63	-19.8
3.66	-25.7
2.74	-31.55
1.84	-37.45
0.849	-43.5
-0.0865	-49
-1.01	-54.93
-1.99	-60.78
-2.88	-66.85
-3.68	-73.18
-4.65	-79.43
-5.45	-85.5
-6.18	-91.63
-7	-97.75
-7.8	-104.1
-8.69	-110.3
-9.44	-116.6
-10.3	-122.8
-11.1	-129.1
-11.9	-135.6
-12.7	-141.6
-13.6	-147.6
-14.3	-154.3
-15.1	-159.8
-15.1	-159.8
-16.4	-171.1
-17.1	-177.1
-17.9	-183.3
-18.6	-189.3
-19.4	-193.8
-20.1	-200.3
-20.8	-206.6
-21.7	-213.1
-22.6	-219.1
-23	-212.8
-22.6	-206.6
-22.5	-199.3
-22.1	-192.6
-21.9	-185.8
-21.6	-178.8
-21.4	-172.3
-21.1	-165.8
-20.7	-159.1
-20.5	-152.3
-20.1	-145.8
-19.8	-139.1
-19.4	-132.6
-19	-125.8
-18.6	-119.3
-18.3	-112.8
-17.9	-106.8
-17.5	-100.1
-17.1	-93.68
-16.6	-87.53
-16.3	-81.23
-15.9	-75.03
-15.4	-68.95
-14.9	-62.58
-14.9	-62.58
-13.7	-46.8
-13.1	-40.73
-12.6	-34.25
-11.9	-27.98
-11.3	-21.83
-10.6	-15.73
-9.82	-9.152
-9.02	-3.08
-8.16	2.793
-7.28	8.715
-6.35	14.52
-5.37	20.52
-4.37	26.55
-3.37	32.75
-2.27	38.95
-1.61	43.4
-0.541	49.67
0.552	55.67
1.58	61.6
2.67	67.72
3.61	73.85
4.59	79.92
5.51	86.12
6.4	92.35
7.22	98.2
8.01	104.4
8.84	110.7
9.65	116.7
10.4	123.2
11.2	129.2
12	135.4
12.8	141.7
13.5	148.2
13.5	148.2
15.3	163.2
16	169.4
16.6	175.4
17.3	181.7
18	187.7
18.5	193.7
19.2	199.9
19.9	206.2
20.5	212.9
21.3	219.2
22	225.2
22.7	230.9
23	223.7
22.6	214.9
22.3	206.2
22	197.7
21.6	190.2
21.4	181.9
21	173.9
20.6	166.4
20.3	158.7
20	151.9
19.6	145.4
19.3	138.7
18.9	132.2
18.6	125.7
18.2	119.2
17.8	112.9
17.4	106.2
17	99.52
16.6	92.9
16.1	86.5
15.7	80.35
15.7	80.35
14	57.95
13.5	51.8
12.9	45.32
12.4	39.27
11.9	33.32
11.3	27.42
10.6	21.42
9.9	15.52
9.11	9.598
8.38	4.011
7.46	-1.314
6.46	-7.142
5.44	-13.23
4.34	-19.63
3.33	-25.5
2.37	-31.15
1.51	-36.93
0.516	-42.7
-0.419	-48.48
-1.47	-54.33
-2.42	-60.13
-3.39	-65.85
-4.2	-72
-4.97	-77.98
-5.83	-83.98
-6.51	-90.25
-7.38	-96.53
-8.1	-102.6
-8.94	-109.1
-9.76	-115.6
-10.6	-121.8
-11.4	-128.1
-12.1	-134.6
-12.1	-134.6
-13.9	-148.6
-14.6	-155.1
-15.4	-161.6
-16.2	-168.1
-16.9	-174.3
-17.7	-180.6
-18.4	-186.8
-19.2	-193.1
-20	-199.1
-20.6	-205.3
-21.4	-211.3
-22.1	-217.8
-23.1	-224.1
-23.3	-217.6
-23.3	-207.3
-23.2	-199.1
-23	-190.1
-22.5	-181.6
-22.2	-174.3
-21.9	-166.6
-21.5	-159.3
-21.2	-153.1
-20.8	-146.3
-20.5	-139.8
-20.1	-133.3
-19.8	-126.8
-19.4	-119.8
-18.9	-113.3
-18.5	-106.8
-18.2	-101.3
-17.8	-94.83
-17.4	-88.75
-17	-82.48
-17	-82.48
-8.66	-1.802
-8.19	4.348
-7.26	10.4
-6.32	16.05
-5.26	21.87
-4.28	27.95
-3.19	33.92
-2.15	39.92
-0.92	46.2
-0.153	49.42
-0.145	48.85
-0.153	47.37
