"Sakai et al. 1990, Spec. B4"	
322	
-0.005	-0.24525
0	0
-0.0025	0.24525
-0.02	0
-0.045	-0.00981
-0.0575	-0.26487
-0.095	-0.56898
-0.185	-0.53955
-0.4425	1.7462
0.305	98.512
0.7275	148.72
1.21	199.3
1.6975	248.66
2.2875	296.54
2.5975	314.14
2.5775	296.92
2.3075	249
2.0175	203.98
1.67	148.79
1.4625	102
1.125	57.604
0.9525	24.623
0.8275	4.9737
0.245	-44.842
-0.085	-102.46
-0.3825	-147.48
-0.745	-197.81
-1.2425	-245.97
-1.9125	-298.67
-2.36	-327.6
-2.245	-283.69
-2.01	-243.46
-1.73	-201.16
-1.38	-148.16
-1.1825	-99.189
-0.8325	-53.788
-0.63	-22.7
-0.4875	-3.0117
-0.325	17.452
-0.0925	50.571
0.26	97.188
0.68	150.08
1.0525	196.5
1.5	246.04
2.0325	299.91
2.515	337.98
3.005	368.72
3.555	390.01
4.0975	372.31
4.5775	358.62
5.0325	367.45
4.9825	337.68
4.6925	301.72
4.1825	251.35
3.8025	205.4
3.2075	148.19
2.82	107.87
2.2675	55.171
1.94	24.054
1.755	6.9749
1.4625	-22.102
1.1475	-52.709
0.76	-96.216
0.28	-145.56
-0.2525	-196.01
-0.7825	-247.92
-1.35	-295.74
-1.7725	-326.33
-2.3075	-361.08
-2.875	-380.94
-3.6225	-392.86
-4.0175	-389.79
-4.53	-399.72
-5.0125	-405.19
-4.985	-373.46
-4.7525	-338.66
-4.3675	-302.26
-3.85	-249.63
-3.52	-205.99
-2.87	-155.8
-2.21	-105.33
-1.6	-53.975
-1.27	-27.017
-1.0375	-4.6892
-0.69	18.865
-0.3125	54.75
0.2025	100.75
0.75	144.11
1.535	200.98
2.2275	247.35
3.1775	298.69
3.95	329.56
4.5425	347.02
5.05	358.41
4.9975	328.36
4.72	293.94
3.7925	197.51
2.68	102.16
2.1	52.591
1.5225	6.7199
0.8575	-45.734
0.1325	-102.23
-0.4825	-150.89
-1.0925	-195.86
-1.875	-248.56
-2.7275	-298.47
-3.515	-337.44
-4.2825	-368.04
-5.035	-382.91
-4.115	-250.96
-3.0225	-152.21
-1.8	-57.84
-1.1175	-5.111
-0.3375	47.834
0.3875	101.39
1.065	149.2
1.8525	199.47
2.7575	251.19
4.0375	310.1
5.025	341.94
6.0325	360.54
7.0425	368.87
8.05	372.51
9.1375	371.4
10.035	364.31
10.068	330.7
9.35	270.67
7.885	170.3
6.97	114.62
5.835	72.437
5.34	45.862
4.405	11.713
4.1725	-9.1233
3.555	-38.906
2.5375	-90.409
1.39	-141.45
0.4225	-193.08
-0.65	-241.99
-1.9775	-297.1
-3.025	-331.98
-4.0475	-357.48
-5.0425	-372.12
-6.0425	-376.24
-7.0925	-378.06
-8.0375	-372.53
-9.12	-366.97
-10.02	-362.06
-9.89	-308.82
-9.315	-266.07
-8.7125	-210.28
-8.155	-177.27
-6.99	-117.61
-5.8675	-66.855
-5.16	-38.857
-4.5525	-12.047
-3.66	17.109
-2.9075	43.017
-1.1725	94.833
0.535	147.08
2.235	199.3
4.1525	252.98
5.99	293.98
7.0575	312.99
8.04	323.67
9.035	331.22
10.023	327.48
9.9625	289.31
8.9875	213.88
8.1975	144.7
6.5425	79.343
5.3525	14.489
3.8975	-40.152
1.9825	-89.153
-0.0525	-138.93
-2.01	-190.48
-4.01	-242.14
-4.99	-264.59
-6.0125	-285.68
-7.02	-302.82
-8.04	-315.83
-9.05	-325.85
-10.015	-328.7
-9.9325	-282.65
-9.075	-215.58
-7.9775	-133.92
-6.9225	-78.951
-6.22	-46.548
-5.445	-14.47
-3.72	34.875
-1.9425	75.027
0.075	116.66
1.055	139.13
2.0475	162.36
3.0175	187.01
3.995	210.46
5.005	233.98
4.85	196.84
4.3725	153.15
3.68	96.246
3.2	46.617
2.445	8.466
1.7975	-14.028
0.97	-44.008
-1.0275	-95.412
-2.6325	-136.9
-3.985	-175.87
-5.05	-206.35
-4.9675	-173.32
-4.345	-112.87
-3.68	-51.1
-2.9325	-8.2895
-1.195	45.489
0.665	98.306
2.275	149.36
3.84	202.51
5.68	252.11
7.0425	279.58
8.54	298.5
10.137	311.57
11.29	311.34
12.55	310.89
13.825	312.66
15.04	307.92
16.368	304.16
17.65	297.84
18.83	295.1
20.112	288.02
20.317	267.12
20.167	244.6
19.535	192.7
18.933	142.97
18.218	95.491
17.47	67.63
16.907	39.75
15.51	-14.862
13.96	-63.088
11.355	-117.3
9.71	-137.22
7.4975	-158.41
4.9925	-179.78
2.4475	-209.56
-0.005	-239.37
-2.4825	-268.03
-5.0075	-292.36
-6.675	-303.57
-8.4675	-304.25
-10.063	-306.97
-11.273	-304.19
-12.59	-300.17
-13.828	-299.71
-15.063	-292.52
-16.263	-289.26
-17.605	-283.32
-18.79	-276.35
-20.05	-271.19
-20.138	-244.13
-19.612	-188.92
-19.05	-147.7
-18.34	-89.418
-17.275	-39.564
-15.743	15.637
-14.35	64.923
-12.375	111.36
-10.028	144.34
-7.49	168.03
-4.9125	180.18
-2.3875	191.79
0.0475	200.48
2.6375	211.98
5.095	224.88
7.585	233.96
10.052	243.01
12.58	248.63
15.057	243.7
17.683	238.22
20.073	227.45
20.142	190.05
19.522	135.38
18.935	92.086
18.298	42.144
17.155	-10.114
15.895	-58.88
14.005	-111.55
11.88	-150.66
9.8775	-174.42
7.485	-190.56
5	-203.77
2.47	-213.44
0.0025	-221.46
-2.5225	-231.08
-5.03	-236.75
-7.545	-239.95
-10.033	-240.45
-12.533	-238.35
-15.052	-212.55
-17.663	-199
-20.108	-175.68
-20.577	-137.95
-20.295	-94.892
-19.565	-43.88
-18.843	14.018
-17.74	60.312
-16.075	110.74
-13.517	160.31
-10.355	200.83
-7.47	218.04
-4.98	220
-2.3375	227.44
0.2125	211.13
2.615	208.26
5.5575	185.26
7.6975	168.8
10.648	95.961
11.028	73.232
10.477	18.767
10.1	10.624
9.4575	6.6512
9.1575	4.4832
