Sezen et al. 2000 Specimen 2	
1638	
0	0.8672625
0.0762	-0.936221254
0.0127	1.117446561
0.0889	4.175175483
0.127	6.57586936
0.127	6.758098112
0.2032	6.880731253
0.2286	10.58763578
0.2032	14.85916466
0.3683	17.92090371
0.3937	19.97743527
0.4318	20.17676733
0.4445	24.00302852
0.4318	28.70248829
0.5588	31.75158711
0.6731	33.17374239
0.6858	35.16187274
0.6858	36.54081433
0.6858	40.11617114
0.8382	41.27661551
0.8636	44.43688226
0.9398	48.59235318
0.9398	52.53195758
0.9652	57.52397834
1.1176	58.87367896
1.143	62.76342243
1.2192	67.56275526
1.3462	71.70525905
1.3843	73.83353902
1.5748	78.22117122
1.5367	82.78882933
1.6002	86.60747951
1.7526	88.96329358
1.8034	94.0830421
1.8669	95.23885395
1.9177	95.31713885
1.8796	95.94386276
1.8923	99.77487254
1.9685	102.4659792
2.0701	107.207201
2.159	109.9669859
2.1463	113.5683268
2.2987	116.3744369
2.3876	121.3337908
2.54	125.339018
2.5527	130.4503297
2.6035	135.9447089
2.794	141.1459134
2.9083	144.3155799
2.9972	147.4365641
3.0988	148.7035946
3.1877	150.8152276
3.1623	153.6163387
3.2004	154.5508162
3.2639	156.2538174
3.4417	150.5875334
3.3655	149.638975
3.3655	147.7979368
3.3528	142.6866252
3.2004	134.4633311
2.9718	124.3740262
2.8194	112.2170918
2.54	101.406558
2.3622	90.38583535
2.1717	78.39531753
2.0828	66.28765701
1.8161	54.898966
1.5875	43.70821186
1.3843	32.38370406
1.1811	21.69232456
0.9906	11.71468209
0.9017	1.072729751
0.7366	-9.508887091
0.5588	-19.69691633
0.3683	-28.76017148
0.2032	-37.87426956
0.0762	-46.14481832
-0.1778	-55.17363026
-0.2413	-58.89766433
-0.2159	-58.21505313
-0.2413	-58.07027811
-0.2794	-57.1708335
-0.2921	-56.41199216
-0.254	-56.21243728
-0.2413	-56.14458622
-0.3683	-62.85844327
-0.4826	-74.82787994
-0.762	-84.99269456
-0.9017	-93.42535025
-1.143	-104.3126924
-1.2954	-114.8253904
-1.4859	-125.1748475
-1.6637	-127.7475972
-1.9431	-141.5877458
-2.1336	-150.2793083
-2.2987	-154.8125116
-2.4765	-163.8976556
-2.667	-168.1895286
-2.8448	-176.453762
-3.0099	-181.9877773
-3.2131	-187.180874
-3.2893	-189.5028915
-3.4417	-188.0131614
-3.4544	-187.6152524
-3.429	-186.9238663
-3.4544	-186.8792534
-3.3655	-178.4407893
-3.0734	-167.0091933
-3.0099	-156.6855495
-2.7686	-145.7973224
-2.5146	-134.6626859
-2.3495	-123.4363242
-2.1844	-111.8447604
-1.905	-100.9486968
-1.7526	-88.03778217
-1.524	-78.41582051
-1.3589	-67.4730314
-1.1557	-55.95508269
-0.9652	-45.42708522
-0.7493	-36.41620694
-0.6477	-28.27368703
-0.508	-19.29453721
-0.2794	-9.755333295
-0.0254	0.460347649
0.127	10.33416697
0.2413	21.01823122
0.5461	31.04364562
0.6604	41.35917534
0.8128	51.50676435
1.0668	61.26265803
1.2954	71.99595655
1.5748	81.70207826
1.5367	91.86473139
1.9177	101.3743937
1.9685	104.0170493
2.2098	113.9879351
2.3368	123.9118464
2.6416	132.3803979
2.6162	136.4588221
2.9591	145.3997648
3.1115	153.6251981
3.2639	158.7259558
3.3528	159.1044425
3.2893	159.5920041
3.2639	158.7320933
3.3782	158.0535027
3.2766	154.4879064
3.1623	144.2597994
2.9972	133.2232925
2.6543	123.0932129
2.5527	111.8338908
2.2987	100.604318
2.1463	89.72527931
1.8796	78.7999244
1.7399	68.25356765
1.4859	57.94456508
1.3716	46.80407125
1.2065	36.13077662
0.9398	25.94153188
0.7493	15.59230434
0.5207	5.596726439
0.4064	-4.166153552
0.1397	-14.08634215
-0.0127	-23.59064031
-0.2032	-32.92903872
-0.2921	-40.8186889
-0.3937	-48.86790249
-0.7112	-58.50332229
-0.8509	-69.77546657
-1.0033	-80.47291823
-1.2827	-91.18702579
-1.4859	-101.7866325
-1.6256	-107.0104569
-1.8034	-117.8348936
-2.0447	-128.4520145
-2.2225	-135.7900159
-2.413	-145.8670325
-2.6289	-155.3356399
-2.7559	-159.2064859
-2.921	-164.8393514
-2.8829	-171.694719
-3.1496	-179.6889713
-3.3274	-184.3849086
-3.4163	-185.0236319
-3.4544	-185.0349908
-3.4417	-186.7138064
-3.4544	-187.3298875
-3.4925	-186.7972104
-3.5179	-184.4556595
-3.1623	-173.8930382
-3.1496	-162.5433696
-2.8067	-151.5852811
-2.6797	-140.4660418
-2.4765	-129.9684608
-2.2733	-118.8203262
-2.159	-107.2211572
-1.8542	-96.46197427
-1.651	-85.1315544
-1.4478	-73.71031214
-1.2192	-62.15383919
-1.0795	-51.79942764
-0.889	-42.27628542
-0.7493	-33.84813461
-0.5715	-25.30972582
-0.4445	-19.69798906
-0.127	-5.846519387
0.0254	3.844919922
0.1524	14.13468292
0.4064	24.26188414
0.5461	29.30091009
0.6731	39.86469926
0.889	50.06885647
1.016	60.17469279
1.27	70.209845
1.4732	80.80572911
1.7018	90.25358894
1.8923	100.412355
2.0066	103.8513888
2.0828	108.5565725
2.1463	110.997405
2.1971	115.0217075
2.5146	124.2868596
2.7178	133.5979855
2.6797	135.8728328
2.9845	144.7063195
3.0353	149.3726809
3.2004	152.8957814
3.1496	155.3798881
3.2766	156.5070714
3.3147	157.7113076
3.3655	158.2476805
3.3147	158.0721422
3.2512	149.3203383
3.0226	138.2137344
2.8194	127.8082567
2.6797	116.527631
2.4638	105.959695
2.2098	95.46547187
1.9939	84.43436875
1.7907	72.73442834
1.6383	62.78034517
1.4732	51.73611748
1.2319	41.03647186
0.9652	30.84049316
0.8001	20.44682042
0.6096	10.46688882
0.4572	0.592960136
0.2794	-9.870608492
0.1143	-19.62997167
-0.1397	-28.74774961
-0.2921	-37.33620612
-0.4064	-44.44070221
-0.5461	-54.24984893
-0.7874	-64.58587006
-0.9652	-75.13911154
-1.2192	-85.63601209
-1.397	-96.46138275
-1.5875	-107.5446817
-1.7653	-113.7915379
-1.9939	-124.0590275
-2.1844	-134.2215072
-2.4511	-144.3204054
-2.5908	-150.0045773
-2.7051	-159.9525674
-3.0226	-168.8453036
-3.0353	-175.0712922
-3.2893	-178.7721014
-3.3909	-181.4989392
-3.3782	-184.1883291
-3.4417	-186.0776805
-3.4544	-186.4081742
-3.4671	-185.1961015
-3.3782	-183.7196471
-3.3147	-172.847511
-3.0988	-161.9059138
-2.921	-150.1597283
-2.6797	-139.274948
-2.54	-128.5506112
-2.2352	-117.9751455
-2.0066	-106.6044046
-1.8669	-95.05593272
-1.651	-83.93444306
-1.4097	-72.77957492
-1.2319	-62.04202014
-1.1557	-50.26936756
-0.9144	-41.21916048
-0.6985	-32.94131693
-0.4826	-24.93921393
-0.381	-16.79587123
-0.1778	-5.926240825
-0.1016	-1.401091566
-0.1016	-2.321724066
-0.0127	-1.855735519
-0.0762	-2.097117133
0.0127	3.136631486
0.0635	11.47135492
0.2921	21.64987184
0.5334	33.17663727
0.6858	43.32705222
0.8636	53.60762548
1.1557	64.29822355
1.2446	74.11288649
1.4097	84.60102547
1.6002	89.35653708
1.6256	88.84736504
1.5875	89.29412976
1.8796	87.60093093
1.6891	93.48737953
1.8415	104.6430794
2.1463	113.200265
2.4003	123.4178448
2.5654	132.4419068
2.8321	141.536177
3.0226	150.5901841
3.2639	158.2750327
3.429	167.1092843
3.7211	172.8490499
3.683	172.3786645
3.7084	174.440312
4.0132	181.7127661
4.2164	189.368408
4.4196	191.6245047
4.3307	190.9747561
4.4577	189.7166384
4.3815	190.5105883
4.6482	197.1257286
4.8387	204.7092498
5.0419	209.3513858
5.2451	213.2537468
5.2705	212.92525
5.3086	215.1468074
5.6261	222.301892
5.7277	225.3104212
5.8674	227.5085669
5.9563	228.6947463
6.1341	234.2057414
6.4262	233.605787
6.3373	235.8114979
6.5151	237.2904696
6.6802	240.9941608
6.8961	244.1441605
6.8834	242.4219817
7.3406	249.1048308
7.2136	247.9154492
7.3152	247.2370809
7.2517	242.33051
7.0231	232.1518103
6.7564	223.1482379
6.5659	214.1864765
6.3119	205.2524452
6.1595	198.4051899
6.2103	194.1661086
6.2357	190.0072647
6.1722	193.8838302
6.1468	189.9784004
5.9055	180.6546481
5.6642	172.2486818
5.4864	163.8002553
5.2451	154.7370153
5.0165	146.5831289
4.7879	138.7944401
4.6355	129.5669761
4.4196	121.7437124
4.1783	112.870643
3.7338	104.5089428
3.7211	95.63038072
3.3909	86.03207086
3.2004	77.69744252
2.9845	68.22826582
2.8321	61.20630376
2.5781	52.17537482
2.3749	42.03821164
2.286	36.62132119
1.9431	23.45665092
1.7399	13.60096958
1.5494	4.35579086
1.3335	-4.383265558
1.0922	-13.70734799
0.9271	-21.72287533
0.8128	-27.91071232
0.6731	-35.79087955
0.508	-42.61450268
0.2794	-50.86321555
0.1397	-59.66414648
-0.1016	-68.80740148
-0.3048	-79.03643355
-0.5969	-88.99468403
-0.7493	-98.49909827
-0.9906	-108.1041061
-1.1176	-114.7246901
-1.3462	-124.4449905
-1.5113	-132.1795755
-1.6764	-137.9941969
-1.9431	-147.7260875
-2.1082	-156.7486462
-2.4003	-164.6914142
-2.6797	-173.1159755
-2.921	-180.9958336
-3.1369	-188.6115013
-3.3782	-196.1004331
-3.4925	-203.9391118
-3.7719	-210.4474188
-4.0132	-218.0305085
-4.2926	-225.437255
-4.3688	-227.4032234
-4.6101	-231.2201346
-4.8641	-238.5066785
-5.0419	-245.2069217
-5.3594	-252.0934619
-5.6261	-258.3401491
-5.9055	-264.3785687
-6.1722	-270.8959041
-6.4008	-276.4075841
-6.7056	-281.5734265
-6.8834	-281.9537767
-6.9977	-284.109858
-7.0358	-283.2905351
-6.9977	-282.6399726
-7.0739	-282.2087074
-7.0993	-281.3214623
-7.1501	-280.587696
-7.1374	-280.3397389
-7.1247	-278.3483708
-7.1755	-276.402554
-7.0612	-275.2561797
-6.8961	-265.6100681
-6.731	-255.6559138
-6.5024	-246.3069797
-6.2611	-236.9888401
-6.0198	-228.29581
-5.7658	-218.9957272
-5.7023	-218.2909275
-5.7404	-215.8393498
-5.6134	-209.7589858
-5.3848	-200.2171992
-5.1816	-191.9220024
-4.9149	-183.1916177
-4.699	-178.1292108
-4.5212	-165.8296629
-4.2291	-157.7104626
-4.0513	-148.3396735
-3.8227	-139.6340836
-3.6068	-131.2658855
-3.3782	-122.7387027
-3.2258	-113.4155997
-3.0099	-103.8531455
-2.6797	-95.0720727
-2.4765	-85.39249367
-2.2225	-76.18740063
-2.0193	-66.59137679
-1.7653	-57.11203755
-1.5748	-47.50031848
-1.4478	-39.50140745
-1.27	-32.33978811
-1.0922	-24.81176681
-0.8763	-16.25893923
-0.6604	-7.339007879
-0.4699	1.542015674
-0.254	10.27348172
-0.1651	20.09248409
0.1524	28.34851043
0.3937	37.12650071
0.5588	46.2406664
0.8382	54.8498567
1.016	63.47600978
1.2192	72.0562602
1.4859	80.96389555
1.6637	89.4096091
1.9177	94.58510703
2.0447	103.5027581
2.3495	111.6911927
2.6543	119.0559948
2.9083	126.4348109
3.0988	134.6678494
3.3147	138.3646915
3.6703	148.741216
3.9116	156.0524079
4.0513	159.5276266
4.2672	166.7119802
